Speaker,Speech
The Chairman," The hearing will come to order; it will consist of two parts. At the Democratic Caucus the other day the Members expressed, legitimately, the question about whether or not they would have a chance to speak out in this forum, as they do in others. That seemed to be reasonable. We will have the Secretary of the Treasury and the Chairman of the Federal Reserve later. They are currently testifying, as previously scheduled, before the Joint Economic Committee.
    So we will begin now. I will ask Congressman Sherman and Congressman Hensarling--two members of the committee who wanted to testify--to please come forward. We will begin with Mr. Sherman. We will go under the normal 5-minute rule for testimony. STATEMENT OF THE HONORABLE BRAD SHERMAN, A REPRESENTATIVE IN 
             CONGRESS FROM THE STATE OF CALIFORNIA
"
Mr. Sherman," Mr. Chairman, thank you for your hard work in this time of crisis. Thank you for the opportunity.
"
The Chairman," Your microphone is not working. Pull it closer.
"
Mr. Sherman," Mr. Chairman, thanks for your hard work in this time of crisis. Thanks for expanding your workload by letting us testify, and thanks for including some of my smaller ideas in the legislation.
    There are two approaches that we are not taking in this bill. One is the AIG approach, which is if you have a few toxic assets and you can handle them, just handle them and stop whining. If you have too many toxic assets in your institution to be able to handle, fine. Give us 80 percent of your company. That is the AIG approach.
    Wall Street wealth absolutely rejects that approach because they want our money, they do not want to give us 80 percent of the upside, and they don't want to give us control of the company.
    We also rejected the idea of paying for this. At least as far as I know, we have rejected that. I know that is outside the scope of a Financial Services Committee markup, but this bill is not being marked up in Financial Services; it is the Speaker's bill, a Rules Committee bill. We ought to at least consider including those revenue measures that have increased revenue that have passed the House and died in the Senate. We ought to be looking at other revenue as well.
    Keep in mind that this is not a bill that is limited to $700 billion of investment. It is $700 billion of losses. So we give Secretary Paulson $700 billion, and he goes to Wall Street and buys whatever assets he wants at whatever price he wants. He can deliberately overpay for an asset if he thinks that the institution getting the money is made up of really great guys who need some extra money.
    He takes those assets that he buys for $700 billion, and he can sell them for $500 billion. Then he can take the $500 billion in proceeds, go back to Wall Street, buy $500 billion of toxic assets, and sell those for $300 billion, and take the $300 billion in proceeds, invest that on more toxic assets and then come to us and ask for more cash. This is an opportunity to lose $700 billion and more.
    The chief problem I have with this bill is the lack of supervision of the Secretary of the Treasury. He gets to make all the decisions. Now there is discussion of having a review board, but that is an after-action review board and these transactions are so complicated that any transaction he makes he can defend, the Control Board can criticize, but the money is gone. And even if he loses the PR battle, the money is gone--$50 billion for some toxic assets that turn out to be worth $10 billion, gone. What we need is a co-signer, somebody sitting there saying you can or cannot engage in that transaction.
    We ought to be looking at phased authorization. A bill for $200 billion now, then we can fine tune that bill and provide more money later. Otherwise, once the Bush Administration has the money, they are not going to sign into law any further congressional action.
    Finally, we ought to look at executive compensation. This bill provides some limits on executive compensation, but it does not deal with plain vanilla excess executive compensation. If someone is earning $1 million a month at a company that has made bad decisions and needs a bailout, they can keep earning $1 million a month at that company. And if the company increases the salary to a million and a half, they can do that as well. So if a company is particularly good at getting cash from Washington, they will have the cash necessary to increase their regular salaries. In the absence of fraud, they are allowed to do that.
    I also think that we need Fast Track in this bill. I talked to Senator Reid about it. But it ought to be deep and long and broad. This committee is going to want to pass a lot of regulatory and corporate governance reform. It will take only 41 Senators, not to defeat good reform, but to delay and then dilute reform.
    If instead, the majority leader in the Senate is able to pull up any reform bill in the whole area of corporate governance and financial services governance and get an up-or-down vote after limited debate, then and only then are we going to be able to pass real, meaningful reform.
    I look forward to working with the chairman and others to create a bill that I can vote for, and I have put at every desk a copy of a letter that reflects the thoughts of many of us dealing with these issues. Points 1, 3, 6, and 11 are particularly important; some of the other points the chairman has already dealt with in his bill.
    I yield back.
"
The Chairman," Mr. Hensarling.STATEMENT OF THE HONORABLE JEB HENSARLING, A REPRESENTATIVE IN 
                CONGRESS FROM THE STATE OF TEXAS
"
Mr. Hensarling," Thank you, Mr. Chairman. I now have more sympathy for the people who sit here and can't figure out how to turn on the microphone.
    I certainly appreciate you, Mr. Chairman, for allowing members to speak out on what for many of us may be one of the most important votes that we are asked to cast in our congressional careers.
    On the one hand, we may have financial peril. On the other hand, we may have taxpayer bankruptcy for the next generation and many of us view a slippery slope to socialism, where the fundamental role of the Federal Government in a free enterprise economy is irrevocably changed.
    People who thought that such a profound decision would be made in 72 hours were simply naive. I believe there is at least broad agreement on both sides of the aisle that, although we hear the term ``crisis'' on a daily basis in this institution, this one is for real. Inaction is not an option.
    However, the Paulson plan is not the only option that should be on the table. Now, I feel quite confident that the leaders of our party and the President of the United States, the two presidential nominees, can go to the American public and say that Members of Congress will work this out. It is not a matter that has to be undertaken in a matter of hours. It is a matter that does need to be taken up in a matter of days to weeks.
    I believe, Mr. Chairman, that there are a number of options that should be considered by this committee and by other committees and we should certainly look to history as our guide. Some say that the taxpayer may actually gain in this transaction. And you know what, Mr. Chairman? That may be true. I can put a gun to my neighbor's head, take his college fund for his children, place a bet on a roulette table in Las Vegas and maybe--maybe I will triple his money. But, Mr. Chairman, that is not a risk that my neighbor voluntarily undertook. This is not a risk that the taxpayer wishes to voluntarily undertake.
    Now, it is not a perfect parallel, Mr. Chairman, but when we look at the model of the Resolution Trust Corporation and the S&L debacle of the 1980's, I just had a conversation in the Budget Committee with CBO Director Orszag and he said that it did cost the taxpayer $150 billion to $200 billion. So the most recent historic precedent says that we could have quite a challenge.
    I think there are two main challenges that we are facing as we see our credit market seething. And I will say that anybody who tells you they have the answer today is probably either naive or disingenuous. But on a bipartisan basis we better find it and find it fast. I do think that there is a huge psychological component to the panic in our markets and a huge challenge in having illiquid markets as well.
    House conservatives have put forth alternatives that we believe should be debated, that we believe should be on the table. We are not naive about who controls the institution. But we believe that if you would have a temporary suspension of the capital gains tax, that you would have as much as a trillion dollars of liquidity that could come into the market and help supply needed funds for our financial institutions and, more importantly, to help struggling homeowners stay in their homes.
    In addition, Mr. Chairman, again not necessarily within the purview of this committee, but many view the mark-to-market rule that was imposed, I believe, in 1993 that serves us well in normal times has a pro-cyclical tendency to lead us to perhaps the irrational exuberance of the dot-com bubble, but can also lead to a credit crunch death spiral that we are seeing today. And House conservatives have called for a suspension of the mark-to-market rule as well. We believe that other options have to be looked at.
    I know this committee will debate it. Many of us believe if you peel away the layers of the onion, that none of this would have happened but for Fannie Mae and Freddie Mac. And until you deal with the root cause of the problem, you have not dealt with the problem. So I have legislation that I have introduced that ultimately will take away the monopoly powers of Fannie and Freddie.
    And certainly, last not but least and I will wrap up, Mr. Chairman, there are options that would have secured loans by the taxpayers that I believe is probably a preferable option that needs to be explored as well.
    My final comment, since I would like to have on the record the few times that I might actually agree with my friend from California, I would like to say that House conservatives are in total agreement that if the taxpayer is going to be asked to bail out these Wall Street firms, compensation limits absolutely, positively, unequivocally have to be a part of the equation.
    With that, Mr. Chairman, I appreciate your giving me this opportunity and I yield back.
"
The Chairman," Let me invite the other Members who are here now to come to the table and replace these members.
    I wanted to say to Mr. Hensarling that my understanding is that the procedures for debating this in this case will be totally bipartisan. This is not going to be unilaterally done by the Speaker. This is something that the Speaker and the Republican leader will be working out.
    Will the other Members--Mr. Carson, Mr. Cleaver, Mr. Watt, Mr. Klein, Mr. Moore, and Mr. Green--please come forward. Do we have enough chairs? Bring a chair with you if you don't have one.
    Representative Green, you are from Texas. You are used to moving seats around. Mr. Carson, come on over there. Let's begin with Mr. Watt.STATEMENT OF THE HONORABLE MELVIN L. WATT, A REPRESENTATIVE IN 
           CONGRESS FROM THE STATE OF NORTH CAROLINA
"
Mr. Watt," I was hoping you would go by seniority, Mr. Chairman, since I have to leave. It is a lot more intimidating being on this side of the microphone than it is being on the other side.
    I wanted to address two issues: The first is why; and the second is how? Because the concerns that I am hearing expressed from my constituents deal a lot more with the ``why'' than they do the ``how.''
    The ``why'' was established for the leadership of Congress on Thursday of last week in an urgent meeting, but that ``why'' has not been communicated to the public. There are a lot of people out there who still don't understand why it is that it is necessary to do anything. And I think it is first and foremost incumbent on this Administration to be as honest as it can and transparent as it can with the public about the ``why'' so that we can do our job as Members of Congress to deal with the ``how.''
    There are two problems with the ``why'' and why I think the Administration has not been transparent with the public. First of all, is a political problem, because I think if the Administration goes out and tells the public the truth, they will have to say that this Administration has driven the economy off the cliff, and that would be politically embarrassing.
    But there is also a legitimate reason that they have not done it, because it could also--telling the public the truth could create a frenzy in the market that could be counterproductive to what we are trying to accomplish. I understand both of those things, but the American people don't understand those things, and I think the President has to tell the American people enough to justify why we are doing anything.
    Then we can turn our attention to ``how.'' And I started that because I jumped across the ``why'' threshold on Thursday or Friday of last week because the Administration told us enough facts that the economy is in a dismal situation. But then they sent us a proposal about how to solve the problem that made the Secretary of Treasury the king of the world, answerable to nobody, accountable to nobody, having to explain to nobody, having no legal liability, and having no regard for homeowners.
    I would like to read to my constituents the exact wording that came with the proposal so that they understand the interests of this Administration. On Saturday afternoon when we got the proposal, the proposal said that there were two concerns that they were worried about: Number one, the markets and the big fellows; and number two, the taxpayers. Nowhere was mentioned the homeowners and how we can protect them in this process.
    So when we went back to them they have acknowledged and we actually have done a tremendous amount of work to resolve the how problem, but my constituents are still out there asking me not how are you going to do this, but why are you going to do this? And I think we have to call on this Administration to be honest with the public, that they have messed up the economy so bad that this has become an imperative to do something in order to justify anything that we do. We can solve the how we do it, but they have to be honest with the American people about the why we are doing it.
    I yield back.
"
The Chairman," The gentleman from New Jersey--we will alternate. Mr. Garrett. STATEMENT OF THE HONORABLE SCOTT GARRETT, A REPRESENTATIVE IN 
             CONGRESS FROM THE STATE OF NEW JERSEY
"
Mr. Garrett," Thank you, Mr. Chairman, and Ranking Member Bachus, for allowing the Members to share their views on this very important topic.
    My hesitancy to support this proposal outright should not be taken as a lack of understanding about the dire straits of the American taxpayer or the credit crunch on Wall Street. People in the Fifth District of New Jersey are suffering, as are people of the chairman's Fourth District of Massachusetts, because of this right now. And it is the aim of all parties involved to help American families; we simply disagree on the best course of action to accomplish this.
    My worry is that we are being rushed to take action because the so-called bazooka misfired and the outcome of such a frantic pace will be more questionable legislation. We need only to look back to Sarbanes-Oxley and how it came about as a staggering example of troubling legislation that results from congressional speed.
    The Constitution created Congress as a deliberative body, and in this instance we are being given no chance to deliberate. Certainly Congress must be speedy in sending a message to Wall Street that we intend to give this situation careful consideration. The assurance of action is a step in the right direction.
    Next, we must enter into a thorough and vigorous debate designed to yield the framework to rework the financial service regulation. We need to develop a deeper understanding of what caused this problem and how we can effectively act to provide a resolution.
    The bailout is being framed, however, as the only option to save our economy, as if all other ideas have been exhausted. We must not progress in this debate wearing blinders to alternatives.
    Since the Treasury Secretary released this proposal on Friday, many economists and interested experts have all put up different ideas for features to supplement an economic rescue plan. Some of them are more viable than others. But we can make that determination to review them. The RFC has proposed one, the Financial Services Committee is looking at them. The Policy Committee in our party has come up with solutions as well. They should all have a hearing.
    I am pleased we are having this hearing entitled, ``The Future of Financial Services: Exploring Solutions For the Market Crisis.'' But unfortunately, this is really the first hearing this committee has held with a direct focus on recent market conditions following the bailout of Bear Stearns in March of this year. I would like to remind my colleagues, especially those on the other side of the aisle who are complaining about the bailout today, that 16 of my Republican colleagues and I sent a letter to the distinguished chairman all the way back on April 7th asking him to hold a hearing after the government bailed out Bear Stearns. And in the chairman's letter of reply he said, ``I do not think that it is necessary that we have the hearing on the soonest possible date.'' It was not until July 10th that the chairman scheduled a hearing entitled, ``Systemic Risk in the Financial Markets.''
    What hearings came in between? We dealt with such matters as green sources for efficient energy, the Insurance Information Act, the Extractive Industries Transparency Act, and a multilateral clean technology fund.
    Now, it is not my goal to impugn the importance of any of those issues discussed in those hearings, but I find it hard to understand why one of them could not have been postponed in order to allow for a more timely formal discussion of the actions that precipitated the crisis in which we currently find ourselves.
    By the time we finally held our first hearing, Fannie and Freddie stocks were already in a free fall and the rest is now recent history. One would have to think if we hadn't waited so long to discuss the safety of the financial markets after Bear Stearns, maybe we wouldn't be sitting here today. Maybe we would not have three more companies bailed out. Maybe we would not be here asking for $700 billion. Maybe we would not be told that there are no other solutions.
    Since the Department of the Treasury submitted their proposal on Saturday, I spent much time reviewing it and the chairman's first discussion draft. As I said, I had a number of discussions with a number of noted economists around the country and studied some of their proposals. Yesterday, I sent a bipartisan letter with a number of my colleagues to the President asking for more information still to be supplied to us with regard to that proposal and a list of alternatives and the deliberative process as to why they were rejected.
    I have also introduced bipartisan legislation with Representative Marcy Kaptur to establish a select committee to investigate all the actions that have led to these government bailouts and now to make recommendations to address them today.
    As elected representatives of the people, it is truly our obligation to be fully informed of the Administration's decision-making process before $700 billion is added to our Nation's debt. The health and vitality of our economy is a top priority of all Americans, but we must also look to the long-term impact of government bailouts on our society. Our children and our grandchildren will ultimately be the ones who will pay for this program that we institute today.
    Once again, as I began, I thank the chairman and the ranking member for us beginning that process. Thank you.
"
