Speaker,Speech,Type,Comments
"The Chairman","The Committee on Financial Services will now convene for the purpose of the hearing with Secretary Geithner. I have an announcement to make regarding the order on the Democratic side when Mr. Geithner and Mr. Bernanke were here the day before yesterday; and, I apologize for not having Mr. Geithner here on Wednesday, but sometimes we have to do other things. The following Members on the Democratic side were here at a time when he and Mr. Bernanke had to leave, and I said at the time that they would get priority in questioning. After myself and the chairman of the subcommittee, we would go to the following Democrats: Let me just read them in the normal, seniority order: Mr. Ellison; Mr. Scott; Mr. Green; Ms. Kilroy; Mr. Donnelly; Mr. Klein; and Mr. Grayson. They will be the first ones to ask questions. . We will now proceed to the opening statements using the rules for hearings with a Cabinet member. The rules are 5 minutes for the chair and the ranking member; 3 minutes for the chair and ranking members of the subcommittee, and I apologize for the disruption of the transition. We will now begin. I think the announcements are over. We have before us the job of dealing with whether or not there is existing in the Federal Government today sufficient authority to deal with systemic risk. There are several aspects to that. We talked considerably about one of them on Tuesday with the Chairman of the Federal Reserve and the Secretary of the Treasury; namely, the need to have somewhere in the Federal Government the ability to use the bankruptcy authority given by the U.S. Constitution to wind down an important, non-bank, financial institution. We have long had in our laws an adaptation to bankruptcy to wind down banks; and, when banks have failed, while it has been sometimes painful, it has not been as disruptive as when the non-bank financial institutions have failed. The two glaring examples are Lehman Brothers, where nothing was done, and AIG, where everything was done. I believe we are looking for an alternative method to avoid those two polar extremes. That is, a bankruptcy authority which can honor some and not honor others. It has some discretion. The question of compensation is part of that, as is the question of whether or not people should continue to be allowed to securitize 100 percent of loans. Today--although obviously members are free to bring up whatever they wish--our focus will be on whether we need to increase the authority of some entity or entities in the Federal Government to restrict excessive leverage. We are talking in the resolving authority about what happens when there is a failure on the part of an institution that is so heavily indebted to so many parties that simply allowing it to fail without intervention could cause magnifying, negative effects. But, obviously, the preferential situation would be to keep that from happening, and this subsumes a lot of other issues, whether or not people are too- big-to-fail, or too-interconnected-to-fail. The goal should be--and obviously no system is going to prevent all failures, because it would then be too restrictive--to minimize the likelihood that entities will get so heavily indebted, so heavily leveraged with inadequate resources in case there is a need to make the payments, that their lack of success threatens the whole system. I believe that we are in a third phase here of a set of phenomena we have seen in American economic history. It is a phenomenon in which the private sector innovates. Innovations which have no real value die of their own weight, but innovations that add value thrive as they should, because we are dependent on the dynamism of the private sector to increase our wealth. But, by definition, when this comes from significant innovation, there aren't rules that contained abuses. The goal of public policy is to come up with rules that set a fair playing field that constrains abuses, and that protects legitimate and responsible entities from irresponsible competition, that can draw them away from good practices, while having as little effect as possible on diminishing the value. Thus, in the late 19th Century, the trusts were created, and they were very important. We would not have industrialized without those large enterprises such as oil, coal, and steel, and a number of other areas. But because they were new, the operated without restraint, so Theodore Roosevelt and Woodrow Wilson were more help, I think, than they get credit for from William Howard Taft. Set rules, the Antitrust Act, the Federal Trade Commission, the creation of the Federal Reserve, those were rules that tried to preserve the large industrial enterprises. Indeed, they were people who tried to get Woodrow Wilson to break them up. And he said, ``No.'' They gave a valuator that we need, but we need rules. That led to a great increase in the importance of the stock market, because you now had enterprises that could not be financed individually. And the job of Franklin Roosevelt and his colleagues during the 1930's was to set rules that allowed us to get the benefit of the finance capitalism, the stock market, but curtailed some of the abuses. I believe that securitization and the great increase in the ability to send money around the world that comes from both the pools of liquidity and the technology, CDOs and credit default swaps, these are a set of innovations on a par with the earlier set, and they have had great value. Securitization, which allows money to be relent and relent and relent without it all having to be repaid, greatly magnifies the value of money; but, there are problems, as there were with the trusts or with the stock market when there are no rules. Our job is to craft rules as did Theodore Roosevelt, Woodrow Wilson and Franklin Roosevelt that allow the society to get the benefit of these wonderful, value-added financial innovations while curtailing some of the abuses. The gentleman from Alabama.",Speech, 
"Mr. Bachus","Secretary Geithner, earlier this week, we had a hearing on AIG's bailout, and at that hearing, you acknowledged that AIG fully met its obligations to foreign banks and certain U.S. banks, our financial companies. In fact, at that time, you said that throughout this period of time, and this is critically important to the stability of the system, we wanted to make sure AIG was able to meet its commitments. I said to you--pensioners and retirees--and your response was also to municipalities and banks, and that you considered they had met the full range of their obligations. Since that time, I have been informed that AIG is now attempting to force many of its U.S. bank creditors to accept severe haircuts of more than 70 percent on the total debt owed to them. This disparity and the treatment of foreign banks, which, as you said in your response to my question, were paid dollar-for- dollar within hours of the bailout, and U.S. banks have yet to receive any payment and are being asked to accept 70 and 80 percent haircuts. This disparity in treatment between foreign banks and U.S. banks is very concerning to me. This morning, I sent a letter to the chairman regarding this development and a hearing will be scheduled so that the committee can get to the bottom of this. And he has assured me that he will fully cooperate and I think agrees with my concern. Now, let me talk about this hearing. In the last year we have witnessed unprecedented interventions by the government to commit trillions of taxpayer dollars to save too-big-to-fail institutions. The taxpayer continues to be given the bill as the government continues a cycle of bailouts. One way to end the cycle would be to allow for an orderly liquidation of complex financial institutions that are not subject to the statutory regime for resolving banks administered by the FDIC. At a hearing last July, I stated that our regulators must strive for a system where financial firms can succeed or fail without threatening the whole financial system and placing taxpayers at risk. By creating this process of which non-banks whose failures would have systemic consequences could be unwound in an orderly fashion, we would restore balance and force firms to face the consequences of their actions. It is essential that any new regime for resolving or liquidating non- banks not rely on taxpayer funding. However, the Treasury legislative proposal released yesterday suggests the Administration is considering using taxpayer funding to pay the cost of resolving these failed financial firms. This to me is unacceptable and would serve only to promote moral hazard and perpetrate a too-big-to-fail doctrine that the American people have squarely rejected. The proposal also leaves it to the Secretary and the FDIC to decide whether the firm will receive financial assistance or be placed in conservatorship. This empowers Federal regulators with incredible discretion. And some of the past experience that I have witnessed in the case that this discretion is not always administered fairly or evenhandedly. If the goal of the resolution process is to end the too-big-to-fail premise, why is the potential taxpayer subsidy part of the Administration's solution? Mr. Chairman, there are many more unanswered questions, like which firms will be designated as systemically important, and why? When will a liquidation be triggered? What happens if there is a disagreement between regulators on the need for a conservatorship? How will the regulators determine whether to provide financial assistance or place a firm in conservatorship? The details are important, even more important is that we develop the right solution and not rush poorly vetted legislation. I do commend you and agree with you that we do need a resolution process. The modernization of our regulatory structure will be the most important task this committee undertakes this Congress. The complex and interconnected nature of our financial markets require us to engage in thorough analysis with all the major stakeholders. I conclude by saying I hope that the committee will have additional hearings on this proposal so that we can hear from the stakeholders and regulators on their views, identify any unintended consequences in advance, and take a look at some past resolutions which have caused real questions and issues, which I think have not been resolved. So I appreciate your attendance today.",Speech, 
"The Chairman","The gentleman from Pennsylvania.",Speech, 
"Mr. Kanjorski","Good morning, Mr. Chairman. The committee will today consider the Treasury Secretary's ideas related to regulatory reform, focusing in particular on his legislative proposal vesting the Executive Branch with a new power to wind down troubled financial institutions. Specifically, this resolution authority would permit the Administration to place into receivership or conservatorship failing non-bank entities that pose systemic risk to the broader economy. During the last 7 months, the entire global economy has often stood in the balance as our government resorted to erratic 11th hour efforts to prevent a catastrophic economic collapse. Without a guidebook, policymakers could only rely on hurried, ad hoc solutions. Such options, however, are inherently flawed and regularly produce unintended consequences. As we deal with the current financial crisis, we find ourselves facing the very difficult task of fixing a leaky regulatory roof while it is raining. We therefore need to provide the Administration with a bigger hammer, a larger tarp, and the other tools needed to step in sooner when institutions are unhealthy, but not as close to death. Establishing resolution authority for all players in our financial markets has the potential to help lessen the severity of not only the present crisis, but also to prepare us for as yet unknown calamities down the road. Today's forum must also include a discussion of what to do about those entities that presently operate in the shadows of the financial system. Hedge funds, private equity pools, and other unregulated bodies have the potential to unleash devastating consequences on our broader economy. Long-term capital management and AIG financial products are two obvious examples here; and, while the extent of regulation required is debatable, we must begin this crucial examination today and we must include them in the resolution authority. We must also consider how the creation of a new Federal power to wind down troubled financial institutions will affect insurance, which is currently only regulated at the State level. Insurance is part of our financial services system, and is increasingly part of the global market, especially when it comes to products like reinsurance. Because insurance is a piece of the puzzle that we must have in order to complete the picture, I am very interested in discerning how the Treasury Secretary currently envisions the resolution authority working in this market. In sum, we now expect regulatory reform to play with at least three acts: establish a resolution authority; create a system of risk regulator; and overhaul our regulatory authority. The gravity of this situation requires that the Congress deliberate and exercise patience so that we lay a thoughtful regulatory structure that will establish the basis of a strong economy for many years to come.",Speech, 
"The Chairman","The gentleman from New Jersey, the ranking member of the subcommittee.",Speech, 
"Mr. Garrett","Thank you, Mr. Chairman. And before I begin, Mr. Secretary, in light of the comments by both Russia and China with regard for a new reserved currency, I would think today might be a good opportunity for your issue just a clarification on your past marks. Today's hearing, though, is on the issue of addressing the need for comprehensive regulatory reform. And I think it's important that we keep this in mind that it's a comprehensive approach as opposed to a piecemeal approach, because both the Chairman and the Secretary have expressed support for a new systemic regulator for our markets. But I really think that before we move forward on such a proposal on a separate track, we really need to have a comprehensive reform in place, because they are really linked together. How could we possibly assign powers to a systemic regulator if we haven't fully examined the appropriate roles for the existing regulators? And, even more fundamentally than that, before we get too far down the road of fixing certain problems, how do we do so before we actually identify what those problems are? I think we should be mindful of advice offered by one of the President's other economic advisors, and that's Paul Volcker. He stated in reference to financial regulatory reforms, ``All this will take time if the necessary consensus is to be achieved in a comprehensive, rather than a piecemeal approach is to be taken.'' And, Mr. Secretary, I know you have talked about the need for an FDIC-like resolution authority for large, non-bank, financial institutions. And I look forward to trying to delve into that a little bit more, but I think this authority needs to be really carefully structured to avoid a lot of unintended consequences. Because if the entities which are a subject of this authority were seen to be as too-big-to-fail without clear signals indicating what the consequences are for the creditors and the counterparties, we could really end up doing a heck of a lot more harm than good. Getting back to the systemic regulator, time after time in history we have heard the promise that, oh, if we had more regulation, we wouldn't find ourselves in the situation that we are in today. In fact, in your testimony the other day you said, ``We must ensure that our country never faces this situation again.'' We all agree with that. But, you know, the Federal Reserve itself was created to ensure that acid bubbles and panics, like we have right now, don't happen, but they do. And, more recently, we had FISA, which was passed in 1990-91, I think, and that was supposed to tighten regulations after the savings and loan situation and they said it was never supposed to happen again, but it does. So, forgive me if I'm still a skeptic when I hear, if we only have a systemic regulator, this will never happen again, especially, if moral hazard is instutionalized with an entire new designation of systemically risky institutions, that it will never happen again. We will only be encouraging that it will happen again in some future time. I thank you and I yield back.",Speech, 
"The Chairman","Mr. Secretary, please begin your testimony.",Speech, 
"Secretary Geithner","Thank you, Mr. Chairman, Ranking Member Bachus, and other members of the committee. I am pleased to be here before you today, again, and to testify about this critical topic of financial regulatory reform. Now, over the past 18 months, we faced the most severe global financial crisis in generations. Some of the world's largest institutions have failed. Confidence in the overall system has eroded dramatically. As in any financial crisis, the damage falls principally on Main Street. It affects those who are conservative and responsible, not just those who took too much risk. Our system today is wrapped in extraordinary complexity, but beneath it all, financial systems serve an essential and basic function. Institutions and markets transform the earnings and savings of American workers into the loans that finance a first home, a new car, a college education, or a growing business. They exist to allocate savings and investment to their most productive uses. Our financial system still does this better than any financial system in the world, but still our system failed in basic fundamental ways. Compensation practices rewarded short- term profits over long-term return. Pervasive failures in consumer protection left many Americans with obligations they did not understand and could not sustain. The huge, apparent returns to financial activity attracted fraud on a dramatic scale. Market discipline failed to constrain dangerous levels of risk-taking throughout the system. New financial products were created to meet demand from investors, but the complexity out- matched the risk management capabilities of even the most sophisticated institutions in the world. Financial activity migrated outside the banking system, relying on the assumption that liquidity would always be available. Regulated institutions held too little capital relative to their exposure to risk. Supervision and regulation failed to prevent these problems. There were failures where regulation was extensive and failures where it was weak and absent. Now, while supervision and regulation failed to constrain the build-up in leverage and risk, the United States came into this crisis without adequate tools to manage it effectively; and, as I discussed before this committee on Tuesday, U.S. law left regulators without good options for managing the failure of systemically important, large, complex financial institutions. To address this will require comprehensive reform, not modest repairs at the margin, but new rules of the game. And the new rules must be simpler and more effectively enforced. They must produce a more stable system, one that protects consumers and investors, rewards innovation, and is able to adapt and evolve with changes in the structure of our financial system. Our system, the institutions, and the major centralized markets must be strong enough and resilient enough to withstand very sever shocks and withstand the effects of a failure of one or more of the largest institutions. Financial products in institutions should be regulated for the economic function they provide and the risks they present, not the legal form they take. We can't allow institutions to cherry-pick among competing regulators and shift risk to where it faces the lowest standards and weakest constraints. And we need to recognize that risk does not respect national borders. Markets are global and high standards at home need to be complemented by strong international standards enforced more evenly and fairly. Building on these principles, we want to work with Congress to create a more stable system with stronger tools to prevent and manage future crises. And, in this context, my objective today is to concentrate on the substance of reform, rather than the complex and sensitive question of who should be responsible for what. Now, our framework for reform will cover four broad areas: systemic risk; consumer investor protection; eliminating gaps and streamlining our regulatory framework; and international coordination. But today, I want to discuss in greater detail the need to create tools to identify and mitigate system risk, including tools to protect the financial system from the failure of large, complex, financial institutions. Before I go into that, though, I just want to briefly touch on the critical need to reform in these other areas. Weakness in consumer and investor protection harm individuals, undermine trust in our system, and can contribute to the kind of systemic crisis that shakes the foundations of the system. We are developing a strong plan for consumer and investor regulation to simplify financial decisions for households and to protect people much better from unfair and deceptive practices. We have to move to eliminate gaps in coverage, and end the practice of allowing banks and other finance companies to choose the regulator simply by changing their charters. Our regulatory structure must assign clear regulatory authority, resources, and accountability. As I said, we need a simpler, more streamlined, more consolidated, broader supervisory structure; and, to match these increasingly global markets, we must ensure that global standards for regulation are consistent with the highest standards we will be implementing here in the United States. And we have begun to work with our international counterparts to reform and strengthen the role of the financial stability forum and enhancing sound regulation, strong standards, strengthening transparency, and reinforcing the kind of cooperation and collaboration we need. In addition to this, we are going to launch a new initiative to address prudential supervision, tax savings, and money laundering issues in weekly regulated jurisdictions. President Obama will underscore in London on April 2nd at the leaders summit the imperative of raising standards globally and encouraging a race to the top, a race to higher standards, rather than a race to the bottom. Now, on systemic risk, I want to focus on this today, not just because of its obvious importance to our future economic performance, but also because these issues about systemic stability will be at the center of the G-20 summit agenda next week. This crisis has made clear that large, interconnected firms and markets need to be brought within a stronger and more conservative regulatory regime. These standards cannot simply address the soundness of individual institutions, but they must also focus on the stability of the system as a whole. The key elements of our program to reduce systemic risk in our system have six elements. I am going to summarize these briefly. My written statement goes into them in somewhat greater detail, and then I'll conclude and look forward to responding to your questions. Let me just go through these quickly, these six key points: First, we need to establish a single entity with responsibility for systemic stability over the major institutions and critical payment and settlement systems and activities. Second, we need to establish and enforce substantially more capital requirements for institutions that pose potential risk to the stability of the financial system that are designed to dampen rather than amplify financial cycles. Third, leveraged private investment funds with assets under-management over a certain threshold should be required to register with the SEC to provide greater capacity for protecting investors and market integrity. Fourth, we should establish a comprehensive framework of oversight, protections, and disclosure for the OTC derivatives market, moving the standardized parts of those markets to central clearinghouse, and encouraging further use of exchange- traded instruments. Fifth, the SEC should develop strong requirements for money market funds to reduce the risk of rapid withdrawals of funds that could pose greater risks to market functioning. And sixth, as we have all discussed, we need to establish a stronger resolution mechanism that gives the government tools to protect the financial system and the broader economy from the potential failure of large complex financial institutions. Let me just conclude by saying that these are very complicated, very consequential, very difficult sets of questions. You are absolutely right that we have to look at these together. Their interaction is important, and it is very important we have a comprehensive approach. The President has made it clear that we are going to do what is necessary to stabilize this system to get credit flowing again and restore the conditions for a strong economic recovery. And I look forward to working closely with the Congress to modernize our 20th Century regulatory system and put in place a system that meets the needs of our much more complicated, more risky 21st Century financial system. And, working together, I am confident that we have an opportunity we have not had in generations to put in place a stronger, more resilient system. Thank you, Mr. Chairman.",Statement,STATEMENT OF THE HONORABLE TIMOTHY GEITHNER, SECRETARY, U.S. DEPARTMENT OF THE TREASURY 
"The Chairman","In the order of seniority, I'm going to start with the Democrats who were here at the end of the last hearing and did not get to ask a question. The gentleman from Georgia.",Speech, 
"Mr. Scott","Thank you very much--",Speech, 
