"Speaker","Speech"
"The Chairman","The hearing will come to order. I apologize. I was delayed a few minutes and I regret that. We will have 10 minutes on each side for opening statements and the gentleman from Illinois is recognized for 3 minutes."
"Mr. Gutierrez","Thank you, Mr. Chairman. First of all, I would like to thank the Secretary for coming here today; and, while I support most of the legislation, I am apprehensive about the way we propose to create a fund to pay for the costs associated with the resolution of a failed, systematically significant financial institution. It seems to me that behavior that was reckless, dangerous, and risky in the past has generated huge profits and gains and allowed Wall Street executives to line their pockets with hundreds of millions of dollars, if not become billionaires in this process; that greed, that avarice, should it ever raise its ugly head once again, there should be an insurance fund paid for them. These are good times. We read all about how good the Wall Street giants are doing once again and how their profitability is there. They should set aside some of that money. Most of us don't die and then buy a life insurance policy. Most of us say, in case something happens to Luis, let me make sure if I owe people money and if I have responsibilities, that I leave my family and all of those to whom I have a responsibility, that I set aside some money and I buy some insurance. It would be wonderful that one day I would just wake up cold and that all my debtors and everybody would say, oh, let's go take the life insurance policy on Luis. That's not the way it works. The way it works, and Wall Street has to learn, because I read in the paper this morning, Mr. Secretary, they're complaining. Record profits on Wall Street, and they're complaining that the Congress of the United States might require them to set aside some of those billions of dollars in earnings so that in the eventuality that they might become systematically risky to us and fail, that there be money set aside for that. No more American taxpayer money should be set aside in case we have the kind of tragedy and economic failure that we saw in the last couple of years. So my basic premise today is, look, they were greedy. They should pay for future insurance policy payouts. The fund should be set up just in case their behavior, their reckless and dangerous and risky behavior, raises its ugly head again. And I look forward not only today but to the process of designing legislation that makes sure that those risky institutions are paying into a fund now, today--not after the fact. Thank you very much, Mr. Chairman."
"The Chairman","The gentleman from Alabama is recognized for 5 minutes."
"Mr. Bachus","Mr. Chairman, as you know from the letter you received from the House Financial Services Committee Republicans yesterday, the process for considering the most far-reaching reforms of our financial system since the Great Depression should be deliberative and not hurried. The draft legislation that was supposed to be the subject of this hearing was not received until Tuesday afternoon. I doubt that any of today's witnesses, with the possible exception of Secretary Geithner, have had an opportunity to fully comprehend the legislation in its entirety or to arrive at informed views on its merits. Under the rules of this committee, the witnesses' written testimony was due 2 days before this hearing, which is to say it was due before the draft bill was released. The written testimony, therefore, cannot and does not address in any meaningful way the legislation we are marking up early next week. Although we have had the draft bill for less than 48 hours, even a cursory reading shows that the Administration has chosen to continue its failed policy of costly taxpayer bailouts orchestrated behind closed doors by officials of the Treasury and the Federal Reserve. The Democrats' talking points that their new proposal ends the era of ``too-big-to-fail'' are just that--talk. Their proposal places taxpayers first in line to bear the losses when the government invokes its resolution authority; and, for those who believe that those taxpayer losses will subsequently be recouped from surviving firms, I would direct their attention to the recent examples of GM, Chrysler, Fannie Mae, Freddie Mac, and AIG, and the even more recent example of GMAC, where the prospects for full taxpayer reimbursement are fanciful. In fact, in testimony before this committee last month, former Federal Reserve Chairman Paul Volcker warned that a resolution authority with the power to lend or provide money would encourage the ``too-big-to-fail'' syndrome. Although he advises the Obama Administration, his caution has been rejected in this draft. And in an attempt to naming the institutions it deems ``too-big-to-fail,'' the Administration's legislative proposal foregoes the transparency and full disclosure that are the hallmark of America's capital markets. In the place of an open process, it substitutes a regulatory regime built around a secret list of ``too-big-to-fail'' institutions. It is foolish to assume such a list will be kept secret. Are we so gullible as to believe that the regulatory authorities for eight government agencies will be able to impose increased capital requirements and a host of other regulatory constraints on the so-called identified firms without market participants quickly figuring out which firms are on the list? Are companies expected to treat this information as immaterial for purposes of filing reports with the SEC? Until these questions are answered, it's simply irresponsible for this committee to accept such a foundation on premise and move forward with this legislation. The Administration's desire to get something, anything done to satisfy some arbitrary deadline imposed on the chairman will result in this committee passing a product that has not received the careful deliberation necessary to ensure sound legislation. Mr. Chairman, is it too much to ask the members of this committee and the people they represent that they have enough time to read and understand the far-reaching implications of this legislation? In conclusion, this committee's haste also stands in marked contrast to the views expressed by Federal Reserve Vice Chairman Donald Kohn, who said: ``I hope we build a regulatory structure that's good for a couple of decades and it's worth taking our time to get it right. The economy is fragile, and we learned this morning that it continues to lose jobs. We need to promote job creation and growth--not more uncertainty.'' I share Vice Chairman Kohn's hope that we fulfill our obligation to do this in a deliberative manner, not the haste that we are witnessing this morning. I yield back the balance of my time."
"The Chairman","The gentleman from Pennsylvania is recognized for 2 minutes."
"Mr. Kanjorski","Thank you, Mr. Chairman. Mr. Chairman, I understand that we are under pressure to get some things done, and unfortunately we have not had a great deal of time to spend in analyzing this proposition. I wanted to address my remarks simply to the Secretary that in his presentation can help us out. I discern that there is a great interest in America for us to have this type of power at the Federal level to prevent future disasters of the kind we have experienced within the last year; but, I also feel that the American people are speaking to this Congress and very broadly to the world that they cannot understand how we just support the safety mechanisms for the bailout and cannot put caps or limitations on the huge conglomerations of money that we are causing by our own very bailout. It seems to me that if Treasury was able to come up with proposals like this, they also should have the burden and at this time use this offer as a balancing act to come up with the mechanism in place so that we can act to start limiting the unlimited power of the Goldman Sachs of the world and other huge conglomerations of money. And that may sound strange. It may sound revolutionary, but we are almost in revolutionary times. But, clearly, if Treasury and the Executive Branch have come to the conclusion that the danger to our system was so great that we have to use the Interstate Commerce Clause to create tremendous executive authority without much restraint. I just read the chairman's letter and I think he makes some good points in his letter. If we are going to have that kind of a transfer of authority, it seems to me it is the obligation of Treasury to come forth and say how we are going to prevent this, so this never happens again in the future, by really curtailing and tailoring down the size of the institutions, particularly the financial institutions of this country so that we do not have systemic risk."
"The Chairman","The gentleman's time has expired. I am going to go to a couple of members on the Republican side, because we have just a spattering of people. The gentleman from Texas, Mr. Neugebauer, for 1 minute."
"Mr. Neugebauer","Thank you. I thank Secretary Geithner and Chairman Frank for their work on this new draft. While they have addressed some of the concerns raised from prior proposals, the overall concept doesn't seem to have changed much. This draft will still allow regulators to identify firms that are ``too-big-to-fail,'' although those firms will now be kept secret. This version still keeps the government in the bailout business while a line of credit for the taxpayers will be used, and may or may not be paid back. These two ideas for me are non-starters. Rather than an arbitrary, government-run resolution, we need a stronger bankruptcy process that holds firms and creditors to the rule of law. Rather than picking winners and losers behind closed doors, the council should require regulators to look at risks across financial entities and review capital requirements to ensure that all firms are holding the necessary capital for the risk that they are taking. We need a reform plan that puts the taxpayers and the economies first rather than making bailouts permanent. And, like the ranking member, I think this process needs to be slowed down some, because these are probably some of the more important things that we'll do on this committee in the next few months, and we need to get it right. I yield back."
"The Chairman","The gentleman from California, Mr. Royce."
"Mr. Royce","Thank you, Mr. Chairman. Apparently, the ``too- big-to-fail'' model is ``too-hard-to-kill.'' I thought we would have learned our lesson from Fannie Mae and Freddie Mac. Prior to their failure, it was widely perceived that the government would be there to bail them out when they ran into trouble. That implicit guarantee translated into real advantages for the GSEs in terms of lower cost of capital which facilitated their dominance in the marketplace. The explicit backstop already provided to the largest of our financial institutions is having an eerily similar effect. A recent study by the Center of Economic and Policy Research found that the ``too-big-to-fail'' doctrine has translated into a tangible subsidy for the 18 largest bank holding companies worth $34 billion per year with a 78 basis points lower cost of capital when compared to their smaller competitors. Instead of granting permanent bailout authority and institutionalized in the ``too-big-to-fail'' doctrine which this legislation does, we should set up a structure that will allow for an orderly liquidation of an institution through an enhanced bankruptcy without the use of government funds. I yield back."
"The Chairman","The gentlewoman from Illinois, Ms. Biggert, for 1 minute."
"Mrs. Biggert","Thank you, Mr. Chairman. My initial review of the chairman and Secretary's financial stability plan is that it would do the complete opposite: create further financial instability; and facilitate risky behavior in financial firms. And while the headlines have said that a deal has been reached, I would argue that this is no deal for the American people and especially the taxpayers. While I support a strong council of regulators, including Federal and State regulators at the table, and I support stronger and smarter regulation, I don't think that the resolution authority under this proposal is the right answer. It is my hope that instead of supporting more proposals to increase the power of the Federal Government, the Administration will strongly consider a new chapter to the Bankruptcy Code. In addition, it is my hope that we can also consider proposals addressing two of the biggest financial failures of our time: Fannie Mae and Freddie Mac. Never again can we allow regulators to fall asleep at the wheel or another bailout, or the government picking winners and losers of private businesses. I yield back."
