"Speaker","Speech","Type","Comments"
"Chairman Kanjorski","Good morning. The subcommittee will come to order. Without objection, all members' opening statements will be made a part of the record. First, we will have our opening statements, beginning with mine, and then we will hear from our distinguished panel. We meet today to further examine the issue of insurance supervision, especially as it relates to holding companies. The time is right for us to delve into this complicated and important subject. The Federal Government's intervention in American International Group has raised many questions about the existing oversight of holding companies with insurance operations. While AIG's insurance companies may not have directly caused the conglomerate's downfall, the actions of the holding company and other subsidiaries within AIG certainly could have led to serious consequences for insurance policyholders if the government had not stepped in. During our recent debates in the House on the Wall Street Reform bill, we also tackled many questions about holding company oversight. While we already know much about the supervision of financial, bank and thrift holding companies, we now need to take the time to learn more about the regulation of insurance holding companies. I believe that today's hearing will help us to identify ways that we can further improve the financial services regulatory reform bill before it becomes law. The vast majority of holding companies--some of which are shells and some of which are complex--are currently regulated at the State level. Additionally, the Federal Reserve System and the Office of Thrift Supervision together oversee no less than 100 entities with insurance operations. Our witnesses will help us to better understand the current lay of the land when it comes to consolidated supervision of insurance holding companies and bank or thrift holding companies with insurance operations. The two State commissioners with us today will specifically explain their dual roles as insurance regulators and insurance holding company supervisors. Because the failure of an insurer could affect the health of the insurance holding company, and because problems within the holding company or its subsidiaries could affect the insurers within a firm's tangled network, we need to ensure that State supervisors have strong powers to protect policyholders and ensure the solvency of any of the entities that they regulate. In those instances where a State regulator must oversee an insurer or insurance holding company with operations outside of the State, we must also ensure that we have meaningful cooperation and communication between State regulators. Moreover, to protect our economy from systemic risk, we must ensure that there is appropriate consolidated supervision of complex insurance firms. When depository institutions and insurers operate under the umbrella of the same holding company, both State and Federal regulators have important supervisory roles. In such instances, State commissioners maintain their role as functional regulators of any insurers within these complex entities. Federal regulators have the responsibility for oversight of any depository institutions and the holding company. The Federal regulatory representatives with us today will help us to better appreciate the formal rules of the road as laid out in statute and regulations about where a Federal regulator's authority begins and a State regulator's power ends in these corporate amalgamations. Their testimony may also help us to discern whether or not we have regulatory overlaps or gaps, and what steps regulators have taken to address such situations. Each of our witnesses will undoubtedly emphasize the differences between insurers and depository institutions. These distinctions are important, but they fail to address the purpose of today's hearing. The recent financial crisis has taught us that any complex financial company must have an effective umbrella supervisor who looks comprehensively at the activities and health of the whole enterprise. This includes any holding company with insurance activities. We must further explore whether the Federal banking regulators are overseeing too few or too many holding companies with insurance operations, and whether they are appropriately focused on consolidated oversight issues. We should also ask whether consolidated supervision is diversified among too many regulators, such that it has become ineffective or an afterthought. In sum, these are difficult policy issues, and the answers we receive will undoubtedly lead to new questions. Fortunately, we have already identified a way to examine these matters after we finish this hearing. One important provision of the House-passed Wall Street Reform bill, the Administration's plan, and Senator Dodd's proposals is the creation of a Federal office to review insurance matters on a national scope. The Federal Insurance Office, for which I have advocated for a number of years, should look at these very questions to advise Congress on these important policy matters in the future. Now, the gentleman from New Jersey is recognized for 5 minutes.","Speech",""
"Mr. Garrett","I thank the gentleman, and I thank the members of the panel who are here today. Insurance holding company supervision obviously is a very complex topic and I think the hearing today will help members be able to delve into it and get a better understanding of how insurance companies are structured, how they're operated, and how they're regulated. And as I have delved deeper into this issue and the way that insurers are regulated within holding companies, either through insurance holding companies, financial holding companies or thrift holding companies, my belief that the problems are really more attributed to failures by regulators as opposed to gaps in regulatory structures continues to be reinforced. So while I do agree that there are a number of areas out there within our insurance regulatory system that do need to be updated and modernized, I believe we must be really careful and deliver it in our approach. The insurance industry as a whole, I think, has performed better than most other parts of the financial sector during this crisis. And so we must ensure that we first do no harm in whatever we do. I know my friend and colleague, who is not here right now, Mr. Royce, has continually pointed out that the securities lending problems with the AIG situation highlight the problems with State-based regulation, and he says it shows the need to have a larger Federal role in the regulating of the insurance companies. And I would remind him, while the losses attributed to securities lending were significant, had it not been for the cascade of problems with AIG's Financial Products Unit, the FP, that company would have been able to handle those losses without the need of taxpayer support. Now, once the Office the Thrift Supervision had the Federal regulatory authority over AIG, and they had the power to oversee AIG's FP leverage, they unfortunately failed to identify and correct that problem. And this is really a prime example of the regulator not doing their job; and, it's not really a problem of a gap in regulation. I would even argue that if the securities lending operations of the insurers had been handled by the Federal regulators in this case, things might actually have been much worse than they were. I agree that the securities lending by insurance companies, as I said at the outset, needs additional reforms, and I do look forward to hearing from the Commissioner and Director Frohman, as well, Mr. Dilweg and Ms. Frohman on what reforms have already been made in these areas and other solutions as well. Now, on another topic, though, I would like to briefly discuss a major concern I had with Chairman Dodd's recent release of a financial regulatory reform draft. The Dodd package has a provision that would require an up- front tax on any bank holding company with assets greater than $50 billion. Also, Dodd's plan would tax any financial company, including insurers, who present an extremely low risk with greater than $50 billion in assets after any systemic event occurred. I believe that this tax would simply lead to higher costs for consumers and additional job losses in the private sector as well. I also believe that we greatly increase the moral hazard within the financial sector. I would like to read a quote from the recently released White Paper from the Property Casualty and Insurers Association of America regarding the topic of using the absolute size of a financial company as the basis for determining a systemic risk. The paper states, ``Such a process, if enacted, would create a cross subsidy of significant magnitude from firms that do not pose a systemic risk to those firms whose activities are systemically risky. So the resulting moral hazard would encourage increased risk- taking, and as such could ultimately defeat the legislation's intent of reducing the economy's exposure to systemic risk.'' So ultimately, we need a system here in place that can allow big companies to fail without being bailed out either by the taxpayer or by the consumer as his proposal would allow. So while I agree that there are numerous areas of insurance regulation that need to be addressed and updated and modernized, I believe that the main problems here really were with regulators and not the structure of the regulation. So, once again, I thank my good friend from Pennsylvania for holding this important hearing, and also for the education that we're going to get today. And I look forward to hearing from all the witnesses.","Speech"," "
"Chairman Kanjorski","Thank you very much, Mr. Garrett. Now we will hear from Mr. Posey.","Speech"," "
"Mr. Posey","Thank you very much, Mr. Chairman. To help protect our citizens in the future, I think we probably need to glance at least a little bit on some of our previous failures. And I understand the Office of Thrift Supervision is responsible for supervising 35 holding companies that include both thrifts and insurance operating entities. And it has come to my attention through a news clip actually, just this morning, some revelations I had not previously been aware of and we might possibly clarify in some of our testimony this morning. This was ``Dateline Washington.'' It says, ``Banks weren't the only ones giving big bonuses in the boom years before the worst financial crisis in generations. The government was also handing out millions of dollars to bank regulators rewarding `superior' work, even as an avalanche of risky mortgages helped create the meltdown. The payments detailed in the payroll data released to the Associated Press under the Freedom of Information Act are the latest evidence of the government's false sense of security during the go-go days of the financial boom. Just as the bank executives got bonuses, despite taking on dangerous amounts of risk, regulators got taxpayer funded bonuses despite missing or ignoring signs that the system was on the verge of a meltdown. ``The bonuses were part of a program, little known outside the government. Some government regulators got tens of thousands of dollars in perks, boosting their salaries by almost 25 percent. Often, though, rewards amounted to just a few hundred dollars for employees who came up with good ideas. During the 2000 306 boom, the three agencies that supervised most U.S. banks, the Federal Deposit Insurance Corporation, the Office of Thrift Supervision, and the Office of the Comptroller of the Currency, gave out at least $19 million in bonuses, records show. ``Nearly all that money was spent recognizing superior performance. The largest share, more than $8.4 million, went to financial examiners, those examiners and managers who scrutinize internal bank documents and sound first alarms. Analysts, auditors, economists, and criminal investigators also got rewards. After the meltdown, the government's internal investigators surveyed the wreckage of nearly 200 failed banks and repeatedly found that those regulators had not done enough. ```OTS did not react in a timely or forceful manner to certain repeated indications of problems,' the Treasury Department's Inspector General said of the Thrift Supervision Office following the $2.5 billion collapse of Net Bank, the first major bank failure of the economic crisis. `OCC did not issue a formal enforcement action in a timely manner and was not aggressive enough in the supervision of A&B in light of the bank's rapid growth,' the Inspector General said of the currency comptroller after the $2.1 billion failure of A&B Financial National Association. ```In retrospect, a stronger supervisory response at earlier examinations may have been prudent,' FDIC's inspector general concluded following the $1.8 billion collapse of the New Frontier Bank. `OTS examiners did not identify or sufficiently address the core weaknesses that ultimately caused a thrift to fail until it was too late,' Treasury's Inspector General said regarding IndyMac, which in 2008 became one of the largest bank failures in history. And they believed their supervision was adequate. We disagree. ```OCC's supervision of Omni National Bank was inadequate,' Treasury investigators concluded following Omni's $956 million failure. Most of the bank inspection records are not public and the government blacked-out many of the employee names before releasing the bonus data. It is impossible to determine how many auditors got bonuses, despite working on major banks that failed. Regulators say it's unfair to use those missteps seeing it's a benefit of hindsight to suggest any bonus isn't proper.'' Thank you, Mr. Chairman. I yield back.","Speech"," "
"Chairman Kanjorski","Thank you very much, Mr. Posey. And now, for the roadrunner from--I mean Mr. Royce--from California.","Speech"," "
"Mr. Royce","Thank you, Mr. Chairman. And I thank you for your continued leadership on this issue as well. Looking at the regulatory reform package that passed out of the House last year, and at the Dodd bill that was recently introduced in the Senate, I think a fundamental question should have been asked much more often; and, I think that question has not been asked at all really, or dealt with. The question is, what is the most efficient and effective form of regulation? I think if we applied that question to the insurance market, I would be hard-pressed to find someone who thought the status quo was the most effective and efficient regulatory model. We have 51 different regulators, and 51 different sets of rules. Frankly, in a vulcanized way, we have 51 separate markets, many of which are stymied by bureaucratic red tape, by price controls. Europe has developed a very different model to deal with this, which is one market for all of Europe, and here we are vulcanized. Certainly, the framers of the Constitution did not envision this when they threw out the Articles of Confederation and included the Commerce Clause. Even the framers of the NAIC had a different version and a different vision for our insurance market. George Miller, the founder, said back in 1871, ``The Commissioners are now fully prepared to go before their various legislative committees with recommendations for a system of insurance law which shall be the same in all States, not reciprocal, but identical; not retaliatory, but instead a uniform, one system.'' Unfortunately, Mr. Miller's words were unheeded, and today we are left with an 18th Century regulatory model attempting to oversee this vast and complicated marketplace. And that is why I have joined Melissa Bean in introducing legislation to create a national insurance charter. This approach puts us closer to what the founding fathers had envisioned by creating one national market. Our legislation is no panacea. No form of regulation ever is. But it is a drastic improvement over the status quo, which is little more than an antiquated beast, frankly. It is something that the framers gave up on long ago, and I look forward to continuing the discussion on the need to establish a competent Federal insurance regulator and bringing our regulatory model into the 21st Century. Again, I would like to thank the chairman for his continued work on this issue, and let's learn from what's happening in the rest of the world with liberalized markets and a regulatory scheme for one market for all of Europe. We have to compete with this, and we are not going to be able to. And, frankly, our current system does not work. I yield back the balance of my time, Mr. Chairman.","Speech"," "
"Chairman Kanjorski","Thank you very much, Mr. Royce. Now, I will get to the panel. First of all, thank you very much for appearing today, and without objection, your written statements will be made a part of the record. You will each be recognized for a 5-minute summary of your testimony. First, we have Mr. Jon Greenlee, Associate Director, Division of Banking Supervision and Regulation, Federal Reserve Board of Governors. Mr. Greenlee?","Speech"," "
"Mr. Greenlee","Thank you. Chairman Kanjorski, Ranking Member Garrett, and members of the subcommittee, thank you for the opportunity to discuss the supervision and oversight of insurance companies. As you are aware, in this country the primary supervision and regulation of insurance companies is vested with the States. The Federal Reserve does serve as the consolidated supervisor of bank holding companies and financial holding companies established under the Gramm-Leach-Bliley Act, some of which are affiliated with insurance companies. The Federal Reserve is also the primary Federal regulator of State member banks, many of which are engaged in the sale of insurance products. Of the approximately 550 foreign and domestic financial holding companies supervised by the Federal Reserve, 33 are engaged in insurance underwriting activities. As the consolidated supervisor of bank holding companies and financial holding companies, the Federal Reserve routinely conducts inspections of these organizations to ensure that the consolidated organization remains strong and the holding company and its non-bank affiliates do not pose a threat to the company's insured depository institution subsidiaries. To further our supervisory efforts, we issued enhanced guidance on consolidated supervisory expectations in 2008 that underscored the importance of examiners evaluating firm-wide risk exposures. We also reiterated the importance of Federal Reserve supervisors working with the primary regulator of a bank holding company's insured depository institutions as well as State insurance supervisors and other functional regulators. Recent experience shows the need for the consolidated supervision of bank holding companies in addition to and distinct from the supervision of the organization's bank or functionally regulated subsidiaries. Large organizations increasingly operate and manage their businesses on an integrated basis with little regard for the corporate boundaries that typically define the jurisdictions of individual, functional supervisors. Indeed, the crisis has highlighted the financial, managerial, operational, and reputational linkages among the bank, securities, commodity, insurance, and other units of financial firms. With respect to financial holding companies engaged in insurance activities, our consolidated supervisory framework involves the same principles used for bank holding companies more broadly. This begins with an assessment of the potential risk insurance activities pose to the consolidated organization and its depository affiliates. We make appropriate adjustments to our assessment of the firm's risk management practices and overall financial condition to account for the unique risks and the nature of insurance products on underwriting activities. As part of our process, we routinely communicate with the appropriate insurance regulatory authorities about the nature of and risk posed by a firm's insurance activities. To facilitate this information sharing, we established memoranda of understanding with the insurance regulators in all 50 States, the District of Columbia, and Puerto Rico. We also communicate with international insurance supervisors as appropriate. The Federal Reserve also has taken several steps to support our supervisory staff and understanding the risk arising from insurance activities. We have designed and implemented training programs, and have developed a variety of insurance-related examiner tools. We also collaborated with the NAIC on three published reports to facilitate better communication and understanding of banking and insurance regulatory framework risks and capital requirements. In closing, the current financial crisis has clearly demonstrated that risk to the financial system can arise not only in the banking sector, but also from the activities of other financial firms, such as investment banks or insurance companies that traditionally have not been subject to the type of regulation and consolidated supervision applicable to bank holding companies. As Chairman Bernanke stated yesterday, it is important to close this gap in our regulatory structure, and legislative action is needed that would subject all systemically important financial institutions to the same framework for consolidated prudential supervision that currently applies to bank holding companies. I would like to thank the committee for holding this important hearing, and I am happy to answer any questions that you may have. Thank you.","Statement","STATEMENT OF JON D. GREENLEE, ASSOCIATE DIRECTOR, DIVISION OF BANKING SUPERVISION AND REGULATION, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM"
"Chairman Kanjorski","Thank you very much, Mr. Greenlee. Next, we will hear from Ms. Grovetta Gardineer, Managing Director of Corporate and International Activities, Office of Thrift Supervision. Ms. Gardineer?","Speech"," "
"Ms. Gardineer","Good morning, Chairman Kanjorski, Ranking Member Garrett, and distinguished members of the subcommittee. Thank you for the opportunity to testify on behalf of the Office of Thrift Supervision. We understand that the subcommittee is interested in hearing about the scope of OTS's authority to supervise insurance savings and loan holding companies. In the few moments I have now, I would like to summarize our written testimony about OTS's approach to the supervision of savings and loan holding companies that are predominantly insurers, which I will refer to today as insurance holding companies. I would also like to present the OTS view of how to enhance the supervision of these holding companies. OTS's role as a consolidated supervisor of an insurance holding company exists because the enterprise owns a savings association. The OTS has broad authority to supervise an insurance holding company enterprise, including its affiliates and subsidiaries. OTS as a primary Federal regulator of savings and loan insurance holding companies has the authority to examine each insurance holding company including its subsidiaries, subject only to certain statutory obligations to coordinate with functional regulators. That said, the statutory regime governing savings and loan holding companies is premised primarily on preserving the safety and soundness of the subsidiary thrift. OTS supervises 35 insurance holding companies, the majority of which are nationwide in scope. In addition, OTS regulates holding companies with significant insurance activities that combine securities activities as well. OTS also regulates another 39 holding companies that engage in insurance activities to a lesser degree, but are not considered predominantly insurance companies. Once a company acquires or charters a thrift institution, it becomes a savings and loan holding company, and is subject to regulatory examination and analysis by OTS. OTS uses a risk-focused approach that considers the combined risk profile of the holding company, its financial health and stability, and the interdependence of entities within the structure. This approach incorporates the coordination and consultation with State insurance regulators in order to gain information about the functionally regulated insurance activities. The information gathered through our examination and analysis serves as a basis for our findings regarding the insurance holding company. The primary objective of a risk- focused examination of an insurance holding company is to identify and examine the areas of the business that pose the greatest degree of risk to the condition of the overall enterprise and to the thrift, with regard to how Congress can enhance the consolidated supervision of insurance holding companies. OTS believes that there should be a Federal oversight role for all insurance companies, not just those that own a bank or a thrift. A holding company that engages predominantly in insurance activities should be supervised by a Federal regulator that concentrates on the core business activity of the enterprise. We think it is prudent to align the regulatory authority with the holding company enterprise's primary activities. A fundamental requirement for prudent risk management of a holding company is effective oversight and enforcement authority over the entire organization. A holding company regulator should have authority to monitor and exercise full enforcement authority over non-functionally regulated affiliates and to implement information sharing arrangements between entities in the holding company and the functional regulators. The regulator should have the authority to impose capital requirements, restrict activities, and otherwise regulate the operations of the holding company and the non-functionally regulated affiliates. The authority to supervise the consolidated insurance holding company could be housed within a Federal insurance regulator, if Congress chose to create one. We believe that at a minimum, a Federal consolidated insurance holding company regulator should be established. We appreciate the opportunity to share OTS's recommendations for a stronger framework that would accomplish this for insurance holding companies. We look forward to working with you on these important issues in the future, and I am very happy to respond to your questions. Thank you.","Statement","STATEMENT OF GROVETTA N. GARDINEER, MANAGING DIRECTOR FOR CORPORATE AND INTERNATIONAL ACTIVITIES, OFFICE OF THRIFT SUPERVISION"
