Speaker,Speech,Type,Comments
"Chairman Dodd","The Committee will come to order. Good morning, everyone, and welcome to the Senate Banking Committee. Let me welcome my colleagues and our witnesses and the guests who are here in the audience. We appreciate your presence here this morning. This morning we will hold what amounts to our eighth full Committee hearing on the subject matter of modernization of Federal regulations. Today, we are talking about the modernization of bank supervision and regulation. This morning I want to welcome our witnesses. We have got a very distinguished panel of witnesses who are here to share some thoughts with us. We are going to again explore ways in which we will try to modernize and improve bank regulation and supervision to better protect consumers and restore confidence in our banking system. We do so at a time when our country's massive challenges loom very large indeed. All of us in the Congress of the United States, Democrats and Republicans alike, are trying to work together to meet these challenges and restore public confidence in our financial institutions. In the coming weeks, we will be working on critical legislation to lay out a long-term budget blueprint to address our continuing financial crisis and to address the issue of executive compensation. As we continue to address the economic crisis going forward, I think it is important we recognize that not all banks are responsible for this crisis. Quite the contrary. And as Chairman Bernanke has said only recently, small bank lending might very well help lead the way out of this crisis in many places. None of this is to suggest that small banks do not face economic troubles of their own, of course. Some do, and on an almost weekly basis, we hear stories about how the FDIC takes over banks and works to reassure depositors that their money will be safe. But it would be a mistake to paint every financial institution with the same broad brush, and as I have heard from community banks around my State of Connecticut, many of our community banks are in far better shape right now than the financial system is as a whole. Why? Well, in part because when the financial institutions align their practices and incentives with their long-term health, they are far less prone to engage in riskier behavior. They are far less likely to put their companies and the economic security of the American consumer at risk. Former Fed Chairman Greenspan believes companies would not take such extraordinary risks, because their own survival could be in jeopardy. Clearly, he was wrong, and that assumption cost the American people dearly. Some of that failure can be attributed to the prevailing ideology of the moment, ranging from the abusive terms mortgage lenders offered to the practices credit card companies still engage in. Many of us believe that if we had failed to protect the consumer, we failed to protect our economy. Others felt, of course, just the opposite. Many of us believed that if we had skin in the game, we would all take the consequences of our actions more seriously. Others were confident risk could be managed. Today, it is clear that consistent regulation across our financial architecture is paramount, and that with strong cops on the beat in every neighborhood, institutions would be far less likely to push risk onto the consumer. Regulators are the first line of defense for consumers and depositors, which is why we need to end the practice of shopping for the most lenient regulator and consider creating a single coordinated prudential regulator. In a crisis created first and foremost by our failure to protect consumers, we cannot afford to consider a so-called systemic risk regulator without also considering how we can better protect the consumers. All too often in this crisis, we saw that the relationship between the consumer and their financial institutions was, in effect, severed because of a lack of incentives to ensure loans are paid off down the road. That was not true of smaller institutions like those in my State and those of my colleagues' here. Like so many credit unions and community banks, they recognized something very simple: that your company reaps the benefits when you treat your customers fairly. With this hearing, I hope we can take a close look at how these values can be the building blocks for a modernized 21st century financial architecture in our country. That must be our goal, not only today but in the coming weeks, as we are charged with the responsibility of modernizing the Federal financial regulations. With that, let me turn to Senator Shelby, and then I will quickly turn to my colleagues for any comments they want, and then we will go to our witnesses.",Speech, 
"Senator Shelby","Mr. Chairman, thank you for calling this hearing. I know we are holding a series of hearings here to build a record, and I think you are leading the way. I have an opening statement I would like to be made part of the record, and with that, I would like to, as soon as we can, get to the witnesses. Thank you, Mr. Chairman.",Statement,STATEMENT OF SENATOR RICHARD C. SHELBY 
"Chairman Dodd","Thank you very much.",Speech, 
"Senator Johnson","",Speech, 
"Senator Johnson","I will pass and submit my written statement for the record.",Speech, 
"Chairman Dodd","Senator Bunning.",Speech, 
"Senator Bunning","I will be brief, but I wanted to highlight a few points I made in the statement I put in the record for Thursday's hearing last Thursday. We all want to make changes that will make failure less likely to happen and the system strong enough to survive when failures do happen. I was impressed by Mr. Whalen's written testimony today. Among other things, it supports the concerns that I have stated many times, and I believe the Chairman and others on this Committee share, about the Fed's willingness and ability to regulate banks or overall risk. We do not need to give the Fed more power. I am going to repeat that: We do not need to give the Fed more power because they are no longer an independent agency. They are just part of the big group that is overseeing financial institutions along with writing legislation with the Treasury Secretary. Just creating a new regulator or two will not really add to stability. In fact, it just might create a false sense of security and a whole new class of firms that will expect Government bailouts if they make bad decisions. Congress and regulators cannot stop bad decisions or economic problems. Banks and other financial firms will fail in the future. While we want to try to prevent failure, it is at least as important to make sure the system can handle failure so there will be no temptation to bail out firms in the future. As Mr. Whalen points out, probably the most important thing we can do for stability is make sure regulators have the rules and powers in place to close failing firms in a quick but controlled manner. If we do not do that, markets will know the future Citigroups and AIGs of the world will not bring down the entire system. And market participants will act more responsibly because they know they will bear the consequences of their action. That will go a long way in creating a more stable system. Thank you.",Statement,STATEMENT OF SENATOR JIM BUNNING 
"Chairman Dodd","Thank you very much, Senator.",Speech, 
"Senator Tester","Yes, thank you, Mr. Chairman. Quickly, first, I appreciate the hearing and appreciate you folks coming. I look forward to hearing your suggestions as we look for ways to instill consumer confidence and to promise stability in the--not in the marketplace, but in the banking institutions themselves. I would just say this: My main concern with modernization at this point in time is the impact, if handled improperly, on community banks and credit unions. I think that these folks are the lifeblood, especially where I come from in rural America. Last Saturday, as almost on a weekly basis personally, on a daily basis with my staff, we hear from community banks and credit unions about the issues that are impacting them right now, like premiums on deposit insurance, additional regulation on loan standards that really cuts back on their flexibility to get money out the door to local communities. And I would hope that whatever regulation we come up with will do what it is intended to do and not really hinder the folks who have really played by the rules and done a good job protecting their depositors and the folks they lend money to. Thank you, Mr. Chairman.",Statement,STATEMENT OF SENATOR JON TESTER 
"Chairman Dodd","Thank you, Senator Tester. Senator Johanns--Senator Corker. I am sorry, Bob.",Speech, 
"Senator Corker","As usual, I will pass and wait to hear from the witnesses, which I think will be a beneficial thing to do. Thank you.",Speech, 
"Chairman Dodd","I appreciate that very much.",Speech, 
