"Speaker","Speech"
"Chairman Spratt","The committee will come to order. We meet today to hear the distinguished Chairman of the Federal Reserve, Benjamin Bernanke, testify on the recession that is plaguing our economy and on the prospects of recovery. Chairman Bernanke testified before our committee on October 20 of last year as we searched for ways to mitigate, if not avoid, a long recession. The Chairman acknowledged then that monetary policy has its limits. Without being specific, he welcomed a fiscal complement. Congress had just passed a bipartisan bill authorizing $700 billion to dispose of troubled assets, so-called TARP. Backed by these funds, the Treasury, the Fed, and the FDIC have made extraordinary advances to banks and other financial institutions, recognizing what Chairman Bernanke told the Joint Economic Committee last month, that, quote, ``A sustained recovery in economic activity depends critically on restoring stability to the financial system.'' This is one question we hope you will address today, Mr. Chairman: Just how strong and how stable are our financial institutions? By February of this year, it was clear that TARP relief was a necessary but not sufficient solution. So Congress passed, on a partisan basis, an even bigger boost, the American Recovery and Reinvestment Act, which packed $787 billion of fiscal stimuli in the form of spending increases and tax decreases. We would like to know, Mr. Chairman, whether from the Fed's viewpoint this huge countercyclical thrust is working. Bold action was necessary to head off a collapse of the financial system, but the steps taken also swell the Nation's deficit and the national debt. It is all but impossible to balance the budget when the economy is bucking a headwind like this recession, because what we do to make the economy better is likely to make the deficit worse. Yet, at the same time, we cannot add infinitely to the national debt without facing consequences in global credit markets or on our future capacity to borrow. One purpose of this hearing is to explore both the advantages, and the potential downside risk of our bold and unprecedented response to financial turmoil. Should we be concerned that some of our swelling debt must be financed with foreign credit? We hope that most of our outlays are for nonrecurring needs and that much of what has been advanced in recent months will in time be recovered, repaid, and used to pay down the debt that we are incurring. We would like to have your assessment, Mr. Chairman, of that possibility. Despite bold, unprecedented action, the Director of the Congressional Budget Office told this committee on May 21st that our economy is still running at 7 percent or more below its capacity, or a trillion dollars per year below its potential. Recently there have been signs, however, of a turnaround. Business inventories are down; the stock market is up a bit; and so, too, to some extent, is the housing market. Our question to you, Mr. Chairman, is whether these are glimmers of hope or flashes in the pan. To keep this recession from growing worse, the Fed has pumped enormous liquidity into the money markets, so much so that some critics even worry of inflation, lurking, to be sure, just over the horizon, but a threat nevertheless. The spread between short- and long-term Treasuries has widened to more than 2.5 percentage points. We would like to know, Mr. Chairman, if these are salutary signs of a recovery or ominous signs of inflation. A month ago, Chairman Bernanke told the JEC that, quote, ``We expect economic activity to bottom out and turn up later this year.'' But he went on to warn, ``Even after the recovery gets under way, the rate of real economic growth is likely to remain below potential for a while, only gradually gaining momentum.'' The old locomotives that pulled the economy out of the rut in the past--real estate, consumer durables--are unavailing now. This causes us to ask, Mr. Chairman, what will empower a turnaround in this dismal economy, and when can we expect to return to normality? Mr. Chairman, as you can see, we have a lot of grist for our mill today. We thank you for being here, but, most of all, we thank you for your service to our Nation at this very crucial time. Before proceeding to your statement, let me turn to Mr. Ryan for his opening remarks."
"Mr. Ryan?",""
"Mr. Ryan","Thank you, Chairman Spratt, for arranging this important hearing. Chairman Bernanke, you come before this committee with the financial markets in a better position than in your previous appearance last fall. The economy is finally showing some signs of stabilizing, and that is encouraging. But despite these short-term glimmers of hope, I have become more concerned about the longer-term implications of our economic policies. On the fiscal side, the Treasury is issuing record amounts of debt, over $2 trillion this year alone, to support record government spending and record deficits. Meanwhile, the Federal Reserve has injected an enormous amount of monetary stimulus into the economy and has even started purchasing longer-term Treasury bonds in an attempt to lower borrowing costs and further ease financial conditions. This can be a dangerous policy mix. The Treasury is issuing debt, and the Central Bank is buying it. It gives the alarming impression that the U.S. one day might begin to meet its financial obligations by simply printing money. And we all know what happens to a country that chooses to monetize its debt. It gets runaway inflation and a gradual erosion of workers' paychecks and family savings. There is an increased discussion in the financial press about the potential negative consequences of our economic policies. Just this week, the yield on the 10-year Treasury bond rose to a 6-month high, over 3 percent--3.7 percent--a sign that global investors are becoming concerned about debt levels and the possibility of future inflation. This is the bond market telling us that there is no free lunch. When you issue record amounts of debt in your central bank, as the monetary policy levers at full throttle, red flags begin to get raised and our borrowing costs go up. There are some faint warning bells going off. The value of the dollar has slipped recently. The price of gold is back up to nearly $1,000 a troy ounce. And inflation compensation spreads in the Treasury bond market have risen to a 9-month high. Now, I realize that some of these signs in the financial markets are likely reassuring to the Fed, since the predominant risk over the short term has been deflation, and that this could be signs of a recovery. But I am generally concerned that the Fed will be unable to unwind its considerable monetary policy stimulus in a timely manner to prevent a sharp rise in inflation over the medium term. There are a number of technical challenges associated with shrinking your balance sheet and returning to a more normal monetary policy stance. But I am more concerned about the political challenges the Fed will face when you finally have to make this call. I imagine there will be substantial political pressure on the Fed to delay tightening its monetary policy while the unemployment rate is still rising, for instance. But the Fed's political independence is critical--it is critical and essential for safeguarding its commitment to price stability, which is the chief policy concern of every central bank. This clear commitment is all the more important at a time when the fine line between monetary policy and fiscal policy seems a bit blurry. Despite the recent signs of stabilization in the economy, we policymakers should recognize that our most challenging period is going to be ahead of us as we try to right the ship and get back on the path of sustainable growth and job creation. That will clearly take a renewed sense of fiscal discipline to rein in spending and budget deficits, but it will also take a clear exit strategy on the part of the Fed and a firm commitment to price stability. We, in Congress, are committed to working with the administration to accomplish the former, and we trust the Fed will work diligently to ensure the latter. Thank you, Chairman."
"Chairman Spratt","Thank you, Mr. Ryan. Now, before proceeding with Chairman Bernanke, let me, as a housekeeping detail, ask for unanimous consent that all members be allowed to submit an opening statement for the record at this point. So ordered.   Prepared Statement of Hon. Gerald E. Connolly, a Representative in Congress From the State of Virginia  Mr. Chairman, thank you for holding this hearing and thank you, Chairman Bernanke, for your testimony on the state of our economy. I understand the complexity of issues affecting our economy and I respect the Federal Reserve's various efforts to stabilize the current crisis. There is, however, one critical area in which I believe the Fed has failed to act--the municipal bond market. Municipal bonds are the primary funding mechanism for state and local capital projects, including the repair or construction of our schools, fire and police stations, libraries, water treatment plants and critically needed transportation infrastructure. Traditionally, state and local governments have sold an average of $280 billion in bonds each year. The capital programs of our state and local governments, primarily funded by municipal bonds, have been one of the most effective engines for job creation throughout the country. Yet, despite the historically solid performance and low default rate of municipal bonds, investors fled from the muni market to U.S. Treasury notes following the economic meltdown last fall. As a result, the nation's 55,000 state and local governments are experiencing limited access to the capital markets. Further complicating the issue is the fact that the private insurance market virtually disappeared overnight, eliminating a viable means of credit enhancement for many issuers. If we do not address this serious problem, we could wind up in a situation where this squeezing of the municipal bond market has a counteractive effect on the benefits of our hard-fought economic recovery package. Municipal bonds are and have always been a tremendous source of economic stimulus that we cannot ignore. Chairman Bernanke, you stated in your March 31st letter to Members of Congress that although fixed-rate municipal debt is available to the larger municipalities, the costs to those localities are elevated, and thousands of smaller entities remain unable to access credit. You further noted the additional stress on the floating rate debt. According to Section 2a of the Federal Reserve Act, the Fed is required ``to promote effectively the goals of maximum employment, stable prices, and moderate long-term interest rates.'' To that effect, during the current recession, the Fed extended more than $2.1 trillion in credit through additional lending facilities to help spur the credit market. Earlier this year I introduced H.R. 1669, the Federal Municipal Bond Marketing Support and Securitization Act, as a way to begin to address the problem. At its core, my proposal directed the Secretary of the Treasury and Federal Reserve Board to work together to strategically intervene in the municipal bond market to restore liquidity and spark local job creation. The Congress now is considering several options, including authorizing a federal reinsurance program and a liquidity enhancement proposal to give the Federal Reserve the authority to fund a new liquidity facility for the purchase of variable rate demand notes. The Federal Reserve is empowered to conduct Open Market Operations. I understand the Fed's traditional reluctance to purchase municipal securities; however, the current recession is truly an extraordinary and historic situation, requiring new and innovative tools to address. Chairman Bernanke, you stated in your October 28, 2008 letter to Congressman Paul Kanjorski, ``the Federal Reserve Act provides the Federal Reserve with only limited ability to purchase directly the obligations of states and municipalities.'' If we are serious about promoting economic stimulus and recovery, then we must address the credit crisis that is paralyzing our state and local governments' capital programs--programs which represent one of the most significant job creation engines in the nation. "
"Chairman Spratt","Let me further say that the Chairman's testimony has been received and will be, without objection, entered in the record, so that you may summarize as you see fit. I think it is an important statement, full in detail, and we would encourage you to plow all the way through it, Mr. Chairman. One other very important detail. The Chairman has to leave at 12:30 today, so we will be riding the clock very closely on questions that members ask. Mr. Chairman, the floor is yours. And thank you, sir, again for coming. "
"STATEMENT OF BEN S. BERNANKE, CHAIRMAN, BOARD OF GOVERNORS, FEDERAL RESERVE SYSTEM"," "
"Mr. Bernanke","Thank you, Mr. Chairman. Chairman Spratt, Ranking Member Ryan, and other members of the committee, I am pleased to have this opportunity to offer my views on current economic and financial conditions and on issues pertaining to the Federal budget. The U.S. economy has contracted sharply since last fall, with real gross domestic product having dropped at an average annual rate of about 6 percent during the fourth quarter of 2008 and the first quarter of this year. Among the enormous cost of the downturn is the loss of nearly 6 million jobs since the beginning of 2008. The most recent information on the labor market, the number of new and continuing claims for unemployment insurance through late May, suggests that sizeable job losses and further increases in unemployment are likely over the next few months. However, the recent data also suggests that the pace of economic contraction may be slowing. Notably, consumer spending, which dropped sharply in the second half of last year, has been roughly flat since the turn of the year, and consumer sentiment has improved. In coming months, household spending power will be boosted by the fiscal stimulus program. Nonetheless, a number of factors are likely to continue to weigh on consumer spending, among them the weak labor market, the declines in equity and housing wealth that households have experienced over the past 2 years, and the still-tight credit conditions. Activity in the housing market, after a long period of decline, has also shown some signs of bottoming. Sales of existing homes have been fairly stable since late last year, and sales of new homes seem to have flattened out in the past couple of monthly readings, though they remain at depressed levels. Meanwhile, construction of new homes has been sufficiently restrained to allow the backlog of unsold new homes to decline, a precondition for any recovery in homebuilding. Businesses remain very cautious and continue to reduce their workforces and their capital investments. On a more positive note, firms are making progress in shedding the unwanted inventories that they accumulated following last fall's sharp downturn in sales. The Commerce Department estimates that the pace of inventory liquidation quickened in the first quarter, accounting for a sizeable portion of the reported decline in real GDP during that period. As inventory stocks move into better alignment with sales, firms should become more willing to increase production. We continue to expect overall economic activity to bottom out and then to turn up later this year. Our assessments that consumer spending and housing demand will stabilize and that the pace of inventory liquidation will slow are key building blocks of that forecast. Final demand should also be supported by fiscal and monetary stimulus, and U.S. exports may benefit if recent signs of stabilization in foreign economic activity prove accurate. An important caveat is that our forecast also assumes continuing gradual repair of the financial system and an associated improvement in credit conditions. A relapse in the financial sector will be a significant drag on economic activity and could cause the incipient recovery to stall. I will provide a brief update on financial markets in a moment. Even after recovery gets under way, the rate of growth of real economic activity is likely to remain below its longer-run potential for a while, implying that the current slack in resource utilization will increase further. We expect that the recovery will only gradually gain momentum, and that economic slack will diminish slowly. In particular, businesses are likely to be cautious about hiring, and the unemployment rate is likely to rise for a time, even after economic growth resumes. In this environment, we anticipate that inflation will remain low. The slack in resource utilization remains sizeable. And notwithstanding recent increases in the prices of oil and other commodities, cost pressures generally remain subdued. As a consequence, inflation is likely to move down some over the next year relative to its pace in 2008. That said, improving economic conditions and stable inflation expectations should limit further declines in inflation. Conditions at a number of financial markets have improved since earlier this year, likely reflecting both policy actions taken by the Federal Reserve and other agencies, as well as a somewhat better economic outlook. Nevertheless, financial markets and financial institutions remain under stress, and low asset prices and tight credit conditions continue to restrain economic activity. Among the markets where functioning has improved recently are those for short-term funding, including the interbank lending markets and the commercial paper market. Risk spreads in those markets appear to have moderated, and more lending is taking place at longer maturities. The better performance of short-term funding markets in part reflects the support afforded by Federal Reserve lending programs. It is encouraging that the private sector's reliance on the Fed's programs has declined as market stresses have eased, an outcome that was one of our key objectives when we designed these interventions. The issuance of asset-backed securities, backed by credit card, auto, and student loans, has also picked up this spring, and ABS funding rates have declined--developments supported by the availability of the Federal Reserve's Term Asset-Backed Securities Loan Facility, or TALF, as a market backstop. In markets for longer-term credit, bond issuance by nonfinancial firms has been relatively strong recently. And spreads between Treasury yields and rates paid by corporate borrowers have narrowed some, though they remain wide. Mortgage rates and spreads have also been reduced by the Federal Reserve's program of purchasing agency debt and agency mortgage-backed securities. However, in recent weeks, yields on longer-term Treasury securities and fixed-rate mortgages have risen. These increases appear to reflect concerns about large Federal deficits but also other causes, including greater optimism about the economic outlook, a reversal of flight to quality flows, and technical factors relating to the hedging of mortgage holdings. As you know, last month, the Federal bank regulatory agencies released the results of the Supervisory Capital Assessment Program. The purpose of the exercise was to determine for each of the 19 U.S.-owned bank holding companies with assets exceeding $100 billion a capital buffer sufficient for them to remain strongly capitalized and able to lend to creditworthy borrowers, even if economic conditions over the next 2 years turn out to be worse than we currently expect. According to the findings of the SCAP exercise, under the more adverse economic outlook losses of the 19 bank holding companies would total an estimated $600 billion during 2009 and 2010. After taking account of potential resources to absorb those losses, including expected revenues, reserves, and existing capital cushions, we determined that 10 of the 19 institutions should raise, collectively, additional common equity of $75 billion. Each of the 10 bank holding companies requiring an additional buffer has committed to raise this capital by November 9th. We are in discussions with these firms on their capital plans, which are due by June 8th. Even in advance of those plans being approved, the 10 firms have among them already raised more than $36 billion of new common equity, with a number of their offerings of common shares being oversubscribed. In addition, these firms have announced actions that would generate up to an additional $12 billion of common equity. We expect further announcements shortly, as their capital plans are finalized and submitted to supervisors. The substantial progress these firms have made in meeting their required capital buffers and their success in raising private capital suggests that investors are gaining greater confidence in the banking system. Let me turn now to fiscal matters. As you are well aware, in February of this year, Congress passed the American Recovery and Reinvestment Act, or ARRA, a major fiscal package aimed at strengthening near-term economic activity. The package included personal tax cuts, increases in transfer payments intended to stimulate household spending, incentives for business investment, increases in Federal purchases, and Federal grants for State and local governments. Predicting the effects of these fiscal actions on economic activity is difficult, especially in light of the unusual economic circumstances that we face. For example, households confronted with declining incomes and limited access to credit might be expected to spend most of their tax cuts. But then again, heightened economic uncertainties and a desire to increase precautionary saving or pay down debt might reduce households' propensity to spend. Likewise, it is difficult to judge how quickly funds dedicated to infrastructure needs and other longer-term projects will be spent and how large any follow-on effects will be. The CBO has constructed a range of estimates of the effects of the stimulus package on real GDP and employment that appropriately reflects these uncertainties. According to the CBO's estimates, by the end of 2010, the stimulus package could boost the level of real GDP between about 1 percent and a little more than 3 percent and the level of employment by between roughly 1 million and 3.5 million jobs. The increases in spending and reductions in taxes associated with the fiscal package and the financial stabilization program, along with the losses in revenues and increases in income support payments associated with the weak economy, will widen the Federal budget deficit substantially this year. The administration recently submitted a proposed budget that projects the Federal deficit to reach about $1.8 trillion this fiscal year before declining to $1.3 trillion in 2010 and roughly $900 billion in 2011. As a consequence of this elevated level of borrowing, the ratio of Federal debt held by the public, to nominal GDP is likely to move up from about 40 percent before the onset of the financial crisis, to about 70 percent in 2011. These developments would leave the debt-to-GDP ratio at its highest level since the early 1950s, the years following the massive debt buildup during World War II. Certainly our economy and financial markets face extraordinary near-term challenges, and strong and timely actions to respond to these challenges are necessary and appropriate. Nevertheless, even as we take steps to address the recession and threats to financial stability, maintaining the confidence of the financial markets require that we, as a Nation, begin planning now for the restoration of fiscal balance. Prompt attention to questions of fiscal sustainability is particularly critical because of the coming budgetary and economic challenges associated with the retirement of the baby boom generation and continued increases in medical costs. The recent projections from the Social Security and Medicare trustees show that, in the absence of programmatic changes, Social Security and Medicare outlays will together increase from about 8.5 percent of GDP today to 10 percent by 2020 and 12.5 percent by 2030. With the ratio of debt to GDP already elevated, we will not be able to continue borrowing indefinitely to meet these demands. Addressing the country's fiscal problems will require a willingness to make difficult choices. In the end, the fundamental decision that the Congress, the administration, and the American people must confront is how large a share of the Nation's economic resources to devote to Federal Government programs, including entitlement programs. Crucially, whatever size of government is chosen, tax rates must ultimately be set at a level sufficient to achieve an appropriate balance of spending and revenues in the long run. In particular, over the longer term, achieving fiscal sustainability--defined, for example, as a situation to which the ratios of government debt and interest payments to GDP are stable or declining, and tax rates are not so high as to impede economic growth--requires that spending and budget deficits be well-controlled. Clearly, the Congress and the administration face formidable near-term challenges that must be addressed, but those near-term challenges must not be allowed to hinder timely consideration of the steps needed to address fiscal imbalances. Unless we demonstrate a strong commitment to fiscal sustainability in the longer term, we will have neither financial stability nor healthy economic growth. And let me close briefly with an update on the Federal Reserve's initiatives to enhance the transparency of our credit and liquidity programs. As I noted last month in my testimony before the JEC, I have asked Vice Chairman Kohn to lead a review of our disclosure policies, with the goal of increasing the range of information that we make available to the public. That group has made significant progress, and we expect to begin publishing soon a monthly report on the Fed's balance sheet and lending programs that will summarize and discuss recent developments and provide considerable new information concerning the number of borrowers at our various facilities, the concentration of borrowing, and the collateral pledged. In addition, the reports will provide quarterly updates of key elements of the Federal Reserve's annual financial statements, including information regarding the system open market account portfolio, our loan programs, and the special- purpose vehicles that are consolidated on the balance sheet of the Federal Reserve Bank of New York. We hope that this information will be helpful to the Congress and others with an interest in the Federal Reserve's actions to address the financial crisis and the economic downturn. We will continue to look for opportunities to broaden the scope of the information and supporting analysis that we provide to the public. Thank you, Mr. Chairman.   Prepared Statement of Hon. Ben S. Bernanke, Chairman, Board of Governors of the Federal Reserve System  Chairman Spratt, Ranking Member Ryan, and other members of the Committee, I am pleased to have this opportunity to offer my views on current economic and financial conditions and on issues pertaining to the federal budget. economic developments and outlook The U.S. economy has contracted sharply since last fall, with real gross domestic product (GDP) having dropped at an average annual rate of about 6 percent during the fourth quarter of 2008 and the first quarter of this year. Among the enormous costs of the downturn is the loss of nearly 6 million jobs since the beginning of 2008. The most recent information on the labor market--the number of new and continuing claims for unemployment insurance through late May--suggests that sizable job losses and further increases in unemployment are likely over the next few months. However, the recent data also suggest that the pace of economic contraction may be slowing. Notably, consumer spending, which dropped sharply in the second half of last year, has been roughly flat since the turn of the year, and consumer sentiment has improved. In coming months, households' spending power will be boosted by the fiscal stimulus program. Nonetheless, a number of factors are likely to continue to weigh on consumer spending, among them the weak labor market, the declines in equity and housing wealth that households have experienced over the past two years, and still-tight credit conditions. Activity in the housing market, after a long period of decline, has also shown some signs of bottoming. Sales of existing homes have been fairly stable since late last year, and sales of new homes seem to have flattened out in the past couple of monthly readings, though both remain at depressed levels. Meanwhile, construction of new homes has been sufficiently restrained to allow the backlog of unsold new homes to decline--a precondition for any recovery in homebuilding. Businesses remain very cautious and continue to reduce their workforces and capital investments. On a more positive note, firms are making progress in shedding the unwanted inventories that they accumulated following last fall's sharp downturn in sales. The Commerce Department estimates that the pace of inventory liquidation quickened in the first quarter, accounting for a sizable portion of the reported decline in real GDP in that period. As inventory stocks move into better alignment with sales, firms should become more willing to increase production. We continue to expect overall economic activity to bottom out, and then to turn up later this year. Our assessments that consumer spending and housing demand will stabilize and that the pace of inventory liquidation will slow are key building blocks of that forecast. Final demand should also be supported by fiscal and monetary stimulus, and U.S. exports may benefit if recent signs of stabilization in foreign economic activity prove accurate. An important caveat is that our forecast also assumes continuing gradual repair of the financial system and an associated improvement in credit conditions; a relapse in the financial sector would be a significant drag on economic activity and could cause the incipient recovery to stall. I will provide a brief update on financial markets in a moment. Even after a recovery gets under way, the rate of growth of real economic activity is likely to remain below its longer-run potential for a while, implying that the current slack in resource utilization will increase further. We expect that the recovery will only gradually gain momentum and that economic slack will diminish slowly. In particular, businesses are likely to be cautious about hiring, and the unemployment rate is likely to rise for a time, even after economic growth resumes. In this environment, we anticipate that inflation will remain low. The slack in resource utilization remains sizable, and, notwithstanding recent increases in the prices of oil and other commodities, cost pressures generally remain subdued. As a consequence, inflation is likely to move down some over the next year relative to its pace in 2008. That said, improving economic conditions and stable inflation expectations should limit further declines in inflation. conditions in financial markets Conditions in a number of financial markets have improved since earlier this year, likely reflecting both policy actions taken by the Federal Reserve and other agencies as well as the somewhat better economic outlook. Nevertheless, financial markets and financial institutions remain under stress, and low asset prices and tight credit conditions continue to restrain economic activity. Among the markets where functioning has improved recently are those for short-term funding, including the interbank lending markets and the commercial paper market. Risk spreads in those markets appear to have moderated, and more lending is taking place at longer maturities. The better performance of short-term funding markets in part reflects the support afforded by Federal Reserve lending programs. It is encouraging that the private sector's reliance on the Fed's programs has declined as market stresses have eased, an outcome that was one of our key objectives when we designed our interventions. The issuance of asset- backed securities (ABS) backed by credit card, auto, and student loans has also picked up this spring, and ABS funding rates have declined, developments supported by the availability of the Federal Reserve's Term Asset-Backed Securities Loan Facility as a market backstop. In markets for longer-term credit, bond issuance by nonfinancial firms has been relatively strong recently, and spreads between Treasury yields and rates paid by corporate borrowers have narrowed some, though they remain wide. Mortgage rates and spreads have also been reduced by the Federal Reserve's program of purchasing agency debt and agency mortgage-backed securities. However, in recent weeks, yields on longer- term Treasury securities and fixed-rate mortgages have risen. These increases appear to reflect concerns about large federal deficits but also other causes, including greater optimism about the economic outlook, a reversal of flight-toquality flows, and technical factors related to the hedging of mortgage holdings. As you know, last month, the federal bank regulatory agencies released the results of the Supervisory Capital Assessment Program (SCAP). The purpose of the exercise was to determine, for each of the 19 U.S.-owned bank holding companies with assets exceeding $100 billion, a capital buffer sufficient for them to remain strongly capitalized and able to lend to creditworthy borrowers even if economic conditions over the next two years turn out to be worse than we currently expect. According to the findings of the SCAP exercise, under the more adverse economic outlook, losses at the 19 bank holding companies would total an estimated $600 billion during 2009 and 2010. After taking account of potential resources to absorb those losses, including expected revenues, reserves, and existing capital cushions, we determined that 10 of the 19 institutions should raise, collectively, additional common equity of $75 billion. Each of the 10 bank holding companies requiring an additional buffer has committed to raise this capital by November 9. We are in discussions with these firms on their capital plans, which are due by June 8. Even in advance of those plans being approved, the 10 firms have among them already raised more than $36 billion of new common equity, with a number of their offerings of common shares being over- subscribed. In addition, these firms have announced actions that would generate up to an additional $12 billon of common equity. We expect further announcements shortly as their capital plans are finalized and submitted to supervisors. The substantial progress these firms have made in meeting their required capital buffers, and their success in raising private capital, suggests that investors are gaining greater confidence in the banking system. fiscal policy in the current economic and financial environment Let me now turn to fiscal matters. As you are well aware, in February of this year, the Congress passed the American Recovery and Reinvestment Act, or ARRA, a major fiscal package aimed at strengthening near-term economic activity. The package included personal tax cuts and increases in transfer payments intended to stimulate household spending, incentives for business investment, increases in federal purchases, and federal grants for state and local governments. Predicting the effects of these fiscal actions on economic activity is difficult, especially in light of the unusual economic circumstances that we face. For example, households confronted with declining incomes and limited access to credit might be expected to spend most of their tax cuts; then again, heightened economic uncertainties and the desire to increase precautionary saving or pay down debt might reduce households' propensity to spend. Likewise, it is difficult to judge how quickly funds dedicated to infrastructure needs and other longer-term projects will be spent and how large any follow-on effects will be. The Congressional Budget Office (CBO) has constructed a range of estimates of the effects of the stimulus package on real GDP and employment that appropriately reflects these uncertainties. According to the CBO's estimates, by the end of 2010, the stimulus package could boost the level of real GDP between about 1 percent and a little more than 3 percent and the level of employment by between roughly 1 million and 3\1/2\ million jobs. The increases in spending and reductions in taxes associated with the fiscal package and the financial stabilization program, along with the losses in revenues and increases in income-support payments associated with the weak economy, will widen the federal budget deficit substantially this year. The Administration recently submitted a proposed budget that projects the federal deficit to reach about $1.8 trillion this fiscal year before declining to $1.3 trillion in 2010 and roughly $900 billion in 2011. As a consequence of this elevated level of borrowing, the ratio of federal debt held by the public to nominal GDP is likely to move up from about 40 percent before the onset of the financial crisis to about 70 percent in 2011. These developments would leave the debt-to-GDP ratio at its highest level since the early 1950s, the years following the massive debt buildup during World War II. Certainly, our economy and financial markets face extraordinary near-term challenges, and strong and timely actions to respond to those challenges are necessary and appropriate. Nevertheless, even as we take steps to address the recession and threats to financial stability, maintaining the confidence of the financial markets requires that we, as a nation, begin planning now for the restoration of fiscal balance. Prompt attention to questions of fiscal sustainability is particularly critical because of the coming budgetary and economic challenges associated with the retirement of the baby-boom generation and continued increases in medical costs. The recent projections from the Social Security and Medicare trustees show that, in the absence of programmatic changes, Social Security and Medicare outlays will together increase from about 8\1/2\ percent of GDP today to 10 percent by 2020 and 12\1/2\ percent by 2030. With the ratio of debt to GDP already elevated, we will not be able to continue borrowing indefinitely to meet these demands. Addressing the country's fiscal problems will require a willingness to make difficult choices. In the end, the fundamental decision that the Congress, the Administration, and the American people must confront is how large a share of the nation's economic resources to devote to federal government programs, including entitlement programs. Crucially, whatever size of government is chosen, tax rates must ultimately be set at a level sufficient to achieve an appropriate balance of spending and revenues in the long run. In particular, over the longer term, achieving fiscal sustainability--defined, for example, as a situation in which the ratios of government debt and interest payments to GDP are stable or declining, and tax rates are not so high as to impede economic growth--requires that spending and budget deficits be well controlled. Clearly, the Congress and the Administration face formidable near- term challenges that must be addressed. But those near-term challenges must not be allowed to hinder timely consideration of the steps needed to address fiscal imbalances. Unless we demonstrate a strong commitment to fiscal sustainability in the longer term, we will have neither financial stability nor healthy economic growth. federal reserve transparency Let me close today with an update on the Federal Reserve's initiatives to enhance the transparency of our credit and liquidity programs. As I noted last month in my testimony before the Joint Economic Committee, I asked Vice Chairman Kohn to lead a review of our disclosure policies, with the goal of increasing the range of information that we make available to the public.\1\ That group has made significant progress, and we expect to begin publishing soon a monthly report on the Fed's balance sheet and lending programs that will summarize and discuss recent developments and provide considerable new information concerning the number of borrowers at our various facilities, the concentration of borrowing, and the collateral pledged. In addition, the reports will provide quarterly updates of key elements of the Federal Reserve's annual financial statements, including information regarding the System Open Market Account portfolio, our loan programs, and the special purpose vehicles that are consolidated on the balance sheet of the Federal Reserve Bank of New York. We hope that this information will be helpful to the Congress and others with an interest in the Federal Reserve's actions to address the financial crisis and the economic downturn. We will continue to look for opportunities to broaden the scope of the information and supporting analysis that we provide to the public.  \1\ Ben S. Bernanke (2009), ``The Economic Outlook,'' statement before the Joint Economic Committee, U.S. Congress, May 5, www.federalreserve.gov/newsevents/testimony/bernanke20090505a.htm. "
"Chairman Spratt","Thank you, Mr. Chairman. Can we conclude from what you have just said and from what you are seeing that the favorable factors in our economy today may be glimmers of hope, may be harbingers of an economy that is recovering? You have used the words, ``an incipient recovery.'' Do you see a recovery unfolding at this point in time?"
"Mr. Bernanke","Yes, sir, our expectation is that we will begin to see growth in the economy, so the end of the technical recession, later this year. Underlying that prediction is some stabilization in final demand, including consumer spending, as well as the importance of unwinding the inventory dynamic. Firms have been cutting back their production and, therefore, have lowered their stocks of unwanted inventories. As that process goes forward, they will be able to increase production as they no longer have to get rid of those extra inventories. So we expect to see some growth, not robust growth but some positive growth, later this year. Unfortunately, since the growth rate, in the beginning of the process will be lower than potential, we expect unemployment to continue to rise into next year and to come down only slowly. So we will have a weak labor market for some time."
"Chairman Spratt","Without the extraordinary steps that we have taken, Fed has taken, the FDIC and the Treasury, without TARP and TALF and the Recovery Act, do you think we would be where we are, on the doorsteps of an incipient recovery?"
