Speaker,Speech
The Chairman," [Presiding.] The committee will come to order.
    We are indeed honored again to have Chairman Greenspan, Chairman of the Fed, testify before the committee.
    And I thank, Mr. Chairman, you in advance for your testimony and the time that you are going to spend with us today.
    Mr. Chairman, we all know that the economy is nearly completely recovered. We have had four strong quarters of GDP growth, and the total number of jobs, a little more than 130 million, is back to its peak from the winter of 2000-2001.
    Productivity remains impressive, and the market is strong, with the Dow looking as if it might touch the 11,000 mark again.
    Job creation remains robust, and the unemployment rate, at 5.2 percent, is at the same level it stood at in 1997, before the unprecedented period in which it briefly went below 4 percent, a rate few imagine we will ever see again.
    So, Mr. Chairman, thanks to the twin injections of liquidity, the President's tax cuts, and the Fed's lowering of short-term interest rates, our American economy has once again shown itself to be resilient enough to withstand multiple shocks.
    Aside from our strong current position, there are continued challenges ahead that we will discuss today. Among them are the trade deficit, the budget deficit, and Social Security.
    Mr. Chairman, you are perhaps America's most famous budget hawk. You favor lower taxes as long as they are offset by spending cuts. I am sure you welcome the President's initiatives outlined in his budget and in the State of the Union speech. The President has laid out a cost-cutting program, and he has faced the Social Security problem head on.
    President Bush knows that the numbers don't lie, and they are clearly on the side of a need to reform the system.
    Mr. Chairman, you led the commission that assisted in significant reform of Social Security under President Reagan in 1983, and I am certain all committee members await your views on this matter. We all know the facts, that in less than 15 years the system starts paying more out than it is paying in, and that if we don't do something quickly the options will be higher taxes, benefit cuts, or some blend of the two.
    Chairman Greenspan, I stand in complete agreement with the President, and in important part the answer is personal accounts. From its creation, Social Security was never envisioned as the sole answer to an individual's retirement needs, but as a supplement.
    However, now, two-thirds of its recipients rely on Social Security for at least half or more of their retirement income. That isn't good for them, and it isn't good for the country, in my view.
    Mr. Chairman, I believe President Roosevelt, who created the Social Security system, felt the same way. As the Wall Street Journal has pointed out, in a speech to Congress in 1935 FDR anticipated the need to move beyond the pay-as-you-go financing method.
    Chairman Greenspan, that is two presidents--the Democrat founder of Social Security and the Republican to whom it falls to save the Social Security system--in agreement on the issue of personal accounts.
    There will be some heavy lifting to get the system right, of course, and this committee will be in support.
    We have an obligation to America and to future generations to address this problem.
    So, Mr. Chairman, in the week that baseball reports for spring training, I think we should view this effort as the start of a new season as well, a season in which Congress will step up to the plate with intelligent, long-term reform of Social Security.
    We seek to extend the ownership society to all Americans, and let us broaden that concept of ownership to retirement.
    With that, I am pleased to yield to the Ranking Member, the gentleman from Massachusetts, Mr. Frank.
"
Mr. Frank," Thank you, Mr. Chairman.
    I am in somewhat less agreement with the President than you are, although I don't wish to be totally in opposition.
    And I must say I look forward to supporting the President in his attack on bloated and inefficient and wasteful farm subsidies, and I am sure I will have strong support from these free market conservatives on the other side as we attempt to bring the free market principles to the largest sector of the American economy from which they have long been absent.
    With regard to Social Security, I do appreciate the Chairman making it very clear, as others have, that the question of private accounts and the question of the solvency of the system are, in fact, quite separate; that the President himself has acknowledged this.
    So, yes, there are questions about solvency. They are separate from private accounts. And I will return to them.
    But I want to talk about what I think is the overarching problem in the American economy today. And I want to congratulate the Chairman--there are some advantages to going second when the Chairman testifies, and one is that we don't have to worry about poaching on his right to be the presenter of his own ideas. He testified yesterday in the Senate.
    So I am not reluctant to call attention to page five of his testimony today in the last couple of paragraphs.
    And I think what we have is a serious problem in America.
    The economy has begun again to grow, but it is growing in a way that is exacerbating inequality. We are getting, as the Chairman has noted--although there are some hopes this may improve in the future--fewer jobs for each additional unit of GDP.
    We have a failure of wages on the whole to rise proportionate to the economy. We have--although it isn't commented on here, we have discussed it--the lack of health care and the falling away of health care for many people.
    Some have said, ``Well, don't worry about inequality; that is just a sign of pettiness. As long as everything is getting better, why do you worry about inequality?''
    And I want to call attention to the quite profound remarks of Chairman Greenspan on this subject when he talks about the problem that we now have where skilled workers' wages, skilled in terms of this economy, are increasing and we have got a greater differential between people who are skilled and people who aren't.
    As he says, ``If the skill composition of our work force meshed fully with the needs of our increasingly complex capital stock, wage-skill differentials would be stable--for the past 20 years, the supply of skilled, particularly highly skilled workers has failed to keep up with the persistent rise in demand for such skills. Conversely, the demand for lesser skilled workers has declined.''
    And this is quite profound.
    ``In a democratic society,'' you say, Mr. Chairman, ``such a stark bifurcation of wealth and income trends among large segments of the population can fuel resentment and political polarization.''
    And I think you have pointed to a central problem, and you repudiate those who say don't worry about it. And I think you are right to worry about it, but here is my concern.
    You then go on to say that one of the most important tasks for the social stability of this country, as well as our economic future--because as you note, a badly polarized society is going to be one in which efforts to move forward toward economic rationality will be resisted sometimes when they shouldn't be; a new rationality may creep in, an anger, a resistance to economic rationalization.
    And what you say is we need to increase the skills of lesser skilled people, reduce the excess of lesser skilled workers, expedite the acquisition of skills by all students both through formal education, by on-the-job training.
    I would add that it is also important, since we know this isn't going to happen instantly, that we alleviate the negative effects of this while it happens.
    You are quite right to note that resentment will build up.
    With all the success we could expect in education and on-the-job training, years will ensue before we make a substantial dent in this.
    We have a couple of problems now.
    Public policy, particularly recently, has cut back in precisely those areas that alleviate the impact of inequality. We are doing less for those who get less. We are cutting back there.
    Similarly, our ability to go forward, the private sector will play a major role in on-the-job training and elsewhere. But no one expects people trying to make a profit to fund all of that.
    Some significant part of that is going to have to be funded publicly through education, through community colleges, through payment through on-the-job training.
    The problem we have is this. The Chairman said you are a very famous deficit hawk. You may be one of the few consistent deficit hawks left here in the capital because people's deficit hawkishness does appear to ebb and flow according to the programs.
    If, however, we maintain the current situation in which we have a high priority on reducing the deficit and we continue in existence all of the tax cuts, then the inevitable consequence is very substantial reductions in public spending.
    With defense out of this loop, with homeland security out of this loop, all of the programs that either alleviate the consequences of inequality or help us reduce this skill disparity in the future are under the gun.
    And so I fear--this is a question I would address to you--how do we alleviate the effects of this inequality so that you reduce the negative feelings that you correctly point out are a result? And how do we increase our ability to get these skills to people; how do we improve education; how do we improve on-the-job training?
    Money is not the only answer. But no one, I think, would say that you can do something of that magnitude in this society without additional resources.
    And the dilemma is, if you are going to deal with deficit reduction entirely through reductions in domestic public spending, at the state and local level and at the federal level, I think you have a situation in which the situation which you quite eloquently decry will get worse rather than better. And that is a subject I hope to pursue.
"
The Chairman," Gentleman's time has expired.
    Now, recognize the chairwoman of the Domestic and International Monetary committee, the gentlelady from Ohio, Mrs. Pryce.
    Ms. Pryce. Thanks, Chairman Oxley.
    Welcome, Chairman Greenspan, and thank you for taking the time to discuss with us your insights on monetary policy and many other things I am sure we will hear from you.
    I am especially happy to be returning to the committee for these very special opportunities. This will be an exciting and very busy year for us. As you know, the President has outlined an aggressive second-term agenda, which includes Social Security, tax and legal reform.
    Social Security is an issue that, if addressed today, could safeguard the future of millions of young people, and, if ignored, could become the biggest shortcoming of a generation.
    As you noted yesterday, the existing structure isn't working, and I am sure that this committee will have plenty of questions on this issue, and I look forward to hearing your answers later in the morning.
    Last month, the Bureau of Labor Statistics released revised data showing gains of 2.7 million jobs for 20 straight months, with those gains beginning of June of 2003, which was 3 months earlier than previously estimated.
    My home state of Ohio, which has been hit hard by manufacturing job loss over the last 2 years, has recently seen an increase in workers returning to the job market, and Ohio is not alone in that recovery. The national unemployment rate ticked down 0.2 percentage points in January, the lowest rate since September of 2001.
    Mr. Chairman, reflection on the measured rise in inflation taken by FOMC and the role you had in it, I am particularly interested in hearing you address the role raising rates will have on manufacturing states like Ohio, where the manufacturing sector is a large part of the economy.
    Also, I would like to hear how you feel it will affect the housing market, which has been such a stable influence in the economy over the last several years.
    I appreciate, Mr. Chairman, your support and encouragement of deregulation and technological innovation. You have said before that continued movement on these fronts, along with maintenance of a rigorous and evolving education system, will drive our economy into the future.
    I am particularly interested to hear you speak in more length on the demands put on our education system. You have voiced concern in the past that while our fourth graders outperform their peers around the world in math and science, our eighth graders are about average, and our 12th graders rank near the bottom.
    How can this happen?
    I hope to discuss with you now and in the future possible reasons for this failure and how best we resolve our education system to graduate more skilled workers and how that will affect our economy.
    I am also concerned about the state of financial literacy among all Americans.
    I am concerned over the state of our nation's savings rate, something I was glad to hear you address in yesterday's hearing and I hope you discuss further today.
    We must grow our economy and not our government, and we must change the current system of Social Security to ensure its solvency for our children.
    Through fiscal discipline and by implementing policies that increase the rate of personal savings and retirement security, we can provide financial freedom to all Americans and allow them to take ownership over their families' future and prosperity.
    I thank you, Mr. Chairman, for your appearance today. I look forward to your testimony.
    And with that, I yield back, Mr. Chairman.
"
The Chairman," Thank the gentlelady.
    Before I recognize the Ranking Member of the subcommittee, I want to first recognize a good friend, former Ranking Member from the committee, John LaFalce.
    Good to have you back, John. And probably looks a little different on that side of the dais.
    The gentlelady from New York, Ms. Maloney.
"
Mrs. Maloney," Thank you. It is always a pleasure to welcome Chairman Greenspan.
    I look very much forward to your testimony on the economy and monetary policy, but I would also like to get your views on some broader issues regarding the sharp turn in economy policy from the late 1990s, when we eliminated the deficit and started to pay down the debt, to now, when once again we see deficits as far as the eye can see and mounting debt.
    The state of the economy at present deeply disturbs me. This administration has repeatedly set records for debts and deficits.
    In the 1990s, we were looking toward a budget surplus of $5.6 trillion over 10 years. Now we have a budget deficit of over $400 billion, with no end in sight. We have raised the debt limit three times in this administration, and our debt now stands at well over $7 trillion, an unfortunate record.
    That means that $26,000 is owed by every man, woman and child in America, the highest it has ever been.
    Their newest record is an all-time high trade deficit for last year: nearly $618 billion. The debt and deficit policies of this administration place a severe burden on our economy because we are borrowing huge sums from foreign countries. Some of our allies are warning us that they are approaching the limit of their willingness to buy our debt.
    It has gotten to the point where some European bankers who were in Washington, D.C., last week were asking if the dollar will continue to be the reserve currency of the world.
    So I want to know, Mr. Greenspan, are you really comfortable with the policies of what I can only call the debt-and-deficit Republicans who are now running our economic policy?
    Chairman Greenspan, your testimony explains why the Federal Reserve is likely to continue what it calls its measured policy of interest rate increases, but I would hope that you would take a second look at this policy. I am concerned that we are not seeing the kind of robust job growth we would normally see in a strong economy.
    The Bush administration is proud of its job creation over the past 20 months, but when you break it down, we are only gaining 140,000 jobs per month, barely enough to keep pace with normal growth in the labor force.
    Most indicators of workers' wages show that they are barely keeping up with inflation, and wages may actually be falling at the lower end of wage distribution. That hardly sounds like an economy that needs to be slowed by interest rate hikes.
    On the question of debt, I am sure you cannot be happy with what has happened to the federal budget deficit since 2001. And frankly, Mr. Chairman, you had something to do with that, when you gave the green light to the administration's tax policies in 2001.
    But you have repeatedly said that persistent budget deficits are toxic to the economy and that deficit reduction is one of the best strategies to have for raising national savings and boosting future standards of living. And I completely agree with you on that.
    That brings me to the administration's proposal for phasing out Social Security by privatizing it. I know you share the President's philosophy about privatized accounts, but you cannot share his budget arithmetic.
    Experts estimate that the creation of privatized accounts would add upwards of $4 trillion to $5 trillion to our national debt in the first 20 years alone. I believe that you told the Senate yesterday that the privatized accounts proposal would do absolutely nothing to address the solvency of Social Security and would do nothing to boost national savings, yet it adds new problems to our debt.
    I believe you also said that no one knows how financial markets would respond to all of that debt coming on the market.
    So I ask mainly what possible benefit could there be to plunging ahead with such a reckless policy when we already have a deficit and debt problem that is out of control?
    As always, I look forward to your testimony.
"
The Chairman," The gentlelady's time has expired.
    We now turn to the distinguished Chairman of the Federal Reserve. Chairman Greenspan, welcome back to the committee. And we appreciate your spending some time with us. And take as much time as you would like.STATEMENT OF HON. ALAN GREENSPAN, CHAIRMAN, BOARD OF GOVERNORS 
                 OF THE FEDERAL RESERVE SYSTEM
"
Mr. Greenspan," Thank you very much, Mr. Chairman. I request that the full text of my remarks be included for the record.
"
The Chairman," Without objection.
"
Mr. Greenspan," Mr. Chairman and members of the committee, in the seven months since I last testified before this committee, the U.S. economic expansion has firmed; overall inflation has subsided and core inflation has remained low.
    Over the first half of 2004, the available information increasingly suggested that the economic expansion was becoming less fragile and that the risk of an undesirable decline in inflation had greatly diminished. Toward midyear, the Federal Reserve came to the judgment that the extraordinary degree of policy accommodation that had been in place since the middle of 2003 was no longer warranted and in the announcement released at the conclusion of our May meeting signaled that a firming of policy was likely.
    The Federal Open Market Committee began to raise the federal funds rate at its June meeting, and the announcement following that meeting indicated the need for further, albeit gradual, withdrawal of monetary policy stimulus.
    Around the same time, incoming data suggested a lull in activity as the economy absorbed the impact of higher energy prices. Much as had been expected, this soft patch proved to be short-lived. Accordingly, the Federal Reserve has followed the June policy move with similar actions at each meeting since then, including our most recent meeting earlier this month. The cumulative removal of policy accommodation to date has significantly raised measures of the real federal funds rate, but by most measures it remains fairly low.
    The evidence broadly supports the view that economic fundamentals have steadied. Consumer spending has been well maintained over recent months, buoyed by continued growth in disposable personal income, gains in net worth, and accommodative conditions in credit markets. Households have recorded a modest improvement in their financial position over this period, to the betterment of many indicators of credit quality.
    For their part, business executives apparently have become somewhat more optimistic in recent months. Capital spending and corporate borrowing have firmed noticeably, but some of the latter may have been directed to finance the recent backup in inventories. Mergers and acquisitions, though, have clearly perked up.
    Even in the current, much improved environment, however, some caution among business executives remains. Although capital investment has been advancing at a reasonably good pace, it has nonetheless lagged the exceptional rise in profits and internal cash flow.
    As opposed to the lingering hesitancy among business executives, participants in financial markets seem very confident about the future and, judging by the exceptionally low level of risk spreads in credit markets, quite willing to bear risk.
    This apparent disparity in sentiment between business people and market participants could reflect the heightened additional concerns of business executives about potential legal liabilities, rather than a fundamentally different assessment of macroeconomic risks.
    Turning to the outlook for costs and prices, productivity developments will likely play a key role. The growth of output per hour slowed over the past half year, giving a boost to unit labor costs after 2 years of declines.
    Going forward, the implications for inflation will be influenced by the extent and persistence of any slowdown in productivity.
    To date, with profit margins already high, competitive pressures have tended to limit the extent to which cost pressures have been reflected in higher prices.
    The inflation outlook will also be shaped by developments affecting the exchange rate of the dollar and oil prices. Although the dollar has been declining since early 2002, exporters to the United States apparently have held dollar prices relatively steady to preserve their market share, effectively choosing to absorb the decline in the dollar by accepting a reduction in their profit margins.
    However, the recent somewhat quickened pace of increases in U.S. import prices suggests that profit margins of exporters to the United States have contracted to the point where foreign shippers may exhibit only limited tolerance for additional reductions in margins should the dollar decline further.
    The sharp rise in oil prices over the past year has no doubt boosted firms' costs and may have weighed on production, particularly given the sizable permanent component of oil price increases suggested by distant-horizon oil futures contracts.
    However, the share of total business expenses attributable to energy costs has declined appreciably over the past 30 years, which has helped to buffer profits and the economy more generally from the adverse effect of high oil and natural gas prices.
    All told, the economy seems to have entered 2005 expanding at a reasonably good pace, with inflation and inflation expectations well anchored.
    On the whole, financial markets appear to share this view.
    In particular, a broad array of financial indicators convey a pervasive sense of confidence among investors.
    Over the past two decades, the industrial world has fended off two severe stock market corrections, a major financial crisis in developing nations, corporate scandals, and of course, the tragedy of September 11, 2001. Yet overall economic activity experienced only modest difficulties.
    Thus, it is not altogether unexpected or irrational that participants in the world marketplace would project more of the same going forward.
    Yet history cautions that people experiencing long periods of relative stability are prone to excess. We must thus remain vigilant against complacency, especially since several important economic challenges confront policy-makers in the years ahead.
    Prominent among these challenges in the United States is the pressing need to maintain the flexibility of our economic and financial system. This will be essential if we are to address our current account deficit without significant disruption.
    Central to that adjustment must be an increase in net national saving. This serves to underscore the imperative to restore fiscal discipline.
    Beyond the near term, benefits promised to a burgeoning retirement-age population under mandatory entitlement programs, most notably Social Security and Medicare, threaten to strain the resources of the working-age population in the years ahead.
    Real progress on these issues will unavoidably entail many difficult choices.
    But the demographics are inexorable and call for action before the leading edge of baby boomer retirement becomes evident in 2008.
    Another critical long-term economic challenge facing the United States is the need to ensure that our workforce is equipped with the requisite skills to compete effectively in an environment of rapid technological progress and global competition.
    But technology and, more recently, competition from abroad have grown to a point at which the demand for the least-skilled workers in the United States and other developed countries is diminishing, placing downward pressure on their wages. These workers will need to acquire the skills required to compete effectively for the new jobs that our economy will create.
    Although the long-term challenges confronting the United States economy are significant, I fully anticipate that they will ultimately be met and resolved.
    In recent decades, our nation has demonstrated remarkable resilience and flexibility when tested by events, and we have every reason to be confident that it will weather future challenges as well.
    For our part, the Federal Reserve will pursue its statutory objectives of price stability and maximum sustainable employment, the latter of which we have learned can best be achieved in the long run by maintaining price stability.
    This is the surest contribution that the Federal Reserve can make in fostering the economic prosperity and well being of our nation and its people.
    Mr. Chairman, thank you very much and I look forward to your questions.
    [The prepared statement of Hon. Alan Greenspan can be found on page 59 in the appendix.]
"
The Chairman," Thank you, Mr. Chairman.
    Let me begin with some questions, as you might guess, the issue du jour, Social Security and Social Security reform, and I think correctly put forward by the President.
    You have mentioned, for example, that the baby boomers really start drawing down on Social Security as early as 2008. So it does, I think, hopefully focus our attention on that very real fact and how we deal with it.
    This committee, of course, has been very interested in issues like capital formation, savings rates, interest rates, and the like, and you have been very helpful over the time that I have chaired this committee in leading us through some very difficult issues.
    One of the issues that I wanted to talk to you about today is the individual accounts and how they--not only how they would be structured, because I think our committee will have a serious interest in how that is accomplished--and secondly, what those individual accounts can do for the economy, and I would be interested in your comments.
    It seems to me that given an opportunity to create millions of worker capitalists in this country--to introduce a large segment of the population to issues like compound interest, dollar cost, averaging, building up ownership in one's retirement--is a pretty exciting proposition. What kind of increase would we have, for example, in the pool of capital available to American companies to expand and modernize and be competitive in a global economy?
    I saw a study the other day that said if the average worker were to invest half of his account in a stock fund, index fund, and half in a bond index fund, that the creation of those bond index funds and those savings would double the amount of money in the current bond market, which I would assume based on what you have said in the past would have a significant positive impact on interest rates going forward.
    I just throw those out to you because too many times I think we get lost in the issue of Social Security, and it is an important issue, but also what the overall effect could be on our country, that is individual citizens, as well as the economy.
    And I will just turn you loose on that.
"
