"Speaker","Speech"
"The Chairman","This is the semi-annual hearing held pursuant to the Humphrey-Hawkins Act. I should note that Mr. Hawkins is represented here in the fact that his successor in Congress is our colleague from Los Angeles, Ms. Waters. We are in the direct Humphrey-Hawkins' succession here. This is the semi-annual hearing. As people know, the Chairman of the Federal Reserve testifies before both the House and the Senate. He goes first here. Tomorrow, he goes to the Senate. This is one of those occasions when we can act first and have confidence that the Senate will in fact act second. We cannot always make that assumption, unfortunately, but we can in this case, because all they have to do is sit there and listen. We will begin. Under the rules of the committee, each side will have 8 minutes. We want to move quickly. We have divided up the time according to each side's decision. We will begin, and I will yield 2\1/2\ minutes to my colleague from Illinois, Mr. Foster, to begin the statements."
"Mr. Foster","Thank you, Mr. Chairman. As a scientist, I have always found that numbers are more illuminating than ideology and talking points, so on the chart that I believe will be displayed on the monitors in a moment, I have plotted some interesting numbers that I downloaded from the Flow of Funds Report that the Federal Reserve Web site updates each quarter. It shows that from July 2007 to March 2009, roughly the last year-and-a-half of the previous Administration, the net worth of households in the United States dropped by $17.5 trillion. Our economy is suffering from the aftermath of the largest destruction of wealth in human history. Under Democratic leadership, since the passage of the stimulus and other important initiatives, this trend has been reversed. Our economy is now stabilized and household net worth has increased by more than $5 trillion. The $17.5 trillion of wealth destroyed in the last months of the previous Administration is so large that it is hard to get your arms around. Just how large is $17.5 trillion: $17.5 trillion is more than 1.5 times the entire U.S. national debt; $17.5 trillion is more than 1 year of the U.S. GDP, which is roughly $14 trillion; $17.5 trillion is more than $57,000 for every man, woman, and child in the United States; and finally, $17.5 trillion is about 200 times larger than the anticipated losses in Fannie Mae and Freddie Mac. Let's talk for a moment about the return on investment of the stimulus. When the dust settles, the total cost to taxpayers of the stimulus, TARP, and the other emergency interventions in our economy will be roughly $1 trillion. In response, household wealth has rebounded by $5 trillion. I'm a businessman as well as a scientist and it seems to me that an investment of roughly $1 trillion that generates an increase in wealth of $5 trillion represents a pretty good return on investment. If I could have the next slide, let's talk about job loss and unemployment. A year ago, over 700,000 jobs were being lost every month and the job losses were increasing by 100,000 more jobs lost each additional month. The economy was spiraling toward another great Depression. After the passage of the stimulus and the other emergency measures to rescue our economy, job losses started decreasing promptly and job growth is said to turn positive by 2010. Unfortunately, job recovery always takes longer than people would like. Most downturns take 1 to 2 years, if you look at them in the stock market, and 2 to 3 years if you look at unemployment. That is just the way it is. It is very difficult for a reasonable person to look at this data and conclude that Democratic policies have not been effective at dealing with job loss. Finally, how did we get here?"
"The Chairman","The gentleman's time has expired."
"Mr. Watt","Mr. Chairman, might I yield him some of my time?"
"The Chairman","Yes, does the gentleman want to yield 30 seconds?"
"Mr. Watt","Yes, so he can finish. It is such a powerful statement he is making."
"The Chairman","I thank the gentleman from North Carolina."
"Mr. Foster","Finally, I would just like to make one last comment on how did we get here. It is important to understand that the $17.5 trillion of destruction of household wealth that our country just experienced was not the result of a normal business cycle. It was the result of an ideologically driven deregulation of the financial markets. Most importantly, it will happen again if we do not understand and acknowledge what happened and take steps to prevent it from recurring. Thank you. I yield back."
"The Chairman","I thank the gentleman from North Carolina. The gentleman from North Carolina will have 2 minutes and 10 seconds. The gentleman from Texas is now recognized, the ranking member of the Subcommittee on Domestic and International Monetary Policy, for 3 minutes."
"Dr. Paul","Thank you, Mr. Chairman. Welcome, Chairman Bernanke. I am interested in the suggestion that Mr. Volcker has made recently about curtailing some of the investment banking risk they are taking. In many ways, I think he brings up a very important subject and touches on it, but I think it is much bigger than what he has addressed. Back when we repealed Glass-Steagall, I voted against this, even though as a free market person, I endorse the concept that banks ought to be allowed to do commercial and investment banking. The real culprit, of course, is the insurance, the guarantee behind this, and the system of money that we have. In a free market, of course, the insurance would not be guaranteed by the taxpayers or by the Federal Reserve creating more money. The FDIC is an encouragement of moral hazard as well. I think the Congress contributes to this by pushing loans on individuals who do not qualify, and I think the Congress has some responsibility there, too. I also think there has been a moral hazard caused by the tradition of a line of credit to Fannie Mae and Freddie Mac and this expectation of artificially low interest rates helped form the housing bubble, but also the concept still persists, even though it has been talked about, that it is too-big-to-fail. It exists and nobody is going to walk away. There is always this guarantee that the government will be there along with the Federal Reserve, the Treasury, and the taxpayers to bail out anybody that looks like it is going to shake it up. It does not matter that the bad debt and the burden is dumped on the American taxpayer and on the value of the dollar, but it is still there. ``Too-big-to-fail'' creates a tremendous moral hazard. Of course, the real moral hazard over the many decades has been the deception put into the markets by the Federal Reserve creating artificially low interest rates, pretending there has been savings, pretending there is actually capital out there, and this is what causes the financial bubbles, and this is the moral hazard because people believe something that is not true, and it leads to the problems we have today because it is unsustainable. It works for a while, but eventually, we have to pay the price. The moral hazard catches up with us and then we see the disintegration of the system that we have artificially created. We are in a situation coming up soon, even though we have been already in a financial crisis, we are going to see this get much worse and we are going to have to address this subject of the monetary system and whether we want to have a system that does not guarantee that we will always bail out all the banks and dump these bad debts on the people, and that it is filled with moral hazard, the whole system is. When that time comes, I hope we come to our senses and decide that the free market works pretty well. It gets rid of these problems much sooner and much smoother than when it becomes politicized that some firms get bailed out and others get punished. It is an endless battle. Hopefully, we will see the light and do a better job in the future."
"The Chairman","The gentleman from North Carolina is now recognized for 2 minutes and 10 seconds."
