"Speaker","Speech","Type","Comments"
"The Chairman","This is the semiannual Humphrey-Hawkins hearing. I do want to mention before the time starts, let me tell the timekeeper, there is one sort of general thing I want to take note of. This is, as people know, the Humphrey-Hawkins bill named for its authors, Senators Hubert Humphrey and Gus Hawkins. A month from today will be Gus Hawkins' 100th birthday. He couldn't be with us today, but we know he is aware of the hearing. His successor in Congress will be with us, the gentlewoman from California, Ms. Waters. But we did want to take note of this very significant accomplishment and wish Gus a very happy birthday as we his observe his birthday one month in advance with this very important part of his legacy. Now, beginning my statement, I want to express my appreciation for the part of the statement that deals with consumer problems. This a very important step forward. And I want to say that I think there have been some partially inaccurate stories in the press. It appears to me there is some unhappiness with the Chairman over consumer inactivity. In fact, I have historically been concerned about the Fed's failure to do that, and particularly their failure to use the authority they have had under the Federal Trade Act to spell out unfair deceptive practices. But this is something that well pre-dated the Chairman and that he is, in fact, addressing. And so I do not think it is appropriate for people to impute this unhappiness to him. As I read the report, and sort of the last 3 or 4 pages of the report were about this consumer issue, it became very clear to me that this is not ``Uncle Alan's semiannual report.'' We think that we are moving forward on this. I do, however, want to, in my statement, address the economic issue, the macroeconomic issue. Obviously the subprime and some issues are economic. I appreciate the Chairman's reemphasis in his opening remarks of the Fed's commitment to the dual mandate to dealing both with inflation and the need to restrain inflation and to maximize employment. But Mr. Chairman, we have an honest intellectual difference here. I must say I think this is an instance of cultural lag. That is, I believe that the single most pressing economic issue facing the country today is the excessive and growing inequality. And I want to read from a report issued under the auspices of Don Evans, President Bush's first Secretary of Commerce and a close friend of the President, the head of the Financial Services Forum, a 3-member panel that he commissioned, including Grant Aldonas, who was a high ranking Commerce Department official with trade responsibilities under President Bush, and Matthew Slaughter, immediate past member of the Council of Economic Advisors. And here on page 7, we have copies of this report available, and I think this is essential, this is a report put out by Secretary of Commerce Evans: Two of the three authors were high ranking economic officials of the Bush Administration, this Bush Administration. ``From the mid-to-late 1970's to the mid-to-late 1990's, the real and relevant earnings of less skilled Americans was poor relative to both economy-wide average productivity gains and also the earnings of their more-skilled counterparts. And since around 2000 the large majority of American workers has seen poor income growth. Only a small share of workers at the very high end has enjoyed strong growth in incomes. The strong U.S. productivity growth of the past several years has not been reflected in broad growth in wage and salary earnings.'' That is a fact that we need to accept. It is reinforced. Some statistics can be used in other ways, and people sometimes do averages, but I would call people's attention to the footnote on page 6 of the Monetary Policy Report that Chairman Bernanke has submitted. Let me read the footnote: ``According to the published data, real disposable personal income rose at an annual rate of 4\3/4\ percent in the first quarter of this year. However, a substantial part of the increase occurred because the Bureau of Economic Analysis added $50 billion at an annual rate to its estimate of first quarter wages and salaries in response to information that bonus payments and stock option exercises around the turn of the year were unusually large. Because the BEA did not assume that these payments carried forward into April real disposable personal income fell sharply in that month.'' By the way, the figure that is given by that largely Republican panel on economic growth, which I talked about, is that about 3.8 percent of the population has seen real growth in income in these past 6 years and the rest have not, and some have seen a real erosion. That includes, by the way, people's college education. Education does not appear to be the talisman that dissolves this. Here is our problem: The resentment that is generated by that is a significant problem in America today. A couple of weeks ago, the immigration bill blew up noisily. Trade promotion authority expired very unnoisily, not only not with a bang, not even with a whimper; it just went away. In neither case, in my view, were the defeat of those two measures, whether people liked them or not, due to problems and issues intrinsic to those measures. The key factor was the anger on the part of that large percentage of Americans who were not seeing any of the increase in wealth being distributed to them who say, ``No, we are not going forward.'' I think, in some cases, the anger was displaced at the wrong enemy, but the anger is there. My problem, Mr. Chairman, is that the report and the proposal, in some ways, will make this worse. Here's where we are. The report and your statements say that you expect us to grow slightly below trend for the rest of this year and next year, the trend being 3 percent of growth, and we are in the 2-plus percent. I do want to say semantically that when we are projected to be somewhat below growth, the answer is near trend. When we are above it, it says above. While mere trend means below trend. At the same time, you predict an increase in unemployment. Not a huge one, but up into the 4\3/4\ range. You know, that softness in the labor market is one of the things that will erode real wages. The only time we got real increases in real wages for the large number of people in the population was in the late 1990's when unemployment went to 3.9 percent. We hit a very tight labor market, because we have had an erosion of institutions that help labor in this country, as Peter Temin and Frank Levy pointed out in their MIT paper, which we have available. So we are really dependent on a high level of overall growth. You also predict, so you say, growth below trend--a slight increase in unemployment and you expect inflation to moderate. But in fact, in an odd phrase, you say the real danger is that inflation will fail to moderate as you expect it to. So your lack of confidence in your expectation says that the likeliest thing you ought to do is to raise interest rates and slow things down. That is you see the major danger is inflation. If you see the major danger is inflation at a time when inflation appears to be stable, and inflation expectations and the concept important to you appear to be fairly well-anchored for the long term, and we appear to be growing at somewhat below trend, not a huge amount, but below trend, and unemployment is going to go up, at best, we are going to continue this problem. You do note, and I appreciate this, that historically profits greatly increase, greatly exceed wages. Let me read the exact, and I give myself an extra minute to read this. I will make up for it in my questioning. But there is a specific reference to the fact that given historic trends, there is room for wages to go up and profits still would be in very good shape without it having an inflationary impact. And so with that, with wages having lagged significantly for years, with a very small percentage of the population having gotten any real increase in the last 5 years, with inflation predicted to be stable, with growth predicted to be below trend by a little bit, unemployment predicted to rise, even as the labor force drops, which means slower job growth, you say the main concern is inflation. I think that is cultural lag. I would have understood that better some time ago. But given the social--and, by the way, I would throw in here the savings rate. People omit the absence of a savings rate. When only 3.8 percent of the population has gotten any real increase in their wages, in their take-home pay in the last 5 years, what is it that people expect them to save, cancelled stamps? People can't save money if at the end of the month they don't have any, if their wages have not come up. So with all that, the conclusion that the main danger facing us now, or the more important one, is inflation, troubles me, because I think, at best, this current situation of increasing inequality, with all of its negative social, economic, and political consequences, stays as is and could get worse. I now recognize the gentleman from Alabama.","Speech",""
"Mr. Bachus","I thank the chairman, and Chairman Bernanke, thank you for your support and continued strong and wise stewardship of our Nation's monetary policy. As I said when you appeared before this committee in February, there is a difference of opinion on the strength of the economy. I would like to review some of the facts, which I think are hard to argue with. First of all, economic growth is robust, as illustrated by 132,000 new jobs created in June alone, and as you say in your testimony, 850,000 since the start of the year--over 8 million new jobs created since August of 2003. Unemployment remains low. Despite higher oil prices, and really it is something I am going to mention later in my remarks, oil has gone from $50 to $75 a barrel just from the middle of January. And despite the rise in energy cost, inflation is under control following the 2.4 percent in February 2, 2007, and 1.9 percent in May. While it has slowed recently, productivity has averaged 2.8 percent growth since 2001, well above the average productivity growth experienced in the 1970's, 1980's, or 1990's. Real wages have shown a healthy increase over the past year. And are supporting concerned strong consumer spending, even in the face of declines in real estate values in many areas of the country. The stock market continues to deliver superior returns to investors. This economic success story is a result of sound economic policies pursued, I believe, by this Republican Administration, by our Treasury Department, and by the Federal Reserve. They are also a testament to the hard work and innovation of American businesses and workers who comprise the American economy. Chairman Bernanke, I believe you deserve a great deal of credit for the performance of the economy as well. Instead of micromanaging monetary policy, you have held an absolutely steady hand for a year now balancing the tension between modest upside inflation risk and modestly slower growth. No one has summarized your tenure at the Fed better than The New York Times. In a June 25th story, less than a month ago, they said this, ``Could an ivy league academic like this ever have street credibility?'' The answer is clear: yes, yes, and yes again. The same article also observed that the economy today is pretty much exactly where Mr. Bernanke hoped it would be one year ago. Economic growth has slowed slightly, gradually reducing inflationary pressures. And while job creation has slowed, unemployment remains low at 4.5 percent. That is The New York Times. Before I conclude my remarks, Mr. Chairman, I would like to bring your attention to two topics of particular interest to members of this committee. First, as you know, Chairman Frank and I are both concerned over the recent turmoil in the subprime lending market. Just last week, Representatives Gillmor, Pryce, Miller, LaTourette, Capito, and I introduced legislation on this subject. Developing a consensus solution to this problem, while determining the Fed's proper role in regulating the mortgage industry, are priorities for Members on both sides of the aisle. The committee would benefit from your thoughts on the current state of the subprime mortgage market and its potential impact in the larger economy. And second, Mr. Chairman, the Fed, it has often been said, has a dual mandate, and that is price stability and full employment. While that mandate has certain factors that are more subject to management and control than others, there is one wild card, possibly two, when you talk about core inflation and then backing out energy and food. The wild card to me, and the disturbing factor in our economy, is energy cost over which the Federal Reserve has very little short term or long term influence. As I said earlier, the price of oil, if you go back to July of last year, $75, where it is today, but we have gone down to $50 a barrel and back up to $75. Some people say we will get relief because there may be an economic slowdown in China or India or Europe and that may bring us relief, but that would not be good for the economy. So we get in a situation where China is growing at 11 percent. Their energy demands are growing. And U.S. manufacturing, in fact, the largest contributor to job loss in this country over the last 10 years is the high cost of energy. And yet this Congress, for 10 years--for a year or two we have talked about the subprime situation. I would tell colleagues on both sides of the aisle, for 10 years, we have been talking about our dependency on foreign oil, we have been talking about the high cost of energy, we have talked about its devastating impact on employment and on manufacturing, but yet we have done nothing. China is building a new nuclear power plant every week. With every plant they bring online, they reduce the cost of energy and increase their competitiveness over us. Mr. Chairman, I believe that Congress' failure over many years to address this energy cost has created and will continue to create real problems for the Federal Reserve as you try to cope with both price stability and full employment, because I think the high cost of energy is a wild card over which you have no control. And it is my greatest concern, and I am sure it is a great concern to you moving forward. Let me conclude by saying that members--both Republican and Democrat--on this committee respect your experience, your judgment, and your obvious commitment to keeping America's economy strong and competitive. We appreciate you being here and look forward to your comments.","Speech"," "
"The Chairman","The gentleman from Illinois, the chairman of the Domestic and International Monetary Policy Subcommittee, is recognized for 3 minutes.","Speech"," "
"Mr. Gutierrez","Thank you, Chairman Frank, and good morning, Chairman Bernanke, and welcome back. I think you will hear some of the same major themes from this side of the aisle that you heard in February. There is good reason for this, I believe. I can tell you that when I go back to my district and meet with middle class and lower middle class working Americans, they just aren't feeling the benefits of a growing economy. Jobs can be found, but they aren't necessarily steady, well-paying jobs. And those who have steady work are facing stagnant wages. So much of the discussion I am hearing from economists about inflationary concerns caused by rising labor costs just don't ring true with many workers, at least not in my district. More than tangible concerns, many of my constituents just feel uneasy about their economic security. Of course, these are the same families who are feeling the crunch of rising health care costs and increasing costs of education, all the while trying to save for retirement. It is not just that these families are living paycheck-to-paycheck; it is that they have little or no savings, and in some cases, no bank accounts at all, so they pay higher interest rates and more fees for basic financial services than they should. I raise the issue of inequality, Chairman Bernanke, because I believe economic inequality is a product of monetary policy choices. And I believe that inequality is inside the scope of the Federal Reserve's ``dual mandate.'' Yesterday, Chairman Frank assembled an excellent panel of economists that he referred to earlier in a hearing held before the committee on the dual mandate. One of the economists who testified, James Galbraith, recently completed a study on whether the Federal Reserve has observed the dual mandate. One of the findings of the study is that inequality in pay or earnings, especially in the manufacturing sector, does react to rate setting decisions of the Federal Reserve, and that in the statistical sense monetary policy causes inequality. I would like you to respond to Mr. Galbraith's assertions and discuss whether or not the Federal Open Market Committee considers economic inequality issues as a factor in setting our monetary policy. I thank you and I yield back the balance of my time.","Speech"," "
"The Chairman","The gentleman from Texas, Mr. Paul, the ranking member of the subcommittee.","Speech"," "
"Dr. Paul","Thank you, Mr. Chairman, and welcome Chairman Bernanke. I share your concern for the inequality that has developed in our country. I think it is very real, I think it is a source of great resentment, and unfortunately, I think it is one of those things that puts a lot of pressure on Congress to increase the amount of government programs and government spending, which I do not think is the answer. I believe the inequality comes specifically from the type of currency we have. When there is a deliberate debasement of a currency, it is predictable that the middle class is injured, the poor are hurt, and there is a transfer of wealth to the wealthy, and until we understand that, I do not believe we can solve this problem. And if we resort to continued monetary inflation and more government programs, we will only make this inequality worse. This is exactly the opposite of what happens when you have a sound currency and free markets, because it is the sound currency and free markets which creates the middle class and creates prosperity and allows the best distribution of this wealth. Inflation is a monetary phenomenon. It comes from the Federal Reserve system. The Federal Reserve has tremendous pressure put on them, because almost everybody wants low interest rates, except if you happen to be a saver, then you might not like artificially low interest rates. But, of course, that contributes to the lack of savings, which is another problem that we have in this country. We concentrate on inflation by implying, and everybody casually accepts that inflation is a price problem. But the prices that go up are one of the consequences of inflation. Inflation causes malinvestment, it causes excessive debt, and it causes financial bubbles that we have to deal with. But we have a lot of information today available to us to show that there is a lot of monetary inflation going on. For instance if you look at MZM, it is growing at almost a 9 percent rate. M3 is no longer available to us from official sources, but private sources tell us it is growing at a 13 percent rate. Of course, we can reassure ourselves and say that the CPI is growing at a 2.6 percent rate. But if you go back to the old method of calculating the CPI, closer to what the average person is suffering, and one of the reasons why there is inequality going on, is it is growing at over a 10 percent rate. The fact that the dollar is weak on the international exchange markets cannot be ignored. For instance, in just 6 months, the Canadian dollar increased 11 percent against our dollar. This should stir up some concerns. But one concern that I have, that I think is causing more problems and keeps us from coming to a solution, is the divorce between the exchange value of a dollar on the international exchange markets and the effort to lower the value of a dollar in order to increase exports, which can only be done through inflation, at the same time, believing that we can have stability in prices at home, because that is a disconnect that is not possible. If we strive for a lower dollar in exchange markets, we will have price increases here at home and we have to deal with it. I yield back.","Speech"," "
"The Chairman","Thank you. Mr. Chairman, I appreciate, as I said, the comments and the efforts you are now undertaking regarding subprime, and we will work more with those. I will be talking not much about those this morning, but I do want to acknowledge that is a significant advance, and we look forward to working together. I also want to comment, I was just reading my clips as they come in, and I had one commentary saying that the difference between us was that I continued to believe in the Phillips Curve, and you do not. And I don't. In fact, one of the things that I have credited Chairman Greenspan for was in the 1990's ignoring those who told him that if unemployment dropped below first 6 percent, then 5\1/2\ percent, then 5 percent, and then 4\1/2\ percent, it would be inevitably inflationary. It seems to me that this whole notion of a nonaccelerating inflation rate of unemployment turned out only to be a lagging indicator of unemployment. As unemployment dropped, people dropped that rate, but it never had that prediction. I think we were dealing with the real economy, and here are the issues, but here is my concern: It is on the inequality issue, which I think has become a significant political problem, and I assume you were not happy to see trade promotion authority die. My guess is that you thought we should have some form of an immigration bill. And again, I would stress, I don't think that the solution to either of those problems is intrinsic to those problems. It is the sea in which they have to survive that has turned against them. We know what the numbers are in inequality. What troubles me a little bit is that in the report, and I do remember in previous reports references to wages, there are no wage indexes in here. There are compensation indexes, which as you acknowledge, and we know, include pensions and include healthcare. But given what you expect to go forward, let me ask you, for I think it is one of the most important predictions, going forward do you see any abbreviation of this trend of the distribution of wealth being as concentrated as it now is. It is documented in the report that I assume you are familiar with that Don Evans put forward, where 3.8 percent of the population has gotten real wage increases in the last 5 years. Do you see any abbreviation of that trend going forward?","Speech"," "
"Mr. Bernanke","Well, I have discussed this issue in a number of contexts. I think that in order to alleviate--","Speech"," "
"The Chairman","I apologize. You haven't given your opening statement yet. And you can comment now if you want to. I was wondering why the time hadn't started yet. If this had been my first hearing, I could explain that mistake a little bit easier. No good explanation comes to mind. You can comment now or just do your opening statement and come back to it.","Speech"," "
"Mr. Bernanke","I will do my opening statement. Thank you. Chairman Frank, Ranking Member Bachus, and members of the committee, I am pleased to present the Federal Reserve's Monetary Policy Report to the Congress. As you know, this occasion marks the 30th year of semiannual testimony on the economy and monetary policy for the Federal Reserve. In establishing these hearings--Mr. Hawkins and Mr. Humphrey were mentioned--the Congress proved prescient in anticipating the worldwide trend toward greater transparency and accountability of central banks in making monetary policy. Over the years, these testimonies and the associated reports have proved an invaluable vehicle for the Federal Reserve's communication with the public about monetary policy, even as they have served to enhance the Federal Reserve's accountability for achieving the dual objectives of maximum employment and price stability set forth by the Congress. I take this opportunity to reiterate the Federal Reserve's strong support of the dual mandate. In pursuing maximum employment and price stability, monetary policy makes its greatest possible contribution to the general economic welfare. Let me now review the current economic situation and the outlook beginning with developments in the real economy and the situation regarding inflation before turning to monetary policy. I will conclude with comments on issues related to lending to households and consumer protection, topics not normally addressed in monetary policy testimony, but in light of recent developments deserving of our attention today. After having run at an above-trend rate earlier in the current economic recovery, U.S. economic growth has proceeded during the past year at a pace more consistent with sustainable expansion. Despite the downshift in growth, the demand for labor has remained solid with more than 850,000 jobs being added to payrolls thus far in 2007 and the unemployment rate having remained at 4\1/2\ percent. The combination of moderate gains in output and solid advances in employment implies that recent increases in labor productivity have been modest by the standards of the last decade. The cooling of productivity growth in recent quarters is likely the result of cyclical or other temporary factors, but the underlying pace of productivity gains may also have slowed somewhat. To a considerable degree, the slower pace of economic growth in recent quarters reflects the ongoing adjustment in the housing sector. Over the past year, home sales in construction have slowed substantially and house prices have decelerated. Although a leveling off of home sales in the second half of 2006 suggested some tentative stabilization of housing demand, sales have softened further this year, leading the number of unsold new homes in builders' inventories to rise further relative to the pace of new home sales. Accordingly, construction of new homes has sunk further, with starts of new single family houses thus far this year running 10 percent below the pace in the second half of last year. The pace of home sales seems likely to remain sluggish for a time, partly as a result of some tightening and lending standards and the recent increase in mortgage interest rates. Sales should ultimately be supported by growth in income and employment, as well as by mortgage rates that--despite the recent increase--remain fairly low relative to historical norms. However, even if demand stabilizes as we expect, the pace of construction will probably fall somewhat further as builders work down the stocks of unsold new homes. Thus, declines in residential construction will likely continue to weigh on economic growth over coming quarters, although the magnitude of the drag on growth should diminish over time. Real consumption expenditures appear to have slowed last quarter following two quarters of rapid expansion. Consumption outlays are likely to continue growing at a moderate pace, aided by a strong labor market. Employment should continue to expand, though possibly at a somewhat slower pace than in recent years as a result of the recent moderation in the growth of output and ongoing demographic shifts that are expected to lead to a gradual decline in labor force participation. Real compensation appears to have risen over the past year, and barring further sharp increases in consumer energy costs, it should rise further as labor demand remains strong and productivity increases. In the business sector, investment in equipment and software showed a modest gain in the first quarter. A similar outcome is likely for the second quarter, as weakness in the volatile transportation equipment category appears to have been offset by solid gains in other categories. Investment in nonresidential structures, after slowing sharply late last year, seems to have grown fairly vigorously in the first half of 2007. Like consumption spending, business fixed investment overall seems poised to rise at a moderate pace, bolstered by gains in sales and generally favorable financial conditions. Late last year and early this year, motor vehicle manufacturers and firms in several other industries found themselves with elevated inventories, which led them to reduce production to better align inventories with sales. Excess inventories now appear to have been substantially eliminated and should not prove a further restraint on growth. The global economy continues to be strong. Supported by solid economic growth abroad, U.S. exports should expand further in coming quarters. Nonetheless our trade deficit, which was about 5\1/4\ percent of nominal gross domestic product in the first quarter, is likely to remain high. For the most part, financial markets have remained supportive of economic growth. However, conditions in the subprime mortgage sector have deteriorated significantly reflecting mounting delinquency rates on adjustment rate loans. In recent weeks, we have also seen increased concerns among investors about credit risk on some other types of financial instruments. Credit spreads on lower quality corporate debt have widened somewhat and terms for some leveraged business loans have tightened. Even after their recent rise, however, credit spreads remain near the low end of their historical ranges and financing activity in the bond and business loan markets has remained fairly brisk. Overall, the U.S. economy appears likely to expand at a moderate pace over the second half of 2007 with growth then strengthening a bit in 2008 to a rate close to the economy's underlying trend. Such an assessment was made around the time of the June meeting of the Federal Market Committee by the members of the Board of Governors and the presidents of the Reserve Banks, all of whom participate in deliberations on monetary policy. The central tendency of the growth forecast, which are conditioned on the assumption of appropriate monetary policy, is for real GDP to expand roughly 2\1/4\ to 2\1/2\ percent this year and 2\1/2\ to 2\3/4\ percent in 2008. The forecasted performance for this year is about \1/4\ percentage point below that projected in February, the difference being largely a result of weaker than expected residential construction activity this year. The unemployment rate is anticipated to edge up between 4\1/2\ and 4\3/4\ percent over the balance of this year and about 4\3/4\ percent in 2008, a trajectory about the same as the one expected in February. I turn now to the inflation situation. Sizable increases in food and energy prices have boosted overall inflation and eroded real incomes in recent months, both unwelcome developments. As measured by changes in the price index for personal consumption expenditures (PCE inflation), inflation ran at an annual rate of 4.4 percent over the first 5 months of this year, a rate that, if maintained, would clearly be inconsistent with the objective of price stability. Because monetary policy works with a lag, however, policymakers must focus on the economic outlook. Food and energy prices tend to be quite volatile, so that, looking forward, core inflation (which excludes food and energy prices) may be a better gauge than overall inflation of underlying inflation trends. Core inflation has moderated slightly over the past few months, with core PCE inflation coming in at an annual rate of about 2 percent so far this year. Although the most recent readings on core inflation have been favorable, month-to-month movements in inflation are subject to considerable noise, and some of the recent improvement could also be the result of transitory influences. However, with long-term inflation expectations contained, futures prices suggesting that investors expect energy and other commodity prices to flatten out, and pressures in both labor and product markets likely to ease modestly, core inflation should edge a bit lower, on net, over the remainder of this year and next year. The central tendency of FOMC participants' forecast for core PCE inflation--2 to 2\1/4\ percent for 2007 and 1\3/4\ to 2 percent in 2008--is unchanged from February. If energy prices level off as currently anticipated, overall inflation should slow to a pace close to that of core inflation in coming quarters. At each of its four meetings so far this year, the FOMC has maintained its target for the Federal funds rate at 5\1/4\ percent, judging that the existing stance of policy was likely to be consistent with growth running near trend and inflation staying on a moderating path. As always, in determining the appropriate stance of policy, we will be alert to the possibility that the economy is not evolving in the way we currently judge to be the most likely. One risk to the outlook is that the ongoing housing correction might prove larger than anticipated with possible spillovers onto consumer spending. Alternatively, consumer spending, which has advanced relatively vigorously, on balance, in recent quarters, might expand more quickly than expected; in that case, economic growth could rebound to a pace above its trend. With the level of resource utilization already elevated, the resulting pressures in labor and product markets could lead to increased inflation over time. Yet another risk is that energy and commodity prices could continue to rise sharply leading to further increases in headline inflation, and if those costs pass through to the prices of nonenergy goods and services, to higher core inflation as well. Moreover, if inflation were to move higher for an extended period and the increase became embedded in longer-term inflation expectations, the reestablishment of price stability would become more difficult and costly to achieve. With the level of resource utilization relatively high and with the sustained moderation in inflation pressures yet to be convincingly demonstrated, the FOMC has consistently stated that upside risks to inflation are its predominant policy concern. In addition to its dual mandate to promote maximum employment and price stability, the Federal Reserve has an important responsibility to help protect consumers in financial services transactions. For nearly 40 years, the Federal Reserve has been active in implementing, interpreting, and enforcing consumer protection laws. I would like to discuss with you this morning some of our recent initiatives and actions, particularly those related to subprime mortgage lending. Promoting access to credit and to home ownership are important objectives, and responsible subprime mortgage lending can help to advance both goals. In designing regulations, policymakers should seek to preserve those benefits. That said, the recent rapid expansion of the subprime market was clearly accompanied by deterioration in underwriting standards, and in some cases, by abusive lending practices and outright fraud. In addition, some households took on mortgage obligations they could not meet, perhaps in some cases because they did not fully understand the terms. Financial losses have subsequently induced lenders to tighten their underwriting standards. Nevertheless, rising delinquencies in foreclosures are creating personal, economic, and social distress for many homeowners and communities, problems that likely will get worse before they get better. The Federal Reserve is responding to these difficulties at both the national and the local levels. In coordination with other Federal supervisory agencies, we are encouraging the financial industry to work with borrowers to arrange prudent loan modifications to avoid unnecessary foreclosures. Federal Reserve banks around the country are cooperating with community and industry groups that work directly with borrowers who are having trouble meeting their mortgage obligations. We continue to work with organizations that provide counseling about mortgage products to current and potential homeowners. We are also meeting with market participants--including lenders, investors, servicers, and community groups--to discuss their concerns and to gain information about market developments. We are conducting a top-to-bottom review of possible actions we might take to help prevent recurrence of these problems. First, we are committed to providing more effective disclosures to help consumers defend against improper lending. Three years ago, the Board began a comprehensive review of Regulation Z, which implements the Truth in Lending Act (TILA). The initial focus of our review was on disclosures related to credit cards and other revolving credit accounts. After conducting extensive consumer testing, we issued a proposal in May that would require credit card issuers to provide clearer and easier-to-understand disclosures to customers. In particular, the new disclosures would highlight applicable rates and fees, particularly penalties that might be imposed. The proposed rules would also require card issuers to provide 45 days' advance notice of a rate increase or any other change in account terms so that consumers will not be surprised by unexpected charges and will have time to explore alternatives. We are now engaged in a similar review of the TILA rules for mortgage loans. We began this review last year by holding four public hearings across the country during which we gathered information on the adequacy of disclosures for mortgages, particularly for nontraditional and adjustable rate products. As we did with credit card lending, we will conduct extensive consumer testing of proposed disclosures. Because the process of designing and testing disclosures involves many trial runs, especially given today's diverse and sometimes complex credit products, it may take some time to complete our review and propose new disclosures. However, some other actions can be implemented more quickly. By the end of this year, we will propose changes to TILA rules to address concerns about mortgage loan advertisements and solicitations that may be incomplete or misleading and to require lenders to provide mortgage disclosures more quickly so that consumers can get the information they need when it is most useful to them. We already have improved a disclosure that creditors must provide to every applicant for an adjustable rate mortgage to explain better the features and risks of these products, such as ``payment shock'' and rising loan balances. We are certainly aware, however, that disclosure alone may not be sufficient to protect consumers. Accordingly, we plan to exercise our authority under the Home Ownership and Equity Protection Act (HOEPA) to address specific practices that are unfair or deceptive. We held a public hearing on June 14th to discuss industry practices, including those pertaining to prepayment penalties, the use of escrow accounts for taxes and insurance, stated income and low documentation lending, and the evaluation of a borrower's ability to repay. The discussion and ideas we heard were extremely useful, and we look forward to receiving additional public comments in coming weeks. Based on the information we are gathering, I expect that the Board will propose additional rules under HOEPA later this year. In coordination with the other Federal supervisory agencies, last year we issued principles-based guidance on nontraditional mortgages, and in June of this year, we issued supervisory guidance on subprime lending. These statements emphasize the fundamental consumer protection principles of sound underwriting and effective disclosures. In addition, we reviewed our policies related to the examination of nonbank subsidiaries of bank and financial holding companies for compliance with consumer protection laws and guidance. As a result of that review, and following discussions with the Office of Thrift Supervision, the Federal Trade Commission, and State regulators, as represented by the Conference of State Bank Supervisors and the American Association of Residential Mortgage Regulators, we are launching a cooperative pilot project aimed at expanding consumer protection compliance reviews at selected nondepository lenders with significant subprime mortgage operation. These reviews will begin in the fourth quarter of this year and will include independent State- licensed mortgage lenders, nondepository mortgage lending subsidiaries of bank and thrift holding companies, and mortgage brokers doing business with or serving as agents of these entities. The agencies will collaborate in determining the lessons learned and in seeking ways to better cooperate in ensuring effective and consistent examinations and improved enforcement for nondepository mortgage lenders. Working together to address jurisdictional issues and to improve information sharing among agencies, we will seek to prevent abusive and fraudulent lending while ensuring that consumers retain access to beneficial credit. I believe that the actions I have described today will help address the current problems. The Federal Reserve looks forward to working with the Congress on these important issues. Thank you, Mr. Chairman.","Statement","STATEMENT OF THE HONORABLE BEN S. BERNANKE, CHAIRMAN, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM"
