"Speaker","Speech","Type","Comments"
"The Chairman","The committee will come to order. Chairman Bernanke, good morning. In February, this committee was proud to be the venue for your first appearance before Congress on the conduct of monetary policy. Today marks your second appearance, with many more yet to come. In 2001, shortly after I assumed the chairmanship of this committee, the very first hearing I chaired was to receive the testimony of former Chairman Greenspan. We didn't know it at the time, but we had a very rough patch of economic road ahead with the bursting of the tech bubble; and 9/11 and the resulting insurance crisis and the corporate bankruptcies. Back then, we had a weak economy that everyone said was strong. Now we have a strong economy that some are trying to convince us is weak. Some of the credit for the current robust economy goes to the Federal Reserve, of course, where you and Chairman Greenspan have held inflation to lower levels and lower volatility than we have seen in all but 20 years of the life of the Federal Reserve. I would like to enter a chart showing that into the record. The lion's share of the credit goes to President Bush, who had the steadiness to guide us through recession and the courage to do the right thing in seeking tax cuts to spur growth. Now we see that the biggest spurt in tax revenue growth in 40 years has trimmed our expected 2006 deficit by a third in just 6 months, and is on track to drop the deficit as a percentage of GDP to less than half of the similar share in most European economies. Some of the credit goes to Congress, which made the tax cut stick, although we still have some work to do on making tax cuts permanent, and on spending discipline. But the largest credit of all goes to the American people, who with determination, character, and heart, showed what a great country this really is. America suffered a recession, a massive terror attack, scandals of corporate governance, and a destructive hurricane season. Through all of that, we have added 5.4 million jobs in the last 3 years; we have had 34 uninterrupted quarters of growth; we have an unemployed rate lower than that of most of the last 40 years; and we also have growth at or above the average rate for all 6 postwar decades. In June alone, the U.S. economy created 121,000 new jobs, and maintained a low 4.6 unemployment rate. I would be remiss if I did not point out that the unemployment rate is lower than the 6 percent floor that the economists used to call full employment. GDP growth for the first quarter was 5.6 percent, stronger than expected, and the fastest growth in two-and-a-half years. That, Mr. Chairman, is something we can all be proud of. This is a remarkable country and a remarkable economy that constantly renews and reinvents itself--the flexibility that Chairman Greenspan talks so much about. The Federal Reserve has led monetary policy extremely well, and I am certain that will continue to be the case during your tenure. Mr. Chairman, America is doing well, and will continue to do well. Of course, we will continue to have to work and think and innovate, because other countries have smart people and good economies as well. However, since the recession and the terror attacks, this country's economy has grown a great deal. In real terms, U.S. growth alone is half as big as the total economy of China. So with that, Mr. Chairman, I thank you and all of the many people at the Federal Reserve, most of whom we have never met, for their insight and experience and dedication. And we look forward to your testimony, Chairman Bernanke. And with that, I yield back the balance of my time and now recognize the ranking member, the gentleman from Massachusetts.","Speech",""
"Mr. Frank","Thank you, Mr. Chairman. It is true that we have had growth, but we have had the most unequally distributed growth recently in my memory, and the consequences of that are severe. Let's begin with where we are in America today. The Doha Round is foundering, and there is a desperate need to get it done for those who want it done because of the perception that Congress would not renew the fast track authority to the President. There was a reaction to the Dubai Ports matter that I believe most in the business community, most of the economists and financial people, thought was overdone. The President found--to his surprise, I think--resistance to his approach on immigration. There are resistances coming to efforts to implement productivity. What you have is a kind of revolt on the part of the average American against globalization, against the adaptation of new technology, which was kind of summed up somewhat wistfully by Mr. Allan Hubbard, the director of the National Economics Council--a week ago he said, ``Obviously it is frustrating to us that the American people don't recognize how well the economy is doing.'' Or as Chico Marx said, ``Who are you going to believe, me or your own pocketbook?'' The reason the American people don't recognize how well the economy is doing, and the reason they are angry and are balking at many of the things that I believe you would like to see us do, Mr. Bernanke, is that they are not doing well. The economy is, but there is a disconnect between the average American and the economy. First, talking about jobs, it is true we have gotten some jobs; my friend, the chairman, said, ``Look, 120,000 jobs.'' Only 120,000 jobs used to be a bad thing. What the Administration has given us is the evolution of diminishing expectations. That chart represents their projections of how many jobs will be created each month, beginning in 2003, after they said the tax cuts have had an effect and after the recession. There has been a constantly declining prediction by the Administration of how many jobs we would create. So it is true that if you define victory low enough, you can often achieve it, except that they haven't. Even as it has declined, they have rarely met it. The other, of course, is a comparison of job creation on the left side in the Clinton years and in the Bush years. Take comparable periods, 2 years, starting 2 years into each presidency so they are not accused or blamed for what happened before. Two years in each presidency; those are the job numbers. So 120,000 jobs under the Clinton years would have been considered to be a serious problem, but the problem is not just job creation. Yes, unemployment is low, although it is low in large part because of the drop in labor participation, and exactly what causes that, we don't know. What effects that will have over long-term economic growth, we don't know. But it is also the case that we have low unemployment because we have the lowest percentage of people in the workforce. But here is the serious problem--real wages. Real wages are the red chart; that is, wages corrected for inflation. Now, we are told that wages go up with a lag in their recovery, but the reverse has happened here. Assuming the recovery begins in 2003, maybe even earlier, real wage growth is very small in 2004--2003. It is negative in 2005--2004 and negative in 2005, and barely there today. That is, real wages are lagging inflation, and I must say, Mr. Bernanke, I was disappointed that in your discussion in the monetary report--not your statement--pages 16 and following, when you talk about compensation, it is nominal. It is not real. And I think that talking unadjusted terms about wages unfairly gives people the impression that things are better than they are. I wish that you would have used real wages. And in your statement, part of the problem, frankly, is-- and I will ask you about this on page 3 of your statement--you talk about labor costs, but you talk about wages as a cost. Your discussion of wages does not address them as the wage families support themselves, but as a constraint in the economy. Let me quickly go to the next chart. Not only have wages lagged inflation, they have lagged productivity. They have lagged corporate profits. What we have is a--in this chart on the left, you have what has happened to the share of national income that goes to wages. It has gone from 66 percent to 63 percent. On the other side, you have what has happened--this is from 2002 to 2006, the share that has gone to corporate profits. It has nearly doubled from 8.5 percent to 14.4 percent, so real wages have dropped in the last couple of years. Labor's share of the national income has dropped from 66 percent to 63 percent, and corporate profits have gone way up. And then finally, you do have the question of productivity on the next chart. Here we have productivity compared to real wages, and you look in particular in these last 3 years, productivity goes way up, way above historic trend, and real wages go down. Now, we have--and I will take this 30 seconds, Mr. Chairman, thank you. We have concern that wages will be inflationary. In fact, exactly the opposite has been the case. Where you have a situation where productivity greatly outstrips real wages, you clearly have room--and here is what you have: productivity greatly outstripping real wages; real wages dropping over the last couple of years; and corporate profits skyrocketing. To continue to treat possible wage increases as a problem for the economy is to perpetuate the growing inequality we have. So when people are concerned that there appears to be too much anger on the part of the public toward the best economic decisions, those are the reasons why. Thank you, Mr. Chairman.","Speech"," "
"The Chairman","The gentleman's time has expired. The Chair now recognizes the gentlelady from Ohio, the subcommittee chairwoman.","Speech"," "
"Ms. Pryce","Thank you, Mr. Chairman. And thank you, Chairman Bernanke, for being with us here today. I was pleased to read in your testimony that you believe that even though the economy is currently in a transition period, that it will continue to expand even under the pressure of increased oil prices, consumer spending, and a slowing housing market. I would like to talk about that just briefly. Studies have shown that housing accounted for more than one-third of economic growth during the previous 5 years. The robust housing market had enabled homeowners to reduce their debt burdens and maintain adequate levels of consumer spending by tapping into the equity of their homes. Unfortunately in research done by the National Association of Home Builders, they show a serious downtrend in housing demand that many believe correlates with the rise in interest rates by the Federal Reserve. As I have said in the past, I am concerned that this house price boom has been driven far more by investors than ever before, and could lead to a series of mortgage failures, and as the Federal Reserve tries to balance rising rates with fluctuations in the markets, I don't need to remind you that your actions have a trickle-down effect to local communities, and losses on housing investments are just one example. A study by the Mortgage Bankers Association puts my own State of Ohio at the very top of the list of foreclosures, and so we are very concerned in the Midwest. Although we would sometimes like to think of our economy as one that stands apart from the rest of the world's sociopolitical issues, the effect of volatility overseas is reaching into our economy more than we might realize. Just yesterday I held a hearing in my subcommittee on currency issues. We had representatives there from the Federal Reserve and the Mint discussing with us the rising cost of the commodities and materials that make up our coins. We heard these commodities are affected by the volatility in the world or through rising demand in other markets, and are also themselves affecting our inflation here in the United States. The more they cost, the more they drive up the cost to make our currency, and the more it drives up costs overall. In your remarks at the Senate yesterday, you touched upon a number of issues concerning citizens, such as rising rates, gas prices, and wage earnings. One of the issues that has been important to me, and a number of other members on this committee, is the ratio of consumer debt to consumer savings in America, and the effects that a slowing economy could have on a more local level. I agree with your statement yesterday that we must be forward-looking in our policy actions, and I would appreciate hearing your thoughts on what Congress can do about low savings rates, especially coupled with rising consumer costs. Some of us, Mrs. Kelly, Mrs. Biggert, Mrs. Maloney, and myself, have worked to bring this issue to a national focus for a number of years, and we mentioned it repeatedly, working with the Administration to highlight increasing financial education in the United States, but much more needs to be done. You also talked about an international savings glut that I believe we have here in America, a credit glut. I believe we can say it is almost a national epidemic. Consumer spending is key to our continued growth, but I believe we also need to send a message that consumer savings is just as important, and I appreciate hearing from you what the Federal Reserve and the rest of us can do to help consumer savings become a priority in this Nation. And I want to thank you once again, Mr. Chairman, for your appearance. I look forward to your testimony, and I yield back. Thank you.","Speech"," "
"The Chairman","I thank the gentlelady. Thank you for your leadership on this issue. The gentlelady from New York, Mrs. Maloney.","Speech"," "
"Mrs. Maloney","Thank you, Mr. Chairman. And welcome, Chairman Bernanke. All eyes are on you and the other members of the Federal Open Market Committee as we reach a critical point in monetary policy. While the U.S. economy was going through its most protracted jobs slump since the 1930's, the Federal Reserve acted appropriately and kept interest rates very low. And when the economy began to respond, the Federal Reserve told us they were raising interest rates gradually to restore them to a level consistent with stable noninflationary growth. But that process, 17 increases in short-term interest rates, began 2 years ago, and people are naturally wondering when is it going to stop. Ordinary American families should be wondering the most because they are the ones who have been left behind in whatever economic recovery we have seen. Regrettably, the gap between the haves and the have-nots continues to widen. GDP growth has been satisfactory, although not as strong as in the average postwar business cycle recovery, and productivity has been very strong. But as Ranking Member Frank has pointed out, what have ordinary American workers gotten in return for their hard work? Paychecks that have not kept up with inflation, much less with their increased productivity. And now rising interest rates and a slowing economy may choke off the economic recovery before most Americans have even had a chance to benefit. It is a challenging time for monetary policy because our fiscal policy is such a mess. The President's tax cuts were poorly designed to produce job-creating stimulus in the short run while adding to the budget deficit in the long run. The fiscal discipline built up in the 1990's has been squandered. Let us remember that President Bush inherited a budget surplus of $5.6 trillion over 5 years, but now we are back to a legacy of deficits and debt. We have record budget deficits and record debt, over $8 trillion, and a record trade deficit, the largest in history, $800 billion. Due to the debt, each American owes over $28,000. We are borrowing large amounts from the rest of the world and have had to raise our national debt limit four different times already during this current Administration. The fiscal discipline of the 1990's allowed the Federal Reserve to pursue a monetary policy that encouraged investment and growth. The challenge is greater now because the Federal Reserve will have to fight the excesses of fiscal policy which have drained our national savings and turned us into a massive international debtor. Chairman Bernanke, I look forward to your testimony and to exploring with you the challenges you face as you try to keep the economy growing and inflationary pressures contained so that ordinary Americans can begin to see their standard of living grow once again. Thank you.","Speech"," "
"The Chairman","The gentlelady's time has expired. We now turn to the distinguished Chairman of the Federal Reserve. Dr. Bernanke, welcome back to the committee, and you may proceed.","Speech"," "
"Mr. Bernanke","Thank you. Mr. Chairman, and members of the committee, I am pleased to be here again to present the Federal Reserve's Monetary Policy Report to the Congress. Over the period since our February report, the U.S. economy has continued to expand. Real gross domestic product is estimated to have risen at an annual rate of 5.6 percent in the first quarter of 2006. The available indicators suggest that economic growth has more recently moderated from that quite strong pace, reflecting a gradual cooling of the housing market and other factors that I will discuss. With respect to the labor market, more than 850,000 jobs have been added, on net, to nonfarm payrolls in the first 6 months of the year, though these gains came at a slower pace in the second quarter than in the first. Last month the unemployment rate stood at 4.6 percent. Inflation has been higher than we anticipated in February, partly as a result of further sharp increases in the prices of energy and other commodities. During the first 5 months of the year, overall inflation, as measured by the price index for personal consumption expenditures, averaged 4.3 percent at an annual rate. Over the same period, core inflation, that is, inflation excluding food and energy prices, averaged 2.6 percent at an annual rate. To address the risk that inflation pressures might remain elevated, the Federal Open Market Committee continued to firm the stance of monetary policy, raising the Federal funds rate another three-quarters of a percentage point to 5\1/4\ percent in the period since our last report. Let me now review the current economic situation and the outlook in a bit more detail, beginning with developments in the real economy and then turning to the inflation situation. I will conclude with some comments on monetary policy. The U.S. economy appears to be in a period of transition. For the past 3 years or so, economic growth in the United States has been robust. This growth has reflected both the ongoing reemployment of underutilized resources as the economy recovered from the weakness of earlier in the decade and the expansion of the economy's underlying productive potential as determined by such factors as productivity trends and growth of the labor force. Although the rate of resource utilization that the economy can sustain cannot be known with any precision, it is clear that after several years of above-trend growth, slack in resource utilization has been substantially reduced. As a consequence, a sustainable noninflationary expansion is likely to involve a modest reduction in the growth of economic activity from the rapid pace of the past 3 years to a pace more consistent with the rate of increase in the Nation's underlying productive capacity. It bears emphasizing that because productivity growth seems likely to remain strong, the productive capacity of our economy should expand over the next few years at a rate sufficient to support solid growth in real output. As I have noted, the anticipated moderation in economic growth now seems to be under way, although the recent erratic growth pattern complicates this assessment. That moderation appears most evident in the household sector. In particular, consumer spending, which makes up more than two-thirds of aggregate spending, grew rapidly during the first quarter, but decelerated during the spring. One likely source of this deceleration was higher energy prices, which have adversely affected the purchasing power of households and have weighed on consumer attitudes. Outlays for residential construction, which have been at very high levels in recent years, rose further in the first quarter. More recently, however, the market for residential real estate has been cooling, as can be seen in the slowing of new and existing home sales and housing starts. Some of the recent softening in housing starts may have resulted from the unusually favorable weather during the first quarter of the year which pulled forward construction activity, but the slowing of the housing market appears to be more broad-based than can be explained by that factor alone. Home prices, which have climbed at double-digit rates in recent years, still appear to be rising for the Nation as a whole, though significantly less rapidly than before. These developments in the housing market are not particularly surprising as the sustained run-up in housing prices, together with some increase in mortgage rates, has reduced affordability and thus the demand for new homes. The slowing of the housing market may restrain other forms of household spending as well. With homeowners no longer experiencing increases in the equity value of their homes at the rapid pace seen in the past few years, and with the recent declines in the stock prices, increases in household net worth are likely to provide less of a boost to consumer expenditures than they have in the recent past. That said, favorable fundamentals, including relatively low unemployment and rising disposable incomes, should provide support for consumer spending. Overall, household expenditures appear likely to expand at a moderate pace, providing continued impetus to the overall economic expansion. Although growth in household spending has slowed, other sectors of the economy retain considerable momentum. Business investment in new capital goods appears to have risen briskly, on net, so far this year. In particular, investment in nonresidential structures which had been weak since 2001 seems to have picked up appreciably, providing some offset to the slower growth in residential construction. Spending on equipment and software has also been strong. With a few exceptions, business inventories appear to be well aligned with sales, which reduces the risk that a build-up of unwanted inventories might actually reduce production in the future. Business investment seems likely to continue to grow at a solid pace, supported by growth in final sales, rising backlogs of orders for capital goods, and high rates of profitability. To be sure, businesses in certain sectors have experienced financial difficulties. In the aggregate, however, firms remain in excellent financial condition, and credit conditions for businesses are favorable. Globally, output growth appears strong. Growth of the global economy will help support U.S. economic activity by continuing to stimulate demand for our exports of goods and services. One downside to the strength of the global economy, however, is that it has led to significant increases in the demand for crude oil and other primary commodities in the past few years. Together with heightened geopolitical uncertainties and the limited ability of suppliers to expand capacity in the short run, these rising demands have resulted in sharp rises in the prices of which these goods are traded internationally, which in turn has put upward pressure on costs and prices in the United States. Overall, the U.S. economy seems poised to grow in coming quarters at a pace roughly in line with the expansion of its underlying productive capacity. Such an outlook is embodied in the projections of members of the Board of Governors and the presidents of Federal Reserve Banks that were made around the time of the FOMC meeting late last month, based on the assumption of appropriate monetary policy. In particular, the central tendency of those forecasts is for real GDP to increase about 3\1/4\ percent to 3\1/2\ percent in 2006, and 3 percent to 3\1/4\ percent in 2007. With output expanding at a pace near that of the economy's potential, the civilian unemployment rate is expected to finish both 2006 and 2007 between 4\3/4\ percent and 5 percent, close to its recent level. I turn now to the inflation situation. As I noted, inflation has been higher than we expected at the time of our last report. Much of the upward pressure on overall inflation this year has been due to increases in the prices of energy and other commodities, and in particular to the higher prices of products derived from crude oil. Gasoline prices have increased notably as a result of the rise in petroleum prices as well as factors specific to the market for ethanol. The pickup in inflation so far this year has also been reflected in the prices of a range of goods and services as strengthening demand may have given firms more ability to pass energy and other costs through to consumers. In addition, increases in residential rents as well as in the imputed rent on owner-occupied homes have recently contributed to higher core inflation. The recent rise in inflation is of concern to the FOMC. The achievement of price stability is one of the objectives that make up the Congress' mandate to the Federal Reserve. Moreover, in the long run, price stability is critical to achieving maximum employment and moderate long-term interest rates, the other parts of the Congressional mandate. The outlook for inflation is shaped by a number of factors, not the least of which is the course of energy prices. The spot price of oil has moved up significantly further in recent weeks. Futures quotes imply that market participants expect petroleum prices to roughly stabilize in coming quarters. Such an outcome would, over time, reduce one source of upward pressure on inflation. However, expectations of a leveling out of oil prices have been consistently disappointed in recent years, and as the experience of the past week suggests, possible increases in these and other commodity prices remain a risk to the inflation outlook. Although the costs of energy and other raw materials are important, labor costs are by far the largest component of business costs. Anecdotal reports suggest that the labor market is tight in some industries and occupations, and that employers are having difficulty attracting certain types of skilled workers. To date, however, moderate growth in most broad measures of nominal labor compensation and the ongoing increases in labor productivity have held down the rise in unit labor costs, reducing pressure on inflation from the cost side. Employee compensation per hour is likely to rise more quickly over the next couple of years in response to the strength of the labor market. Whether faster increases in nominal compensation create additional cost pressures for firms depends in part on the extent to which they are offset by continuing productivity gains. Profit margins are currently relatively wide, and the effect of a possible acceleration in compensation in price inflation would also depend on the extent to which competitive pressures force firms to reduce margins rather than to pass on higher costs. The public's inflation expectations are another important determinant of inflation. The Federal Reserve must guard against the emergence of an inflationary psychology that could impart greater persistence than what could otherwise be a transitory increase in inflation. After rising earlier this year, measures of expectations, based on surveys and on a comparison of yields on nominal and inflation-indexed government debt, have edged down and remain contained. These developments bear watching, however. Finally, the extent to which aggregate demand is aligned with the economy's underlying productive potential also influences inflation. As I noted earlier, FOMC participants project the growth in economic activity should moderate to a pace close to that of the growth of potential both this year and next. Should that moderation occur as anticipated, it should help to limit inflation pressures over time. The projections of the members of the Board of Governors and the presidents of the Federal Reserve Banks, which are based on information available at the time of the last FOMC meeting, are for a gradual decline in inflation in coming quarters. As measured by the price index for personal consumption expenditures excluding food and energy, inflation is projected to be 2\1/4\ percent to 2\1/2\ percent this year and then to edge lower to 2 percent to 2\1/4\ percent next year. The FOMC projections, which now anticipate slightly lower growth in real output and higher core inflation than expected in our February report, mirror the somewhat more adverse circumstances facing our economy which have resulted from the recent steep run-up in energy costs and higher-than-expected inflation more generally. But they also reflect our assessment that with appropriate monetary policy, and in the absence of significant unforeseen developments, the economy should continue to expand at a solid and sustainable pace, and core inflation should decline from its recent level over the medium term. Although our baseline forecast is for moderating inflation, the committee judges that some inflation risks remain. In particular, the high prices of energy and other commodities in conjunction with high levels of resource utilization that may increase the pricing power of suppliers of goods and services have the potential to sustain inflation pressures. More generally, if the pattern of elevated readings on inflation is more protracted or is more intense than currently expected, this higher level of inflation could become embedded in the public's expectations and in price-setting behavior. Persistently higher inflation would erode the performance of the real economy and would be costly to reverse. The Federal Reserve must take into account these risks in making its policy decisions. In our pursuit of maximum employment and price stability, monetary policymakers operate in an environment of uncertainty. In particular, we have imperfect knowledge about the effects of our own policy actions as well as of the many other factors that will shape economic developments during the forecast period. These uncertainties bear importantly on our policy decisions because the full influence of policy actions on the economy is felt only after a considerable period of time. The lags between policy actions and their effects imply that we must be forward-looking, basing our policy choices on the longer-term outlook for both inflation and economic growth. In formulating that outlook, we must take into account the possible future effects of previous policy actions, that is, of policy effects still in the pipeline. Finally, as I have noted, we must consider not only what appears to be the most likely outcome, but also the risks to that outlook and the costs that would be incurred should any of those risks be realized. At the same time, because economic forecasting is far from a precise science, we have no choice but to regard all of our forecasts as provisional and subject to revision as the facts demand. Thus, policy must be flexible and ready to adjust to changes in economic projections. In particular, as the committee noted in the statement issued after its June meeting, the extent and timing of any additional firming that may be needed to address inflation risks will depend on the evolution of the outlook for both inflation and economic growth as implied by our analysis of the incoming information. Thank you. I would be happy to take questions.","Statement","STATEMENT OF THE HONORABLE BEN S. BERNANKE, CHAIRMAN, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM"
"The Chairman","Thank you, Mr. Chairman.","Speech"," "
"The Chairman","Again, welcome back to the Financial Services Committee. Your predecessor was always emphasizing price stability as probably the key element to the charge that Congress gave the Federal Reserve way back when the Federal Reserve was created. And obviously your statement reflected that continuum on that issue. I have always been struck by the economic analysis of core inflation, minus--or not counting food and energy, and I am wondering if you could share that differential with the committee. I say that because to the average person, when they think of inflation, they think of going to the gasoline pump, they think of going to the grocery store, probably has more of an effect on people's daily lives than any other form of inflation, and yet the Federal Reserve talks about core inflation minus those two components. Could you share how that affects the decisions by the FOMC and how that is reflected in the policy?","Speech"," "
