"Speaker","Speech"
"The Chairman","The committee will come to order. I am pleased to continue a tradition we have started whereby the testimony of the Federal Reserve's Chairman is not the only words spoken on that day or two. And I am glad to see an acknowledgement from Professor Meltzer that no matter what people's views are substantively, the notion that the Fed should speak from Mount High, and that should be it, really doesn't make a great deal of sense. So, I appreciate these three distinguished economists joining us. Obviously with the hearing we that we had today--we often try to have them on separate days to get a better membership, but yesterday, we were preempted by the signing ceremony. So we are now going to proceed. And I can tell you that these are monitored, even if they are not attended physically. We will begin with Richard Koo, who is the chief economist of the Nomura Research Institute. All testimony and supporting material that any of the witnesses want to insert in the record will, without objection, be made a part of the record. We will begin with Mr. Koo. "
"STATEMENT OF RICHARD C. KOO, CHIEF ECONOMIST, THE NOMURA RESEARCH INSTITUTE, TOKYO"," "
"Mr. Koo","Thank you, Chairman Frank, and members of the committee. I really appreciate this opportunity to present my case that what the whole world has caught is the same Japanese disease that Japan had to struggle with for the last 15, 20 years. And I was grateful that I was in this room when the morning session took place. All the debate that took place here actually took place in Japan 15, 20 years earlier. That was about zero interest rates, liquidity injections, quantitative easing, capital injections, guaranteeing bank liabilities, fiscal stimulus, large budget deficits, problems with rating agencies, and small companies not getting the funds. We went through that debate in Japan 15 years earlier, and after going through this very difficult period, we came to the conclusion that this is a very different disease. It is a completely different disease compared to what we are used to. And in this disease, where the recession is caused by a bursting of a nationwide asset price bubble, financed with debt, when that bubble bursts, asset prices collapse, liabilities remain, and the private sector finds out their balance sheets are all underwater--or many of them are underwater. And when the balance sheets are underwater, if you have no income or revenue, of course you are out of business. But if you still have some income or revenue or cash flow, then the right thing to do is to use that cash flow to pay down debt, because if you have a business, you don't want to tell your shareholders that well, we are bankrupt. We are out of business. Here is this piece of paper. You don't want to tell the bankers that it is a nonperforming loan. You don't want to tell your workers that they have no more jobs tomorrow. So for all the stakeholders involved, the right thing to do is to use the cash flow to pay down debt. But when everybody does this all at the same time, we enter a very different world where the economy would be continuously losing demand until private sector balance sheets are repaired. And I see the same thing happening in this country. There was a lot of discussion about corporate holding cash in this economy. I don't think they are just holding cash; they are paying down debt. And when this happens with zero interest rates, we enter a very different world. Because there is no name for this type of recession in economics, I call it balance sheet recession. And it happens in the following way: In the usual economy, if you have $1,000 of income, and I spent $900 myself and decide to save $100, the $900 is already someone else's income. The $100 that comes into the bank in the financial sector is lent to someone who can use it. That person then spends the money. That is $900 plus $100, and the economy moves forward. When there are too many borrowers, you raise interest rates. Some drop out. If too few, you bring rates down, and then someone will pick up the remaining sum, and that is how the economy moves forward. But in the recession that we found ourselves in, in Japan 15 or 20 years ago, was that you bring rates down to zero, there are no borrowers because everybody is paying down debt. No one is borrowing money, even with a zero interest rate. And when that happens, when $900 is spent, $100 gets stuck in the banking system because there are no borrowers, even at a zero interest rate, then the economy shrinks to $900. That $900 is someone else's income. That person gets the money and decides, let us say, to save 10 percent. So $810 is spent, $90 goes into the banking system, and that $90 gets stuck. So if we do nothing about the situation, the economy will shrink from $1,000, $900, $810, $730 very, very quickly, even with a zero interest rate. That is what happened in Japan, and that is exactly what happened during the Great Depression in the United States 80 years ago. Everybody was paying down debt. No one was borrowing money because their balance sheets were all underwater. When you face a situation like this, the only way to keep the economy going is for the government to borrow the $100 and put that back into the income stream, because the government cannot tell the private sector not to repair its balance sheets. The private sector must repair its balance sheets. The private sector has no choice. So government has to then take the $100, put that back into the income stream, and then you have $900 plus $100 against the original income, $1,000. Then, the economy will move forward. This government action will have to be kept in place for the entire period of private sector deleveraging because if you pull the plug at any moment when the private sector is still deleveraging, the economy will collapse very quickly. And we, in Japan, made that mistake in 1997 and in 2001. On both occasions, when the government pulled the plug, the economy collapsed; and the budget deficit, instead of decreasing, it actually increased massively. And it took us nearly 10 years to climb out of the hole. So when the private sector is deleveraging, my advice to those countries suffering from this problem is to keep the government spending in there until private sector balance sheets are repaired, until the private sector is strong enough to move forward. And until that point, I am afraid government will have to be in there, because that will be the cheapest way to save the economy at the end of the day. Our preliminary mistake, our premature fiscal consolidation in 1997 and 2001, prolonged the Japanese recession by at least 5 years, if not longer, and added massively to our budget deficit because the economy collapsed on both occasions, and we had to pull those economies out of that hole. So I would very much like to make sure that this economy, the most important one in the world, will not make the Japanese mistake of premature fiscal consolidation while the private sector is still deleveraging. "
"The Chairman","Next, we have a familiar witness, and we appreciate his willingness from time to time to come meet with us. And if I read this correctly, Allan Meltzer is the holder of the eponymously named Allan Meltzer Chair, if I am reading that correctly. So we have Professor Allan Meltzer, who holds the Professor Allan Meltzer Chair at what is still the Tepper School of Business--that name has not yet been changed--at Carnegie Mellon University. "
"STATEMENT OF ALLAN H. MELTZER, THE ALLAN H. MELTZER UNIVERSITY PROFESSOR OF POLITICAL ECONOMY, TEPPER SCHOOL OF BUSINESS, CARNEGIE MELLON UNIVERSITY"," "
"Mr. Meltzer","Thank you Mr. Chairman, and Congressman Bachus. It is a pleasure to be here. I have been coming since the esteemed late Chairman Wright Patman, who hired me to work for the committee back in 1959. So I am an old friend of this committee. The recession has ended, according to the statistical record, but unemployment remains high at between 9 and 10 percent, with long-term unemployment at the highest level since the series began in 1948. Much of the public does not see improvement. Many will not believe that the recession is over until they and others are back at work. Why is this recovery slow and what can be done to increase growth and employment? Let us start with some of the problems. The fiscal stimulus helped very little. It didn't do nothing, but it didn't do much. And the best evidence that it didn't do much is the fact that the Administration is asking for a new fiscal stimulus, and many are urging that we do that. I think that is not what we need to do. Since the Eisenhower Presidency in 1961, the Federal budget has been in deficit almost every year. The deficits have gotten larger and larger, and the reported deficits are dwarfed by the present value of promises for health care and retirement. Uncertainty is the enemy of business investment and expansion, and what we have created is massive uncertainty. Here are some of the questions that businessmen worry about: What tax rate will apply in the future to income from investments made now? What new regulations will be imposed on businesses? How will existing and new regulations for pollution, financial services and health care be implemented, and what will they cost? What will employee health care cost? Will rules governing labor unions be changed to make unionization easier? How much will that add to production costs or increased outsourcing? If employers have no idea about future costs, they are reluctant to hire additional workers. They satisfy increases in demand by asking current employees to work overtime. Our current situation can be improved by reducing uncertainty and stimulating business investment. Here are some suggestions. Let me begin by saying that when Arthur Okun, the chairman of President Lyndon Johnson's Council of Economic Advisers, and a main architect of the Kennedy-Johnson tax program, analyzed the program after he left office, he concluded that the corporate tax cut which was part of the Kennedy-Johnson program was the most effective part of the program. Later work, including recent work, confirmed his conclusions. What can be done? Declare a 3-year moratorium on new regulations, including labor market rules and the new financial restraints, unless each new rule is approved by a supermajority in Congress. Develop and announced a precise, credible program of deficit reduction that specifies planned spending reductions and any tax increases. Eliminate uncertainty about future tax rates and where the tax burden will increase by announcing the program now, a definite program. Announce correct, believable costs of providing health care under the recently approved legislation. Recognize that many States are unable to pay additions to Medicaid. How much more will the government commit to the Medicaid program? How will these costs be paid? Use the remaining unspent funds in the January 2009 stimulus program to reduce the corporate tax rate. Reduce the risk of future inflation by eliminating a gradual program to reduce excess reserves in the banking system. Some economists argue that the risk does not exist. The public doesn't believe them. Some economists actively urge more government spending and larger deficits. They neglect or denigrate concerns about the debt, the interest costs of servicing the debt, and the negative effect that large deficits and growing debt have on decisions to invest. Their arguments ignore the most important development in macroeconomics for the past 40 years: the careful integration of expectations about the future in dynamic economic models. A program that begins to lift uncertainty and reduce debt and deficits has a positive effect on private spending. It reduces uncertainty. Recent efforts in Britain and in the euro area to reduce spending and deficits have been followed by currency appreciation there and other evidence of relief and more favorable expectations, knowing many governments are willing to act against future calamity. Deflation has become a subject of much conversation. Deflation means a sustained decline in a broad-based price index. We do not suffer from deflation. Mention of deflation arouses memories of the Great Depression. That is a mistake. There have been 7 periods of deflation in the 97 years under the Federal Reserve Act. Some were large, 30 percent decline; some were small, 1 or 2 percent decline. Only one, 1929 to 1933, brought the economy close to disaster. Recovery from the others, most recently 1960-1961, looks like any other recovery. We know that the 1929-1933 disaster was caused by inappropriate monetary policy. That policy reduced money growth by 50 percent. By 1933, prices had fallen less than 50 percent, so the expectation was prices will decline further. That is nothing like the situation that we are in now. We have massive excess reserves. The banks that report their forecasts to The Economist magazine do not predict deflation anywhere except in Japan, and there by 0.1 percent. For any of the developed economic countries that they monitor, they expect prices to rise modestly. Their current forecast for the United States in 2011 is 1.5 percent. Congress gave the Federal Reserve a dual mandate. It is inefficient and costly to concentrate on one objective at a time. That is what caused the great inflation of the 1970's. The Federal Reserve should not repeat that mistake as it is now doing. A small increase in interest rates would maintain negative real rates. "
"The Chairman","We have a vote, but there are only two votes, so we are going to ask Mr. Mishel to speak, and we will be back within no more than 15 minutes. I appreciate the indulgence of our witnesses. We will now hear from Lawrence Mishel, the president of the Economic Policy Institute. "
"STATEMENT OF LAWRENCE MISHEL, PRESIDENT, THE ECONOMIC POLICY INSTITUTE"," "
"Mr. Mishel","Thank you very much, Mr. Chairman, and Ranking Member Bachus, for this opportunity to address the committee. I welcome the opportunity to talk about the jobs situation, and it brings me no pleasure to report that I believe that the unemployment rate a year and a half from now will be very comparable to what it is today, and that we won't return to 5 percent unemployment for many years to come, perhaps 2015 or beyond. I consider this an unacceptable outcome, and that means we should not accept it. I fear, however, that many of our elected leaders and the chattering class generally are implicitly accepting the unacceptable by doing very little to alter this future. We can do much better. We need to do much better. We can and need to pursue a vigorous jobs agenda to quickly lower unemployment and fill the huge jobs hole that has been created. Let us talk about the job situation. Economic growth is scheduled to slow down, and it will unlikely do better than to absorb the natural growth of the labor force over the next year and a half. That means we will have roughly the 9.5 percent unemployment we have today and 1 out of 6 people underemployed; that is nearly 1 out of 10 unemployed, and 1 out of 6 underemployed. That means for minority workers, 1 out of 4 unemployed or underemployed. And over the course of a year, because there are flows in and out, I expect this year that we will have 1 out of 3 workers unemployed or underemployed at some point during the year, with that being around 40 to 45 percent for minorities. And we are likely to experience that again in 2011, and that means that we will have had around 2\1/ 2\ years of really horrific 9 percent to 10 percent unemployment, which is unacceptable. Our problem is that we have a dramatic shortfall of demand for goods and services. We still have less final demand in the economy than we had before the recession, despite the fact that it is 2\1/2\ years later. A lot of the risks are, in fact, that there will be further shortfalls in demand because of premature deficit reduction or even withdrawal of stimulus that is expected to pass; that the fact that the State and local governments could even have a tougher time than we now expect from austerity in Europe and from the declining wage growth, which gets worse and worse, which challenges the ability of households to increase their consumption. Given the situation, it is necessary to do more to generate jobs, especially given the real risk of a double-dip recession. I am not saying there is going to be a double dip, but there is a risk. If we get there, we will be in a bad place without ammunition. Deficits: In order to create jobs, we are going to have to raise the deficit in the short run. I wrote an op-ed with David Walker of the Peterson Foundation in February arguing that, in fact, the immediate priority needs to be jobs. That requires a higher deficit. We have a deficit problem in the future. We need to address that, and we should. But we should not let the higher deficit problem in the medium and long term keep us from generating jobs in the short term. These are, in fact, complementary strategies. The first steps towards getting the deficit down is surely to create jobs and create more taxpayers. How are we going to generate these jobs? First of all, it is going to be the responsibility of Congress. The Recovery Act was important. It created millions of jobs. I don't really know how people explain the fact that we were losing three-quarters of a million jobs a month early last year, and now we are creating jobs. If not for the Stimulus Act, except for the inventory cycle, I don't think I have heard many explanations of why that occurred. The fact that we haven't yet gotten to a place that we want to be, I think reflects how awful the place was before this Stimulus Act even took effect. In March 2009, we had an 8.6 percent unemployment rate, we had already lost more than 4 percent of our employment base--that is more of a loss of jobs than we even suffered in the 1980's recession--and we were still declining rapidly. It takes an awful lot to both stop a decline and to make up a lot of ground so that people feel prosperous. How can we create jobs? I think there are the kinds of things that have been going on. We need to provide support for the unemployed. We need to provide relief to the States for both health and education. I think we need robust support for infrastructure, school modernization and transportation investments. I think we need to do something like the Miller bill to create local jobs throughout the country. Let me just end by saying a few things about the recent debate we have had over unemployment insurance, which I felt was quite misguided. CBO, many economists believe that is the most effective thing you can do to stimulate the economy. It not only helps people, but it actually generates jobs. The reason is you are giving money to people who are desperate, and they are going to spend the money. So extending and expanding unemployment insurance is a ``twofer.'' It helps people. It creates jobs. We have calculated, using CBO parameters and the stimulus multiplier from economy.com, that the unemployment insurance system was providing around 1.7 million full-time equivalent jobs in early 2010. Now what happened? The bill that was passed is going to make sure that there is going to be more jobs and provide help for people in the last half of the year. But removed from that was $25 per week in benefits, COBRA subsidies, and other things, so that, in fact, the unemployment insurance system will be supporting fewer jobs in the last half of the year than in the first half. Now, given the fact that when you do something that stimulates the economy, the Treasury gets back a lot of revenue and has to spend less, jobs created through unemployment insurance only cost 37,000 jobs. I thought that was a pretty good deal. I am sorry people didn't take it up. "
"The Chairman","We will recess and be back. There are only two votes. So we will say maybe another 10 minutes on the first vote. We will vote very quickly and then come back. We thank you for your patience. "
