"Speaker","Speech","Type","Comments"
"Chairman Dodd","The Committee will come to order. Let me welcome all who are here this morning for the Committee hearing, the hearing on the semiannual monetary report to Congress by the Chairman of the Federal Reserve, and we welcome you once again, Mr. Chairman, to the Banking Committee. I will make a brief opening statement, turn to Senator Shelby for any comments he may make, and then we will turn right to you for your opening comments and get to some questioning. But we thank you once again for joining us here this morning. Today, as you testify before us, Mr. Chairman, it is worth taking a moment to recognize that our economy is showing signs of emerging from this recession. During the last two quarters, GDP has shown positive growth, as has gross private domestic investment, and financial markets have stabilized enough to allow the Fed to wind down nearly all the liquidity facilities it established in response to this crisis. But that does not mean, of course, that our economy is out of the woods, as we all know. And more importantly, it does not mean that the situation of working families has improved dramatically either. Households and small businesses dependent on banks for financing continue to have trouble getting the loans that they need. Commercial real estate losses continue to mount, and combined with losses on home mortgages, they are making the credit crunch even worse. Outside of securities guaranteed by the Federal Government, the residential and commercial markets for mortgage-backed securities are practically non-existent. Foreclosures continue to plague our communities at greater and greater rates, and the large inventory of foreclosed homes continues to suppress the housing market and discouraging new construction. And worst of all, Mr. Chairman, the job market continues to suffer from the losses incurred during the recession. We have lost 8.4 million jobs since December of 2007. The unemployment rate stands at 9.7 percent, although many of us would argue here that that number is actually vastly in excess of that in many areas of the country. And it is widely expected that it will remain high for several years to come. An astonishing 6.3 million American workers have been out of a job for a half a year or more, and that is a record in our Nation. The state of our economy as a whole may be improving, but if we are talking about the situation of ordinary American families, I think I can sum up this recovery in three words: Not good enough. I think most would agree. The longer we go without resolving these problems, the worse off, of course, we all will be. Unemployed Americans will continue to lose their health insurance and their homes. Their skills will begin to deteriorate, leaving us less competitive in the global economy. Those who do have jobs will see their wages stagnate. Our country will suffer as a result. This Congress has a role to play in putting people back to work, and we have a responsibility to put protections in place to make sure that a crisis like this never threatens our financial system again. Our Committee has made important progress toward that end, and my hope is that we will have a financial reform bill ready in the coming days. Mr. Chairman, you also have a role to play in all of this, as you know, and I have been impressed by your leadership, keeping the American economy from falling into the abyss, and you deserve a great deal of credit, in my view, for having contributed so significantly to that result. But now it is time as well, as I am sure you will agree, for you to show the same kind of leadership in helping us and American families along with those of us on this side of the dais to achieve the same fate, to come out of this abyss and get back on our feet again. So I look forward to working with you in the coming days--I know all of my colleagues will--work on your ideas and how monetary policy can help our constituents emerge from this recession. Now, as many of my colleagues know, having filled in the seat for Ted Kennedy as Chairman of the Health, Education, and Labor Committee, I have another place to be this morning--at the White House--to sit there and resolve health care, which I am confident we are going to do this morning, I would say to my colleagues. I do not see any smiles around the table on hearing that prediction. And so I am going to be leaving shortly, but I want to take--I am going to abuse my chairmanship for a minute. I am going to ask you a question because I will not get a chance in the normal process. In light of what is happening in Greece, Mr. Chairman, I wanted to raise an issue because matters have arisen, and I will raise this and you can either respond quickly to it and I will go right to Senator Shelby. But if I indulge my colleagues by doing this--I have not done this before, but given that I have got the problems this morning where I have to be. The debt crisis, Mr. Chairman, in Greece is shedding light on the role of derivatives in the financial markets. According to news reports this morning and over the last several days, banks and hedge funds are using credit default swaps to bet that Greece will default on its debt. The rising price of these contracts contributes to an atmosphere of crisis, making it even more difficult for the Greek Government, in my opinion, to borrow. Since there is no requirement that purchasers of credit default swaps actually own any of the underlying debt, we have a situation in which major financial institutions are amplifying a public crisis for what would appear to be private gain. I want to ask you here whether or not you think there ought to be limits on the use of credit default swaps to prevent the intentional creation of runs against governments. Do you have any quick comments on that?","Speech",""
"Mr. Bernanke","Yes, Senator. I just want to say first of all that we are looking into a number of questions related to Goldman Sachs and other companies and their derivatives arrangements with Greece and on this issue as well. As you know, credit default swaps are properly used as hedging instruments.","Speech"," "
"Chairman Dodd","I agree.","Speech"," "
"Mr. Bernanke","The SEC, of course, has been interested in this issue. Obviously, using these instruments in a way that intentionally destabilizes a company or a country is counterproductive, and I am sure the SEC will be looking into that. We will certainly be evaluating what we can learn from the activities of the holding companies that we supervise here in the United States.","Speech"," "
"Chairman Dodd","Well, let me just make the request of you here, and we will make the similar request to the SEC. I am sure all of us on this Committee would like to hear very quickly what the response is going to be, if any, either from your or recommendations you would make as well as from the SEC. I will make that formal request this morning. I think it is a critical issue for all of us.","Speech"," "
"Senator Shelby","Thank you. Thank you, Chairman Dodd. Welcome to the Committee, Chairman Bernanke, again. As our financial markets began to show signs of improvement, many of the Fed's temporary lending facilities have been allowed to expire, and monetary policy has begun to normalize. And while use of the temporary lending facilities wane, expanded purchases by the Fed of Federal agency debt, mortgage-backed securities, and longer-term Treasury securities have kept the size of the Fed's balance sheet unusually large. As of last week, it is my understanding that the banks had over $1.2 trillion in reserve balances at Federal Reserve banks. That is more than 100 times the average level of such balances in 2006. This morning I am interested in hearing, Mr. Chairman, plans for reducing the size of the Fed's balance sheet, withdrawing extraordinary liquidity support from the banking system, and continuing the normalization of monetary policy. In addition, I believe, Mr. Chairman, you should tell us how the Fed plans to use interest on reserves as a monetary policy tool and how you intend to use reverse repurchase agreements to address reserves in the banking system. Finally, the Committee, I believe, should gain a better understanding of how the Fed and the Treasury Department intend to manage the Fed's balance sheet, and I think this is especially relevant given Tuesday's announcement by the Treasury that it anticipates selling securities and injecting around $200 billion into the Department's supplemental financing account at the Fed over the next 2 months. Mr. Chairman, while there are signs of improvement in the economy, conditions remain weak, especially in labor markets. Too many Americans are unemployed or underemployed. Because credible plans for fiscal balance and monetary policy are essential for economic recovery, we need to have transparency and clarity about the Federal Reserve's plans. My hope this morning, Mr. Chairman, is that you will provide that clarity. Thank you.","Statement","STATEMENT OF SENATOR RICHARD C. SHELBY"
"Chairman Dodd","Mr. Chairman, the floor is yours.","Speech"," "
"Mr. Bernanke","Thank you. Chairman Dodd, Ranking Member Shelby, and other members of the Committee, I am pleased to present the Federal Reserve's semiannual Monetary Policy Report to the Congress. I will begin today with some comments on the outlook for the economy and for monetary policy and then touch briefly on several important issues. Although the recession officially began more than 2 years ago, U.S. economic activity contracted particularly sharply following the intensification of the global financial crisis in the fall of 2008. Concerted efforts by the Federal Reserve, the Treasury Department, and other U.S. authorities to stabilize the financial system, together with highly stimulative monetary and fiscal policies, helped arrest the decline and are supporting a nascent economic recovery. Indeed, the U.S. economy expanded at about a 4-percent annual rate during the second half of last year. A significant portion of that growth, however, can be attributed to the progress that firms made in working down unwanted inventories of unsold goods, which left them more willing to increase production. As the impetus provided by the inventory cycle is temporary, and as the fiscal support for economic growth likely will diminish later this year, a sustained recovery will depend on continued growth in private sector final demand for goods and services. Private final demand does seem to be growing at a moderate pace, buoyed in part by a general improvement in financial conditions. In particular, consumer spending has recently picked up, reflecting gains in real disposable income and household wealth and tentative signs of stabilization in the labor market. Business investment in equipment and software has risen significantly. And international trade--supported by a recovery in the economies of many of our trading partners--is rebounding from its deep contraction of a year ago. However, starts of single-family homes, which rose noticeably this past spring, have recently been roughly flat, and commercial construction is declining sharply, reflecting poor fundamentals and continued difficulty in obtaining financing. The job market has been especially hard hit by the recession, as employers reacted to sharp sales declines and concerns about credit availability by deeply cutting their workforces in late 2008 and in 2009. Some recent indicators suggest that the deterioration in the labor market is abating: Job losses have slowed considerably, and the number of full- time jobs in manufacturing rose modestly in January. Initial claims for unemployment insurance have continued to trend lower, and the temporary services industry, often considered a bellwether for the employment outlook, has been expanding steadily since October. Notwithstanding these positive signs, the job market remains quite weak, with the unemployment rate near 10 percent and job openings scarce. Of particular concern, because of its long-term implications for workers' skills and wages, is the increasing incidence of long-term unemployment; indeed, more than 40 percent of the unemployed have been out of work for 6 months or more, nearly double the share of a year ago. Increases in energy prices resulted in a pickup in consumer price inflation in the second half of last year, but oil prices have flattened out over recent months, and most indicators suggest that inflation will likely remain subdued for some time. Slack in labor and product markets has reduced wage and price pressures in most markets, and sharp increases in productivity have further reduced producers' unit labor costs. The cost of shelter, which receives a heavy weight in consumer price indexes, is rising very slowly, reflecting high vacancy rates. In addition, according to most measures, longer-term inflation expectations have remained relatively stable. The improvement in financial markets that began last spring continues. Conditions in short-term funding markets have returned to near pre-crisis levels. Many (mostly larger) firms have been able to issue corporate bonds or new equity and do not seem to be hampered by a lack of credit. In contrast, bank lending continues to contract, reflecting both tightened lending standards and weak demand for credit amid uncertain economic prospects. In conjunction with the January meeting of the FOMC, Board members and Reserve Bank presidents prepared projections for economic growth, unemployment, and inflation for the years 2010 through 2012 and over the longer run. The contours of these forecasts are broadly similar to those I reported to the Congress last July. FOMC participants continue to anticipate a moderate pace of economic recovery, with economic growth of roughly 3 to 3 \1/2\ percent in 2010 and 3 \1/2\ to 4 \1/2\ percent in 2011. Consistent with moderate economic growth, participants expect the unemployment rate to decline only slowly, to a range of roughly 6 \1/2\ to 7 \1/2\ percent by the end of 2012, still well above their estimate of the long-run sustainable rate of about 5 percent. Inflation is expected to remain subdued, with consumer prices rising at rates between 1 and 2 percent in 2010 through 2012. In the longer term, inflation is expected to be between 1 \3/4\ and 2 percent, the range that most FOMC participants judge to be consistent with the Federal Reserve's dual mandate of price stability and maximum employment. Over the past year, the Federal Reserve has employed a wide array of tools to promote economic recovery and preserve price stability. The target for the Federal funds rate has been maintained at a historically low range of 0 to \1/4\ percent since December 2008. The FOMC continues to anticipate that economic conditions--including low rates of resource utilization, subdued inflation trends, and stable inflation expectations--are likely to warrant exceptionally low levels of the Federal funds rate for an extended period. To provide support to mortgage lending and housing markets and to improve overall conditions in private credit markets, the Federal Reserve is in the process of purchasing $1.25 trillion of agency mortgage-backed securities and about $175 billion of agency debt. We have been gradually slowing the pace of these purchases in order to promote a smooth transition in markets and anticipate that these transactions will be completed by the end of March. The FOMC will continue to evaluate its purchases of securities in light of the evolving economic outlook and conditions in financial markets. In response to the substantial improvements in the functioning of most financial markets, the Federal Reserve is winding down the special liquidity facilities it created during the crisis. On February 1, a number of these facilities, including credit facilities for primary dealers, lending programs intended to help stabilize money market mutual funds and the commercial paper market, and temporary liquidity swap lines with foreign central banks, were all allowed to expire. The only remaining lending program for multiple borrowers created under the Federal Reserve's emergency authorities, is the Term Asset-Backed Securities Loan Facility, or TALF, and it is scheduled to close on March 31 for loans backed by all types of collateral except for newly issued commercial mortgage- backed securities, and it will close on June 30 for loans backed by newly issued CMBS. In addition to closing its special facilities, the Federal Reserve is normalizing its lending to commercial banks through the discount window. The final auction of discount window funds to depositories through the Term Auction Facility, which was created in the early stages of the crisis to improve the liquidity of the banking system, will occur on March 8. Last week, we announced the maximum term of discount window loans, which was increased to as much as 90 days during the crisis, would be returned to overnight for most banks, as it was before the crisis erupted in August 2007. To discourage banks from relying on the discount window rather than private funding markets for short-term credit, last week we also increased the discount rate by 25 basis points, raising the spread between the discount rate and the top of the target range for the Federal funds rate to 50 basis points. These changes, like the closure of most of the special lending facilities earlier this month, are in response to the improved functioning of financial markets, which has reduced the need for extraordinary assistance from the Federal Reserve. These adjustments are not expected to lead to tighter financial conditions for households and businesses and should not be interpreted as signaling any change in the outlook for monetary policy, which remains about the same as it was at the time of the January meeting of the FOMC. Although the Federal funds rate is likely to remain exceptionally low for an extended period, as the expansion matures, the Federal Reserve will at some point need to begin to tighten monetary conditions to prevent the development of inflationary pressures. Notwithstanding the substantial increase in the size of its balance sheet associated with its purchases of Treasury and agency securities, we are confident that we have the tools we need to firm the stance of monetary policy at the appropriate time. Most importantly, in October 2008 the Congress gave statutory authority to the Federal Reserve to pay interest on banks' holdings of reserve balances at Federal Reserve banks. By increasing the interest rate on reserves, the Federal Reserve will be able to put significant upward pressure on all short-term interest rates. Actual and prospective increases in short-term interest rates will be reflected in turn in longer- term interest rates and in financial conditions more generally. The Federal Reserve has also been developing a number of additional tools to reduce the large quantity of reserves held by the banking system, which will improve the Federal Reserve's control of financial conditions by leading to a tighter relationship between the interest rate paid on reserves and other short-term interest rates. Notably, our operational capacity for conducting reverse repurchase agreements, a tool that the Federal Reserve has historically used to absorb reserves from the banking system, is being expanded so that such transactions can be used to absorb large quantities of reserves. The Federal Reserve is also currently refining plans for a term deposit facility that could convert a portion of depository institutions' holdings of reserve balances into deposits that are less liquid and could not be used to meet reserve requirements. In addition, the FOMC has the option of redeeming or selling securities as a means of reducing outstanding bank reserves and applying monetary restraint. Of course, the sequencing of steps and the combination of tools that the Federal Reserve uses as it exits from its currently very accommodative policy stance will depend on economic and financial developments. I provided more discussion of these options and possible sequencing in a recent testimony. The Federal Reserve is committed to ensuring that the Congress and the public have all the information needed to understand our decisions and to be assured of the integrity of our operations. Indeed, on matters related to the conduct of monetary policy, the Federal Reserve is already one of the most transparent central banks in the world, providing detailed records and explanations of its decisions. Over the past year, the Federal Reserve also took a number of steps to enhance the transparency of its special credit and liquidity facilities, including the provision of regular, extensive reports to the Congress and the public; and we have worked closely with the GAO, the SIGTARP, the Congress, and private sector auditors on a range of matters relating to these facilities. While the emergency credit and liquidity facilities were important tools for implementing monetary policy during the crisis, we understand that the unusual nature of those facilities creates a special obligation to assure the Congress and the public of the integrity of their operation. Accordingly, we would welcome a review by the GAO of the Federal Reserve's management of all facilities created under emergency authorities. In particular, we would support legislation authorizing the GAO to audit the operational integrity, collateral policies, use of third-party contractors, accounting, financial reporting, and internal controls of these special liquidity and credit facilities. The Federal Reserve will, of course, cooperate fully and actively in all reviews. We are also prepared to support legislation that would require the release of the identities of the firms that participated in each special facility after an appropriate delay. It is important that the release occur after a lag that is sufficiently long that investors will not view an institution's use of one of these facilities as a possible indication of ongoing financial problems, thereby undermining market confidence in the institution or discouraging use of any future facility that might become necessary to protect the U.S. economy. An appropriate delay would also allow firms adequate time to inform investors through annual reports and other public documents of their use of Federal Reserve facilities. Looking ahead, we will continue to work with the Congress in identifying approaches for enhancing the Federal Reserve's transparency that are consistent with our statutory objectives of fostering maximum employment and price stability. In particular, it is vital that the conduct of monetary policy continue to be insulated from short-term political pressures so that the FOMC can make policy decisions in the longer-term economic interests of the American people. Moreover, the confidentiality of discount window lending to individual depository institutions must be maintained so that the Federal Reserve continues to have effective ways to provide liquidity to depository institutions under circumstances where other sources of funding are not available. The Federal Reserve's ability to inject liquidity into the financial system is critical for preserving financial stability and for supporting depositories' key role in meeting the ongoing credit needs of firms and households. Strengthening our financial regulatory system is essential for the long-term economic stability of the Nation. Among the lessons of the crisis are the crucial importance of macroprudential regulation that is, regulation and supervision aimed at addressing risks to the financial system as a whole-- and the need for effective consolidated supervision of every financial institution that is so large or interconnected that its failure could threaten the functioning of the entire financial system. The Federal Reserve strongly supports the Congress' ongoing efforts to achieve comprehensive financial reform. In the meantime, to strengthen the Federal Reserve's oversight of banking organizations, we have been conducting an intensive self-examination of our regulatory and supervisory responsibilities and have been actively implementing improvements. For example, the Federal Reserve has been playing a key role in international efforts to toughen capital and liquidity requirements for financial institutions, particularly systemically critical firms, and we have been taking the lead in ensuring that compensation structures at banking organizations provide appropriate incentives without encouraging excessive risk taking. The Federal Reserve is also making fundamental changes in its supervision of large, complex bank holding companies, both to improve the effectiveness of consolidated supervision and to incorporate a macroprudential perspective that goes beyond the traditional focus on safety and soundness of individual institutions. We are overhauling our supervisory framework and procedures to improve coordination within our own supervisory staff and with other supervisory agencies and to facilitate more integrated assessments of risks within each holding company and across groups of companies. Last spring the Federal Reserve led the successful Supervisory Capital Assessment Program, popularly known as the bank stress tests. An important lesson of that program was that combining onsite bank examinations with a suite of quantitative and analytical tools can greatly improve comparability of the results and better identify potential risks. In that spirit, the Federal Reserve is also in the process of developing an enhanced quantitative surveillance program for large bank holding companies. Supervisory information will be combined with firm-level, market-based indicators and aggregate economic data to provide a more complete picture of the risks facing these institutions and the broader financial system. Making use of the Federal Reserve's unparalleled breadth of expertise, this program will apply a multidisciplinary approach that involves economists, specialists in particular financial markets, payments systems experts, and other professionals, as well as bank supervisors. The recent crisis has also underscored the extent to which direct involvement in the oversight of banks and bank holding companies contributes to the Federal Reserve's effectiveness in carrying out its responsibilities as a central bank, including the making of monetary policy and the management of the discount window. But most important, as the crisis has once again demonstrated, the Federal Reserve's ability to identify and address diverse and hard-to-predict threats to financial stability depends critically on the information, expertise, and powers that it has by virtue of being both a bank supervisor and a central bank. The Federal Reserve continues to demonstrate its commitment to strengthening consumer protections in the financial services arena. Since the time of the previous Monetary Policy Report in July, the Federal Reserve has proposed a comprehensive overhaul of the regulations governing consumer mortgage transactions, and we are collaborating with the Department of Housing and Urban Development to assess how we might further increase transparency in the mortgage process. We have issued rules implementing enhanced consumer protections for credit card accounts and private student loans as well as new rules to ensure that consumers have meaningful opportunities to avoid overdraft fees. In addition, the Federal Reserve has implemented an expanded consumer compliance supervision program for nonbank subsidiaries of bank holding companies and foreign banking organizations. More generally, the Federal Reserve is committed to doing all that can be done to ensure that our economy is never again devastated by a financial collapse. We look forward to working with the Congress to develop effective and comprehensive reform of the financial regulatory framework. Thank you.","Statement","STATEMENT OF BEN S. BERNANKE, CHAIRMAN, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM"
"Senator Johnson","Thank you, Mr. Chairman. Is there an agreement that 5 minutes should be enough on the clock? I do not want to be overly rigid, but so be it. Chairman Bernanke, the weather has been unusually harsh across the country in the past month. This has disrupted business and Government activity and is likely to have an impact on employment. Do you think the effects will be strong enough to show up in the next month's employment statistics?","Speech"," "
"Mr. Bernanke","Senator, first I would say that the harsh weather will not have permanent effects on the----","Speech"," "
