Speaker,Speech,Type,Comments
"Chairman Dodd","The Committee will come to order. I am pleased to call the Committee to order this morning. Today, the Committee will hear the testimony of Federal Reserve Chairman Ben Bernanke on the outlook of the Nation's economy, the Fed's conduct of monetary policy, and the status of important consumer protection regulations that are under the Fed's jurisdiction. This is Chairman Bernanke's second appearance before the Committee this year. Mr. Chairman, it is good to have you with us, and, again, it is 2 weeks ago and now again today here. You are becoming a regular here, and so we appreciate your appearance before the Committee. When Chairman Bernanke was first before the Committee 2 weeks ago, I laid out the facts of what I consider to be our Nation's very serious, if not perilous, economic condition. Growth is slowing, inflation is rising, consumer confidence is plummeting, while indebtedness is deepening. And just as ominously, the credit markets have experienced significant disruptions. Consumers are unable or unwilling to borrow. Lenders are unable or unwilling to lend. There is a palpable sense of uncertainty and even fear in the markets with a crisis of confidence that has spread beyond the mortgage markets to markets in student loans. And I noted this morning--by the way, 2 weeks ago I pointed out that Michigan was indicating some serious problems with student lending, and this morning I am reading where Pennsylvania today--you may have seen the article--may decide to also curtail student loans as a result of this growing economic situation. We have also seen the problem with credit cards, government bonds, and corporate finance. Unfortunately, the crisis of confidence does not just exist by American consumers and lenders. It increasingly appears that there is a crisis of confidence among the rest of the world in the United States economy. Yesterday, the dollar reached its lowest level since 1973, when the dollar was first allowed to float freely. And the Fed's own monetary report details an alarming fact. Foreign entities have not only stopped purchasing U.S. securities; they have actually been selling them because they have lost, it appears, confidence in their value. Now, I am going to be raising some questions, Mr. Chairman, about that, and I will be interested in your observations about these reports in the Monetary Policy Report. As I have said previously, the catalyst of the current economic crisis I believe very strongly is the housing crisis. Overall, 2007 was the first year since data has been kept that the United States had an annual decline in nationwide housing prices. A recent Moody's report forecast that home values will drop in 2008 by 10 percent to 15 percent, and others are predicting similar declines in 2009 as well. This would be the first time since the Great Depression that national home prices have dropped in consecutive years. We have all witnessed in the past where regionally there have been declines in home prices, but to have national numbers like this is almost unprecedented, certainly in recent history. If the catalyst of the current economic crisis is the housing crisis, then the catalyst of the housing crisis is the foreclosure crisis. This week, it was reported that foreclosures in January were up 57 percent compared to a year ago and continue to hit record levels. When all is said and done, over 2 million Americans could lose their homes as a result of what Secretary Paulson has properly and accurately described as ``bad lending practices.'' These are lending practices that no sensible banker, I think, would ever engage in. Reckless, careless, and sometimes unscrupulous actors in the mortgage lending industry essentially allowed banks-- rather, essentially allowed loans to be made that they knew hard-working, law-abiding borrowers would never be able to repay. Let me add here very quickly, because I think it is important to make the point here, that we are not talking about everyone here at all. We are talking about some who engaged in practices that I think were unscrupulous or bad lending practices. But many institutions acted very responsibly, and I would not want the world to suggest here that this Committee believed that this was an indictment on all lending institutions. And engaged--those who did act improperly engaged in practices that the Federal Reserve under its prior leadership, in my view, and this administration did absolutely nothing to effectively stop. The crisis affects more than families who lose their homes. Property values for each home within a one-eighth square mile of a foreclosed home could drop on an average as much as $5,000. This will affect somewhere between 44 to 50 million homes in our country. So the ripple effect beyond the foreclosed property goes far beyond that and has a contagion effect, in my view, in our communities all across this country beyond the very stark reality of those who actually lose their homes, the effect of others watching the value of their properties decline, not to mention what that means to local tax bases, supporting local police and fire, and a variety of other concerns raised by this issue. I certainly want to commend the Fed Chairman--I said so yesterday publicly, Mr. Chairman; I do so again this morning-- for candidly acknowledging the weakness in the economy and for actively addressing those weaknesses by injecting liquidity and cutting interest rates. I also am pleased that the administration and the Congress were able to reach agreement on a stimulus package, and our hope is--while some have argued this is not big enough or strong enough, our collective hope is this will work, will have some very positive impact on the economy. Certainly this will have some support, we hope, for working families who are bearing the brunt of these very difficult times. However, I think more needs to be done to address the root cause of our economic problems. Any serious effort to address our economic woes should include, I think, an effort to take on the foreclosure crisis. And, again, there are various ideas out there on how we might do this more effectively, and certainly the Chairman and others have offered some ideas and suggestions. Senator Shelby and I have been working and talking--and Mel Martinez and others who are involved in these issues--about ways in which we can in the coming days do constructive things in a positive way to indicate and show not only our concern about the issue but some very strong ideas on how we can right this and restore that confidence I talked about earlier. We on this Committee have already taken some steps to address these problems. We have passed the FHA modernization legislation through the Committee and the Senate and continue to work to make it law. We had a very good meeting yesterday, I would point out, Senator Shelby and I and the leadership of the House Financial Services Committee, I say to you, Mr. Chairman, in hopes that we can come to some very quick conclusion on that piece of legislation and move it along here. We appropriated close to $200 million to facilitate foreclosure prevention efforts by borrowers and lenders, and I want to commend Senator Schumer and others who have been involved in this idea of counseling and ideas to minimize the impact of this problem as well. In addition, the recently enacted stimulus package that I mentioned already includes a temporary increase in the conforming loan limits for GSEs to try to address the problems that have spread throughout the credit market and the jumbo mortgage market. And while this temporary increase is helpful, we still need to implement broad GSE reform. And as I have said previously, I am committed to doing that, and we will get that done. I have spoken about my belief in the need for additional steps to mitigate the foreclosure crisis in a reasonable and thoughtful manner. These steps include targeting some community development block grant assistance to communities in a targeted way to help them to counter the impact of foreclosed and abandoned properties in their communities. And they include establishing a temporary homeownership loan initiative, which I have raised and others have commented on, either using existing platforms or a new entity that can facilitate mortgage refinancing. But it is not just the Congress that needs to do more, and, again, the Fed needs, in my view, to be as vigilant a financial regulator as it has been a monetary policymaker. That includes breaking with its past and becoming more vigilant about policing indefensible lending practices. And, again, I commend the Chairman of the Federal Reserve--we have talked about this here--on the proposed regulations that you have articulated that would follow on the HOEPA legislation. And while I have expressed some disappointment about how far they go in certain areas here, the Chairman and I have talked about this a bit. We will be involved in the comment period here and are looking forward to finalizing those regulations, and hopefully at least shutting the door on this kind of a problem re-emerging in the coming months and years. So I want to thank you, Mr. Chairman, and your colleagues and urge them to consider some of the stronger measures, and we will offer some additional comments on them. Despite these unprecedented challenges, I think all of us here on this Committee, Republicans and Democrats, remain confident in the future of the American economy, and our concerns that will be raised here this morning should not reflect anything but that confidence in the future. We may need to change some of our policies, regulations, and priorities, but we strongly believe that the ingenuity, productivity, and capability of the American worker and the entrepreneur ought never to be underestimated in this country. And we remain firm and committed to doing everything we can to strengthen those very points. So I look forward to working with my good friend, Senator Shelby, and other Members of the Committee to do what we can here to play our role in all of this in a constructive way, to work with you, Mr. Chairman, and the Federal Reserve, the Secretary of the Treasury, and others of the financial institution regulators to see what we can do in the short term to get this moving in a better direction. So, with that, let me turn to Senator Shelby for his opening comments, and then we will try to get to some questions. And I will leave opening comments for the go-around and question period so we can get to a question-and-answer period here to make this as productive a session as possible. But we thank you again for being with us.",Speech,
"Senator Shelby","Thank you, Chairman Dodd. Chairman Bernanke, we are pleased to have you again before the Committee to deliver the Federal Reserve's Semiannual Monetary Policy Report. I will keep my remarks brief this morning as we are all here to hear your views on the U.S. economy and other related issues. We also have the benefit of having read about your remarks before the House yesterday. Chairman Bernanke, the Federal Reserve has taken a number of steps over the past 6 months to address the tightening of credit markets and the slowdown in economic growth. In a bid to improve interbank liquidity, the Federal Reserve established the term auction facility in December of last year and has conducted, as I understand it, six auctions to date. Since last August, the Federal Open Market Committee has reduced the Federal funds target a total of 225 basis points, taking the target from 5.25 percent to 3 percent. Mr. Chairman, since monetary policy works with a lag, the full impact of this boost to the economy is not yet clear to you or to us. I know that we will spend time this morning discussing the length and the depth of the housing correction that Senator Dodd alluded to, and I think we should. I also want to make sure, however, that this Committee focuses on the risks associated with increasing inflation. The Labor Department, Mr. Chairman, reported this week, as you know, that wholesale price inflation hit a 26-year high in January. The January rise in the Consumer Price Index meant a 12-month change in the overall CPI of 4.3 percent, twice the pace of a year ago. In addition, gold and oil are at all-time highs. These numbers certainly raise questions, Mr. Chairman, as to how much more room the Federal Reserve will have to provide further monetary accommodation without threatening long-term price stability, which is very important to all of us. While it is difficult to see our Nation's economy experience minimal growth, the consequences of failing to restrain inflation will be far more painful and more difficult to unwind. Chairman Bernanke, we are pleased to have you with us this morning, and we look forward to your thoughts on this and other issues.",Statement,STATEMENT OF SENATOR RICHARD C. SHELBY
"Chairman Dodd","Thank you very much. Let me correct myself. The tradition has been, Mr. Chairman, if Members do want to make some opening comments at a moment like this, and I do not want to break that tradition. So I am going to ask if any Members would like to make any opening comments at this point, I would be happy to entertain them. I realize that has been the tradition of the Committee, and I do not want to violate the traditions of the Committee. Does any Member want to be heard, some opening comments to make at this point? If they would like to, I would be happy to entertain----",Speech,
"Senator Bunning","Let me ask a question. If we do not make them now and we make them during our timeframe, does that limit how many questions we can ask?",Speech,
"Chairman Dodd","Well, that is the idea. I mean, I do not want to limit your time, but----",Speech,
"Chairman Dodd","So if you would like to----",Speech,
"Senator Shelby","Make your opening statement.",Speech,
"Senator Bayh","That would make Chairman Bernanke happy.",Speech,
"Chairman Dodd","I understand that, and that is why you get the gavel after 27 years. But if you would like to make an opening comment----",Speech,
"Senator Bunning","OK.",Speech,
