Speaker,Speech
Chairman Dodd," Well, good morning. Let me welcome my colleagues and others to this very important hearing this morning. I want to thank the Chairman of the Federal Reserve.
    Today we are meeting in the most unusual and extraordinary moments in many ways in the recent history of our country. Let me tell you how we are going to proceed this morning.
    This is, of course, a scheduled hearing with the Chairman of the Federal Reserve on Humphrey-Hawkins and dealing with monetary policy, and over the next hour or so, we are going to focus on that and give the Chairman an opportunity to give us his statement this morning on that statutorily mandated requirement to appear before the Committee and share his thoughts on this issue. And then, as I understand it, we are due to have a vote around 11 o'clock, and my hope would be that we would recess for a few minutes for that vote, and when we come back, the Secretary of the Treasury, Hank Paulson, and Christopher Cox, the Chairman of the Securities and Exchange Commission, will be with us to engage in a discussion of the financial services issues that are before us.
    I want to thank Senator Shelby and my colleagues here for waiving the normal requirements of having several days of notice before we actually have a hearing like this. But I think all of us recognize the significance of the issues that are going on in our country at this moment and the importance of having the Secretary of the Treasury and the Chairman of the SEC as well as the Chairman of the Federal Reserve to be with us this morning. So I am very grateful to you and to the Secretary of the Treasury and Chris Cox.
    So the first hearing will be to receive the Semiannual Monetary Policy Report from the Federal Reserve as previously scheduled, and after the conclusion of that hearing, we will convene a second hearing on Recent Developments in U.S. Financial Markets and Regulatory Responses to Them. The second hearing was noticed yesterday with the consent of Senator Shelby--and, again, I am grateful to him--due to the special and exigent circumstances in our Nation's financial markets.
    I want to thank Chairman Bernanke for testifying at both hearings. I also thank Secretary Paulson and Chairman Cox for agreeing to appear on very short notice at the second hearing. In deference to them and the importance of the matters at hand, I will provide a brief opening statement. I will ask Senator Shelby to do likewise. And then I would ask my fellow Members here if they would reserve their question period to make their opening statements. All statements will be included in the record as if read so that we can get to the statement by the Chairman of the Federal Reserve and then get to the questions as quickly as we can.
    In considering the state of our economy and, in particular, the turmoil in recent days, it is important to distinguish between fear and facts. In our markets today, far too many actions are being driven by fear and ignoring crucial facts. One such fact is that Fannie Mae and Freddie Mac have core strengths that are helping them weather the stormy seas of today's financial markets. They are adequately capitalized. They are able to access the debt markets. They have solid portfolios with relatively few risky subprime mortgages. They are well regulated, and they have played a vital role in maintaining the flow of affordable mortgage credit even during these volatile times.
    Another fact is that the subprime lending fiasco was preventable. In this Committee, 18 months of exhaustive hearings have documented what I have called a ``pattern of regulatory neglect.'' The previous leadership, along with other financial agency leaders appointed by this administration, in my view ignored the clear and present danger posed by predatory lending to homeowners, to financial institutions, and to the economy as a whole. The result of this neglect is that the American people are experiencing unprecedented hardships and uncertainties.
    Foreclosure rates continue at record levels. Each and every day in America, more than 8,000 families enter foreclosure. For those lucky enough to keep their homes, the value of their homes has dropped by the greatest amount in some cases since the Great Depression. Millions more are paying record-high prices for gasoline, for health care, for education, and even for the food that they put on their tables. They are watching the value of their pension funds and 401(k)s plummet. And they want to know when will things start to turn around, when will America get back on track.
    Chairman Bernanke, you are to be commended, in my view, for your efforts to bring greater stability to our financial system during an unprecedented period of volatility. You also deserve credit for your willingness to address some of the unsafe, unsound, and predatory practices that proliferated over the last several years in the subprime mortgage market, as well as in the credit card lending. And we look forward to hearing from you today about the outlook for the Nation's economy and what can be done to improve it.
    Certainly, this Committee has worked diligently in that regard. On Friday evening, the Senate passed, with an overwhelming bipartisan majority, a bill that we believe will assist homeowners at risk of foreclosure, establish a new, permanent affordable housing fund, modernize the FHA, strengthen the regulation of the GSEs, and help restore confidence to the mortgage markets as a whole. It is certainly my view that this legislation deserves to be enacted as soon as possible, and I hope that will occur.
    In addition, we are all by now aware that the Treasury and the SEC as well as the Fed made important policy announcements this past weekend, which we intend to examine carefully in the hearing later this morning with you, Mr. Chairman, Secretary Paulson, and Chairman Cox.
    I think I can speak for everyone, I hope, on this Committee in saying that we all share a common desire to promote the common good of our country, and I think we all certainly appreciate the spirit in which the Fed, the SEC, and the Treasury Department have acted. But we do them and the American people a disservice if we do not examine very carefully the proposals that are being put forward. That is particularly true of the Treasury proposals. It is in many respects unprecedented. Although limited in duration, these proposals would give the Treasury unlimited new authority to purchase GSE debt and equity, it would exempt those purchases from pay-as-you-go budget rules, and it would grant to the Federal Reserve considerable new powers in relation to the regulation of the GSEs. These new powers could have the effect of crippling the efforts of virtually every Member of this Committee to create a true world-class regulator for the GSEs.
    These proposals raise serious questions--questions about the nature of the economic crisis facing our Nation, about the ability of these proposals to address this crisis effectively, and about the burden to the American taxpayer potentially being asked to carry. These questions deserve serious answers.
    Above all, this is a time to act on the basis of fact and not fear, as I said at the outset of these remarks. For too many years, leaders have shirked their duty, in my view, to protect the American taxpayer and to promote the American economy. At this critical moment, we must not flinch from our duty to do the same.
    With that, let me turn to Senator Shelby.
             STATEMENT OF SENATOR RICHARD C. SHELBY
    Senator Shelby. Mr. Chairman, I ask that my whole statement be made part of the record.
"
Chairman Dodd," Without objection, it will be.
    Senator Shelby. Chairman Bernanke, we again welcome you to the Banking Committee. We know this is a stressful time for our country, for our banking system, and perhaps for the Federal Reserve. We welcome you to deliver the Federal Reserve's Semiannual Monetary Policy Report, as you are required by law to do.
    I will keep my remarks brief and wait for Secretary Paulson and also SEC Chairman Cox to join you. But we are all interested in your views on the economy, where the economy is going to go, more than the specter of inflation, but other issues, related issues, such as the GSE situation.
    A lot of us--and you have raised this issue, your Chairman raised this issue over 5 years ago in this Committee. A lot of us realized that the GSEs were not properly regulated and were thinly capitalized. We have seen this come home now. They were fears that we hoped would not come, but they are here today.
    I guess the situation is some said always that the GSEs, because of the implicit guarantee of the Government, with over $5 trillion of debt, exceeding that of France and the U.K. combined, that it was a ticking time bomb. Well, someone has started the fuse burning. I hope it is not too little or too late. But I believe this is an opportune time to rein in the GSEs.
    Senator Dodd has talked about this a lot: We realize they are important to our housing, they are important to our economy, but they have to be capitalized well. They have got to be managed well, and they have got to be regulated. And I hope later in the morning we will get into that. I think that is one of the topics of the day after your monetary policy report.
    Thank you, Senator Dodd.
"
Chairman Dodd," With that, Mr. Chairman, we welcome your comments, and your statement in full will be included in the record.
            STATEMENT OF BEN S. BERNANKE, CHAIRMAN,
        BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
"
Mr. Bernanke," Chairman Dodd, Senator Shelby, and Members of the Committee, I am pleased to present the Federal Reserve's Monetary Policy Report to the Congress.
    The U.S. economy and financial system has confronted some significant challenges thus far in 2008. The contraction in housing activity that began in 2006 and the associated deterioration in mortgage markets that became evident last year have led to sizable losses at financial institutions and a sharp tightening in overall credit conditions. The effects of the housing contraction and of the financial head winds on spending and economic activity have been compounded by rapid increases in the prices of energy and other commodities which have sapped household purchasing power even as they have boosted inflation.
    Against this backdrop, economic activity has advanced at a sluggish pace during the first half of this year while inflation has remained elevated. Following a significant reduction in its policy rate over the second half of 2007, the Federal Open Market Committee eased policy considerably further through the spring to counter actual and expected weakness in economic growth and to mitigate downside risk to economic activity. In addition, the Federal Reserve expanded some of the special liquidity programs that were established last year and implemented additional facilities to support the functioning of financial markets and foster financial stability.
    Although these policy actions have had positive effects, the economy continues to face numerous difficulties, including ongoing strains on financial markets, declining house prices, a softening labor market, and rising prices of oil, food, and some other commodities.
    Let me now turn to a more detailed discussion of some of these key issues.
    Developments in financial markets and their implications to the macroeconomic outlook have been a focus of monetary policymakers over the past year. In the second half of 2007, the deteriorating performance of subprime mortgages in the United States triggered turbulence in domestic and international financial markets as investors became markedly less willing to bear credit risks of any type.
    In the first quarter of 2008, reports of further losses and writedowns by financial institutions intensified investor concerns and resulted in further sharp reductions in market liquidity. By March, many dealers and other institutions, even those that had relied heavily on short-term secured financing, were facing much more stringent borrowing conditions.
    In mid-March, a major investment bank, the Bear Stearns Companies Incorporated, was pushed to the brink of failure after suddenly losing access to short-term financing markets. The Federal Reserve judged that a disorderly failure of Bear Stearns would pose a serious threat to overall financial stability and would most likely have significant adverse implications for the U.S. economy. After discussions with the Securities and Exchange Commission and in consultation with the Treasury, we invoked emergency authorities to provide special financing to facilitate the acquisition of Bear Stearns by JPMorgan Chase and Company.
    In addition, the Federal Reserve used emergency authorities to establish two new facilities to provide backstop liquidity to primary dealers, with the goals of stabilizing financial conditions and increasing the availability of credit to the broader economy.
    We have also taken additional steps to address liquidity pressures in the banking system, including a further easing of the terms for bank borrowing at the discount window and increases in the amount of credit made available to banks through the Term Auction Facility.
    The FOMC also authorized expansion of its currency swap arrangements with the European Central Bank and the Swiss National Bank to facilitate increased dollar lending by those institutions to banks in their jurisdictions.
    These steps to address liquidity pressures, coupled with monetary easing, seem to have been helpful in mitigating some market strains. During the second quarter, credit spreads generally narrowed, liquidity pressures ebbed, and a number of financial institutions raised new capital. However, as events in recent weeks have demonstrated, many financial markets and institutions remain under considerable stress, in part because the outlook for the economy and, thus, for credit quality remains uncertain.
    In recent days, investors became particularly concerned about the financial condition of the Government-sponsored enterprises Fannie Mae and Freddie Mac. In view of this development, and given the importance of these firms to the mortgage market, the Treasury announced the legislative proposal to bolster their capital, access to liquidity, and regulatory oversight.
    As a supplement to the Treasury's existing authority to lend to the GSEs, and as a bridge to the time when the Congress decides how to proceed on these matters, the Board of Governors authorized the Federal Reserve Bank of New York to lend to Fannie Mae and Freddie Mac should that become necessary. Any lending would be collateralized by U.S. Government and Federal agency securities. In general, healthy economic growth depends on well-functioning financial markets. Consequently, helping the financial markets to return to more normal functioning will continue to be a top priority of the Federal Reserve.
    I turn now to current economic developments and prospects. The economy has continued to expand, but at a subdued pace. In the labor market, private payroll employment has declined this year, falling at an average pace of 94,000 jobs per month through June. Employment in the construction and manufacturing sectors has been particularly hard hit, although employment declines in a number of other sectors are evident as well. The unemployment rate has risen and now stands at 5.5 percent.
    In the housing sector, activity continues to weaken. Although sales of existing homes have been unchanged this year, sales of new homes have continued to fall, and inventories of unsold new homes remain high. In response, home builders continue to scale back the pace of housing starts. Home prices are falling, particularly in regions that experienced the largest price increases earlier this decade. The declines in home prices have contributed to the rising tide of foreclosures. By adding to the stock of vacant homes for sale, these foreclosures have in turn intensified the downward pressure on home prices in some areas.
    Personal consumption expenditures have advanced at a modest pace so far this year, generally holding up somewhat better than might have been expected given the array of forces weighing on household finances and attitudes. In particular, with the labor market softening and consumer price inflation elevated, real earnings have been stagnant so far this year. Declining values and equities in house have taken their toll on household balance sheets, credit conditions have tightened, and indicators of consumer sentiment have fallen sharply. More positively, the fiscal stimulus package is providing some timely support to household incomes. Overall, consumption spending seems likely to be restrained over coming quarters.
    In the business sector, real outlays for equipment and software were about flat in the first quarter of the year, and construction of nonresidential structures slowed appreciably. In the second quarter, the available data suggests that business fixed investment appears to have expanded moderately. Nevertheless, surveys of capital spending plans indicate that firms remain concerned about the economic and financial environment, including sharply rising costs of inputs and indications of tightening credit, and they are likely to be cautious with spending in the second half of the year. However, strong export growth continues to be a significant boon to many U.S. companies.
    In conjunction with the June FOMC meeting, Board members and reserve bank presidents prepared economic projections covering the years 2008 through 2010. On balance, most FOMC participants expected that, over the remainder of this year, output would expand at a pace appreciably below its trend rate, primarily because of continued weakness in housing markets, elevated energy prices, and tight credit conditions. Growth is projected to pick up gradually over the next 2 years as residential construction bottoms out and begins a slow recovery and as credit conditions gradually improve. However, FOMC participants indicated that considerable uncertainty surrounded their outlook for economic growth, and they viewed the risks to their forecast as skewed to the downside.
    Inflation has remained high, running at nearly a 3.5-percent annual rate over the first 5 months of this year, as measured by the price index of personal consumption expenditures. And with gasoline and other consumer energy prices rising in recent weeks, inflation seems likely to move temporarily higher in the near term. The elevated level of overall consumer inflation largely reflects a continued sharp run-up in the prices of many commodities, especially oil, but also certain crops and metals. The spot price of West Texas intermediate crude oil soared about 60 percent in 2007 and thus far this year has climbed an additional 50 percent or so.
    The price of oil currently stands at about 5 times its level toward the beginning of this decade. Our best judgment is that this surge in prices has been driven predominantly by strong growth in underlying demand and tight supply conditions in global oil markets.
    Over the past several years, the world economy has expanded at its fastest pace in decades, leading to substantial increases in demand for oil. Moreover, growth has been concentrated in developed and emerging market economies, where energy consumption has been further stimulated by rapid industrialization and by government subsidies that hold down the price of energy faced by ultimate users.
    On the supply side, despite sharp increases in prices, the production of oil has risen only slightly in the past few years. Much of the subdued supply response reflects inadequate investment and production shortfalls in politically volatile regions where large portions of the world's oil reserves are located. Additionally, many governments have been tightening their control over oil resources, impeding foreign investment and hindering efforts to boost capacity and production. Finally, sustainable rates of production in some of the more secure and accessible oil fields, such as those in the North Sea, have been declining.
    In view of these factors, estimates of long-term oil supplies have been marked down in recent months. Long-dated oil future prices have risen along with spot prices, suggesting that market participants also see oil supply conditions remaining tight for years to come.
    The decline in the foreign exchange value of the dollar has also contributed somewhat to the increase in oil prices. The precise size of this effect is difficult to ascertain as the causal relationships between oil prices and the dollar are complex and run in both directions. However, the price of oil has risen significantly in terms of all major currencies, suggesting that factors other than the dollar--notably, shifts in the underlying global demand for and supply of oil--have been the principal drivers of these increases in prices.
    Another concern that has been raised is that financial speculation has added markedly to upward pressure on oil prices. Certainly, investor interest in oil and other commodities has increased substantially of late. However, if financial speculation is pushing oil prices above the levels consistent with the fundamentals of supply and demand, we would expect inventories of crude oil and petroleum products to increase as supply rose and demand fell. But, in fact, available data on oil inventories show notable declines over the past year.
    This is not to say that useful steps could not be taken to improve the transparency and functioning of futures markets, only that such steps are unlikely to substantially affect the prices of oil or other commodities in the longer term.
    Although the inflationary effect of rising oil and agricultural commodity prices is evident in the retail prices of energy and food, the extent to which the high prices of oil and other raw materials have passed through to the prices of non-energy, non-food finished goods and services seems thus far to have been limited. But with businesses facing persistently higher input prices, they may attempt to pass through such costs into prices of final goods and services more aggressively than they have done so far.
    Moreover, as the foreign exchange value of the dollar has declined, rises in import prices have put greater upward pressure on business costs and consumer prices. In their economic projections for the June FOMC meeting, monetary policymakers marked up their forecasts for inflation during 2008 as a whole. FOMC participants continue to expect inflation to moderate in 2009 and 2010 as slower global growth leads to a pooling of commodity markets, as pressures on resource utilization decline, and as longer-term inflation expectations remain reasonably well anchored. However, in light of persistent escalation of commodity prices in recent quarters, FOMC participants view the inflation outlook as unusually uncertain and cited the possibility that commodity prices will continue to rise as an important risk to the inflation forecast.
    Moreover, the currently high level of inflation, if sustained, might lead the public to revise up its expectations for longer-term inflation. If that were to occur and those revised expectations were to become embedded in the domestic wage- and price-setting process, we could see an unwelcome rise in actual inflation over the longer term. A critical responsibility of monetary policymakers is to prevent that process from taking hold.
    At present, accurately assessing and appropriately balancing the risks to the outlook for growth and inflation is a significant challenge for monetary policymakers. The possibility of higher energy prices, tighter credit conditions, and a still deeper contraction in housing markets all represent significant downside risks to the outlook for growth. At the same time, upside risks to the inflation outlook have intensified lately as the rising prices of energy and some other commodities have led to a sharp pick-up in inflation, and some measures of inflation expectations have moved higher.
    Given the high degree of uncertainty, monetary policymakers will need to carefully assess incoming information bearing on the outlook for both inflation and growth. In light of the increase in upside inflation risk, we must be particularly alert to any indications, such as erosion of longer-term inflation expectations, that the inflationary impulses from commodity prices are becoming embedded in the domestic wage- and price-setting process.
    I would like to conclude my remarks by providing a brief update on some of the Federal Reserve's actions in the area of consumer protection.
    At the time of our report last February, I described the Board's proposal to adopt comprehensive new regulations to prohibit unfair or deceptive practices in the mortgage market using our authority under the Home Ownership and Equity Protection Act of 1994. After reviewing more than 4,500 comment letters we received on these proposed rules, the Board approved the final rules yesterday. The new rules apply to all types of mortgage lenders and will establish lending standards aimed at curbing abuses while preserving responsible subprime lending and sustainable homeownership.
    The final rules prohibit lenders from making higher-priced loans without due regard for consumers' ability to make the scheduled payments and require lenders to verify the income and assets on which they rely when making the credit decision. Also, for higher-priced loans, lenders now will be required to establish escrow accounts so that property taxes and insurance costs will be included in consumers' regular monthly payments.
    The final rules also prohibit prepayment penalties for higher-priced loans in cases in which the consumer's payment could increase during the first few years and restrict prepayment penalties on other higher-priced loans. Other measures address the coercion of appraisers' service or practices and other issues. We believe the new rules will help to restore confidence in the mortgage market.
    In May, working jointly with the Office of Thrift Supervision and the National Credit Union Administration, the Board issued proposed rules under the Federal Trade Commission Act to address unfair or deceptive practices for credit card accounts and overdraft protection plans. Credit cards provide a convenient source of credit for many consumers, but as the terms of credit card loans have become more complex, transparency has been reduced.
    Our consumer testing has persuaded us that disclosures alone cannot solve this problem. Thus, the Board's proposed rules will require card issuers to alter their practices in ways that will allow consumers to better understand how their own decisions and actions will affect their costs. Card issuers would be prohibited from increasing interest rates retroactively to cover prior purchases, except under very limited circumstances. For accounts having multiple interest rates, when consumers seek to pay down their balance by paying more than the minimum, card issuers would be prohibited from maximizing interest charges by applying excess payments to the lowest-rate balance first.
    The proposed rules dealing with bank overdraft services seek to give consumers greater control by ensuring that they have ample opportunity to opt out of automatic payments of overdrafts. The Board has already received more than 20,000 comment letters in response to these proposed rules.
    Thank you very much. I would be pleased to take your questions.
"
Chairman Dodd," Well, thank you very much, Mr. Chairman. And let me just briefly say I appreciate the efforts of the Fed regarding both credit cards and the things dealing with predatory lending practices. We welcome those rules, and we welcome the suggestions in the credit card areas, and a future point here, we will maybe have more discussion about that. But I wanted to at least reflect my appreciation of what the Fed has done regarding those matters, and we appreciate it very much.
    I am going to put this clock on at 5 minutes so we can give everyone a chance to raise any questions they have on the monetary policy issues. Some of the questions may overlap, and at the conclusion of that, Secretary Paulson and Chairman Cox will be here to have a broader discussion about the proposals being made by Treasury over the weekend.
    Let me, if I can, jump to the economic projections for 2009, the concerns about economic growth that you have raised in your statement here this morning. Given the fact that we have, as you point out, acknowledged the risk to your forecast for economic growth are skewed to the downside, to use your words, and given the fact that the stimulus package is about to--the effects of it are going to run out by the end of the year. The housing crisis continues, obviously, as we all know painfully. Gasoline prices, as you point out, are at record levels, costing consumers tremendously. The issues involving the weakness in the labor market are significant, 94,000 jobs lost every month for the last 6 months on a consistent basis. Inflation, as you point out, while it may abate in the coming years, it certainly is going to be with us for some time.
    What suggestions do you have for us in all of this? And I realize you may want to reserve some final judgment on the effects of the stimulus package and will not know the full effects of that until maybe toward the end of the year. But as we look down the road as policy setters here in the Congress looking at ideas, including a possibly a second stimulus package, one of the suggestions we made to increase productivity is to invest more heavily in infrastructure, the infrastructure needs of the country.
    I wonder if you might just share with us your views as to what ideas, as a menu of ideas, without necessarily embracing one or the other, but what you would be planning to do rather than just sort of waiting out the year and a new administration coming in, we will be leaving here, adjourning in late September, early October, maybe coming back, maybe not until after inauguration of the President late in January, it seems to me this would be an opportune time for us to be considering very seriously policy considerations that would provide for greater economic growth and opportunity than what we are presently looking at.
"
Mr. Bernanke," Mr. Chairman, I think that the central issue in the economic situation right now is the housing market. It is the continued uncertainty about house prices and housing activity which is creating financial stress, is affecting consumer wealth and consumer expectations and causing the stress we are seeing in the economy. So my suggestion would be in the near term to focus on issues related to housing. I understand that you have already passed a bill that would address, for example, GSE reform. We need the GSEs to continue to be active in supporting the mortgage markets, as well as FHA modernization and other steps that Congress determines would strengthen and support mortgage finance in the housing sector. I think that is the most critical central issue we face.
    On a second stimulus package, my own sense is that we are still trying to assess the effects of the first round. It appears that it does seem to be helping. But it might be a bit more time before we fully understand the extent to which additional stimulus may or may not be needed.
    If additional stimulus is, in fact, invoked, it would be important to find programs that would be, as in the first round, timely, temporary, and targeted, in particular, that would take place quickly and would put money into the economy relatively quickly.
    In the case of infrastructure, it is often well justified on its merits, but one would have to ask whether the flow of funding would go into the economy in a relatively prompt way, or would there be long delays associated with the planning process?
"
Chairman Dodd," But your objections or concerns, they are not about the effects of that in the longer term but more the near-term benefits of it.
"
Mr. Bernanke," Addressing the infrastructure issue in the United States is very important since infrastructure is a critical part of the economic underpinnings. But except for those cases where the infrastructure spending would have immediate impact on total spending, I would suggest that those projects be evaluated on their own merits in terms of their ability to contribute to the overall strength of the economy in the longer term.
"
Chairman Dodd," I have a last question for you dealing with gasoline prices, and, again, let me first of all commend you because you did something different than your predecessor. In the past, we have excluded in the consideration of inflation gasoline or energy pricing and food. And if you do not drive a car, heat your home, or put food on the table, I suppose that has some relevance here. And I understand the macroeconomic value of excluding energy and food. But for average Americans, excluding those two necessities hardly reflects real inflation. And so the fact that you are now adding those to real inflation is very welcome, and I thank you for it.
    I wonder if you might comment briefly on the notion, how is it--and I understand your points about demand in the country and around the world and supply issues. But it strikes many of us here in the speculation area, and you said the need to look at transparency issues and the like are warranted. But it seems to me in 1 year's time to go from $60 or $70 a barrel to this morning I think it is hovering around $150 a barrel has to be explained in terms other than just normal economic pressures that it created.
    Does it concern you at all about margin requirements, for instance, in the area of speculation where the margin requirements are somewhat different in the area of energy pricing than they are for other commodities that there should be some leveling of the playing field when it comes to margin requirements, as an example of what might come as a response?
"
Mr. Bernanke," I would just like to comment briefly that the Federal Reserve and the CFTC are part of a task force which is gathering data analyzing these issues and hope to bring some more explicit recommendations to you later this summer or early fall.
    Margin requirements serve two purposes. They can affect the cost of credit, but they also are a very important part of the counterparty risk management process for exchanges. And so we need to be careful in changing margin requirements that we do not interfere with these other important functions or that we do not unnecessarily reduce the liquidity in those markets. But we are certainly looking at these issues, and we hoped that they would bring to you some ideas.
"
