"Speaker","Speech"
"Chairman Shelby","The hearing will come to order. We are very pleased this morning to welcome Chairman Ben Bernanke before the Committee on Banking, Housing, and Urban Affairs, to deliver the Federal Reserve's Semi-Annual Monetary Policy Report to the Congress. Chairman Bernanke, your testimony and report this morning note the economy's strong performance in the first half of 2006. Real gross domestic product, GDP, increased at an annual rate of 5.6 percent in the first quarter of 2006. Federal Reserve data released earlier this week showed U.S. industrial production rising 0.8 percent in June with capacity utilization now at 82.4 percent, the highest rate since June 2000. We continue to enjoy a low unemployment rate, both historically and relative to other industrialized nations. Some of the most recent economic data make it clear the balancing act that the Federal Reserve now faces. Energy prices, including oil, have increased over the past year and the turmoil in the Middle East adds to concerns in this area. Housing markets seem to be catching their breath, with the pace of rapid price appreciation slowing and in some markets showing small declines. Both factors lead to questions about the ability of consumers to continue consumption growth in our economy. At its most recent meeting on June 29, the Federal Open Market Committee raised its target for the Federal funds rate by 25 basis points to 5.25 percent, the seventeenth one-quarter point increase since June 2004 when the FOMC began raising the target rate from a then low of 1 percent. Fed watchers noted that the latest FOMC statement seemed to leave open the question of whether the FOMC will increase the Federal funds target at its next meeting, referencing ``the extent and timing of any additional'' rate increases. Although the minutes of that meeting will not be released until July 20, our hearing this morning gives us the opportunity to discuss which factors were significant in your deliberations and what factors you may be looking at as the FOMC prepares for its next monetary policy hearing on August 8. Our hearing this morning can thus add to the transparency of the FOMC process. Mr. Chairman, we are pleased to have you with us this morning. We look forward to discussing in greater detail the Federal Reserve's performance in carrying out monetary policy and its views on the future direction of our Nation's economy. We all look forward to raising a number of questions with you then."
"Senator Sarbanes"," "
"STATEMENT OF SENATOR PAUL S. SARBANES"," "
"Senator Sarbanes","Thank you very much, Chairman Shelby. I welcome Chairman Bernanke before the Committee. I think it is fair to say this hearing comes at a particularly pivotal time for monetary policy. The economy is slowing down and the run-up in oil prices is contributing to that slowdown. An oil price spike has preceded a number of recessions since 1973, but some spikes have occurred without a subsequent recession. We look to the Federal Reserve to help avoid a recession this time around. There are a number of signs of economic weakness. Job growth has been anemic for the last 3 months, averaging just over 100,000 jobs per month. The pace is less than 1 percent a year. Over the last half century we have tended to have such slow job growth when we are going into or coming out of a recession. It is less than half the pace of job growth for the 10 years of expansion from March 1991 to March 2001. Not only are jobs growing slowly, but also all the measures of wages and compensation show gains below inflation over the last year. Total compensation, including wages and benefit costs, have risen 2.8 percent in the last year. Such pay gains are not putting upward pressure on inflation because they are almost entirely offset by productivity gains, which are up 2.5 percent. Unit labor costs, which adjust hourly labor costs for productivity gains, are up by a negligible 0.3 percent in the last year. That is shown rather dramatically in this chart, which shows compensation, productivity, and unit labor costs. Unfortunately, the only people with pay gains that are keeping ahead of inflation are those at the top of the ladder. By this stage in previous business cycle expansions, people at the middle and bottom of the wage ladder have typically been enjoying healthy pay gains. This was certainly the case from 1995 to 2000. We need to keep the expansion going so that those at the middle and the bottom of the pay scale can finally share in the exceptional productivity gains that they have helped to create. With the higher cost of fuel and little room to cut back on fuel use, consumers have been forced to cut back on other types of spending and they go into debt. Consumer spending has risen at less than a 2 percent rate over the last 4 months. To manage even that modest increase, households have had to reduce savings and increase borrowing. The household savings rate has plunged to an unprecedented minus 1.7 percent. Where is the rise in inflation coming from? Although higher prices for oil and other commodities have contributed, much more important is the surge in profit margins. At this hearing 2 years ago, Chairman Greenspan drew attention to this, stating ``from an accounting perspective, between the first quarter of 2003 and the first quarter of 2004 all of the 1.1 percent increase in the prices of final goods and services produced in the nonfinancial corporate sector can be attributed to a rise in profit margins rather than cost pressures.'' He predicted at the time that competition to create new capacity and hire more workers would bring down the profit share to more normal levels, but that has not happened. In fact, the profit share of GDP hit 12.7 percent in the first quarter, the highest profit margin since 1950. With inflation racing ahead of wages and rising interest rates, we see a serious downturn in the housing industry. The housing affordability index has plunged to the lowest level since 1989 when declining housing led to a recession in 1990. New home sales so far this year are running 11 percent below the rate for the same period last year. With sales down, builders have cut back on new home construction. They are obtaining permits at a rate of more than 1.7 million a year for 5 months last year, but that rate fell below 1.5 million in the latest months. We are now down below 1.4 million. This is new single family home permits, and it shows a rather marked decline over the last year. Last week's report on the consensus of blue chip economic forecasters should also give Federal Reserve policymakers pause. The consensus expects growth below the trend line starting with the just-completed second quarter through the end of 2007. In addition, the blue chip economic forecasters expect inflation to slow down to about 2.5 percent next year. I am hopeful that this morning Chairman Bernanke can put to rest some troubling concerns about monetary policy. The Fed's statements that future changes in interest rates will depend on new data, not an all together unreasonable statement I might say, but it has been interpreted by some commentators to mean that the Federal Reserve will raise interest rates at every meeting until inflation comes down. The headlines of the last two weekly reports from Goldman Sachs are ``The Stance of Monetary Policy, Enough is Enough.'' And the other one ``Bernanke Preview, Monetary Policy Begins to Bite.'' Two recent headlines from Merrill Lynch state that its ``getting tougher for the Fed to justify what it is doing'' and ``nearly every indicator showing signs of a slowdown.'' Merrill Lynch Economist David Rosenberg, in a report last Friday entitled, ``To Pause Or Not To Pause: That Is The Conundrum,'' expressed this concern: ``The Fed has managed to elevate a pause to something that is a pretty major event. What was normal in prior cycles, up or down, is now something that grabs headlines. The Fed paused twice in the 1999-2000 cycle and three times in the 1994 cycle, and it elicited a yawn from the markets. This time around a `pause' is being treated as an `ease,' which has basically put the Fed in a pickle.'' The 17 Fed rate hikes over the last 2 years are having an effect. You can see that in the housing sector, job growth, the blue chip forecast. Both for subdued growth and for falling inflation over the next year. I look forward to the opportunity to pursue these concerns with the Chairman in the question period. I also, just to send a warning, hope to be able to ask you about the Basel II situation which I think is a matter that calls for very close attention, which I do not think it has been receiving. Thank you very much, Mr. Chairman."
"Chairman Shelby","We have established a quorum and at this time, if you will bear with us, Mr. Chairman, I would like to move the Committee to executive session to consider a number of nominations that we have had hearings on. "
"Chairman Shelby","We will now resume the hearing."
"Senator Bennett"," "
"STATEMENT OF SENATOR ROBERT F. BENNETT"," "
"Senator Bennett","Thank you, Mr. Chairman. Chairman Bernanke, welcome to the Committee. I look forward to hearing what you have to say today. I will not recite a bunch of statistics as my colleagues have because I think we will get into those. I will look for to your comments with respect to how the economy is changing. We are in the midst of the Information Revolution, and just as the Industrial Revolution changed things rapidly, so I believe the Information Revolution is changing things, and we need to recognize that sometimes past benchmarks in the new, changed environment in which we find ourselves may not be the best benchmarks to look at. We should look around for new ones and the signs of the changes. I am particularly focused on the impact of productivity gains. Productivity has gone up much more rapidly in the information age than it did in the industrial age and it is affecting a number other economic indicators. So, I welcome you here and look forward to a dialogue with you on these and other related issues."
"Chairman Shelby","Senator Reed. "
"STATEMENT OF SENATOR JACK REED"," "
"Senator Reed","Thank you very much, Mr. Chairman. I would make three points. Gross domestic product has spiked up in the first quarter but there is evidence that the economy is slowing even before most Americans have benefited from the growth we have seen thus far in the recovery. As my colleagues have pointed out, strong productivity growth has shown up in the bottom lines of shareholders but not in the paychecks of workers. We are also facing soaring energy prices, record budget and trade deficits, and a negative household saving rate. All of these pose tremendous challenges to setting monetary policy which the Chairman and his colleagues are charged to do. We also have a situation where we no longer maintain the fiscal discipline that we had in the 1990's which allowed for monetary policy that encouraged investment and long-term growth. We have, I think, squandered that fiscal discipline and that complicates your job also, Mr. Chairman. I would also associate myself with the comments that Senator Sarbanes made with respect to the growing inequality of income, earnings, and wealth in this economy. It is particularly troublesome because as we pursue some of these tax policies which further increase the deficit and further erode the ability to provide basic support to middle-income Americans, like Pell grants and other programs, the difficulty of workers in this country to support their families is infinitely complicated and I think that is something that the Fed has to be concerned about, even if it does not have direct policy leverage to use. So, Mr. Chairman, I look forward to Chairman Bernanke's testimony. I thank him for his service."
"Chairman Shelby","Senator Bunning. "
"STATEMENT OF SENATOR JIM BUNNING"," "
"Senator Bunning","Thank you, Mr. Chairman. This is a very important hearing that we do twice a year and I cannot remember when it came at a more critical time for our markets and our economy. It has been a long time since I have seen a stock market that is as sensitive and unstable as this one. Chairman Bernanke, you have only been on the job for 5\1/2\ months but it has been a wild ride. I am disappointed in your leadership of the Fed so far but I am not surprised. During your confirmation process, I warned my colleagues that you were going to be much the same as former Chairman Greenspan, and so far you have been. The string of interest rate increases started by Chairman Greenspan has continued, and just as he did in 2000, I think you are going to overshoot. Also, you have not ended the group think at the Fed. In fact, it seems you have gone so far as to hand-pick new Fed Members that think just as you do. Some commentators point to the situation in the Middle East and North Korea as driving the market down, but those tensions have been around a lot longer than the current market downturn. Others say high energy prices are hanging over the economy. Yes, oil is expensive, but it is still below all-time highs when adjusted for inflation, and our energy expenses are a smaller percentage of our total expenses than in the past. Those are not the market's problems. What is dragging the market down is interest rates and uncertainty about Fed action. The Fed can do three things with its interest rate actions. It can overshoot, it can undershoot, or it can get it just right. It is much easier to mess up than to get it just right. The Fed has raised rates at 17 straight meetings. The Fed funds rate stands at 5.25 percent today and could go higher. There has been no pause to see how the economy reacts to those rate hikes. It has been one increase after another. At the current pace the Fed is going to overshoot and not even know it. By the time the full impact of interest rate increases is evident it will be too late. The U.S. economy will be damaged, and for that matter, the world economy could follow. The decisions of our central banks are often followed by foreign central banks and many have raised rates to keep pace with the United States. So many foreign economies rely on a strong U.S. economy for their growth and stability. The Fed is marching into dangerous territory and not looking back. There is a lot of speculation that the Fed may pause at the next meeting, but that is another way of saying that the Fed is still considering another increase. The markets do not know what the Fed is going to do and they will be on edge until there is certainty. Public statements by Fed Members over the last few months have not helped either. Many Governors have raised concerns that inflation is growing and said that interest rate hikes should continue. Others have said that it may be time to pause but have not dissented in Fed actions. The most recent official Fed statement has even caused more uncertainty. It was softer than the tough talk of the Chairman and others leading up to the meeting yet it does not rule out further rate increases. I still do not understand what all this talk and uncertainty is for. Inflation is not out of control. And I say it definitely, one more time. Inflation is not out of control. And if you think it is, we will further pursue it in the question and answer period. All indicators of inflation show that while it may be higher than in the past few years, it is still far below what we saw in the past few decades. Key indicators like gold are off their highs from earlier in the year and productivity has kept unit labor costs in check. The Fed is chasing an inflation monster that is just not there. I hope the Fed realizes that before it is too late. Thank you, Mr. Chairman. I look forward to asking some questions."
"Chairman Shelby","Thank you."
"Senator Menendez"," "
"STATEMENT OF SENATOR ROBERT MENENDEZ"," "
"Senator Menendez","Thank you, Mr. Chairman. Welcome, Chairman Bernanke. Let me say, recently we learned that the anticipated deficit for the fiscal year 2006 is down from what had been projected and for that we should all be happy. However, we are still talking about a deficit of $296 billion. And though that is better than the original estimated deficit of $423 billion, which some considered was an inflated estimate in the first instance, it is a far cry from the $600 billion budget surplus for 2006 that was predicted by the White House back in 2001. Now that discussion certainly belies the $10 trillion to $12 trillion debt that the Congressional Budget Office tells us we are headed to by 2011. So while some in this country believe that are our economy is chugging along quite well because our gross domestic product continues to grow, there seems to be an increasing gap between the average citizen and those at the top of our economic ladder. The disparity between the haves and have-nots seems to be widening at an alarming rate. When I am back in New Jersey, I hear more and more from New Jerseyians that they are working harder and longer just to try to keep their heads above water, whether it is because of higher costs for college, soaring health care costs, increasing energy prices, gas prices, stagnant and flat wages, or pensions being underfunded and in some cases totally abandoned, there is a huge disconnect between growth in our GDP and the situation that the average American finds themselves and their families in. So the question is, who is this economy working for? I look forward to your testimony today and to hearing your thoughts on some of those items I have just mentioned and other challenges we face as a Nation, such as the cooling off of the housing market and what that may mean, rising energy prices, consequences of deficit and debt, record trade deficits, real wages remaining flat, negative household and national savings, a variety of global influences and how these factors affect the dynamic of the modern global economy that we have. Those are the challenges I hear from average New Jerseyians and Americans that they are currently facing and that you have before you. So as we wish you well in the stewardship of the economy, we look forward to hearing your testimony and hopefully reflecting upon some of those items. If not, I will pursue it in my questions. Thank you, Mr. Chairman."
"Chairman Shelby","Thank you."
"Senator Dole"," "
