"Speaker","Speech"
"Chairman Dodd","The Committee will come to order, and let me welcome the Chairman of the Federal Reserve. Chairman Bernanke, we are delighted to have you with us and thank you. And we have, as you see, a rather full complement of Senate Banking Committee Members here this morning, so there is a lot of interest, obviously, in having a good conversation with you this morning about the issues before our Nation. I am going to begin with some brief opening comments, turn to Senator Shelby, and I am going to beg the indulgence of my colleagues to reserve their opening comments for the question period. You had the opportunity to testify yesterday before the House Financial Services Committee, and I suspect you are not going to dramatically change your testimony from yesterday to today. And so I think the most important part may be the question period where we have a chance to engage with you, and the sooner we get to that, I think the better off we will be as a Committee. So I respectfully urge my colleagues will accept that structure here, and we will move forward. Good morning and I thank all of you for being here this morning. We are dealing with the semiannual Monetary Policy Report to the U.S. Congress by the Chairman of the Federal Reserve. I would like to welcome Chairman Bernanke who has worked hard, let me point out at the outset, to address the enormous challenges during this very difficult time in our Nation's history. And let me just say to you, Chairman Bernanke, that concerns that I will raise here this morning more go to the institutional issue of the Federal Reserve as distinguished from your leadership over the last several years in grappling with these many complicated issues. You have got to go back literally to the mid-part or early part of the last century to confront a time as challenging as this one has been. And so I am very supportive of the efforts you have been trying to make as the Chairman of the Federal Reserve, but I have some serious issues about the institutional response to all of this as we go forward, as we have talked about. So I appreciate your testimony. If the success of our Government's attempts to get our economy back on track were to be measured by executive compensation or large financial institutions' bottom lines, then perhaps today would be a day to celebrate the success of all that has happened over the last number of months. After all, leading economists believe that these indicators are signs that we have averted utter catastrophe and suggest that a recovery may be imminent. But while this recession may have begun on Wall Street, the recovery will not be real until, of course, and unless it is felt on Main Street. And so today is a day to ask fundamental questions: When will working families in our respective States, reflected in the Committee Members here, as well as our colleagues who are not on this Committee, when will they start to feel the effects of our work to restore the economy? After all, today we meet to receive the semiannual Monetary Policy Report mandated by the 1978 Humphrey-Hawkins Full Employment Act. And if the goal is full employment, then obviously the news today is rather grim. Unemployment in June was 9.5 percent, the highest level in 26 years. Most economists and the Fed itself believe that it could top 10 percent before the end of this year. Meanwhile, Americans who have lost or who are worried about losing their jobs, their homes, and their retirement security have watched as others reap the benefits of our Government's response. They hear about a stock market rally and wonder if it will ever be enough to make up the retirement savings that have been wiped out, in some cases almost within minutes. They hear about million-dollar bonuses going to CEOs whose firms caused the meltdown in the first place while rank-and-file workers across the Nation are laid off or forced to accept pay cuts. They hear about large financial institutions and large banks bailed out with billions of taxpayer dollars and Government-backed credit and now reporting billions of dollars in profits, but they still cannot get a loan themselves. Or as a small business or a commercial enterprise, they cannot find institutions willing to lend those resources so they can begin to grow again. Families worry about whether they can borrow the money necessary to send a child to college or buy that new automobile that is critical as well for economic recovery. They are still getting slammed by these very same institutions where they have seen fees and credit card rates, as we have all witnessed. And despite hearing from everyone in Washington that stabilizing the housing market is key to stabilizing our economy, they are still having trouble modifying their mortgages, even as 10,000 families a day are hit with foreclosure notices. Mr. Chairman, I appreciate the work that you have done, as I said at the outset of these comments, on the monetary policy side of the equation and the positive indicators that we have seen in recent weeks. But these positive indicators seem to be stuck at the top in the process. It is not insignificant, the accomplishment. Stabilizing the economy, stabilizing these institutions is a critical component if we are going to find our economy recovering. And we on this Committee, I think, as well as all of us in this room, certainly the Chairman, all work for the same people--that is, the American taxpayer. But when can we expect the recovery that they have funded? And when will we start seeing working families see the rally, their pay raises, their jobs being stabilized? What are we doing as the holding company supervisor--or are you doing as the holding company supervisor of these recipients of TARP funds, another extraordinary Government assistance, to ensure that we are serving the interests of the American people? These struggling people, as we all know, are not ready for an exit strategy for economic recovery efforts. First, the recovery must reach them. And as we move forward, we need to make sure that we lay a strong foundation for economic recovery that will reach every corner of our Nation. Part of that foundation will entail reforming financial regulations so that the mistakes that got us into this mess are not repeated. And as you know, many of us here have called for and the administration has proposed an independent Consumer Financial Protection Agency as part of that mission. But the administration has also proposed expanding the Fed's powers over systemically important companies. I have a number of concerns about this proposal, as many of my colleagues do on this Committee, not the least of which is: Why does the Fed deserve more authority when institutionally it seemed to have failed to prevent the current crisis? Now, Mr. Chairman, all of us understand the importance of the work you are doing, and that is not just a platitude or a generous comment. And we all look forward to continuing to partner with you in this effort. But the financiers who engineered this crisis are not the reason we are here. It is the millions of families who are still struggling and falling further and further behind. And I hope that they can be the focus of our attention today as we talk about what needs to be done to get our Nation back on its feet. So the basic questions I have for you are: When will this recovery, when will this effort that we are making, reach those families who are facing foreclosure, people who have lost their jobs, worried about their savings, worried about their long- term retirement security? What are we doing as the Fed to help see to it that they are going to reap the benefits of this effort? And then, second, as we talk about these large institutions with the powers that already exist within the Fed over bank holding companies, we come up here and jawbone and ask these institutions to make a difference, but the Fed actually has the authority to make that difference. And many are asking the question why that authority is not being exercised to convince these institutions that they need to be moving more aggressively when it comes to bank lending. So, with those in mind, let me turn to Senator Shelby for opening comments, and then we will get directly to your testimony and engage in this conversation of how we not only deal from the top, which is critically important, but also those who depend upon these institutions, recognizing the value of what consumers and small businesses need, why we need to do more to assist that side of the equation as well."
"Senator Shelby"," "
"STATEMENT OF SENATOR RICHARD C. SHELBY"," "
"Senator Shelby","Thank you, Mr. Chairman. Welcome back to the Committee, Chairman Bernanke. The purpose of today's hearing is to oversee the Federal Open Market Committee's conduct of monetary policy. There is no doubt that we are in a very challenging economic environment. The economy is extremely weak, bank lending remains sluggish, and unemployment is rising rapidly. The unemployment rate stands at a 26-year high and is expected to increase. Although the Fed has gone to great lengths to inject liquidity into our economy, its efforts are largely designed, I believe, to assist banks, especially large money center financial institutions. Many small businesses, however, are desperately seeking capital from the financial sector and have not been able to secure it. I have heard that from a number of my companies in Alabama that have been virtually abandoned by all of their traditional funding providers for years and years. While it is important to bring stability to the financial sector, if the part of our economy most responsible for job creation--that is, small business--cannot obtain funding, Mr. Chairman, such stability I believe would be short-lived. Going forward, the measure of success will have to include whether Main Street businesses are retaining or even adding jobs. While I understand that the FOMC cannot by itself solve all of our economic problems, the effective conduct of monetary policy is a necessary condition for economic recovery. Therefore, today I hope to hear from Chairman Bernanke whether the FOMC will need to take additional steps to revive our economy and, if so, where. Because interest rates remain at record lows, I am interested to hear what other specific actions the FOMC can and is prepared to take if additional easing becomes necessary. In addition, I would like to know what Chairman Bernanke believes can be done to spur lending to small- and medium-size businesses. While monetary policy is the central focus of this hearing today, I believe we must also examine the Fed's performance as a bank regulator as well as its participation in bailouts over the past year. I do not believe that the Board or the regional banks have handled their regulatory responsibilities very well. Many of the large financial companies that have been the focus of the Fed's bailout efforts were also subject to the Fed's regulatory oversight. And while they were regulated by the Fed, these firms were allowed to take great risks, both on and off their balance sheets. When the housing bubble burst, those risky positions were exposed and firms had to scramble to shore up their finances, and the credit crunch quickly followed. I am not aware of any effort on the part of the Fed prior to the crisis to question or require such firms to take any actions to address the significant risks that they were taking. In fact, the only effort of which I am aware is an effort to modernize bank capital standards. This effort could have resulted in a significant reduction in overall bank capital levels. I wonder where we would be today if the Fed had been able to act on its desire to eliminate the leverage ratio. I cannot imagine a scenario where banks would fare better with less capital during a period of financial stress such as the one we are currently experiencing. If the Fed had conducted its regulator oversight with greater diligence, I do not think the financial crisis would have achieved the depth and scope that it did. In the end, it was the failure, I believe, of the Fed to adequately supervise our largest financial institutions that required the deployment of its monetary policy resources to stave off financial disaster. In light of the Fed's record of failure as a bank regulator, it should come as no surprise that Congress is taking a closer look at the Fed and reconsidering its regulatory mandate. Thank you, Mr. Chairman."
"Chairman Dodd","Thank you very much, Senator Shelby. Chairman Bernanke, again, welcome to the Committee. "
"STATEMENT OF BEN S. BERNANKE, CHAIRMAN, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM"," "
"Mr. Bernanke","Thank you. Chairman Dodd, Ranking Member Shelby, and other Members of the Committee, I am pleased to present the Federal Reserve's semiannual Monetary Policy Report to the Congress. Aggressive policy actions taken around the world last fall may well have averted the collapse of the global financial system, an event that would have had extremely adverse and protracted consequences for the world economy. Even so, the financial shocks that hit the global economy in September and October were the worst since the 1930s, and they helped push the global economy into the deepest recession since World War"
"II."," The U.S. economy contracted sharply in the fourth quarter of last year and the first quarter of this year. More recently, the pace of decline appears to have slowed significantly, and final demand and production have shown tentative signs of stabilization. The labor market, however, has continued to weaken. Consumer price inflation, which fell to low levels late last year, remained subdued in the first 6 months of 2009. To promote economic recovery and foster price stability, the Federal Open Market Committee last year brought its target for the Federal funds rate to a historically low range of 0 to \1/4\ percent, where it remains today. The FOMC anticipates that economic conditions are likely to warrant maintaining the Federal funds rate at exceptionally low levels for an extended period. At the time of our February report, financial markets at home and abroad were under intense strains, with equity prices at multiyear lows, risk spreads for private borrowers at very elevated levels, and some important financial markets essentially shut. Today, financial conditions remain stressed, and many households and businesses are finding credit difficult to obtain. Nevertheless, on net, the past few months have seen some notable improvements. For example, interest rate spreads in short-term money markets, such as the interbank market and the commercial paper market, have continued to narrow. The extreme risk aversion of last fall has eased somewhat, and investors are returning to private credit markets. Reflecting this greater investor receptivity, corporate bond issuance has been strong. Many markets are functioning more normally, with increased liquidity and lower bid-asked spreads. Equity prices, which hit a low point in March, have recovered to roughly their levels at the end of last year, and banks have raised a significant amount of new capital. Many of the improvements in financial conditions can be traced, in part, to policy actions taken by the Federal Reserve to encourage the flow of credit. For example, the decline in interbank lending rates and spreads was facilitated by the actions of the Federal Reserve and other central banks to ensure that financial institutions have access to adequate amounts of short-term liquidity, which in turn has increased the stability of the banking system and the ability of banks to lend. Interest rates and spreads on commercial paper dropped significantly as a result of the backstop liquidity facilities that the Federal Reserve introduced last fall for that market. Our purchases of agency mortgage-backed securities and other longer-term assets have helped lower conforming fixed mortgage rates. And the Term Asset-Backed Securities Loan Facility, or TALF, which was implemented this year, has helped to restart the securitization markets for various classes of consumer and small business credit. Earlier this year, the Federal Reserve and other Federal banking regulatory agencies undertook the Supervisory Capital Assessment Program, popularly known as the ``stress test,'' to determine the capital needs of the largest financial institutions. The results of the SCAP were reported in May, and they appeared to increase investor confidence in the U.S. banking system. Subsequently, the great majority of institutions that underwent the assessment have raised equity in public markets. And, on June 17, 10 of the largest U.S. bank holding companies--all but one of which participated in the SCAP--repaid a total of nearly $70 billion to the Treasury. Better conditions in financial markets have been accompanied by some improvement in economic prospects. Consumer spending has been relatively stable so far this year, and the decline in housing activity appears to have moderated. Businesses have continued to cut capital spending and liquidate inventories, but the likely slowdown in the pace of inventory liquidation in coming quarters represents another factor that may support a turnaround in activity. Although the recession in the rest of the world led to a steep drop in the demand for U.S. exports, this drag on our economy also appears to be waning, as many of our trading partners are also seeing signs of stabilization. Despite these positive signs, the rate of job loss remains high and the unemployment rate has continued its steep rise. Job insecurity, together with declines in home values and tight credit, is likely to limit gains in consumer spending. The possibility that the recent stabilization in household spending will prove transient is an important downside risk to the outlook. In conjunction with the June FOMC meeting, Board members and Reserve Bank presidents prepared economic projections covering the years 2009 through 2011. FOMC participants generally expect that, after declining in the first half of this year, output will increase slightly over the remainder of 2009. The recovery is expected to be gradual in 2010, with some acceleration in activity in 2011. Although the unemployment rate is projected to peak at the end of this year, the projected declines in 2010 and 2011 would still leave unemployment well above FOMC participants' views of the longer- run sustainable rate. All participants expect that inflation will be somewhat lower this year than in recent years, and most expect it to remain subdued over the next 2 years. In light of the substantial economic slack and limited inflation pressures, monetary policy remains focused on fostering economic recovery. Accordingly, as I mentioned earlier, the FOMC believes that a highly accommodative stance of monetary policy will be appropriate for an extended period. However, we also believe that it is important to assure the public and the markets that the extraordinary policy measures we have taken in response to the financial crisis and the recession can be withdrawn in a smooth and timely manner as needed, thereby avoiding the risk that policy stimulus could lead to a future rise in inflation. The FOMC has been devoting considerable attention to issues relating to its exit strategy, and we are confident that we have the necessary tools to implement that strategy when appropriate. To some extent, our policy measures will unwind automatically as the economy recovers and financial strains ease, because most of our extraordinary liquidity facilities are priced at a premium over normal interest rate spreads. Indeed, total Federal Reserve credit extended to banks and other market participants has declined from roughly $1.5 trillion at the end of 2008 to less than $600 billion, reflecting the improvement in financial conditions that has already occurred. In addition, bank reserves held at the Fed will decline as the longer-term assets that we own are maturing or are prepaid. Nevertheless, should economic conditions warrant a tightening of monetary policy before this process of unwinding is complete, we have a number of tools that will enable us to raise market interest rates as needed. Perhaps the most important such tool is the authority that the Congress granted the Federal Reserve last fall to pay interest on balances held at the Fed by depository institutions. Raising the rate of interest paid on reserve balances will give us substantial leverage over the Federal funds rate and other short-term market interest rates, because banks generally will not supply funds to the market at an interest rate significantly lower than they can earn risk free by holding balances at the Federal Reserve. Indeed, many foreign central banks use the ability to pay interest on reserves to help set a floor on market interest rates. The attractiveness to banks of leaving their excess reserve balances with the Federal Reserve can be further increased by offering banks a choice of maturities for their deposits. But interest on reserves is by no means the only tool we have to influence market interest rates. For example, we can drain liquidity from the system by conducting reverse repurchase agreements, in which we sell securities from our portfolio with an agreement to buy them back at a later date. Reverse repurchase agreements, which can be executed with primary dealers, Government-sponsored enterprises, and a range of other counterparties, are a traditional and well-understood method of managing the level of bank reserves. If necessary, another means of tightening policy is outright sales of our holdings of longer-term securities. Not only would such sales drain reserves and raise short-term interest rates, but they also could put upward pressure on longer-term interest rates by expanding the supply of longer-term assets. In sum, we are confident that we have the tools to raise interest rates when that becomes necessary to achieve our objectives of maximum employment and price stability. Our economy and financial markets have faced extraordinary near-term challenges, and strong and timely actions to respond to those challenges have been necessary and appropriate. I have discussed some of the measures taken by the Federal Reserve to promote economic growth and financial stability. The Congress also has taken substantial actions, including the passage of a fiscal stimulus package. Nevertheless, even as important steps have been taken to address the recession and the intense threats to financial stability, maintaining the confidence of the public and financial markets requires that policy makers begin planning now for the restoration of fiscal balance. Prompt attention to questions of fiscal sustainability is particularly critical because of the coming budgetary and economic challenges associated with the retirement of the baby- boom generation and the continued increases in the costs of Medicare and Medicaid. Addressing the country's fiscal problems will require difficult choices, but postponing those choices will only make them more difficult. Moreover, agreeing on a sustainable long-run fiscal path now could yield considerable near-term economic benefits in the form of lower long-term interest rates and increased consumer and business confidence. Unless we demonstrate a strong commitment to fiscal sustainability, we risk having neither financial stability nor durable economic growth. A clear lesson of the recent financial turmoil is that we must make our system of financial supervision and regulation more effective, both in the United States and abroad. In my view, comprehensive reform should include at least the following key elements: A prudential approach that focuses on the stability of the financial system as a whole, not just the safety and soundness of individual institutions, and that includes formal mechanisms for identifying and dealing with emerging systemic risks; Stronger capital and liquidity standards for financial firms, with more stringent standards for large, complex, and financially interconnected firms; The extension and enhancement of supervisory oversight, including effective consolidated supervision, to all financial organizations that could pose a significant risk to the overall financial system; An enhanced bankruptcy or resolution regime, modeled on the current system for depository institutions, that would allow financially troubled, systemically important nonbank financial institutions to be wound down without broad disruption to the financial system and the economy; Enhanced protections for consumers and investors in their financial dealings; Measures to ensure that critical payment, clearing, and settlement arrangements are resilient to financial shocks, and that practices related to the trading and clearing of derivatives and other financial instruments do not pose risks to the financial system as a whole; And, finally, improved coordination across countries in the development of regulations and in the supervision of internationally active firms. The Federal Reserve has taken and will continue to take important steps to strengthen supervision, improve the resiliency of the financial system, and to increase the macroprudential orientation of our oversight. For example, we are expanding our use of horizontal reviews of financial firms to provide a more comprehensive understanding of practices and risks in the financial system. The Federal Reserve also remains strongly committed to effectively carrying out our responsibilities for consumer protection. Over the past 3 years, the Federal Reserve has written rules providing strong protections for mortgage borrowers and credit card users, among many other substantive actions. Later this week, the Board will issue a proposal using our authority under the Truth in Lending Act, which will include new, consumer-tested disclosures as well as rule changes applying to mortgages and home equity lines of credit; in addition, the proposal includes new rules governing the compensation of mortgage originators. We are expanding our supervisory activities to include risk-focused reviews of consumer compliance in nonbank subsidiaries of holding companies. Our community affairs and research areas have provided support and assistance for organizations specializing in foreclosure mitigation, and we have worked with nonprofit groups on strategies for neighborhood stabilization. The Federal Reserve's combination of expertise in financial markets, payment systems, and supervision positions us well to protect the interests of consumers in their financial transactions. We look forward to discussing with the Congress ways to further formalize our institution's strong commitment to consumer protection. Finally, the Congress and the American people have a right to know how the Federal Reserve is carrying out its responsibilities and how we are using taxpayers' resources. The Federal Reserve is committed to transparency and accountability in its operations. We report on our activities in a variety of ways, including reports like the one I am presenting to the Congress today, other testimonies, and speeches. The FOMC releases a statement immediately after each regularly scheduled meeting and detailed minutes of each meeting on a timely basis. We have increased the frequency and scope of the published economic forecasts of FOMC participants. We provide the public with detailed annual reports on the financial activities of the Federal Reserve System that are audited by an independent public accounting firm, and we publish a complete balance sheet each week. We have recently taken additional steps to better inform the public about the programs we have instituted to combat the financial crisis. We expanded our Web site this year to bring together already available information as well as considerable new information on our policy programs and financial activities. In June, we initiated a monthly report to the Congress that provides even more information on Federal Reserve liquidity programs, including breakdowns of our lending, the associated collateral, and other facets of programs established to address the financial crisis. These steps should help the public understand the efforts that we have taken to protect the taxpayer as we supply liquidity to the financial system and support the functioning of key credit markets. The Congress has recently discussed proposals to expand the audit authority of the GAO over the Federal Reserve. As you know, the Federal Reserve is already subject to frequent reviews by the GAO. The GAO has broad authority to audit our operations and functions. The Congress recently granted the GAO new authority to conduct audits of the credit facilities extended by the Federal Reserve to ``single and specific'' companies under the authority provided by section 13(3) of the Federal Reserve Act, including the loan facilities provided to, or created for, AIG and Bear Stearns. The GAO and the Special Inspector General have the right to audit our TALF program, which uses funds from the Troubled Assets Relief Program. The Congress, however, purposefully--and for good reason-- excluded from the scope of potential GAO reviews some highly sensitive areas, notably monetary policy deliberations and operations, including open market and discount window operations. In doing so, the Congress carefully balanced the need for public accountability with the strong public policy benefits that flow from maintaining an appropriate degree of independence for the central bank in making and executing monetary policy. Financial markets, in particular, likely would see a grant of review authority in these areas to the GAO as a serious weakening of monetary policy independence. Because GAO reviews may be initiated at the request of Members of Congress, reviews or the threat of reviews in these areas could be seen as efforts to try to influence monetary policy decisions. A perceived loss of monetary policy independence could raise fears about future inflation, leading to higher long-term interest rates and reduced economic and financial stability. We will continue to work with the Congress to provide the information it needs to oversee our activities effectively, yet in a way that does not compromise monetary policy independence. Thank you, Mr. Chairman."
"Chairman Dodd","Thank you very much, Chairman Bernanke. I will ask the Clerk to put on 7 minutes on the clock and we will try and watch it very carefully so we don't overstep. Let me just begin by asking you what recommendations you would make. These unemployment numbers are obviously very troubling. I mentioned the highest unemployment rates in more than a quarter of a century and indications they may actually jump up based on economists who are looking at the situation. And so what recommendations do you have as Chairman of the Federal Reserve that we might take, that you should take in order to stem this tide? What are the looming problems out there? The commercial real estate issue is one that I know some have suggested may even dwarf the residential mortgage problems in the country. The consumer borrowing practices, the overdraft issues and so forth that still persist, consumer debt issues obviously are looming, as well. What are those problems you see coming along and what steps--for instance, are you considering extending the TALF program in the commercial real estate area, for instance, beyond the expiration--I think it is in December, if I am not mistaken--and whether or not that program will be extended to accommodate the problems in commercial real estate? But what recommendations would you give to us to start to deal with that other side of the equation, the stability of institutions that now--and you mentioned some in your statements, but I would like you to elaborate, if you would."
"Mr. Bernanke","Certainly, Mr. Chairman. On unemployment, that is the most pressing issue and it is the most difficult aspect of the problems that we are facing. Both the Federal Reserve and the Congress have already taken very aggressive actions to try to stimulate economic activity and I am hopeful that we are seeing some stabilization in the economy. Beyond that, I think to address unemployment more directly, the Congress has already extended UI, unemployment insurance, to help those who are without work. One particular problem which is concerning is that people without work for extended period may lose their skills and they find themselves with atrophying skills and an inability to find work once the economy has recovered. And so I would call to your attention the possibility of expanding training and other programs that would help people maintain those skills or develop new skills as needed to enter new industries. But again, I believe this is one of the most difficult and challenging parts of our task at this point. On commercial real estate, we agree with you that this is one of the more difficult areas. During the last few years, while residential investment was declining sharply, commercial real estate was actually pretty strong. But we have seen now in the last 6 months or so that vacancy rates are rising, rents are falling, prices are falling, and financing conditions for commercial real estate have gotten a good bit more difficult. We are working to try to improve those conditions. We are working with banks, for example. In the same way that banks should be encouraged to try to work out defaulting mortgages for residential borrowers, it is in their interest to try to make arrangements to work out problem loans in the CRE area, as well, and many banks will be facing very extensive amounts of CRE challenges going forward. On the TALF, as you know, we have recently added to the list of assets that we are supporting both new and legacy commercial mortgage-backed securities in an attempt to open up the CMBS market, which has been an important source of financing for this area in the past. It is early yet to know how much effect it will have. We were encouraged by the effects of the TALF on some other areas, such as consumer lending and small business lending. We currently have an expiration date of December 31 on the TALF, as you pointed out. We will certainly be monitoring the situation, and if markets continue to need support, we will be extending the final date of that program."
