"Speaker","Speech"
"The Chairman","The Committee will come to order. We have Members coming in. We don't have votes until 6:30, so I appreciate the Members making an effort to come back. I think we will have more Members joining us. Good afternoon to everybody, and welcome to today's hearing on derivatives legislation. For those on the Committee who were here in the 110th Congress, today's hearing will cover many of the issues and topics considered during the nine hearings held last year on this subject. The effort to strengthen oversight and improve transparency in derivatives markets, whether regulated or unregulated, whether they are physically based commodities or financial commodities has been a top priority of this Committee. For those of you who are new to the Committee, welcome to the fire. Members and staff have been working hard on this issue since the last Congress adjourned, and it is my intent to move expeditiously this month; because every day we delay is another day where markets operate without the oversight or transparency they desperately need. Last year, we began our journey with extensive public hearings on the issue of speculation, lack of convergence, lack of effective oversight, and increased transparency of derivative markets. The result of those hearings was a strong bipartisan bill that had more than \2/3\ majority when it passed the House last September. We will continue this effort in the 111th Congress, but this time with new provisions resulting from the hearings we held late last year on the role of credit derivatives in the economy after the collapse of large financial institutions that were heavily engaged in the over-the-counter derivatives transactions and market. The language that I circulated last week, and that this Committee will be discussing, contains provisions similar to last year's bipartisan bill. It will strengthen confidence and trader position limits on all futures markets as a way to prevent potential price distortions caused by extensive speculative trading. It would close the so-called London loophole by requiring foreign boards of trade to share trading data and adopt position limits on contracts that trade U.S. commodities linked to U.S.-regulated exchanges. It would direct the CFTC to get a clearer picture of the over-the-counter markets, and it calls for a new full-time CFTC staff to improve enforcement, prevent manipulation, and prosecute fraud. This proposal would bring a sense of order to the over-the- counter market by requiring transparent central clearing for all OTC derivatives. The legislation contemplates multiple entities, whether regulated by the CFTC, the SEC, or the Federal Reserve, offering clearing services for the market. In that sense, it is modeled after the current law. However, the bill requires these clearing entities to follow the same set of core principles in their operations as a means of avoiding regulatory arbitrage. The failures of AIG, Lehman, Bear Stearns, and other institutions have shown us that it is time for some transparency in the market for credit derivatives. The way for us to identify and reduce the risk out there is to facilitate clearing it. The draft bill provides the CFTC with authority to exempt some derivatives from clearing in recognition of the fact that not every OTC trade is suitable for clearing. However, those seeking to remain in the derivatives business without clearing will have to report their actions and demonstrate their financial soundness. In the debate over credit derivatives, there has been much discussion about choosing the proper regulator, whether it is the CFTC, the SEC, or the Fed. I have made it clear that I believe the CFTC is the agency that has the knowledge and the expertise in these markets. I am flat-out opposed to the Fed having a role in clearing or overseeing these products. If I could have my way, the Fed would not be involved. However, that is probably not a political reality of today, and the draft legislation reflects that. The Federal Reserve is an independent banking system, not a police officer of derivatives transactions. I share the concerns of those who think the Fed controls too much already. They are an unelected body that sets monetary policy, oversees its state member banks, oversees holding companies, and now they are printing money for the bailout. I am not surprised that the large banks are clamoring for the Fed to regulate derivative activity, given their cozy relationship with Fed members. Plus, they probably think it is a good idea to have a regulator with resources to bail them out if things go wrong. I am also strongly opposed to allowing the SEC to have primary authority over these contracts. The SEC uses a rules- based system that is behind the curve of today's modern, complex financial products and in my opinion is just not workable. They are not just trying to solve yesterday's problems or last week's problems; they are still trying to solve the last decade's problems. As a result, they have done a poor job. How much confidence can we have in an agency that repeatedly ignored calls even from within its own agency to examine the investment advisory business of Bernard Madoff, which turned out to be the biggest Ponzi scheme in history? They gave them a road map as to what was going on; and they missed it. They even missed the red flags in their oversight of Bear Stearns, as was detailed in a report by the SEC Inspector General. Other people are trying to use the problems of credit default swaps as an argument to create a super financial regulator. However, in my opinion, taking something that is working, like the CFTC oversight of the futures market, and moving it to another place where things are not working is, frankly, crazy. To name a financial czar or a single super- regulator over the whole thing is an even worse idea and has the potential to create financial markets' version of the Department of Homeland Security, which a lot of us don't want to see happen. So I don't want to even imagine the problems that we would create if we would go down that avenue. So as this Committee moves forward on this matter, we will continue to work on a bipartisan basis on this bill. We will do our work out in the open, and we will listen to any and all who want to comment. That is what we did with the farm bill, with the reauthorization of the Commodity Exchange Act and with our examination of speculation. The result of that approach was passage of strong bipartisan legislation last Congress that had the support of the Ranking Member at the time, Mr. Goodlatte, and it received \2/3\ of the vote in the House. This is must-pass legislation, in my view, which is why we need to move quickly; and that is why I have circulated this language, and why we are holding these hearings today and over the next couple of weeks. So I welcome all of today's witnesses and the Members to the hearing. I look forward to their testimony. Prepared Statement of Hon. Collin C. Peterson, a Representative in Congress From Minnesota Good afternoon and welcome to today's hearing on derivatives legislation. For those on the Committee who were here in the 110th Congress, today's hearing will cover many of the issues and topics considered during the nine hearings held last year on this subject. The effort to strengthen oversight and improve transparency in derivative markets, whether regulated or unregulated; whether they are physically based commodities or financial commodities has been a top priority of this Committee. For those of you who are new to the Committee, welcome to the fire. Members and staff have been working hard on this issue since the last Congress adjourned and it is my intent to move expeditiously this month because every day we delay is another day where markets operate without the oversight or transparency they desperately need. Last year, we began our journey with extensive public hearings on the issue of speculation, lack of convergence, lack of effective oversight, and increased transparency of derivatives markets. The result of those hearings was a strong, bipartisan bill that had more than a \2/3\ majority when it passed the House last September. We will continue this effort in the 111th Congress, but this time with new provisions resulting from the hearings we held late last year on the role of credit derivatives in the economy after the collapse of large financial institutions that were heavily engaged in OTC derivative transactions. The language that I circulated last week and that this Committee will be discussing contains provisions similar to last year's bipartisan bill. It would strengthen confidence in trader position limits on all futures markets as a way to prevent potential price distortions caused by excessive speculative trading. It would close the so-called London Loophole by requiring foreign boards of trade to share trading data and adopt position limits on contracts that trade U.S. commodities linked to U.S.-regulated exchanges. It would direct the CFTC to get a clearer picture of the over-the-counter markets, and it calls for new full-time CFTC staff to improve enforcement, prevent manipulation, and prosecute fraud. This proposal would bring a sense of order to the over-the-counter market by requiring transparent, central clearing for all OTC derivatives. The legislation contemplates multiple entities, whether regulated by the CFTC, the SEC, or the Federal Reserve, offering clearing services for market. In that sense, it is modeled after current law. However, the bill requires these clearing entities to follow the same set of core principles in their operations, as a means to avoid regulatory arbitrage. The failures of AIG, Lehman, Bear Stearns, and other institutions have shown us that it is time for some transparency in the market for credit derivatives. The way for us to identify and reduce the risk out there is to facilitate clearing it. The draft bill provides the CFTC with authority to exempt some derivatives from clearing, in recognition of the fact that not every OTC trade is suitable for clearing. However, those seeking to remain in the derivatives business without clearing will have to report their actions and demonstrate their financial soundness. In the debate over credit derivatives, there has been much discussion about choosing the proper regulator; whether it is the CFTC, the SEC, or the Fed. I have made it clear that the CFTC is the agency that has the knowledge and expertise in these markets. I am flat opposed to the Fed having a role in clearing or overseeing these products. If I could have my way, the Fed would not be involved; however that is not the political reality of today, and the draft legislation reflects that. The Federal Reserve is an independent banking system, not a police officer of derivatives transactions. I share the concerns of those who think the Fed controls too much already. They are an unelected body that sets monetary policy, oversees its state member banks, oversees holding companies, and now they are printing money for the bailout. I am not surprised that the large banks are clamoring for the Fed to regulate derivative activity, given their cozy relationship with Fed members. Plus, they probably think it is a good idea to have a regulator with the resources to bail them out when things go south. I am also strongly opposed to allowing the SEC to have primary authority over these contracts. The SEC uses a rules-based system that is behind the curve of today's modern, complex financial products and is just not workable. They are not just trying to solve yesterday's problem or last week's problem; they are still trying to solve last decade's problem. As a result, they have done a poor job. How much confidence can we have in an agency that repeatedly ignored calls, even from within its own agency, to examine the investment advisory business of Bernard Madoff, which turned out to be the biggest Ponzi scheme in history, having cheated an untold number of investors, charities, and foundations out of billions; or that missed the red flags in its oversight of Bear Stearns, as was detailed by a report from the SEC Inspector General? Other people are trying to use the problems with credit default swaps as an argument for creating a super financial regulator. However, in my opinion, taking something that is working, like CFTC oversight of the futures markets, and moving it to another place where things are not working is just crazy. To name a financial czar or single super regulator over the whole thing is an even worse idea that has the potential to create a financial markets version of the Department of Homeland Security. I don't want to even imagine the kind of mess that would create. As this Committee moves forward on this matter, we will continue to work on a bipartisan basis on this bill, and we will do our work out in the open and listen to any and all who want to comment. That is what we did with the farm bill, with reauthorization of the Commodity Exchange Act, and with our examination of speculation. The result of that approach was passage of strong bipartisan legislation last Congress that had the support of the Ranking Member at the time, Mr. Goodlatte, and achieved \2/3\ votes in the House. This is must-pass legislation, in my view, which is why we need to move quickly. That is why I have circulated this language and why we will be holding hearings over the next 2 weeks. I welcome today's witnesses and I look forward to their testimony. At this time I would like to yield to Ranking Member Lucas for an opening statement."
"The Chairman","At this time, I would yield to Ranking Member Lucas for an opening statement."
"OPENING STATEMENT OF HON. FRANK D. LUCAS, A REPRESENTATIVE IN CONGRESS FROM OKLAHOMA",""
"Mr. Lucas","Thank you, Chairman Peterson, for calling today's hearing. We appreciate the opportunity to examine your draft legislation that addresses concerns with the derivatives industry and its impact on the U.S. economy. During the past several months, the Committee has spent a great deal of time monitoring the issue of trading activity in the futures market, as well as exploring the role credit default swaps have played in our current financial crisis. The draft legislation we are considering would impact a wide array of financial instruments, and what the ultimate effect will be in the marketplace is unknown. My main concern is how the legislation will impact risk management for agricultural producers. How far will this legislation go beyond credit default swaps and derivatives in general? I support greater transparency and accountability in respect to the over-the-counter transactions. However, I also believe any legislation to regulate financial markets has to strike a delicate balance between protecting the economic workings of this country and creating opportunities for economic growth, business expansion, risk management for our agricultural producers. To that end, I believe this Committee must work to ensure that the Commodity Futures Trading Commission, the CFTC, plays a leading role in appropriately regulating the derivative and commodity markets once the Committee decides what level of additional regulations are needed. We should also work to ensure that the CFTC has the tools it needs, human resources, technical resources, economic resources to effectively carry out its statutory mandate. It must be noted that the CFTC has a proven track record in clearing futures contracts, and to date has not lost a single dollar of a single customer's money due to failure of a clearinghouse. Finally, I would like to thank the participants of our two panels today. We appreciate your time and your commitment to the public policy process, and we look forward to your testimony and answers to our questions. Thank you, Mr. Chairman."
"The Chairman","I thank the gentleman and his staff for working with us through this process. We have been working on a bipartisan basis, and we will continue to do that. The chair would request that other Members submit their opening statements for the record so that witnesses may begin their testimony and we ensure that we will have ample time for questions. Prepared Statement of Hon. Sam Graves, a Representative in Congress From Missouri Thank you, Chairman Peterson and Ranking Member Lucas for holding this hearing to review the Chairman's draft bill on derivatives legislation. Investor Warren Buffet has described the multi-trillion dollar market in financial derivatives as the equivalent of a financial pearl harbor. The unregulated and often shadowy market in financial derivatives trading has contributed greatly to the uncertainty and volatility that is paralyzing financial markets and hindering our economic recovery. Sunshine is often the best policy. Last Congress I sponsored legislation to bring greater regulatory oversight and transparency to the over-the-counter trade in natural gas contracts. As many Members of this Committee know, natural gas is an important component of many agriculture products, including fertilizer. While my bill was focused on combating market manipulation, I believe its transparency components are applicable here, to financial derivatives. Like anything, the devil is in the details and I look forward to learning more about the Chairman's proposal and hearing the opinions of today's panel. Again I would like to thank the Committee for holding this hearing. Thank you."
"The Chairman","So, with that, without objection we would like to welcome our first panel of witnesses to the table. First, we have Mr. Tom Buis, the President of the National Farmers Union. Welcome. Mr. John Damgard, the President of the Futures Industry Association; Mr. Michael Greenberger, Law School Professor at the University of Maryland School of Law; Mr. Michael Gooch, the Chairman and Chief Executive Officer of GFI Group, Incorporated, of New York; Mr. Sean Cota, President of Cota & Cota, Incorporated, on behalf of the Petroleum Marketers Association of America and the New England Fuel Institute of Bellow Falls, Vermont; and Mr. Terrence Duffy, the Executive Chairman of the Chicago Mercantile Exchange Group, Incorporated, of Chicago, Illinois. So, gentlemen, welcome to the Committee, welcome to the panel. We look forward your testimony. Mr. Buis, you can begin, if you are ready."
"STATEMENT OF TOM BUIS, PRESIDENT, NATIONAL FARMERS UNION, WASHINGTON, D.C.",""
"Mr. Buis","Thank you, Chairman Peterson, Ranking Member Lucas, and Members of the Committee. It is indeed an honor to be able to testify on this important issue before the Committee. We got involved in this last winter and spring, when we started receiving numerous phone calls from farmers. As wheat prices hit record levels, corn prices were also in the record category. Farmers were calling and saying they couldn't market their grain the way they would normally market it, which is, by and large, being able to price their grain after harvest for delivery. When they were precluded, they were told that the reason was many of the local elevators and co-ops were running up against their credit limits because the prices of the commodities were going up to the limit day after day and having to meet those margin calls; and their only alternative was to quit offering futures contracts after harvest. So, we contacted the CFTC and urged them to take a look at it, not long after they held a hearing. There were a number of people there, but they started out the hearing, and basically they went through all of their data and concluded before the hearing was even over that nothing out of the ordinary was happening. Well, Mr. Chairman, something out of the ordinary was happening. Farmers, who were probably the original derivative, were being precluded from the marketplace at a time when they could have really capitalized on the higher market prices. So we were a little frustrated with the reaction. As the year went on, we began to find out more and more that really what was causing higher food prices, really what was causing higher input costs was the excessive speculation that was going on in the commodity markets. Whether you look at oil, whether you look at grains, you look at any of the inputs, fertilizer, they were all based on either energy and/or future feed use or future use for other processing. As a result, farmers and ranchers didn't get the high prices and had to wait for prices to come down at harvest in order to sell their wheat and other commodities. We also witnessed something that I don't think anyone can explain, and that is the cotton market virtually doubled overnight. Our impression is that we have a lot of cotton in storage. It is difficult to move. As a result, it was definitely a speculative market that lasted a very short time. I have yet to meet a cotton farmer that got those pries up in the 90 cents range for their cotton. So we were impacted tremendously. I think it caused higher food prices, which impacted consumers. It caused a divisive attitude among agriculture producers, because livestock producers were being told that corn prices and feed prices were going to go even higher. So they had to lock in their prices. I just got back from Central Valley of California, Mr. Chairman, and many of those producers that locked in feed prices because they believed all the speculative reports that prices were going to continue to rise, and they did the prudent thing in locking in their future feed uses, and now they are all in as bad a financial shape as I have ever seen in the dairy industry. It is the same for other livestock producers and livestock processors. Ethanol companies did the same thing. They were all sort of wrapped up in this speculative environment. So I really commend you for your efforts, both last year and this year, to move forward. It is badly needed. Your legislation is right on target establishing speculative limits for all commodities, the increased transparency, providing the resources for CFTC, and including even carbon credits to be traded on the marketplace and a regulated marketplace. Actually being able to give the regulators a chance to know how much money is in there, who it is by, whether it is commercial, whether it is speculative, or whether it is under an exemption or over-the-counter or foreign exchanges has to be done. I think it is the most important thing for the rural economy, which, as you know, has certainly flipped in the last few months. Thank you, Mr. Chairman. Prepared Statement of Tom Buis, President, National Farmers Union, Washington, D.C. Good afternoon, Mr. Chairman and Members of the Committee. I appreciate the opportunity to testify on behalf of the farm, ranch and rural members of National Farmers Union (NFU). NFU was founded in 1902 in Point, Texas, to help the family farmer address profitability issues and monopolistic practices while America was courting the Industrial Revolution. Today, with family farm, ranch and rural family members, NFU continues its original mission to protect and enhance the economic well-being and quality of life for family farmers and ranchers and their rural communities. Last spring, NFU called upon the Commodity Futures Trading Commission (CFTC) to conduct a thorough and comprehensive investigation regarding the activity and volatility in the commodities markets. In particular, the role of speculative commodity futures trading, both on and off-exchange, in increasing that volatility, with much of that trading hidden from view of the CFTC in the derivatives and other off- exchange markets. Farmers and ranchers are generally relieved to end the 2008 agriculture market roller coaster, but they are extremely anxious as they approach the 2009 production year. During 2008 we witnessed periods of record or near record nominal prices for many commodities traded on U.S. exchanges. As the year ended, we have also witnessed a historic collapse in market prices for major grains and dairy products. NFU was frustrated by remarks from some CFTC officials who suggested that the market volatility was simply a response to market fundamentals. This assessment did not adequately explain the price shock in the cotton market or lack of convergence between cash and futures markets during the contract settlement period. This assessment also failed to explain why many farmers were precluded from utilizing traditional market risk management tools, such as forward cash contracts, because of excessive margin risk to those who typically would offer such products to their customers. As speculators created a market bubble and attitude that higher prices were set to stay, crop, livestock and dairy producers locked in higher inputs and feed costs. The false signals were not reserved for agricultural producers, but extended beyond production agriculture to the ethanol and biodiesel industries and input suppliers, all locking in higher feedstocks and supplies. The 2008 economic collapse and bursting of bubble have jeopardized the economic livelihoods of all these players, which will ripple throughout our rural communities. This impact will not be short-lived, as it could take up to a year or longer before the negative impact is resolved. In these times of despair, commodities and industries become pitted against each other creating a divisive environment in which to establish helpful policy. As you can imagine, it was very frustrating for farmers who were paying record amounts for inputs, but could not implement effective marketing plans or strategies to take advantage of the higher prices for their crops. While this activity was occurring in 2008, the media, with help from food processors, held fast to the position that farmers and ranchers were getting rich from record high commodity prices and cited these prices as the sole cause of increasing retail food prices. Nothing could have been further from the truth. The reality of what happened has come to light as commodity prices have plummeted, yet retail food costs remain high. The effort being made by this Committee to ensure that we do not experience a repeat of 2008, is to be commended. It became obvious, in a number of areas, that modernized regulations were warranted to ensure the mistakes of the past are not repeated. The broad, bipartisan support for increased oversight and transparency with the House-passed Commodity Markets Transparency and Accountability Act of 2008 provided a good starting point. The Derivatives Markets Transparency and Accountability Act (DMTAA) of 2009 would be of even greater benefit to agricultural producers and the entire economy. In a letter to the CFTC last year, NFU cited the single biggest concern among producers as a lack of market transparency. This is still the case. Provisions within the DMTAA, seek to inject necessary transparency through the detailed reporting and disaggregation of market data and the over-the-counter (OTC) transparency and record- keeping authorities as outlined in the legislation. Without these provisions, the public will continue to be in the dark regarding who is involved in commodity markets and to what capacity. These new authorities are needed to ensure regulators are able to keep pace with the use of new financial and market instruments that result in market manipulation, fraud or excessive speculative market volatility. NFU has called for an investigation to determine the role and impact that OTC trading and swaps have on markets. Without full access to data and other information concerning these types of trading activities, it is impossible to determine whether manipulation, fraud or excessive speculation is occurring. DMTAA requires all prospective OTC transactions to be settled and cleared through a CFTC regulated clearinghouse or other appropriate venue. The addition of principles for the designated clearing organizations, including (1) daily publication of pricing information; (2) fitness standards; and (3) disclosure of operational information, will protect the integrity of the new OTC requirements by assuring the clearinghouses remain transparent. The legislation also requires the CFTC to study and report on the effects of potential position limits within OTC trading. Again, this information will enhance the public's confidence that markets are not being manipulated, fraudulently exploited or overwhelmed by speculation and if so, corrective action can be launched. When the CFTC proposed increasing speculative position limits in 2007, NFU filed public comments in opposition to such action. Speculators have an important role to play in the commodity markets in terms of providing market liquidity. However, when left unregulated and allowed to become excessive, the positive attributes that speculators bring to the markets undermines the legitimate price discovery and risk management functions these markets were designed to provide to commercial market participants. DMTAA establishes new standards and limits for all commodities. Moreover, we are pleased to see the establishment of a Position Limit Agricultural Advisory Group. By involving producers and traditional users of the market in making recommendations concerning position limits, the new limits will be legitimized and fair. With the rapid growth of market speculation, we are in unchartered waters today and we believe this third-party review function can significantly help in ensuring market integrity in the future. NFU believes the CFTC needs to take a broader look at the concept of manipulation and it implications for price discovery. Unfortunately, the CFTC's test to determine manipulation requires that an individual or group of traders acquire a market position that enables them to consciously distort prices in noncompliance with market fundamentals. What the CFTC is failing to recognize is that the deluge of money from Wall Street, hedge funds and other large traders in and of itself is driving prices in ways that may not reflect the fundamentals of the underlying markets. In 2006, NFU became an approved aggregator for trading carbon credits on the Chicago Climate Exchange (CCX). Currently, we are the largest aggregator of agricultural soil carbon offsets to CCX. The CCX is the world's first greenhouse gas emissions registry, reduction and trading system, trading more than 86 million tons of carbon offsets to date. As carbon trading continues to advance rapidly, NFU appreciates the provision within the legislation that will protect the integrity of carbon credit trading by requiring those contracts to be traded on a designated contract market. Furthermore, the cross pollination between the CFTC and the U.S. Department of Agriculture to develop procedures and protocols for market-based greenhouse gas programs will help ensure these markets will perform a legitimate function for participants and the public in general. This legislation will begin to answer many of the questions from 2008. We are currently enduring the train wreck caused in large part by the dysfunction of the futures market--in 2008. NFU strongly endorses this bill and looks forward to its swift approval; I am hopeful Congress will continue its bipartisan efforts to establish greater oversight of the commodity and energy futures markets. I thank the Committee for the opportunity to be here today and look forward to any questions you may have."
"The Chairman","Thank you, Mr. Buis, for your statement. Mr. Damgard, welcome to the Committee."
"STATEMENT OF JOHN M. DAMGARD, PRESIDENT, FUTURES INDUSTRY ASSOCIATION, WASHINGTON, D.C.",""
