"Speaker","Speech"
"The Chairman","The hearing of the Subcommittee on General Farm Commodities and Risk Management to review implementation of provisions of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to position limits will come to order. I would like to thank everybody for joining us today as we review where we are at on the implementation provisions of the Dodd-Frank regulatory reform law relating to position limits. This hearing is very timely, as just recently the CEO of Sanderson Farms said it was delaying forward purchase of feed until the CFTC had issued position limit rules, and that he doesn't like to buy grain when ``index funds own 25-30 percent of the crop.'' So I wouldn't say that is why we are here today. I would like to review where we are at on this. I see that Chairman Peterson has joined us and I would like to take a moment, if I could, and divert from the hearing and recognize the outstanding work and dedication of Chairman Collin Peterson for leading this Committee through some of the most challenging times that the agriculture community has faced since the farm crisis of the 1980s. Specifically, he has championed the bringing of oversight and transparency to the derivatives market to protect end-users. And if everyone will indulge me, I would like to take a moment and thank Chairman Peterson. Thank you, Collin Peterson. We have Members who will be leaving us for different reasons, and we are going to give them a sad farewell as we work through this process today. And I am sure I will have an opportunity to recognize Mr. Moran, as he is going on to his new endeavors, and all the rest to their new endeavors. I might just at this moment add that my very special assistant, Alexis Taylor, from east Iowa, is going to be leaving our office and going over to the Senate. She is going to be the legislative assistant for Senator Baucus. So we congratulate her on her, I guess we could say, promotion. She will be very involved there for the next farm bill and that is good. We wish her well. Congress required the establishment of enforcement of position limits to ensure that no single entity holds too much power over the marketplace. Position limits are essential to the function of effective and efficient markets, and to inject confidence in the markets by providing reliable and transparent price signals. Some will argue that the very existence of position limits operates contrary to the principles underlying a free market; however, limits ensure that speculative positions are not in control of a contract, enhance a market, and make price signals a more accurate representation of the true market price. There is a strong need to ensure that the market is not being manipulated by a few players, and we are closely watching the pace of rulemaking on the Dodd-Frank Wall Street Reform and Consumer Protection Act, especially the rule relating to position limits. I think that all of us on the Subcommittee would agree that the Commission must take the time to get this right. However the Commission also must move quickly to ensure the individuals that use the markets for bona fide hedging purposes have the confidence that these markets are fair markets. Confidence by hedgers in these markets is critical, to say nothing of the importance of the confidence by the Congress in the Commission's ability to implement all the regulations required by the Act. Back in March, this Subcommittee held a hearing on rulemaking pertaining to the implementation of Commodity Exchange Act provisions contained in the 2008 Farm Bill. At the time, the rule on provision limits was pending for several energy contracts. That rule was withdrawn after the Dodd-Frank Act made further changes. I understand this issue is on tap for discussion at tomorrow's Commission meeting. So I hope that our hearing today will provide some valuable input into the forum along with a chance to review what the Commission's plans are on this topic. I am looking forward to hearing today from Chairman Gensler who has used his leadership on the Commission to be a powerful advocate for limits, and to ensure the Commission is on a speedy though challenging path towards full implementation of the law. I am also pleased to welcome Commissioner Chilton to the Committee. Mr. Chilton has expressed concerns about the pace of the regulatory process, and we look forward to discussing these concerns in more detail. Additional reactions from the witnesses on the second panel on the pace of the rulemaking and the content of regulations on position limits will be important to assessing the needs to move this issue along in the Commission's priority list. Before I turn to my good friend and future Senator from Kansas, Jerry Moran, for an opening statement, Jerry, I just want to thank you for the knowledge and support in working together. You have been a good colleague on this, and I appreciate the service you have given to us here on the House Agriculture Committee and we look forward to having a friend over there in the Senate. We wish you Godspeed in your work over there and much success. Prepared Statement of Hon. Leonard L. Boswell, a Representative in Congress from Iowa I would like to thank everyone for joining us here today as we review the state of the implementation provisions of the Dodd-Frank regulatory reform law relating to position limits. This hearing is very timely as just yesterday, the CEO of Sanderson Farms said it was delaying forward purchases of feed until the CFTC had issued position limit rules and that he doesn't like to buy grain when ``index funds own 25-30% of the crop.'' I would especially like to thank our witnesses. The Committee looks forward to hearing your valuable insight. I would like to take a moment and divert from the hearing and recognize the outstanding work and dedication of Chairman Colin Peterson for leading the Agriculture Committee through some of the most challenging times the agriculture community has faced since the farm crisis of the 1980's. Specifically he has championed bringing oversight and transparency to the derivatives markets to protect end-users. If everyone would indulge me to please take a moment and thank Chairman Peterson. Thank you for that indulgence. Congress required the establishment and enforcement of position limits to ensure that no single entity holds too much power over the marketplace. Position limits are essential to the function of effective and efficient markets and to inject confidence in the markets by providing reliable and transparent price signals. Some argue that the very existence of position limits operates contrary to the principles underlying a free market. However, limits that ensure that speculative positions are not in control of a contract enhance the market and make price signals a more accurate representation of the true market price. There is a strong need to ensure that a market is not being manipulated by a few players, and I am closely watching the pace of rulemaking on the Dodd-Frank Wall Street Reform and Consumer Protection Act, especially the rules relating to position limits. I think that all of us on this Subcommittee would agree that the Commission must take the time to get this right. However, the Commission also must move quickly to ensure that individuals that use these markets for bona fide hedging purposes have the confidence that these markets are fair markets. Confidence by hedgers in these markets is critical, to say nothing of the importance of the confidence by the Congress in the Commission's ability to implement all of the regulations required by the Act. Back in March, this Subcommittee held a hearing on rulemaking pertaining to the implementation of Commodity Exchange Act provisions contained in the 2008 Farm Bill. At the time a rule on position limits was pending for several energy contracts. That rule was withdrawn after the Dodd-Frank Act made further changes. I understand that this issue is on tap for discussion at tomorrow's Commission meeting, so I hope that our hearing today will provide valuable input into that forum along with a chance to preview what the Commission's plans are on this topic. I am looking forward to hearing today from Chairman Gensler, who has used his leadership of the Commission to be a powerful advocate for limits and to ensure that the Commission is on a speedy, though challenging, path toward full implementation of the law. I am also pleased to welcome Commissioner Chilton to the Subcommittee. Mr. Chilton has expressed concerns about the pace of the regulatory process, and I look forward to discussing these concerns in more detail. Additionally, reactions from the witnesses on the second panel on the pace of the rulemaking and the content of the regulations on position limits will be important to assessing the need to move this issue along in the Commission's priority list. Before I turn to my good friend and future Senator from Kansas, Jerry Moran for an opening statement I would like to thank him for his knowledge and constant support of agriculture in the House."
"The Chairman","And at this time, I would like to recognize Mr. Moran for whatever you would like to say."
"OPENING STATEMENT OF HON. JERRY MORAN, A REPRESENTATIVE IN CONGRESS FROM KANSAS",""
"Mr. Moran","Mr. Chairman, thank you very much. I appreciate the friendship that you and I have encountered now for a long time in the House of Representatives, and I appreciate the leadership that you provide on this Subcommittee and our full House Agriculture Committee. The House Agriculture Committee has really been my home during my time as a Member of the House of Representatives, and this is a significant part of what I enjoy the most about serving in Congress. In regard to today's hearing, Mr. Chairman, I certainly believe that Congressional oversight is a good thing. And while I will not be here in the new year to chair this Subcommittee, I believe that my successor, and the incoming full Committee"
"Chairman, Mr","Lucas, will readily exercise the House Agriculture Committee's oversight authority over the Commodity Futures Trading Commission. In regard to the topic of position limits under the Dodd- Frank Act, however, I believe it is premature to hold an oversight hearing, because the CFTC has yet to release a proposed rule. Thus we are left to hold a hearing based on hearsay, a few exchanges between CFTC's Commissioners during a hearing on another issue, and a speech and an opinion editorial released to the press by Commissioner Chilton. Having said that, I am concerned about where the Commission's position on position limits discussion is going. First, I would like to note that early on in the legislative process, both I as Ranking Member, and the Ranking Member, Mr. Lucas, of the full Committee, and other Members of the House Agriculture Committee, introduced amendments to place limits on the authority of the CFTC to impose position limits. During that debate, we were clear that the commodity futures market needed greater transparency, and we were in favor of creating mandatory reporting requirements. We were hesitant, however, to give the CFTC broader powers to impose position limits until we had adequate information about the over-the- counter markets. We felt that Congress needed to know who was trading on the OTC market, the size of the OTC market, and whether the OTC market was or was not having an adverse effect on exchange-traded markets before bestowing greater position limit authority on the Commission. Unfortunately, those amendments did not pass, and we now have a situation where a regulator may be contemplating imposing position limits without having access to the information necessary to determine the appropriate position limits, or to enforce such position limits once they are set. Despite what some believe is a mandate for the Commission to set position limits within a definite period of time, the Dodd-Frank legislation actually qualifies CFTC's position limit authority. Section 737 of the Dodd-Frank Act amends the Commodity Exchange Act so that section 4a(a)(2)(A) states: ``The Commission shall by rule . . . establish limits on the amount of positions as appro- priate . . . .'' The Act then states in subparagraph (B) for exempt commodities, the limit required under subparagraph (A) shall be established within 180 days after the date of enactment of this paragraph. When subparagraphs (A) and (B) are read in conjunction, the Act states that when position limits are required under subparagraph (A), the Commission shall set elements within 180 days under paragraph (B). Subparagraph (A) says the position limit rule should be only prescribed when appropriate. Therefore, the 180 day timetable is only triggered if position limits are appropriate. In regard to the word appropriate, the Commission has three distinct problems. First, the Commission has never made an affirmative finding that position limits are appropriate to curtail excessive speculation. In fact, to date the only reports issued by the Commission or its staff failed to identify a connection between market trends and excessive speculation. This is not to say that there is no connection, but it does say the Commission does not have enough information to draw an affirmative conclusion. The second and third issues related to the appropriateness of position limits are related to adequacy of information about OTC markets. On December 8, 2010, the Commission published a proposed rule on Swap data record-keeping and reporting requirements. This proposed rule is open for comment until February 7, 2011, and the rule is not expected to be final and effective until summer at the earliest. Furthermore, the Commission has yet to issue a proposed rulemaking about Swap data repositories. Until a Swap data repository is set up and running, it is difficult to see how it would be appropriate for the Commission to set position limits. Without additional information about trades in the OTC market, the Commission could neither have enough information to adequately determine the appropriate position limits, or have the information necessary to enforce position limits, assuming the appropriate formula could be determined without full access to OTC market information. In conclusion, I would again caution that my remarks are based on hearsay and not on an actual proposed rule. It is hard to be critical of something that does not yet exist. I hope that Chairman Gensler in his testimony today will inform the Subcommittee that the Commission is aware of the challenges surrounding the current imposition of position limits, and that the Commission hearing tomorrow will not consider enacting position limits before adequate information is obtained. I would also caution the Chairman and the other Commissioners, however, that if the Commission moves forward with a proposed position limit rule before information from the OTC markets are made available, they should be prepared for more hearings on this topic next year. Mr. Chairman, that is a longer opening statement than my usual, which suggests I am leaving the House of Representatives for someplace else. But I am grateful for the opportunity to express my opinion today. I am delighted to be with you, and I thank you, Mr. Chairman, for recognizing me, and I look forward to our continued close working relationship. Prepared Statement of Hon. Jerry Moran, a Representative in Congress from Kansas Thank you, Mr. Chairman. I believe Congressional oversight is a good thing. While I will not be here to chair this Subcommittee next year, I believe my successor, and the incoming full Committee Chairman, Mr. Lucas, will readily exercise the House Agriculture Committee's oversight authority over the Commodity Futures Trading Commission (CFTC). In regard to the topic of position limits under the Dodd-Frank Act, however, I believe it is premature to hold an oversight hearing because the CFTC has yet to release a proposed rule. Thus, we are left to hold a hearing based on hearsay, a few exchanges between CFTC Commissioners during a hearing on another issue, and a speech and opinion editorial released to the press by Commissioner Chilton. Having said that, I am concerned about where the Commission's position limit discussion is going. First, I would note that early on in the legislative process, both myself, Ranking Member Lucas, and other Members of the Agriculture Committee introduced amendments to place limits on the authority of the CFTC to impose position limits. During that debate, we were clear that the commodity futures markets needed greater transparency and we were in favor of creating mandatory reporting requirements. We were hesitant, however, to give CFTC broader powers to impose position limits until we had adequate information about the over-the-counter (OTC) markets. We felt the Congress needed to know who was trading in the OTC market, the size of the OTC market, and whether the OTC market was or was not having an adverse affect on exchange-traded markets before bestowing greater position limit authority on the Commission. Unfortunately, those amendments did not pass, and we now have a situation where a regulator may be contemplating imposing position limits without having access to the information necessary to determine the appropriate position limits or to enforce such position limits once they are set. Despite what some believe is a mandate for the Commission to set position limits within a definite time period, the Dodd-Frank legislation actually qualifies CFTC's position limit authority. Section 737 of the Dodd-Frank Act amends the Commodity Exchange Act (CEA) so that Section 4a(a)(2)(A) states: ``the Commission shall by rule . . . establish limits on the amount of positions, as appropriate . . . .'' The Act then states in subparagraph (B): ``For exempt commodities, the limits required under subparagraph (A) shall be established within 180 days after the date of the enactment of this paragraph.'' When subparagraphs (A) and (B) are read in conjunction, the Act states that when position limits are required under subparagraph (A), the Commission shall set the limits within 180 days under subparagraph (B). Subparagraph (A) says position limit rules should only be prescribed when ``appropriate.'' Therefore, the 180-day timetable is only triggered if position limits are appropriate. In regard to the word ``appropriate,'' the Commission has three distinct problems. First, the Commission has never made an affirmative finding that position limits are appropriate to curtail excessive speculation. In fact, to date, the only reports issued by the Commission or its staff fail to identify a connection between market trends and excessive speculation. This is not to say that there is no connection, but it does say the Commission does not have enough information to draw an affirmative conclusion. The second and third issues related to the appropriateness of position limits are related to adequacy of information about the OTC markets. On December 8, 2010, the Commission published a proposed rule on ``Swap Data Recordkeeping and Reporting Requirements.'' This proposed rule is open for comment until February 7, 2011, and the rule is not expected to be final and effective until this coming summer at the earliest. Furthermore, the Commission has yet to issue a proposed rulemaking about swap data repositories. Until a swap data repository is up and running, it is difficult to see how it would be appropriate for the Commission to set position limits. Without additional information about trades in the OTC market, the Commission could neither have enough information to adequately determine the appropriation position limit or have the information necessary to enforce position limits, assuming an appropriate formula could be determined without full access to OTC market information. To conclude, I would again caution that my remarks are based on hearsay and not an actual proposed rule. It is hard to be critical of something that does not yet exist. I hope that Chairman Gensler, in his testimony today, will inform the Subcommittee that the Commission is aware of the challenges surrounding the current imposition of position limits and at the Commission's hearing tomorrow, he will not consider enacting position limits before adequate information is known. I would caution the Chairman and other Commissioners, however, that if the Commission moves forward with a proposed position limit rule before information from the OTC markets are made available, they should be prepared for more hearings on this topic next year. Again, thank you for recognizing me Mr. Chairman and I look forward to the testimony of today's witnesses."
"The Chairman","Well, thank you very much. I appreciate that, and we do wish you well and we are happy to have you with us today. At this time, I would like to recognize Mr. Peterson for any comments he might like to make."
"OPENING STATEMENT OF HON. COLLIN C. PETERSON, A REPRESENTATIVE IN CONGRESS FROM MINNESOTA",""
"Mr. Peterson","Thank you, Mr. Chairman, Ranking Member, and good morning everybody. Thank you, for holding this hearing today. The Subcommittee and this Committee started looking into excessive speculation in the derivatives market more than 2 years ago before the evidence of the financial crisis actually started to appear. We passed bipartisan legislation to bring greater transparency and accountability to the derivatives market, and many of the Committee-passed provisions were included in the Wall Street Reform and Consumer Protection Act which was signed into law this past summer. There are many important provisions within this law, but the one we are addressing today is the speculative position limits. The law sets a deadline of January 17, 2011, for the CFTC to announce the proposed rule for this provision, but recently many have expressed concerns about the CFTC meeting this deadline. While the CFTC has held seven open meetings to write rules for the law's many provisions, most recently on December 9th, speculative position limits have not yet been addressed, and this leaves little time for the Commission to address this issue. It is important that the CFTC remain on track and implement the Wall Street Reform and Consumer Protection Act in a timely manner and as Congress intended. I understand that there is another meeting being held tomorrow and that the position limits will be addressed at this time. I think that is good news. But I question whether this could have happened earlier. I want to welcome Chairman Gensler and Commissioner Chilton to the Committee today. We appreciate the good working relationship that we have had and look forward to working with you as we go forward. As I say, we have worked closely together and hope that we could help you in implementing this law. So I look forward to hearing your testimony, along with the rest of today's witnesses, and again thank the chair for his leadership on this issue. Prepared Statement of Hon. Collin C. Peterson, a Representative in Congress from Minnesota Good morning, and thank you Mr. Boswell for holding today's hearing of the Subcommittee on General Farm Commodities and Risk Management. This Committee started looking into excessive speculation in the derivatives market more than 2 years ago, before evidence of the financial crisis started to appear. We passed bipartisan legislation to bring greater transparency and accountability to the derivatives market and many of the Committee-passed provisions were included in the Wall Street Reform and Consumer Protection Act which was signed into law this past summer. There are many important provisions within this law, but the one we are addressing today is speculative position limits. The law sets a deadline of January 17, 2011 for the CFTC to announce the proposed rule for this provision, but recently many have expressed concerns about the CFTC meeting this deadline. While the CFTC has held seven open meetings to write rules for the law's many provisions, most recently on December 9, speculative position limits have not yet been addressed. This leaves little time for the Commission to address this issue. It is important that the CFTC remain on track and implement the Wall Street Reform and Consumer Protection Act in a timely manner and as Congress intended. I understand there is another meeting being held tomorrow and that speculative position limits will be addressed at this time. This is good news, but I question whether this could have happened earlier. I want to welcome Chairman Gensler and Commissioner Chilton to the Committee today. We have worked closely over the last few years and I look forward to continuing this relationship as you move ahead with implementing this law. I look forward to hearing your testimony, along with the rest of today's witnesses and again thank the Chair for holding this hearing."
"The Chairman","Thank you, Mr. Peterson. I would like to recognize Mr. Lucas for any comments he would like to make."
"OPENING STATEMENT OF HON. FRANK D. LUCAS, A REPRESENTATIVE IN CONGRESS FROM OKLAHOMA",""
