Speaker,Speech
Mr. Rush," The subcommittee will come to order.
    Today's hearing is a legislative hearing. It is on two bills, H.R. 2309 and H.R. 2190.
    [The information follows:]
    [GRAPHIC] [TIFF OMITTED] T2887A.001
    
    [GRAPHIC] [TIFF OMITTED] T2887A.002
    
    [GRAPHIC] [TIFF OMITTED] T2887A.003
    
    [GRAPHIC] [TIFF OMITTED] T2887A.004
    
    [GRAPHIC] [TIFF OMITTED] T2887A.005
    
    [GRAPHIC] [TIFF OMITTED] T2887A.006
    
    [GRAPHIC] [TIFF OMITTED] T2887A.007
    
    [GRAPHIC] [TIFF OMITTED] T2887A.008
    
    [GRAPHIC] [TIFF OMITTED] T2887A.009
    
    [GRAPHIC] [TIFF OMITTED] T2887A.010
    
    [GRAPHIC] [TIFF OMITTED] T2887A.011
    
    [GRAPHIC] [TIFF OMITTED] T2887A.012
    
    [GRAPHIC] [TIFF OMITTED] T2887A.013
    
    [GRAPHIC] [TIFF OMITTED] T2887A.014
    
    [GRAPHIC] [TIFF OMITTED] T2887A.015
    
    [GRAPHIC] [TIFF OMITTED] T2887A.016
    
    [GRAPHIC] [TIFF OMITTED] T2887A.017
     OPENING STATEMENT OF HON. BOBBY L. RUSH, A REPRESENTATIVE IN 
              CONGRESS FROM THE STATE OF ILLINOIS
"
Mr. Rush," The Chair will recognize himself for 5 minutes for the purposes of opening statements.
    Today, as I said before, the subcommittee is conducting yet another legislative hearing on two more bills, H.R. 2309, the Consumer Credit and Debt Protection Act, and H.R. 2190, the Mercury Pollution Reduction Act. This hearing continues our trend to hold legislative hearings with the intent of moving bills towards eventually becoming law.
    H.R. 2390, the Mercury and Pollution Reduction Act, was introduced by the Vice Chair of the subcommittee, my friend and colleague from Chicago Ms. Schakowsky. The bill effectively bans the use of mercury in the production of chlorine and caustic soda and prohibits the export of mercury effective immediately.
    Mercury is well known to cause neurological damage, especially to children. The toxin is also found in fish, and when people eat contaminated fish, they also consume the mercury. Pregnant women who ingest the mercury in fish pass the toxic effects along to their developing fetus, which can lead to long-term neurological harm.
    Furthermore, studies indicate that unsafe mercury levels are more prominent in people of color and in poor communities, and this disparate impact along ethnic and racial lines is likely the result of fish and seafood consumption.
    It is my understanding that only four manufacturing plants still use mercury in the production of chlorine. It is also my understanding that the chlorine industry has made the transition away from mercury as a result of increased efficiency in alternative methods of manufacturing. As such, I am interested to know why Ms. Schakowsky's bill shouldn't become law as soon as possible due to the harmful effects of mercury and the cost savings associated with producing chlorine from other methods. I want to commend Ms. Schakowsky for her work on this bill.
    I am the author of the second bill we are considering today. H.R. 2309, the Consumer Credit and Protection Act, is a result of two oversight hearings this subcommittee has held on consumer credit issues this year. The bill provides the Federal Trade Commission with normal rulemaking authority under the Administrative Procedures Act, for all consumer credit and debt-related issues as opposed to its current cumbersome rulemaking authority under the Magnuson-Moss Act. This authority will empower the Commission to nimbly respond to current and future abuses perpetrated on consumers.
    My bill also directs the Commission to specifically address current abuses in the automobile and debt consolidation industries. It is my intent, during an eventual markup, to also add a directive rulemaking on pending legislation as well.
    I hope the witnesses will provide the information the subcommittee needs on how effective H.R. 2309 would be in protecting consumers not only from the credit and debt scams of today, but the scams of tomorrow, also.
    It is important that the FTC have the requisite flexibility and authority to address numerous credit fraud that plagues consumers. Moreover, I believe it is extremely important that the Commission retain this aggressive posture of consumer credit and debt regardless of the political leadership at the top. Both Democrats and Republicans are guilty of being asleep at the switch, and difficulties in the financial and housing market have shown us that we can no longer afford this type of political negligence. It is vital that we revitalize the Federal Trade Commission's work on behalf of consumers in order to prevent the types of widespread abuses that weren't addressed in the past.
    Today I hope to have an informative legislative hearing on these two bills and work with all of the affected stakeholders and my friends on the other side of the aisle. We may end up disagreeing, but as always, I believe in disagreeing in a civil and politically honest manner.
    With that, I yield back the balance of my time.
    [The prepared statement of Mr. Rush follows:]
    [GRAPHIC] [TIFF OMITTED] T2887A.018
    
    [GRAPHIC] [TIFF OMITTED] T2887A.019
    
"
Mr. Rush," The Chair now recognizes the Ranking Member of the subcommittee Mr. Radanovich for 5 minutes for an opening statement. OPENING STATEMENT OF HON. GEORGE RADANOVICH, A REPRESENTATIVE 
            IN CONGRESS FROM THE STATE OF CALIFORNIA
"
Mr. Radanovich," Thank you very much.
    Today we examine two pieces of legislation under the subcommittee's jurisdiction. The first bill is H.R. 2309, addressing credit and debt issues under the Federal Trade Commission's jurisdiction.
    As I have stated previously, I support cracking down on anybody who breaks the law or takes unfair advantage of others for their own gain. Mortgage and foreclosure problems have revealed deception, lying and stealing at all levels of the homebuying process from consumers falsely stating their income to mortgage companies deceiving consumers about their loans. There should be no tolerance for these practices, practices that have devastated many consumers with foreclosures and have put all taxpayers on the hook for these bad actors' deeds.
    Similarly, the economic downturn has caused many to find themselves over their heads with nonmortgage debt. I support the markets' creation of third-party entities who negotiate on these individuals' behalves, but I also see opportunities where abuse and fraud may arise. Therefore, I support the legislation's direction to the FTC to examine debt settlement practices and promulgate rules as necessary. However, my question within these proposed rules is what is lacking in the current law? Is there a problem so widespread that it requires an industrywide solution; and, finally, will the proposed rule solve the problem?
    My primary concern is that the examination be thorough and the evidence substantial before any rules are proposed. Industrywide rules impose costs on innocent, law-abiding citizens and, therefore, need to be thoroughly vetted to ensure they are justified and the best solution for the problem.
    This leads me to a larger concern with the bill's authorization of the general APA rulemaking authority with credit and debt practices. Congress imposed the more rigorous Magnuson-Moss rulemaking procedures on the FTC for a reason. Providing a blank check for more rules is a change Congress should not contemplate lightly, particularly when the impact will be sweeping. The benefit must outweigh the costs.
    The two provisions which I am concerned with are the grants of civil penalty authority in cases of implied knowledge, and the broad State attorneys general enforcement provision. The FTC may currently seek civil penalties only in a case where the defendant was on notice that their conduct was wrongful. This bill would make people liable without their knowledge that they are engaged in wrongful conduct.
    My second concern is the breathtaking extent of the proposed State attorney general's enforcement power. It would apply to an FTC-enforced statute regulating consumer credit or debt without transparency or checks and balances on that power. Additionally, because most suits prosecuting unfair, deceptive acts are not based on hard and fast rules, this authority will yield many inconsistent interpretations and outcomes.
    The second bill we are examining today, H.R. 2190, would ban the use of mercury cell technology to produce chlorine and caustic soda. I think we need to look carefully not just at the bill itself, but also at the other legal and regulatory actions at the Federal level on this matter. This legislation only addresses four plants in the United States. We should neither be cavalier about the bill's impact because it affects four plants, nor should we fully ignore its effects on policy.
    For starters, the last Congress took great care to overwhelmingly pass bipartisan legislation that banned export of elemental mercury beginning in 2013. This law represents a collaborative effort among diverse stakeholders and created an orderly transition for management and storage of mercury held by both public and private interests. I fear the provisions of this bill will unnecessarily undo our thoughtful work and make mercury repositories of chlorine factories for several years.
    In addition, I am concerned that parts of the bill unnecessarily duplicate existing reporting requirements on these facilities. I have problems requiring reports for the sake of requiring them, and I hope that at least one of our witnesses can point out to me both the practical need for and the legal gap being plugged by each of these mandates.
    From a larger policy perspective, I am concerned that this bill continues the trend of selectively deciding which products, technologies, and substances are OK for the public to have, and, in my view, some of the proponents of this bill are inconsistently applying their concerns about mercury depending on the technology or the product.
    Let me give you an example. H.R. 2190 states that the U.S. should develop policies that reduce exposure to mercury, particularly the exposure of child-bearing-aged women and young children. Yet in the last Congress, the Democrat Majority insisted on legislation forcing daycare centers, hospitals, schools, and nursing homes to use mercury-laced compact fluorescent light bulbs. If we are serious about this issue, Congress cannot send mixed signals to the American public about these public health threats.
    I want to thank today all of our witnesses for being here, and I want to thank you, Mr. Chairman, and know that I am eager to work in a bipartisan manner to address the concerns on both sides of the aisle on these issues.
    Thank you very much.
"
Mr. Rush," The Chair thanks the gentleman.
    The Chair now recognizes the sponsor of one of the bills that we are considering today, H.R. 2190. My friend from Chicago Ms. Schakowsky is recognized for 2 minutes.
       OPENING STATEMENT OF HON. JANICE D. SCHAKOWSKY, A 
     REPRESENTATIVE IN CONGRESS FROM THE STATE OF ILLINOIS
    Ms. Schakowsky. Thank you for holding this hearing today. I congratulate you on this legislation.
    Right now I want to focus my remarks on H.R. 2190, the Mercury Pollution Reduction Act, a bill that protects the public health by ending the hazardous use of mercury cell technology at chlor-alkali plants in the United States.
    Mr. Chairman, the dangers associated with exposure to mercury are well documented, and you mentioned some. According to the EPA, mercury pollution can do irreparable damage to cognitive functioning in adults and to an infant's developing nervous system. It is so dangerous that the Federal Government has warned pregnant women and those who may become pregnant not to eat fish with high levels of mercury, such as swordfish, and to severely limit their consumption of others, such as tuna.
    While H.R. 2190 only addresses mercury pollution from four remaining chlor-alkali plants that use mercury, it must be emphasized that the impact these plants have on surrounding communities is severe, and, even worse, unnecessary. Unlike coal-fired power plants, there are readily available alternatives that could and should be used. In fact, converting from mercury cell technology to membrane cell has proven not only to be drastically better for the environment, but also wise business practice, saving companies millions of dollars in energy-efficiency costs.
    I introduced this legislation because I believe that Congress has a responsibility to minimize the public's exposure to mercury pollution, especially when cleaner, safer alternatives exist.
    And I want to thank Oceana, an environmental organization, for their tireless efforts, and the committee staff for their diligent work on this bill.
    I urge my colleagues to support its passage, and I yield back the balance of my time.
"
Mr. Rush," The Chair now recognizes the gentleman from Georgia for 2 minutes.  OPENING STATEMENT OF HON. PHIL GINGREY, A REPRESENTATIVE IN 
               CONGRESS FROM THE STATE OF GEORGIA
    Dr. Gingrey. Mr. Chairman, thank you so much for calling this hearing today so we can hear testimony on H.R. 2190, the Mercury Pollution Reduction Act. It is my hope that moving forward on these two bills, including H.R. 2309, the Consumer Credit and Debt Protection Act, we can work in a bipartisan manner to accomplish our shared goal of increased and enhanced consumer protection.
    H.R. 2309 would expand the role of the Federal Trade Commission by changing the rulemaking authority that relates to consumer credit and debt from the established and rigorous Magnuson-Moss procedures to the authority under the administrative procedures at APA.
    Mr. Chairman, at a hearing on this topic on March the 24th, I urged my colleagues to take caution in making this change in rulemaking procedure. Magnuson-Moss was designed in the 1970s to be onerous so as to avoid whimsical changes in FTC regulations. While I think the end goal here is commendable, I still have concerns that a simple legislative change will open the door to future unraveling of the Magnuson-Moss procedures.
    H.R. 2190 bans the manufacturer of chlorine using the mercury cell process, including the export of any mercury, within 2 years. As a physician for nearly 30 years, I believe it is critically important that we take proactive steps to ensure the health and safety of our citizens.
    During the 110th Congress, President Bush signed into law Senate bill 906, the Mercury Export Ban of 2008, that was introduced by then-Senator, now President, of course, Barack Obama. This legislation specifically outlawed the export of elemental mercury starting in 2013, similar, very much, to what is proposed in 2190. Therefore, given the duplicative nature of H.R. 2190 in regard to at least that section, I am concerned that we would be stretching our Federal resources too thinly on this important matter if the bill is enacted.
    Mr. Chairman, on both bills before us today, I urge my colleagues to exercise due caution, to consider the possible unintended consequences that we always should.
    I do look forward to hearing from our two panels today on these issues.
"
Mr. Rush," The Chair now recognizes the gentleman from Maryland Mr. Sarbanes for 2 minutes for the purposes of opening statement.OPENING STATEMENT OF HON. JOHN P. SARBANES, A REPRESENTATIVE IN 
              CONGRESS FROM THE STATE OF MARYLAND
"
Mr. Sarbanes," Thank you, Mr. Chairman. I appreciate you calling a hearing on these two important bills.
    I want to congratulate Ms. Schakowsky for her efforts with respect to the Mercury Pollution Reduction Act. It sounds like it is a pretty focused measure to address what is a kind of loophole right now in terms of a major source of mercury pollution, and I hope we can move quickly forward on this.
    With respect to the Consumer Credit Debt and Protection Act, I participated in the hearing that you called previously. It was very eye-opening in viewing how this subprime culture that we addressed mostly in our discussions with respect to the housing sector has also infected auto financing and other sources of credit, and how these loopholes exist in a way that allows predators to enter that space. And so this proposes giving the FTC--which, of course, comes with an exclusive focus on consumer protection--a role in the designing of a new regulatory framework with respect to the financial services industry, and a very important role at that.
    One of the anxieties many of us have is that as we design that new framework, it will not be done in a strategic way. We will end up with loopholes in it that people can take advantage of. And I think having an agency at the table that has got this very keen focus on the consumer is part of making sure that that strategic framework is as robust as it can possibly be.
    So I thank you for calling the hearing so we can hear these proposals discussed.
"
Mr. Rush," The Chair thanks the gentleman.
    The Chair now recognizes my friend from Georgia Mr. Barrow for 2 minutes for the purposes of an opening statement.  OPENING STATEMENT OF HON. JOHN BARROW, A REPRESENTATIVE IN 
               CONGRESS FROM THE STATE OF GEORGIA
"
Mr. Barrow," I thank the Chair.
    I am going to limit my remarks to H.R. 2190, the Mercury Pollution Reduction Act.
    I am in a tough spot today because while I recognize the environmental benefits of banning chlor-alkali mercury technology, I am one of the few Members of Congress who actually represents one of the facilities that still uses that technology. While I am willing to acknowledge it is a good thing there are only four of these plants left in the country, I have to be sensitive and ask my colleagues to be sensitive to the 150 jobs and the multimillion-dollar impact this plant brings to my district.
    My colleagues have done a good job of highlighting environmental and health reasons to move this bill. I think they are obvious and compelling. I ask my colleagues to also be sensitive to the economic impacts, as I think those arguments are also obvious and compelling.
    The question is, can we serve both purposes and find a productive solution for all involved? I think we can. I respectfully suggest the bill, as written--and considering time and financial pressures, it is going to be very hard for the affected companies to comply with except to shut them down. It is not my goal to shut down an employer in my district. I won't consider that a success.
    The ideal solution, in my mind, would be the plant which I represent have the opportunity and the ability to transition to the new technology and preserve the jobs there for a long time into the future. I hope that is the intention of the committee, and I look forward to working to find a solution that secures the jobs and protects the environment.
"
