"Speaker","Speech"
"Mr. Markey","Welcome to the Subcommittee on Energy and Environment and this very important hearing. As early as next week, the House will vote on legislation to strengthen the oversight of financial derivatives markets. This legislation provides the Commodities Futures Trading Commission a broad new authority to regulate over-the-counter trading in derivatives. This reform is long overdue. Over the past 2 years, we have once again learned the hard way that deregulation of financial markets is a recipe for robbery and ultimately recession. I have long supported tough regulation of derivatives beginning in the late 1980s when I chaired what was then the Subcommittee on Telecommunications and Finance. In the early 1990s, I chaired the first Congressional hearings on the potential for over-the-counter derivatives to create systemic risk in global financial markets, and I warned of the risks that unregulated derivative dealer like AIG and Bear Stearns could pose for those markets. I have also worked to strengthen competition and oversight in electricity markets. I was the author of the transmission access provisions of the Energy Policy Act of 1992, which promoted competition by requiring transmission owners to provide independent power providers with access to the grid. In the Energy Policy Act of 2005, I was amongst the principal supporters of the provision that gave the Federal Energy Regulatory Commission authority to protect against fraud and manipulation in electricity and natural gas markets. So today's hearing isn't about whether or not we need strong oversight of energy markets; clearly, we do. It is about getting regulation right. We must ensure that financial regulatory reform doesn't disrupt FERC's ability to properly structure and oversee organized energy markets. Otherwise, we will undermine FERC's ability to ensure reliable and affordable service for American consumers. We must not let this effort to solve one crisis, create yet another. The derivatives bill reported by the Agriculture Committee threatens to do just that. The bill's definition of swap is so broad that it is likely to cover a number of FERC-related products, including but not limited to Financial Transmission Rights that play a key role in the functioning of the organized electricity markets. These products are inextricably linked to the physical operation of the grid and they exist only because FERC has approved their terms and conditions. Congress has given FERC strong authority to protect against manipulation of these markets and there is broad agreement that FERC has exercised that authority thoroughly and competently. Nevertheless, under the pending derivatives bill, anything that falls within the definition of a swap is under the exclusive jurisdiction of the CFTC, and CFTC has no authority to exempt any swap from the full set of regulations that apply to financial markets. What is the upshot of all of this? Well, FERC could be excluded from regulating the very markets it has created to ensure a reliable and affordable supply of electricity. In FERC's place would be substituted the CFTC, an agency with no expertise in this area. Such an outcome is unacceptable. Chairman Waxman and I have proposed a straightforward and reasonable solution. First, the derivatives legislation should fully preserve FERC's existing statutory authority. Second, whether FERC and CFTC have overlapping authority, the two agencies should conclude a Memorandum of Understanding that sets the boundaries of their respective authority so as to ensure effective regulation. And third, in any area where the two agencies agree that FERC should have primacy, CFTC should be allowed to decline to exercise its regulatory authority. We will be working in the coming days to ensure that a resolution along these lines can be reached before the derivatives bill is brought to the House floor. We expect that the members of the subcommittee and the full committee will play an active role in this discussion. This afternoon's hearing will help us to flesh-out the issues and potential solutions. I thank the witnesses for their participation, especially the two chairmen who are sitting in front of us. They are working hard in trying to find a way of resolving these issues. We appreciate their efforts. Let me now turn and recognize the ranking member of the subcommittee, the gentleman from Michigan, Mr. Upton."
"Mr. Upton","Thank you, Mr. Chairman, and just because the hearing started late, I want to defer my opening statement and I will defer to Mr. Shimkus."
"Mr. Markey","The gentleman is recognized for that purpose."
"Mr. Shimkus","Thank you and I want to thank my friend, Fred Upton. I have got to go over to the Capitol floor meeting on the Illinois Gitmo so that is where I am headed from here. Thousands of companies use derivatives to manage risk. There are winners and losers in the market. One aspect of this bill is transparency and our focus on does this bill achieve this at the cost of the marketplace. With this bill that the Ways and Means and Ag have both passed, are we making it more difficult for these companies to manage risk? I have talked with many and this will cost them more and prices will go up. Will the CFTC and FERC both have jurisdiction? Will it be shared? One has in some instances, one in others. Does this bill make this clear or is this burdensome with the CFTC and the FERC or companies dealing in derivatives? Are any of these completely capable of this request and can they afford new cost placed upon them? This is an important hearing, Mr. Chairman. We need to fix the agencies. We don't need to create new ones and we will be focusing on that. I yield back my time. I thank Fred for the yielding."
"Mr. Markey","The gentleman's time has expired. The chair recognizes the Chairman of the full committee, the gentleman from California, Mr. Waxman."
"OPENING STATEMENT OF HON. HENRY A. WAXMAN, A REPRESENTATIVE IN CONGRESS FROM THE STATE OF CALIFORNIA",""
"Mr. Waxman","Thank you very much, Mr. Chairman. Today we are examining whether the derivatives reform legislation reported out of the House Agriculture Committee could disrupt the Federal Energy Regulatory Commission's current regulation of critical regional electricity markets. The pending legislation is intended to bring greater transparency and accountability to derivative markets. I absolutely support that goal however the bill's broad definition of swaps is so inclusive that it threatens to displace comprehensive FERC regulation over regional electricity market products. The bill could be read to assign exclusive and mandatory authority over those products to the Commodities Futures Trading Commission. In 2000 and 2001, California experienced a severe energy crisis. There were blackouts. There was economic chaos. Energy prices in the State skyrocketed. We were being victimized by unscrupulous traders in both power and transmission rights. FERC, at the time, was soundly asleep and unresponsive to the alarms we raised. But in the wake of that California energy crisis, Congress amended and Mr. Markey indicated he was the author, changes in the Federal Power Act to give FERC authority to prevent and punish fraud in market manipulation. We thought FERC had that authority but during that period of time, they claimed they needed clearer statutory authority. Well, if the legislation reported out of the Agriculture Committee is not adjusted to preserve the authority of FERC, it could undermine authorities that Congress gave FERC in the aftermath of that energy crisis to investigate and penalize market manipulation. FERC has strengthened its monitoring and enforcement practices. No one, including the CFTC or sponsors of H.R. 3795, has suggested to us that the current regulatory regime to prevent market manipulation or abuse in FERC's organized regional markets is broken, so we need to ensure that efforts to strengthen derivative regulation don't weaken existing regulation. Before H.R. 3795 is considered on the House floor, members need to understand how it would affect the organized regional markets FERC has created and comprehensively regulated pursuant to detailed tariffs. These markets not only exist because FERC created them, the products traded in these markets are directly linked to the physical limits of the transmission system and are not traded on broad exchanges. We need to make sure that the legislation doesn't unintentionally displace FERC as the regulator of the markets FERC has created. This hearing is an important opportunity for us to find out what impact the proposed legislation may have on these critical markets and what changes to the legislation may be appropriate. I appreciate the expert witnesses here to help us understand its implications. Our committee has a tradition of acting only on the basis of a thorough understanding of the issues before it and I believe we can help to improve H.R. 3795 before it is voted upon. And I believe we are going to need changes in that legislation that is reported out of the Agriculture Committee to make sure that we don't have consequences that would be harmful to what the good job that FERC is doing in this regard and should continue to be able to do. Thank you, Mr. Chairman."
"Mr. Markey","Gentleman's time has expired. The chair once again recognizes the ranking member, Mr. Upton."
"OPENING STATEMENT OF HON. FRED UPTON, A REPRESENTATIVE IN CONGRESS FROM THE STATE OF MICHIGAN",""
"Mr. Upton","Thank you, Mr. Chairman, and I do appreciate having this important hearing today. We have two very distinguished panels and we are fortunate to be able to hear their thoughts and concerns for the legislation. H.R. 3795 as reported out of the Ag Committee has some serious flaws that would negatively impact the energy sector and I, like many members of this subcommittee, oppose the legislation in its current form, and it is my understanding that both Mr. Waxman, Mr. Markey, Mr. Barton do share my concerns and I hope that we can work together to change the bill before it is brought to the House floor as early as next week. As written, H.R. 3795 could lead to an increased energy cost for all Americans and disrupt our nation's energy markets. By limiting access to certain risk management tools as this legislation does, the ability of energy providers to hedge their market risks would be jeopardized and their customers would be vulnerable to increased price volatility. I understand that there is an appetite among many of my colleagues to create new regulations to curb systemic risk in the economy as a whole but this legislation engulfs markets that are working properly, and in doing so creates new problems that our economy and energy consumers do not need during these very difficult times. The legislation will undermine authorities that Congress gave FERC to investigate and penalize market manipulation. As part of the Energy Policy Act of '05, FERC was given the authority to protect electric and natural gas markets against manipulation or fraud by ensuring the transparency of those markets. FERC's ability to exercise these authorities to the full extent Congress intended would be in question with the passage of this bill. Additionally, under current law, FERC regulates interstate transmission and sale of electricity to ensure that electricity prices are just and reasonable. However, this legislation would disrupt transmissions markets by creating what would amount to contradictory regulation by the CFTC. So this bill, H.R. 3795 in current form I don't believe is ready for primetime and I would hope that in the tough times of double-digit unemployment and a sagging economy as we try to get our businesses back to work and employing folks that this legislation will not move as it is. Let us work together to get it right. I look forward to the testimony and questions and I yield back."
"Mr. Markey","Gentleman's time has expired. The chair now recognizes the gentleman from Michigan, Mr. Dingell. I recall vividly the gentleman from Michigan back in 2005, and the energy conference fighting vigorously in that conference committee to ensure that the anti-fraud, anti- manipulation language was included in that legislation and to a very large extent, that is at the core now of what we are debating. So since I have a vivid memory of that battle and it was the gentleman from Michigan who was leading the fight, I yield him the time for an opening statement."
"OPENING STATEMENT OF HON. JOHN D. DINGELL, A REPRESENTATIVE IN CONGRESS FROM THE STATE OF MICHIGAN",""
"Mr. Dingell","Thank you, Mr. Chairman, and I very much appreciate your kind remarks. I will commend you for holding this hearing which I view as very important. If H.R. 3795, the Over-The-Counter Derivatives Act of 2009 is acted upon without significant input from the Committee on Energy and Commerce, much of the work that has been done by this committee over the years going back to before I was in this body to back when Sam Rayburn was Speaker, will be undone, and FERC will probably lose significant authority to protect electric and natural gas markets against fraud and manipulation, and worse then that, consumers will be denied protection of a consumer protection agency in favor of an agency that has a long tradition of failure in protecting consumers. So thank you for doing this hearing today, Mr. Chairman. Most recently in the Energy Policy Act of 2005, as you mentioned, the Congress acting on the suggestions of this committee gave broad authorities to FERC to protect against fraud and market manipulation to ensure price transparency in the electricity and natural gas markets. That has worked well and I look forward to hearing from Chairman Wellinghoff of FERC on the various oversight mechanisms that FERC has in place to ensure proper functioning of various markets. Collaterally, we will look forward to hearing our other witness tell us why it is that he can do better. If H.R. 3795 were enacted into law without further amendment, there is a serious potential that many of the instruments used and organized in regional electric markets and currently regulated by FERC would either be displaced by the Commodities Futures Trading Commission or confusing overlaps and conflicts would be created. In the past, such conflicts have led to FTC and a hedge fund jointly litigating to strip FERC of its consumer protection authorities. This would not seem to be beneficial then to consumers and it has been a matter of bipartisan concern as today's record will show. In fact, one of our witnesses today will testify that consumers would see a rate increase of 5 to 15 percent if these activities are forced into exchanges. Following the energy bubble price in natural gas and electricity markets during 2008, FERC economists found that this was caused in significant part by excessive speculation in futures and derivatives markets for natural gas. We will want to hear from the chairman of CFTC what they did about those matters at that time. Likewise, it was FERC that discovered a sharp spike in speculative activity in natural gas futures that led to the prosecution of the hedge fund, Amaranth Advisors. FERC's admission is simple, assist consumers in obtaining reliable and efficient energy services at a reasonable cost through appropriate regulatory and market mechanisms. However, when one considers the complexity of such task, it is critically important that the agency with years of experience and understanding of energy markets and a fine staff expertise required to carry out such a task, should be allowed to continue its successful work. We will also want to inquire as to why we have need of new intrusion into these matters by an agency without any prior expertise in these matters. I thank you, Mr. Chairman."
"Mr. Markey","The gentleman's time has expired. The chair recognizes the gentleman from Florida, Mr. Stearns."
