Speaker,Speech
Mr. Rush," The Subcommittee on Commerce, Trade and Consumer Protection will now come to order.
    The purpose of today's hearing is to hear witnesses on the subject of the proposed Consumer Financial Protection Agency, implications for consumers and the FTC. I certainly want to welcome all the witnesses, Mr. Barr and Chairman Leibowitz. The Chair recognizes himself for 5 minutes for the purposes of an opening statement.
    I would like to thank all my colleagues and all the witnesses who diligently worked to prepare testimony over the Fourth of July holiday so that today's hearing would be as meaningful as possible as we commence our examination of the Administration's proposal to create a new Consumer Financial Protection Agency. My view on the matter is fairly straightforward. I believe that the FTC should remain intact as it is currently constituted and that this committee and subcommittee should continue to oversee and authorize the FTC.
    The Commission, which was established in 1914 during our Nation's Progressive Era, was designed to be a regulatory agency with disinterested expertise to ensure compensation and to promote free enterprise. That mission and those prescient concerns are as vital today as they were almost a century ago. The Commission operates best as a lone eagle. From high above, the agency can survey the marketplace and swoop down on predators that deceive unsuspecting and misinformed consumers. The higher and farther away that the FTC is from other agencies and the entities that it regulates, the better it is at spotting unfair commercial and trading practices and at isolating those practices that cast the longest shadows. Similarly, by staying at a distance, the agency can keep would-be credit captors at bay while staying on course to achieve its critical mission of protecting consumers.
    Looking at all reliable indicators, the commission has performed commendably for a small and scrappy staff and abridged powers, working alone with a five-person bipartisan commission, possibly 1,100 dedicated employees spread out across three bureaus: Bureau of Competition, Consumer Protection and Economics. Although its expertise is deep and broad, the FTC's statutory tools under the FTC Act consist of an antiquated and cumbersome of rulemaking under the Magnuson-Moss Act paired with anemic litigation authority. These two may be successful at landing glancing blows but they fail to pack a full punch of detergents that businesses will respect and consumers deserve. Currently at the FTC's disposal are its expertise and its agency crafted instruments of research, policy and study development, consumer compliant and education, competition, legal analysis and economics. While the FTC does well, it has done without power relative to its sister agencies, and what it hasn't done particularly well is in the process of being fixed.
    Just a few weeks ago, our subcommittee worked intently to mark up H.R. 2309, the Credit and Debt Protection Act, which directs the FTC to adopt rules using APA rulemaking authority that would address rampant unfair and deceptive practices in the area of payday lending, automobile financing, mortgage and foreclosure rescue and debt settlement. Our subcommittee's objective in passing H.R. 2309 was to confer more authority upon the FTC and to equip it with sufficient resources so that it could adopt rules faster in the areas of credit and debt through APA rulemaking procedures and bring enforcement action through the threat of civil penalties. Our committee had worked devotedly in the past more than a few times with members from the Financial Service Committee to bolster the FTC's shortcomings, hold out the FTC's best practices for banking agencies to emulate and protecting consumers and to improve the ability of bank regulatory agencies to protect consumers by ensuring unfair and deceptive rules under the FTC Act. I have witnessed the respective chairs of the Committees on Energy and Commerce and Financial Services jointly introduce H.R. 3525 to tackle some of these challenges.
    Further, I offered a further amendment to H.R. 3526, which was introduced by the chair of the Financial Services Committee in the 110th Congress to require that a GAO report investigating federal banking and credit union regulations and the perpetuation of unfair and deceptive acts and practices by depository institutions. Importantly, this push and pull between our respective committees has pressured providers of financial services and products including banks and depository institutions to balance the allure of profits and determination of safety and soundness against the needs of consumers. This collaborative working relationship between committees has produced good and sustainable consumer protection bills to safeguard consumers of financial services and of consumer credit products and is a vital example of the independent agencies that would be affected by the Administration's proposal as it will allow each of them to maintain their independence and respective biases and expertise when addressing serious problems that cut across sectors and affect market supplies and consumers.
    I want to thank the witnesses for being here today, for taking the time out from their busy schedules to participate in this hearing. With that, I yield back the balance of my time.
    [The prepared statement of Mr. Rush follows:]
"
Mr. Rush," The Chair now recognizes the gentleman from California, the ranking member, Mr. Radanovich for 5 minutes for the purposes of an opening statement. OPENING STATEMENT OF HON. GEORGE RADANOVICH, A REPRESENTATIVE 
            IN CONGRESS FROM THE STATE OF CALIFORNIA
"
Mr. Radanovich," Thank you, Mr. Chairman, good morning. I appreciate your calling today's hearing on this important topic.
    Whenever something goes wrong in this country, Washington proposes a solution regardless of whether the situation calls for one. However well-intentioned our actions, they rarely work out because they are often undertaken as a knee-jerk response. We have seen many unintended consequence of rush to legislation in recent history, for example, the Sarbanes-Oxley Act. At best, we have seen marginal improvements in the markets diverting billions of dollars toward new compliance costs to the detriment of many small- and medium-sized businesses. In another example, last Congress we enacted a law in response to lead paint on toys. The paint violated an existing standard but what was a compliance problem rather than a deficient standard problem led to numerous costly new mandates that put many small- and medium-sized businesses out of business because the cost was too high without any corresponding increase in safety.
    This is not to say that weaknesses in our financial system don't exist; they obviously and clearly do. The failure of so many financial institutions and the ongoing problem of foreclosures on mortgages some borrowers never should have taken out are evidence of that, and if the bailout of banks and financial firms really were necessary to save the financial system, something clearly needs to be done to address the systematic risk.
    Additionally, fraud and deception by both lenders and borrowers in the mortgage market ran rampant. The FBI reported an increase in fraud by more than 400 percent since 2005. Few people question anything was wrong in the market until home prices started plummeting and borrowers began defaulting. If uniformity in the enforcement of existing laws can address these problems, I would support that. Apart from the lack of systemic risk regulation to prevent future financial collapses required in the taxpayer bailout, I am still trying to understand what holes exist in the FTC's consumer protection authority and to what extent the government contributed to the crisis with its intervention in housing policy. I am far from convinced that the market problems require the creation of a new federal regulator as contemplated by the Administration's proposal.
    Fannie Mae and Freddie Mac are under government control in part because they did exactly what Congress and the government wanted: extend home ownership to as many people as possible under the watch of the federal regulators. Fannie and Freddie along with the federal housing agencies and programs were encouraged to extend credit, and when they did, their shareholders played the price for failing. To accomplish the policy goal of extending home ownership to as many people as possible, changes in lending standards had to occur. The lowering of lending standards meant more borrowers qualified for loans they couldn't afford. My point is that laws on the books didn't stop people from taking out risky mortgages, either in spite of or because of rapidly increasing home prices, nor has it stopped regulators and law enforcement from prosecuting those who we now know committed fraud and broke the law.
    While many experts believe that the banking regulators performed their duties inadequately, I will leave that to the Financial Services Committee to decide. But with regard to the FTC, it seems to me that we are throwing out the baby with the bathwater by stripping the authority over consumer protection for financial products and services from the one agency that has performed well. If we agree we need legislation, we should take the approach of legislating with a scalpel rather than with a bulldozer.
    With that said, I have two primary concerns with this proposal. First, it creates a new federal entity with an enormous scope of authority. The proposal grants sweeping authority to a new agency over financial products that would cover every sector of the economy. As I understand it, the draft legislation would touch everyone from a certified public accountant to a realtor and subject them to a new tax to fund the agency.
    Second, I am concerned about transferring functions from the FTC to a new agency without any evidence that it is necessary or that it will be as effective as a regulator as the FTC is. By removing the FTC's authority, we could lose the FTC's unique expertise in balancing consumer protection and competition.
    Finally, the legislation contains several new broad authorities for the FTC regarding rulemaking authority and civil penalty authority. I have previously disagreed with these and do not need to repeat them at this time. However, I do have some questions of the witnesses regarding these provisions and I will ask them when they are appropriate.
    I want to welcome the members to the panel as well and yield back, Mr. Chairman.
"
Mr. Rush," The Chair thanks the gentleman. The chairman of the full committee is recognized for purposes of opening statement for 5 minutes.OPENING STATEMENT OF HON. HENRY A. WAXMAN, A REPRESENTATIVE IN 
             CONGRESS FROM THE STATE OF CALIFORNIA
"
Mr. Waxman," Thank you very much. I want to thank you, Mr. Chairman, for holding this important hearing.
    Last year, as chairman of the House Oversight Committee, I held several hearings examining the causes of the financial crisis. Those hearings revealed a government regulatory structure that was unwilling and unable to meet the complexities of the modern economy. We found regulatory agencies that had fully abdicated their authority over banks and had done little or nothing to curb abusive practices like predatory lending. The prevailing attitude was that the market always knew best. Federal regulators became enablers rather than enforcers.
    The Obama Administration has developed an ambitious plan to address these failures and to strengthen accountability and oversight in the financial sector. Today's hearing will take a close look at one piece of that plan, the proposal to create a single agency responsible for protecting consumers of financial products. A new approach is clearly warranted. The banking agencies have shown themselves to be unwilling to put the interests of consumers ahead of the profit interests of the banks they regulate and the structure and division of responsibilities among these agencies has led to a regulatory race to the bottom. The Federal Trade Commission has taken steps to protect consumers but its jurisdiction is limited and it has been hampered by a slow and burdensome rulemaking process.
    I am pleased that this subcommittee is holding today's hearing and examining the Administration's proposal carefully. There are two areas of which attention and focus from this committee are particularly needed. First, the new agency must be structured to avoid the failures of the past. It only makes sense to create a new agency if that new agency will become a strong, authoritative voice for consumers. And second, we must ensure that the Federal Trade Commission is strengthened, not weakened, by any changes. Unlike the banking agencies, FTC has consumer protection as its core mission.
    In recent months, FTC has taken great strides to protect consumers of financial products, bringing enforcement actions against fraudulent debt settlement companies and writing new rules governing mortgages. The Administration's proposal would give most of the FTC's authority over financial practices and some of FTC's authority over privacy to the new agency. At the same time, the Administration proposes improving FTC's rulemaking authority and enforcement capabilities. It is not clear what impact these proposals would have on FTC or its ability to perform its consumer protection mission. As we build a new structure for protecting consumers of financial products, it is our responsibility to ensure that we do not weaken the agency currently responsible for consumer protections in this and many other areas.
    Once again, I thank Chairman Rush for holding this hearing. I welcome our witnesses to the committee and look forward to their testimony.
"
Mr. Rush," The Chair thanks the chairman of the full committee, and now the Chair recognizes the gentleman from Florida, Mr. Stearns, for 2 minutes for the purposes of opening statement. OPENING STATEMENT OF HON. CLIFF STEARNS, A REPRESENTATIVE IN 
               CONGRESS FROM THE STATE OF FLORIDA
"
Mr. Stearns," Good morning, and thank you, Mr. Chairman.
    This is a very important hearing. It is important for us as members of this subcommittee, and Mr. Chairman, in terms of our jurisdiction and what the implications are for jurisdiction in the future. The Administration's newly proposed CFPA, or the Consumer Financial Protection Agency, is relevant. It is an idea that a lot of us have mixed reactions. It has implications for our subcommittee. Although this is only one component of the Administration's broad-reaching financial regulatory reform proposal, it certainly is an important part of that overall program and it needs detailed examination.
    We must carefully consider the long-term effects that this will have on the Federal Trade Commission, the consumers it is charged with protecting and on industry. Currently, the Federal Trade Commission has broad authority to protect consumers from unfair and deceptive practices in the credit and debt areas, and the FTC has notably been an effective and reliable agency in terms of consumer protection. We have seen it in this subcommittee. However, this new agency, the CFPA, proposal strips the Federal Trade Commission of virtually all of its consumer protection authorities pertaining to financial practices and even some of its privacy protection authority. So, Mr. Chairman, I think that has to be a concern.
    The proposal compensates for this shifting of authority by granting the Federal Trade Commission streamlined Administrative Procedures Act, APA, rulemaking authority and the ability to seek civil penalties against unfair and deceptive practices. But this is a term of which there is no clear definition as well as making it unlawful to ``aid and abet'' in deceptive acts. So due to the shifting of power and the potential economic consequences of businesses, we must ensure that effective stakeholders have a voice at the table but ultimately we need to be sure that the CFPA, the new agency, will be an agency designed to do what is in the best interests of the consumers and not what is in the best interest of the bureaucrats who run it.
    One other concern I would have, Mr. Chairman, with the APA is it has 180 days for consideration. Is this sufficient time under the Magnuson-Moss Act rulemaking requirements included a public hearing and so, Mr. Chairman, perhaps as this bill moves along we might want to include some kind of public hearing as well as this 180 days of consideration.
    With that, I yield back the balance of my time.
"
Mr. Rush," The Chair thanks the gentleman. The Chair now recognizes the gentleman from Michigan, the chairman emeritus of the full committee, my friend, Mr. John Dingell, for 5 minutes for opening statement.OPENING STATEMENT OF HON. JOHN D. DINGELL, A REPRESENTATIVE IN 
              CONGRESS FROM THE STATE OF MICHIGAN
"
Mr. Dingell," Mr. Chairman, I thank you, and I commend you for this hearing. It is a very important one. It follows on a series of events which began with a raid on this committee by other committees and by the banking industry and by repeal of Glass-Steagall, which removed all the penalties and prohibitions against many of the illegal activities which brought us to the current lowest state in which we find ourselves financially and economically. At the Treasury Department, there was an office still in being called the Controller of the Currency, who pushed to totally deregulate banks and to unlearn the lessons which we learned during the Depression and to permit the abuses which the Pecora Commission found to be a problem, things which brought about the 1929 crash, and lo and behold, the failure to learn those lessons or to preserve the protections which the Congress and the President in the 1930s put into place led to the economic collapse which occurred in the United States in the last calendar year and this calendar year.
    So the questions that we will be concerned with are going to be, are consumers protected, is the Federal Trade Commission able to continue doing the work that it does to protect consumers, and this committee is going to concern ourselves this morning with these issues and means by which to ensure improved consumer protections continue to exist with regard to financial products and services and to see to it that the Federal Trade Commission is able to carry out the responsibilities which in a rather contemptible fashion were disregarded by the SEC and also by the Controller of the Currency.
    Now, we need to know if our concerns here and the pause which it gives us occurs in part because of a transfer of existing authority from the Federal Trade Commission to a newly minted Consumer Financial Protection Agency, an agency whose behavior we don't know but an agency which is going to probably be composed of many of the goodhearted people who have brought us to this curious and unfortunate state of events. I will be truthful: I have significant concerns about these plans and I will be intending to engage today's witnesses in a frankly discussion about their merits. The Administration, which has no fault in the events of the deregulation and the collapse of the American economy last year, envisions consolidating all consumer protection functions related to financial products including rulemaking, supervision, examination and enforcement under the aegis of the new CFPA, which would receive sole rulemaking enforcement authority over consumer financial protection statutes such as the Truth in Lending Act. At first glance, this strikes me as a dejure and possible unwarranted reassignment of FTC's consumer protection authorities in the financial services area. I will be looking to see whether this is so and whether in fact is a good thing or can be justified by the Administration.
    While a comparatively small agency, it is to be observed that FTC has some superb work in protecting consumers, and in this the country would benefit not from a diminished mandate to that agency but rather to additional statutory authority, personnel and funding. Consequently, I have more than a modest degree of skepticism regarding the Administration's proposal. In brief, I wish for our witnesses to elucidate upon several matters associated with the CFPA proposal.
    First, if CFPA were mandated under law, what authorities would be left to FTC and why would that occur. Second, what latitude would FTC have in enforcing consumer protection statutes as they relate to financial services, and what consumer protection statutes would be denigrated or dissipated under this proposal. Third, how would one characterize the level of interagency cooperation in the drafting of the Administration's proposal. Financially, if CFPA receives its proposed mandate, what will become of this committee's jurisdiction over consumer protection as designated under rule 10 of the House of Representatives? I will welcome the witnesses' responses to these and other questions in order to properly establish an adequate record for additional action by the Congress if such is deemed necessary.
    I would ask at this time that I have unanimous consent to keep the record open to submit a list of questions to the witnesses today and to have those responses and the questions inserted into the record.
    I want to commend you, Mr. Chairman, for your courtesy and foresight in this hearing. I would conclude by a personal note in welcoming Dr. Stephen Calkins, associate vice president for academic personnel and professor of law at Wayne State University in my home State of Michigan. His testimony has been invaluable to my understanding of this matter and I look forward to his participation in the continuing debate on consumer financial protection, and I note, Mr. Chairman, that my wife is a member of the Board of Governors of that great institution, which gives me a particularly warm feeling about it, and again, Mr. Chairman, I urge you and my colleagues to be most diligent, most cautious, most careful and most dutifully suspicious of the events that we inquire into today. Thank you.
"
Mr. Rush," The Chair thanks the chairman emeritus. The Chair wants to put before the committee the UC request, and hearing no objection, so ordered, the UC request by the chairman emeritus. And the Chair also wants to take a moment of personal privilege to celebrate the chairman emeritus's birthday and to wish him a happy birthday, so we want you to know that we all wish you a very happy birthday and many, many more.
"
