"Speaker","Speech"
"Mr. Graves","Thank you, Madam Chair. I want to thank you for holding this important hearing on the ability of small businesses to obtain needed capital. Given the recent job numbers, the country will be relying on small businesses to help the American economy grow. Although Shakespeare warned the people that the people should neither be a lender nor a borrower, he was unfamiliar with the modern American economy. Today the car-boat dealer needs financing to purchase inventory to resell. The home or commercial builder needs funds to buy land in the face of mortgage backed security debacles. The manufacturer needs funds for investing in the latest equipment to make it competitive in the global economy. Capital then is the life blood of the American economy. There is no doubt that the current environment for raising capital is difficult even for the largest businesses with the AAA credit ratings when they have to compete against the voracious appetite of the most credit worthy borrower in the world, the United States government. So I can imagine how difficult it is for small businesses to find capital. Since the end of the Korean conflict, the federal government has recognized that small businesses have a much harder time raising capital than their large business competitors. Programs overseen by the SBA provide small businesses with access to debt and equity financing. These programs have a number of restrictions and limitations that may reduce their utilization among small businesses. In times of economic necessity, imposing unnecessary barriers to existing programs for providing capital seems counterintuitive. As a result, I am interested in hearing the opinions of our witnesses on the value of the SBA programs and what changes are needed to insure that America's small businesses can obtain the needed infusions of capital to keep the economy alive. And, again, Madam Chair, I appreciate you having this hearing, and thank you to our witnesses for all coming a long way in many cases for being here. Chairwoman Velazquez. Thank you. And I welcome our first witness, Ms. Cynthia Blankenship. She is the Vice Chairman and Chief Operating Officer of Bank of the West in Grapevine, Texas. Bank of the West was founded in 1985 and specializes in customer service and small business financing. She is testifying on behalf of the Independent Community Bankers of America. The ICBA represents more than 20,000 locations nationwide. Welcome."
"STATEMENT OF CYNTHIA BLANKENSHIP",""
"Ms. Blankenship","Thank you, Chairman Velazquez and Ranking Member Graves. I appreciate the opportunity to be here today and present the views of the nation's community banks on both capital markets and small business lending. In addition to small business lending, Bank of the West has been a long time partner with the Small Business Administration and is strongly committed to helping our communities, using the SBA's 7(a) program and the 504 loan program. Bank of the West has more than $10 million in SBA loans in its portfolio, and we service these loans. This represents six percent of our total loans. Notably, as of May, our total small business lending and SBA lending are running ahead of the amount last year in 2008. So we are doing our part and working hard to get capital out there to the deserving small businesses. My bank's SBA loans create hundreds of jobs by financing the local preschool, health center, hardware store, and auto dealer. Community banks represent the other side of the financial story. Community banks like Bank of the West experienced difficult economic times before, and like always, we stick with our communities and our small business customers. As Chairman of the ICBA, I was recently honored to participate with President Obama and Treasury Secretary Geithner, as well as Chairman Velazquez and Ranking Member Graves, in advancing important policy initiatives to small business lending. ICBA strongly supports the recent initiatives to bolster small business loan program included in the American Recovery and Reinvestment Act of 2009. SBA lending program must serve as a counterbalance during these challenge credit markets for small businesses. Unfortunately, at a time when the economy is faltering, the sharp 2009 decline in the number of SBA loans is troubling. The recent uptick in SBA loans is a positive and welcome sign, but we still have a very long way to go before it reaches solid levels again. Community banks are well positioned and willing to help get our economy back on track. While community banks represent 12 percent of all bank assets, they make 20 percent of all business loans and more than half of all business loans under $100,000. Some 48 percent of small businesses get their financing from banks with one billion dollars and less in assets. Therefore, we encourage policy makers to be mindful and supportive of the community banking sector's important role in supplying credit to small business. To that end, ICBA supports strong SBA programs, fair regulatory treatment and tax policies that will foster robust community bank small business lending. Specifically, ICBA appreciates your work, Chairman Velazquez, and the work of the Committee in enacting $730 million in ICBA-backed SBA-related funding in the American Recovery and Reinvestment Act. This included reduced fees for borrowers and lenders and increased guaranty levels, a new deferred payment program, and a secondary market initiative. Given the prolonged length and depth of the recession, the credit crunch, ICBA encourages Congress to extend or make permanent the SBA fee reductions beyond 2009. We urge SBA to follow the statute and Congress' intent to give priority to small banks in implementing the 7(a) lender fee reduction. ICBA is encouraged to see the SBA finishing the implementation of the ARC loan program. This program will allow existing small business bank customers to better service their debt and ride out the economic slowdown. The SBA market must be restored. I know first hand that my bank would be able to make more small business loans if I was able to sell my existing inventory into the secondary market. ICBA offers several additional policy recommendations aimed at returning more community banks to SBA lending. These include insuring SBA makes good on their loan guarantees and provides more flexibility in small business size standards and market- based loan pricing. ICBA also believes the bank regulatory pendulum has swung too far and is crushing many community banks' ability to lend to small businesses. In conclusion, the need for affordable small business capital is greater than ever. Community bankers run small businesses themselves, live and work in the communities with their small business customers, and we will do everything we can to insure that we meet the credit needs of our local community. Thank you. Chairwoman Velazquez. Thank you. Our next witness is Ms. Jean Wojtowicz. She is the chair of the Board of Directors of the National Association of Development Companies. She is also founder of Cambridge Capital Management Corporation, a manager of nontraditional sources of capital for businesses in Indianapolis, Indiana. The National Association of Development Companies provides legislative and regulatory support for its members. Welcome."
"STATEMENT OF JEAN WOJTOWICZ",""
"Ms. Wojtowicz","Thank you. I am so pleased to be here, and I would like to thank the entire Committee for their continued support of the CDC industry and the 504 loan program. First I would like to discuss the need to reduce the cost of this program. SBA has informed us that its 2010 budget increases the cost of 504 loans by 38.9 basis points per annum, and this is due to at least two factors in the SBA's econometric subsidy model: the national unemployment rate and the forecast of the 504 default rate. With both of these factors being impacted by the current recession and their real effect expected to be shortlived, we ask the Committee to consider requesting an appropriation sufficient to offset this fee increase for the next two years as small businesses return to a growth mode and improve their cash flow. This request needs immediate attention in order to negate the impact of this fee increase on our borrowers for fiscal 2010. It is inconsistent in this economy to offer small businesses fee relief through the stimulus bill in February of 2009 and turn around and increase their cost of borrowing in October of that same year. Second, we need to reach out to more small businesses. Our industry thanks the Small Business Committees for their leadership role in adding key programs to the stimulus bill earlier this year that are beginning to impact capital access and job creation. However, we believe that more should be done quickly to have added impact. Even as SBA works to implement new programs and fee reductions created in the stimulus bill, the loan eligibility and underwriting criteria to maximize the effectiveness of these programs are drifting toward more conservative and restrictive interpretations. For example, SBA has moved to restrict borrowers from accessing their personal home equity in order to inject these funds into 504 expansion projects. NADCO has prevailed upon the agency to reconsider this policy while they collect additional data. We are hopeful that when SBA completes this analysis they will again allow business owners to inject capital in any way possible. We believe that many small businesses either need access to larger loan amounts or have already reached their maximum availability under current law. This can be addressed in three ways. First, increase the maximum 504 debenture beyond its current limit of $1.5 million. Second, allow a borrower to maximize use of both 504 and 7(a) loan limits. And, third, eliminate the regulation that restricts business owners with higher net work and liquidity from accessing these loans. Next I would like to emphasize the need to reduce loan losses with more effort devoted to loan liquidation and recoveries. At Congress' direction several years ago, SBA created a new regulation that enabled it to take advantage of the recovery expertise within the CDC industry. Many CDCs already performed such tasks for other loan programs that they administer. They have simply not been given the ability and the freedom by SBA to do this on a broad scale for their 504 loans. NADCO believes that losses can be reduced if CDCs are actively engaged in the loan recovery process. This will require cooperation with rather than dictation from SBA liquidation staff. Further, NADCO proposes that SBA use its loan servicing contractor to speed up collection and payments for defaulted loans and we ask that this accounting information be made available to CDCs to assist them in their recovery efforts. Can you imagine trying to collect a loan without being able to tell the borrower what the balance is or in today's electronic age not being able to have a borrower wire a payment or send an ACH payment on a defaulted loan? The SBA loan programs are over 20 years old, and an environment of restrictive and overbearing regulations has evolved within the agency. With this new administration and fresh thinking from senior policy makers, NADCO sees an opportunity to break out of the old program structure and bureaucracy. We see the chance to work with this new leadership team and with the new Congress to expand program benefits to more borrowers. Like any maturing organization, SBA has to reevaluate its products to serve the changing needs of small businesses. NADCO urges Congress to collaborate with the new SBA management and with far sighted, market driven lenders to create the financing and economic development programs so vital to America's future. Nimble and forward thinking small businesses will lead us out of this recession. Let's help them do it sooner. Working together, we can get America working. Thank you. Chairwoman Velazquez. Thank you. And I welcome now Mr. Roger Heacock. He is the president and CEO of the Black Hill Federal Credit Union in Rapid City, South Dakota. The Black Hill Federal Credit Union has over 49,000 members with assets of more than $765 million. Mr. Heacock is here to testify on behalf of the Credit Union National Association, the national trade association serving America's credit unions. Welcome."
"STATEMENT OF ROGER HEACOCK",""
"Mr. Heacock","Chairwoman Velazquez, Ranking Member Graves, and members of the Committee, thank you so much for the opportunity to testify on behalf of the Credit Union National Association. I am honored to address the impact SBA lending has on our local economy, our credit union, and our members, and to suggest ways to improve SBA programs. Black Hills was first authorized to do SBA lending in January 2003, and we truly value our partnership with the SBA. We wrote more SBA loans than any other financial institution in South Dakota during 2008, 29 loans for a total of $1.6 million. We are looking forward to working with new SBA Administrator Karen Hills and find working with the SBA beneficial to the credit union and our members for several reasons. We have a number of members who started small businesses using SBA loan funds while continuing to work at their primary job as their main source of income. The SBA helped us be there for our members, and this has resulted in additional employment opportunities. There is additional risk to these types of borrowers, and quite frankly, other lenders shy away from helping them because there is not a proven cash flow. We are able to do this type of lending because of the guarantee that SBA provides. The programs allow us to help the borrower who comes in and may not have the equity investment we would generally like to see but has a good business plan. The SBA helps us create an acceptable level of risk, and it is a win-win situation for all of us, the credit union, the SBA, and the borrower. CUNA is a strong supporter of the 7(a) and 504 loan programs, essential tools for achieving our mission to serve the needs of members. However, several important factors discourage more credit unions from participating as SBA lenders. First, the statutory cap on credit union MBLs restricts the ability of credit unions from helping their members even more. Even though the cap does not apply to SBA loans, it is a real barrier, keeping some credit unions from establishing an MBL program at all. Not all loans fit SBA parameters, and credit unions are reluctant to initiate an MBL program when they may reach the cap in a fairly short order. CUNA is also aware that some lenders have not had a positive experience with the SBA, citing the application process, fees, and time of decision making. In that vein, we think there are ways to improve the work that is done by the SBA. As the Committee reviews SBA programs, we encourage Congress to make additional funds available to the agency so that fees can remain low and the guarantees can remain sufficient. We appreciate Congress setting aside $375 million for the temporary elimination of fees and raising the guaranty percentage on some loans to 90 percent as part of the Recovery Act. In closing, credit union business lending represents just over one percent of the depository institution business lending market. Credit unions have about $33 billion in outstanding business loans compared to $3.1 trillion for banking institutions. We are not financing skyscrapers or sports arenas. We are making loans to members who own and operate small businesses. Despite the financial crisis, the chief obstacle for credit union business lending is not the availability of capital. Credit unions are, in general, well capitalized. Rather, the chief obstacle is the statutory limits imposed by Congress in 1998. Under current law, credit unions are restricted from member business lending in excess of 12.25 percent of their total assets. This arbitrary cap has no basis in either actual credit union business lending or safety and soundness considerations. And the U.S. Treasury Department found that delinquencies and charge-offs for credit union business loans were much lower than that for either banks or thrifts. The cap effectively limits entry into the business lending arena on the part of small and medium size credit unions, the vast majority of all credit unions, because the costs and requirements, including the need to hire and retain staff with business lending experience exceed resources of many credit unions. While we support strong regulatory oversight of member business lending, there is no safety and soundness rationale for the cap. There is, however, a significant economic reason to eliminate the cap. America's small business needs access to capital. We estimate that if the cap on credit union business lending were removed, credit unions could safely and soundly provide as much as $10 billion for new loans for small businesses within the first year. This is an economic stimulus that would not cost the taxpayers a dime or increase the size of government. Madam Chairwoman, thank you very much for convening this hearing and inviting me to testify. I look forward to answering the Committee's questions. Chairwoman Velazquez. Thank you, Mr. Heacock. Our next witness is Ms. Hollis Huels. Ms. Huels is the Senior Vice President of Capital for Business in St. Louis, Missouri. Capital for Business is a national private investment firm focused on providing capital to middle market businesses. Ms. Huels is testifying on behalf of the National Association of Small Business Investment Companies, the oldest organization of venture capitalists in the world. Welcome."
"STATEMENT OF HOLLIS A. HUELS",""
"Ms. Huels","Madam Chair, Ranking Member, members of the Committee, thank you so much for the opportunity to appear today and offer the National Association of Small Business Investment Companies' views on expanding small business access to capital. I am a Senior Vice President and a partner with Capital for Business. We are a private equity fund headquartered in St. Louis, Missouri, and have been an active investor through the SBIC program for almost 50 years. I am also chair of our Board of Governors of NASBIC. We appreciate the Committee's continued commitment to small business. We particularly appreciate the SBIC reforms that were included in the Recovery Act. Your actions have helped many of our small business partners. SBICs are private equity funds that invest exclusively in domestic small businesses. While the bigger names in private equity and venture capital invest globally, SBICs invest locally in Main Street businesses. Many of SBA's greatest success stories, Federal Express, Intel, Outback Steakhouse, Whole Foods, Apple, Quiznos, and many, many more received their early funding through the SBIC program. SBICs should be part of your approach to end the recession, grow the economy and create jobs. The SBIC program has been a successful, market-driven, collaboration providing over $55 billion of financing to over 106,000 U.S. businesses. While these are large numbers, the program is currently underutilized. The program's design is simple and effective. Debenture SBIC fund managers raise private capital for investment in small business and are able to enhance these investment by borrowing periodically from the SBA. Currently, the SBIC debenture program has capacity to facilitate investments of about $4 billion a year in America's small business. However, currently only $1.5 billion are being utilized. Over the next four years, this is an opportunity cost of approximately $10 billion. SBICs are needed now. Small business investment is in tight supply, but demand is strong. It is in times of economic stress that small business can be nimble and take advantage of growth opportunities, but they need access to capital. We recently polled our NASBIC members found that 100 percent of the respondents reported that banks are pulling or reducing their senior lines of credit available. Seventy-five percent of the respondents reported less subordinated debt available for small business. One of the most respected publications in the lower middle market, GF Data Resources, recently reported that ``we are now in the throes of a dramatic slowdown in non-distressed private equity sponsored buy-out activity.'' While this year SBICs have invested in over 1,000 companies with an average investment of just over a million dollars, the impact of SBICs is hindered by the relatively low number of licensees. Imagine what could be done if the program were running anywhere near full capacity. For seed and early stage companies the situation is even worse. Early stage and equity investing for small business has largely dried up. A recent survey by the National Association of Seed and Venture Funds found that 90 percent of early stage entrepreneurial companies, some of the nation's best job creators, are having serious difficulty raising follow-on capital. The SBA previously had an effective tool that was exceptionally successful at using the private market to steer equity investments into domestic small business with taxpayer money as an enhancement. While it lasted, this program invested over $13 billion and over 385,000 new jobs were created and hundreds of thousands of more were saved. While almost 70 percent of venture capital goes to high tech and life science industries, this program invested in small business manufacturing. Unfortunately for America's small business, the demand for the SBIC capital is increasing at a time when the SBIC program is at its nadir. Last year, only six SBIC funds were licensed. This is down over 90 percent from the peak. Licensing from the 1990s only took a few months, and in contrast, last year many SBICs had to wait well over a year. The good news is that for Fiscal Year 2009, the SBA has already licensed nine SBICs, an increase of over 50 percent from the prior year. The SBA is openly trying to get licensing waiting periods down to four months. This is a great start, but we would be in a better place if 30 or 40 new funds were licensed each year. There is evidence of a dramatic uptick in the number of fund managers interested in becoming SBICs. The program should welcome more funds and investors and thereby providing a market-based solution to the current capital crunch. My written testimony details and explains the areas of improvement and reform, but I will briefly describe them. First, increase the number of SBICs. Keep the successful funds in the program. We need more SBICs in more places, particularly the West. Insure that the SBICs that can raise private capital are not placed at a disadvantage and implement the energy debenture. We also need to provide incentives for banks and others to invest in SBICs and create a stable equity option for early stage investment. In conclusion, the Recovery Act it was projected to save or create four million jobs cost nearly 197,000 per job. The small business jobs can be created for far less, close to 11 to $33,000 per job. If we take advantage of the SBIC program we can have a real impact on small business. Thank you. Chairwoman Velazquez. Thank you. Our next witness is Mr. Michael McGannon. He is the Senior Vice President and Chief Lending Officer of Country Club Bank in Kansas City, Missouri. Country Club Bank was founded in 1953 and is based in Shawnee Mission, Kansas. Mr. McGannon is testifying on behalf of the American Bankers Association, found in 1975. The ABA brings together banks of all sizes and charters into one association. Welcome. STATEMENT OF MICHAEL McGANNON"
"Mr. McGannon","Thank you, Chairwoman Velazquez, Ranking Member Graves and members of the Committee. My name is Michael McGannon, Senior Vice President and Chief Lending Officer of Country Club Bank in Kansas City, Missouri. Country Club Bank is a family owned community bank with over $650 million in assets. The focus of this Committee is extremely important. Consistently, small businesses are drivers of new ideas, new employment, and new economic growth. For banks like mine, small businesses are our bread and butter. While some might think the banking industry is composed of only large global banks, the vast majority of banks in our country are community banks, small businesses in their own right. In fact, over 3,400 banks, 41 percent, have fewer than 30 employees. The topic of SBA lending for small businesses is especially important and timely. The efforts that have been made by this Committee, the Congress as a whole, and the administration to improve the environment and opportunities for small businesses through changes to the SBA program have been needed for many years. These changes are particularly important in the difficult economic conditions which are affecting all businesses, including banks. The SBA program has struggled over the last several years. SBA Fiscal Year 2008 loan volume figures showed a 30 percent decline year over year in the 7(a) loan guaranty program, and Fiscal Year 2009 figures would indicate a similar reduction in volume. The economy is certainly playing a significant role in overall loan volume decline. However, many lenders are concerned that this decline is also due to SBA programs becoming too costly and difficult for lenders and small businesses who wish to access the program. For this reason we recommend the following changes to the SBA program. First, SBA should work with trade associations like ABA to formulate SBA programs that are attractive to lenders of all sizes, and especially to community bankers. Most small community banks are intimidated by the amount of paperwork required for a regular SBA 7(a) loan. In the past the SBA had a product in which there was a two-page application for the bank to complete and had an 80 percent guarantee. This program has been eliminated. Furthermore, the SBA needs to eliminate the financial and human resource burden on community banks created by SBA audits, particularly a concern with several new programs coming on line this year. These audits review loans already on the books that are already being scrutinized by other federal regulators, such as the FDIC or the OCC. Worse, banks are required to pay for their own SBA audit even though it does nothing to correct or stabilize a loan or to assist if there is the need for a liquidation. Second, SBA should reduce the time it takes for participating banks to collect on loan guarantees. In our own experience, we have been fortunate to collect on all guarantees submitted. However, the time frame for these collections is sporadic. There is a near universal agreement in the lending community that efforts to collect on the loan guarantee from SBA can be a time consuming and costly process. Third, community banks need personal contacts with knowledgeable people who can answer our questions. Our bank has had the benefit of a very cooperative SBA office in Kansas City. This relationship has been vital in making sure we stay on track with new changes in SBA regulations. However, banks in outlying areas do not have the benefit of a local SBA office that understands them, their clients or their town. Instead, they have to contact someone at a 1-800 number and get answers to questions. As a community banker from Missouri, I take pride in knowing the business and the community that an entrepreneur is trying to serve. It is critical that SBA returns to a model of helping local small businesses and banks through off-site training programs that can tend to the needs of the lending partnership. Thank you for your time and attention today. Chairwoman Velazquez. Thank you, Mr. McGannon. Ms. Blankenship, I would like to address my first question to you, if I may. You mentioned a problem and Mr. McGannon also mentioned the same problem with the SBA either denying or delaying payment on guarantees. Can you talk to us about how serious this problem is, and if so, how does it affect the program's overall success?"
