"Speaker","Speech","Type","Comments"
"Mr. Graves","Thank you, Madam Chair. I, too, look forward to two productive years and intend to conduct myself exactly the same way as Representative Chabot did and thank you for holding this roundtable. I think it will be a positive and active working relationship between the chairwoman and I and the Committee as we move forward in a very bipartisan manner to address the vital issues facing small businesses. So thank you very much for your opening. During the past few months, Congress and the American public have heard that it is important to stimulate the economy but almost nothing about what America's small businesses need. As larger enterprises lay off workers, small businesses will help to fill that gap, either through the hiring of new employees or the creation of new enterprises. I hope this hearing will correct that oversight. In developing an economic stimulus package, I am heartened by the President-elect's willingness to hear new ideas and consider elements of the economic stimulus package--reconsider elements of that package. I would expect that he understands the importance of small business in the economy and seriously considers the suggestions offered at today's event. Any stimulus package that helps small businesses must include significant tax cuts. In many ways, tax cuts will provide small business owners with more liquid assets that enable them to allocate resources in the manner most designed to grow their businesses. Whatever we may think of the wisdom, as far as the wisdom of the Federal Government is, it is small business owners that have the real expertise in creating growth in the American economy. That capacity should be fostered through the appropriate tax cuts. Support for tax cuts does not mean that infrastructure investments should be ignored. There is little doubt that an appropriate investment by the Federal Government and infrastructure can provide jobs to unemployed Americans. However, I would caution that any such program carefully consider the long-term economic benefits as well as the short- term gains. Investment that has long-term benefits should receive priority over projects that are simply designed to increase employment on a temporary basis. For example, projects to reduce reliance on imported oil or to increase broadband access throughout America should have a higher priority than projects that are designed simply to get a piece of the pie. I am looking forward to hearing from our witnesses about what infrastructure investments and tax policies will have both short-term and long-term payoffs. Again, I want to thank the chairwoman for convening this important event; and I hope that leaders of the House and Senate seriously review what has been discussed here today in the further development of a stimulus package and spark real economic growth. Again, thank you, Madam Chair, and I yield back. Chairwoman Velazquez. Thank you. Now I would like to welcome all the members of the panel, especially Mr. Ted Allison. We will apply the 5-minute rule. You are watching the clock there. It will tell you when your 5 minutes are up. Mr. Ted Allison is President and CEO of the St. Joseph Area Chamber of Commerce in Missouri. With over 1,000 members, the St. Joseph Area Chamber of Commerce works to create an environment that allows businesses to succeed in this community. Welcome.","Speech",""
"Mr. Allison","Thank you. It is truly an honor for me to be here and give testimony on behalf of the business community of St. Joseph, Missouri, a small MSA of about 125,000 people in northwest Missouri. As is in most local economies, small businesses in St. Joseph represent the vast majority of private sector employment. Ladies and gentlemen, 93.5 percent of net employment growth in the United States from 1989 to 2005 was created by small businesses. The small business sector employs more scientists and engineers than the large business and higher education sectors. Small businesses are also far more productive, as they generate five times more patents per research and development dollar than big businesses and 20 times more than universities. While 80 percent of the registered voters in America agree that our government should encourage more entrepreneurship, public policy continues to give a disproportionate preference to the big business sector. The small businesses sector delivers a higher yield for dollar of public investment than big business and offers the greatest potential for rapid economic recovery and growth in quality jobs. Immediate action from Congress is imperative. Therefore, I hereby submit the following recommendations for your consideration that I feel would stimulate rapid economic recovery for the small business sector: One, increase the current 2.5 percent set aside allocation for Federal research and development funding to 5 percent for Small Business Innovation and Research grants, what we often call SBIRs. Two, encourage the development of local angel capital networks by establishing a 20 percent tax credit for individual investors participating in the deployment of angel capital funds. Three, establish a 20 percent tax credit to encourage private contributions to qualified nonprofit or publicly owned business incubators. Four, improve access to market research data, training programs and SBIRs by substantially increasing the Federal funding to put more SBDC counselors in the field. Number five, provide additional funding toward entrepreneurial education programs for local school districts, colleges and universities. Six, encourage growth of college accredited internships by providing tax credits to sponsoring small businesses. Number seven, reduce excessive regulatory standards for small businesses by exempting them from Section 404 of the Sarbanes-Oxley Act. Number eight, take aggressive action to reduce the cost of health care insurance and provide a 20 percent tax credit to insure individuals and employers contributing to employee health care coverage. Nine, improve the availability and reduce the cost of fully developed building sites in publicly owned or 501(c)(3) non- profit business parks by increasing funding for EDA grants towards infrastructure. Ten, improve access to commercial loans by increasing the government guaranteed percentage on SBA 7(a), reduce qualification standards, eliminate loan fees, and incrementally forgive the SBA portion of 504 loans for each quality job created that provides health care benefits to its employees. Eleven, enhance credit access for entrepreneurs through the expansion of local revolving loan fund programs funded through EDA grants by lowering the local match requirement. Number twelve, increase the tax credit for dependent children to $2,000 and extend the credit to age 21 if the child is a full-time college or technical training student, provided the parents are contributing at least half of their college expenses. Thirteen, reduce tax rates for small businesses with gross receipts of less than $2.5 million. Fourteen, exempt the first $30,000 of small businesses net earnings from self-employment tax. Fifteen, reduce or eliminate the corporate capital gains tax. And, sixteen, extend bonus depreciation, increase section 179 expansion provisions, and adopt a temporary investment tax credit. Again, I thank you for this opportunity; and I welcome any remarks or questions you may have. Chairwoman Velazquez. Thank you, Mr. Allison. Chairwoman Velazquez. Our next witness is Mr. Tim Ehmann. He is the Senior Project Manager for O'Connell Electric in Victor, New York. Founded in 1911, O' Connell Electric is a full service regional contractor serving the diverse electrical needs of a wide range of clients. Mr. Ehmann is testifying on behalf the National Electrical Contractors Association. NECA provides service to the $130 billion electrical construction industry across the United States. Welcome.","Statement","STATEMENT OF TED ALLISON, PRESIDENT AND CEO, ST. JOSEPH AREA CHAMBER OF COMMERCE, ST. JOSEPH, MISSOURI"
"Mr. Ehmann","Madam Chair, Ranking Member Graves, members of the Small Business Committee, thank you for the opportunity to appear before you today. It is an honor and privilege to appear before a Committee that has tremendous impact on my business and the thousands of electrical contractors who operate as small businesses. I am Timothy Ehmann, representing O'Connell Electric of Victor, New York, which has been in business since 1911 and is a member of the National Electrical Contractors Association. I am a senior project manager specializing in emerging electrical construction markets, including renewable energy technologies like wind power, converting landfill gas into electric power and solar photovoltaic. I also work in the natural gas and utility security industry. NECA is the nationally recognized voice of the $130 billion electrical contracting industry that brings power, light and communications technologies to buildings, communities and homes across the U.S. NECA's 119 local chapters advance the industry through advocacy, education, research and standards developments. I am thrilled at the opportunity to speak regarding the upcoming economic stimulus legislation that will soon be deliberated before Congress. My testimony will focus on two elements that need to be included in the upcoming legislation. Green jobs. President-elect Obama's $1 trillion stimulus plan emphasizes significant investment in transportation and infrastructure, including roads, bridges and dams. NECA supports these infrastructure projects that will help spur economic growth and create jobs. NECA also believes the emphasis must be placed on investment in buildings such as our schools, hospitals and public facilities through investment in green energy construction and high performance buildings. We therefore seek provisions that would require the construction and retrofitting of energy efficient buildings. From the proper installation and maintenance of wind turbines to light rail and mass transit systems, O'Connell Electric is playing an increasingly important role in the building of the new American infrastructure. The size and scope of electrical contracting businesses has fundamentally expanded over the past several years, thanks largely to Federal and State tax incentives. O'Connell Electric and hundreds, if not thousands, of other NECA contractors have made renewable energy an integral part of their business strategy. In turn, this has facilitated job creation, contributed to the construction of more energy efficient buildings and moved our Nation towards energy independence. Electrical contractors support numerous other industries through our work--solar panel manufacturers, software developers and inventory managers--and we must hire additional personnel to perform both the pre-construction work and the actual building projects. The green job creation for construction of alternative energy sources such as wind farms is immense. Over the course of the last 5 years, O' Connell has become increasingly involved in the construction and maintenance of large wind energy generation fields throughout New York State. Our revenues from clean energy technologies has gone from about $1 million to more than $20 million, which represents more than 25 percent of our total revenues. Such an increase in revenues can contribute to job creation. The influx of renewable energy projects has allowed O'Connell to hire 50 new employees. O'Connell Electric's experience is not unique. It is a shared experience among NECA contractors. Due to the increased demand for personnel equipped with the skills to install and maintain these new technologies, the growth of the solar and wind industries, for example, has triggered increased investment in research and development, manufacturing and distribution. I am encouraged by the economic stimulus proposal that President-elect Obama has begun to lay out, which could create as many as 2 to 3 million green jobs. The electrical contracting industry would stand to benefit from several of the provisions being mentioned, including group re-lamping and installation of updated energy efficient heating and cooling systems for the Federal Government. Federal tax incentives provide the necessary offset to a capital investment that clean and renewable energy technology require to be constructed and utilized. The economic stimulus legislation is not only an opportunity to stop the economic contraction our Nation is facing but also the opportunity to create confidence and long- term sustainability of the renewables market. We therefore ask for the extension of Federal incentives for renewable energy sources. These extensions would provide necessary predictability in a marketplace that often suffers from projects being delayed or put on hold because of the temporary nature of the renewable energy tax incentives. Another key policy that would provide predictability within the market would be an increase and expansion of the production tax credit, which incentivizes the generation of energy through clean, renewable resources like wind power and solar. The credit crunch has put funding sources at risk for many clean energy projects. Consequently, we support the expansion of the Clean Renewable Energy Bond Program, which provides financial incentives for investment by consumer-owned utilities in new renewable electrical generation facilities. Madam Chair, I have witnessed firsthand the effects of what happens to jobs, to business growth and to the economy when these incentives are suspended or reduced. If the cost of market entry is not addressed and the investments are not made to incentivize the renewable energy markets, I assure you that the electrical contracting industry as well as numerous other industries will become stagnant or contract, creating job loss and reduce business revenues. It is absolutely critical to fund and expand Federal programs for a renewable energy market. They are the vehicle to create economic stimulus and provide our Nation with a chance to build a new energy economy. Thank you, Madam Chair. On behalf of O'Connell Electric and the National Electrical Contractors Association, I appreciate the opportunity to appear before this Committee. Chairwoman Velazquez. Thank you, Mr. Ehmann. Chairwoman Velazquez. Our next witness is Mr. Steve Massie. Mr. Massie is the President of Jack L. Massie Contractor, Inc. in Virginia. Massie Contractor provides a full range of services in every step of the construction process. Mr. Massie is here to testify on behalf of the Associated General Contractors of America. AGC represents more than 32,000 leading firms in the industry, including general contractors, specialty contractors and service providers and suppliers. Welcome, sir.","Statement","STATEMENT OF TIM EHMANN, SENIOR PROJECT MANAGER, O'CONNELL ELECTRIC, VICTOR, NEW YORK, ON BEHALF OF THE NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION"
"Mr. Massie","Thank you, Madam Chair and Ranking Member Graves, for this opportunity to testify. I am here testifying today on behalf of the Associated General Contractors of America, better known as AGC. My name is Steve Massie. I am CEO of Jack L. Massie Contractor of Williamsburg, Virginia. We specialize in highway site and utility construction. I am also the immediate past President of the Associated General Contractors of the America. AGC's members are comprised of a diverse group of general contractors, specialty contractors, suppliers and providers that engage in all areas of commercial construction. In a strong economy, the construction industry employs more than 7 million people and annually represents more than $1 trillion in economic activity. Today, however, construction companies and our employees are suffering as the economy continues to deteriorate. Contractors are terminating employees. Our company has already reduced our work hours by 33 percent. A further reduction to 50 percent will take place today while I am up here; and the next step, unfortunately, for us would be layoffs. AGC supports construction as a economic stimulus both through enhanced construction spending and through construction tax incentives. Nonresidential construction employment peaked in January of 2007 and has steadily decreased over the last 24 months. AGC's Chief Economist reports that an additional layoff of construction personnel ranging from 10 to 15 percent nationwide is possible if the economy does not turn around. He also estimates that every $1 billion invested in infrastructure projects would create over 28,500 jobs, add $3.4 billion to the gross domestic product and about $1.1 billion to personal earnings. An infusion of Federal infrastructure funding would have a direct stimulus effect by providing opportunities for contractors to compete for work. Once projects are awarded, firms will be able to put people on the project in approximately 30 days. A recent survey showed of AGC members showed that every type of construction market has seen a downturn. Seventy-two percent of respondents have laid employees off in the past 6 to 12 months. Sixty-five percent anticipate laying off employees in the next 6 to 12 months. However, 85 percent would defer layoffs or hire additional workers if States received Federal stimulus. Seventy-three percent would purchase new equipment if markets improved. I know these statistics hold true for our company. The study also shows that there is available workforce capacity to build these projects, and once the money begins to flow workers will quickly be put to work. Additional Federal infrastructure funding will improve our economic efficiency and make our country more competitive. In Virginia, Governor Tim Kaine has stated that Virginia has, and I quote, more than a billion dollars in ready to go bridge, highway, rail, transit, port and airport projects that have been through appropriate local, regional and State planning processes and that can be under contract within 180 days. Tax provisions should also be a part of this debate. AGC believes Congress should extend expensing, depreciation, energy efficiency and worker training tax policies to create additional incentives to invest in America. One provision that is of particular concern to AGC is the repeal of the 3 percent withholding on Federal, State and local contracts. Without action by the 111th Congress, firms that receive contracts with funds derived from the economic recovery package would ultimately face a Federal tax withholding requirement that exceeds the average net revenue on construction projects. The provision is unnecessary because the performance bonds required for Federal work ensure tax compliance. AGC urges Congress to include a repeal of the 3 percent tax withholding law in the upcoming economic recovery package. The country needs your help. The current shortfall in infrastructure investment provides a unique opportunity. With material capacity, readily available labor and a backlog of deferred projects, the construction industry stands ready to build now. Increases in infrastructure investment can put people to work quickly and will have a direct, immediate and dramatic impact on the economy. Again, thank you very much, Madam Chairman, for the opportunity to testify today for AGC. Chairwoman Velazquez. Thank you, Mr. Massie. Chairwoman Velazquez. Our next witness is Mr. Robert W. Therrien. He is the President of the Melanson Co., Inc., a roofing contractor in Keene, New Hampshire. Mr. Therrien is a member and serves as President of the National Roofing Contractors Association with approximately 4,000 members. NRCA is the trade association that represents professional roofing contractors worldwide. Welcome.","Statement","STATEMENT OF STEVE L. MASSIE, CEO, JACK L. MASSIE CONTRACTOR, INC., WILLIAMSBURG, VIRGINIA, ON BEHALF OF ASSOCIATED GENERAL CONTRACTORS OF AMERICA"
"Mr. Therrien","Thank you Madam, Chairwoman and members of the Committee. Thank you for the opportunity to testify on behalf of the National Roofing Contractors Association. I am Rob Therrien, President of the Melanson Company, a roofing contractor based in Keene, New Hampshire; and I now serve as President of the National Roofing Contractors Association. The roofing industry is uniquely positioned to play a significant role in quickly stimulating economic growth and job creation across this Nation. However, the Tax Code contains an obstacle that is limiting economic activity in the emerging green building sector. Congress can address this problem by including the Green Roofing Energy Efficiency Tax Act, or GREETA, in the economic stimulus legislation now being considered. This investment in the emerging green economy will immediately help jump-start our economy. By accelerating demand for green roofing systems, GREETA will create 40,000 new jobs in the manufacturing and construction industry; add $1 billion in taxable annual revenue to the economy; reduce the U.S. energy consumption by 13.3 million kilowatt hours annually; cut carbon dioxide emissions by 20 million pounds per year; and save small business millions of dollars through a simpler and more equitable system of taxation and lower energy costs. GREETA amends the Internal Revenue Code to provide a 20- year tax depreciation schedule for commercial roof systems that meet specific energy efficiency standards. Passage of GREETA is necessary because between 1981 and 1993 the depreciation schedule for non-residential property was increased from 15 years to 39 years. However, the current 39-year depreciation schedule is not a realistic measure of the average life expectancy of a commercial roof, which is about 17 years. The large disparity between a 39-year depreciation schedule and 17-year average life span of a commercial roof serves as a major disincentive to building owners to replace their failing roofs. A building owner who replaces a roof before 39 years have elapsed may have to continue to depreciate for tax purposes, even though their roof no longer exists. As a result, many building owners choose not to only do piecemeal repairs, most often with outdated technology, but they do this rather than replace their failing roof in its entirety with new, energy efficient materials. This problem is slowing the adoption of more advanced energy efficient roofs. GREETA will rectify this situation by reducing the tax depreciation schedule for commercial roof systems from 39 years to 20 years on roofs that meet benchmark energy efficiency standards. Enactment of this legislation will accelerate the adoption of energy efficient commercial roof systems by eliminating the disincentive in the Tax Code for building owners to install such systems. Enactment of GREETA would also benefit millions of small business owners by eliminating the need to depreciate more than one roof in instances where the roof must be replaced before the 39-year depreciation schedule has been completed. Given the many economic as well as environmental benefits of GREETA, this legislation enjoys strong support among business groups as well as organized labor. NRCA greatly appreciates your support, Madam Chairwoman. As a co-sponsor of GREETA, it looks forward to working with you and other members to enact this legislation into law. A related short-term incentive to increase employment in the commercial roofing sector could be to provide a 50 percent bonus depreciation for energy efficient roof replacements. This would permit an owner to deduct 50 percent of the adjusted basis of the qualified roof replacement placed into service in the years of 2009 and 2010. This would provide a greater incentive for building owners to initiate energy efficient roof replacements in the economic downturn, and I would say also supports funding for green infrastructure improvements in our Nation's building sector and in the economic stimulus legislation you are looking at. We believe that current trends towards the adoption of green buildings are keen drivers in the economic growth of our industry. We are working to maximize economic, environmental and energy conservation benefits of green buildings. Roof services, for example, across this Nation offer an economic, ready to use platform for the production of renewable solar energy. The U.S. Right now possesses 225 billion square feet of stable roof surface among its existing commercial and residential buildings. If only one-third of this area could be used for solar energy production through photovoltaic systems, our roofs would generate over 50,000 megawatts of power annually, or approximately 8 percent of our current generating capacity. In conclusion, including GREETA for funding for green infrastructure improvements in the economic stimulus legislation will immediately create more jobs and more green collar jobs while also benefiting the environment and conserving energy. Again, thank you for this opportunity to testify today. I would be pleased to answer any questions the members of the Committee may have. Chairwoman Velazquez. I would like to address my first question to Mr. Massie. A massive stimulus bill is going to require increasing a budget deficit that is already over $1 trillion. This requires careful assessment of what policies will generate the largest bang for the buck. For your business, in terms of your own perspective, can you tell us about those initiatives? Whether they be tax or infrastructure, which will generate the most jobs?","Statement","STATEMENT OF ROBERT W. THERRIEN, JR., PRESIDENT, THE MELANSON CO., INC., KEENE, NEW HAMPSHIRE, ON BEHALF OF THE NATIONAL ROOFING CONTRACTORS ASSOCIATION"
"Mr. Massie","I need to be careful that that is not a completely self-serving answer. When I talk to the people at home, the people that work for us, everybody likes the idea if you reduce their taxes they have more money to spend, but it won't do any good if they don't have a job making money in the first place. And, quite frankly, we are right at 170 employees right now, and they are smart people, they have a lot of common sense and see what is going on in our area. There is a competitor of ours for 30-some years who is gone. That company no longer exists. And the typical worker in our industry absolutely loves a 60-hour week. They kind of base their life on working that many hours at that level of income. We cut our workweek by 33 percent about 2 months ago. Today, while I am here, we did cut it to 50 percent; and we have not laid people off as of yet. And there is some work that we have gotten in the last month and a half, but it is all little jobs, nothing big. And the people see it and, quite frankly, the employees are scared. So the idea of being able to put people to work where they know they can come every single day and be able to create income within themselves is very, very important to them. Chairwoman Velazquez. Thank you.","Speech"," "
"Mr. Massie","I think that is the best way I can answer that. Chairwoman Velazquez. Would any other members of the panel like to comment on that question?","Speech"," "
"Mr. Allison","I would like to commend the gentleman. I think his statement that people first have to be employed before they can pay taxes--quite frankly, I think a great majority of Americans don't mind paying their fair share of taxes. They just like to know where it is going. Of course, we could argue all day long about we would like to pay lower taxes, but, again, the important thing is just to be among the living and employed and having that great opportunity to be a taxpayer. I think what we are experiencing at this point in our local economies is a problem of confidence, consumer confidence and confidence among the business community. You have people that, as we speak, are juggling issues and trying to make decisions that will affect many people's lives. So I just implore you to act boldly and quickly because time is of the essence. Every day that goes by, more damage is being done. Chairwoman Velazquez. Thank you, Mr. Allison. Mr. Ehmann, last year, Congress passed legislation extending the renewable energy tax credit for electricity generation. This year, however, many key incentives are set to expire. How would extending this renewable energy programs act as a stimulus in moving our economy forward?","Speech"," "
"Mr. Ehmann","A perfect example of what that yearly production credit does to the large wind industry, we have experienced it. It is a yearly issue; and, of course, you extended it until 2009. What that is doing right now is a construction process in a large wind firm is a 10- to 12-month construction period. The development of that project could be 2 years before that. The overall problem with that is the utility interconnect is usually a 14-month process. Where actually all those numbers put into the equation with a definite end date of the production tax credit ending each year adds severe instability to a normal construction project. It is an unnatural curve when people can't make the decision right now to say, okay, can we get--with all these lengths in our schedule, can we get them done by December 31st? And as of this date right now, you would be hard pressed to have any project moving forward. As a matter of fact, of the 15 projects that I know of in the northeastern United States, I think there are only two committing to get under way right now. It isn't just giving us another year. It is more like give us 2 years or 3-year pieces. Then you have an economic smoother curve and let a project develop. Instead of a project being crimped into such a short period of time where you have an unnatural amount of overtime and trucking and economic issues that need time to be addressed and are all forced into a short window--you have people putting up wind turbines in the evenings under light, as soon as the day gets shorter; and there is a big rush to get them done by December 31st. And by some time in November, oh, the production tax credit--and everybody can relax. But they can't relax. They have already committed. So it is making a very unnatural construction curve. We are doing it and setting records and unbelievable hurdles are being made over, but there are sacrifices. It could be environmental, it could be safety, or it could be trucking. Chairwoman Velazquez. What about cost?","Speech"," "
"Mr. Ehmann","Costs are incredibly higher. That is the whole thing. From January to March you are trying to economize a job, and then June through December you are just spending like a-- Chairwoman Velazquez. Okay, thank you, Mr. Ehmann. Mr. Therrien, Congress is facing a number of competing proposals, and we want to select, of course, the ones that promote energy conservation most effectively. How would shortening the depreciation schedule for green roof systems accelerate innovation and demand for energy efficient commercial roofs?","Speech"," "
