"Speaker","Speech"
"Senator Levin","Good morning, everybody. This is the second in a series of four Subcommittee hearings examining some of the causes and consequences of the 2008 financial crisis. Earlier this week, our first hearing used Washington Mutual Bank (WaMu), as a case history to illustrate how from 2004 to 2008 U.S. financial institutions loaded up on risk and churned out hundreds of billions of dollars in high-risk, poor-quality home loans to Wall Street in exchange for big fees. Together they initiated the economic assault. As regulated entities, most of these financial firms could not have done what they did unless their regulators let them. Today's hearing asks why Federal bank regulators saw the shoddy lending practices, high-risk lending, and substandard securitizations, understood the risk, but let the banks do it anyway. Washington Mutual was a thrift, so its primary Federal regulator was the Office of Thrift Supervision (OTS). WaMu was the largest single financial institution that OTS oversaw, with $300 billion in assets, $188 billion in deposits, and 43,000 employees. WaMu's fees alone paid for 12 to 15 percent of the OTS budget. Because WaMu's deposits were insured, the Federal Deposit Insurance Corporation (FDIC), served as a back-up regulator whose focus was on safeguarding the Deposit Insurance Fund. Like other bank regulators, OTS was supposed to serve as our first line of defense against unsafe and unsound banking practices, but OTS was a feeble regulator. Instead of policing the economic assault, OTS was more of a spectator on the sidelines, a watchdog with no bite, noting problems and making recommendations, but not acting to correct the flaws and the failures that it saw. At times, it even acted like a WaMu guard dog trying to keep the FDIC at bay. To document what happened, we are releasing today another big book of documents as well as a joint report by the Treasury and FDIC Inspectors General examining shortcomings in OTS and FDIC oversight of Washington Mutual. Together they disclose an ineffective bank regulatory culture, hindered by weak standards, lax oversight, and agency infighting. Before its fall, Washington Mutual held itself out as a well-run, prudent bank that was a pillar of its community. But Tuesday's hearing showed that behind closed doors, the bank's management was surrounded by deep-seated problems, including shoddy lending practices and poor-quality loans. This chart, which is Exhibit 1i from Tuesday's hearing,\1\ shows how over a 5-year period from 2003 to 2008, Washington Mutual and its subprime lender, Long Beach, loaded up with risk. The bank dumped low-risk, 30-year fixed loans in favor of high-risk, subprime, Option ARM, and home equity loans. Low- risk loans shrunk, as we can see from that chart, from two- thirds of the bank's originations to one-quarter. High-risk loans grew from one-third to three-quarters of the bank's home loan business.  \1\ See Exhibit No. 1i, which appears in the Appendix on page 210.  Those high-risk loans were problem plagued. Tuesday's hearing examined voluminous evidence of WaMu internal reviews finding poor-quality loans, fraud, errors, and other deficiencies. In one instance, a year-long internal WaMu probe found that two of WaMu's top loan producing offices were issuing loans with fraud rates of 58 percent and 83 percent. Another WaMu investigation 2 years later found that one of the office's fraud rate was 62 percent. At still another loan office, a sales associate acknowledged ``manufacturing'' documents to support quick loan closings. Washington Mutual's shoddy lending practices affected more than its own operations. WaMu and Long Beach sold or securitized most of their loans. As this chart shows, from 2000 to 2007 WaMu and Long Beach securitized at least $77 billion in subprime loans, stopping only when the subprime secondary market collapsed in September 2007. WaMu sold another $115 billion in Option ARM loans. Together WaMu and Long Beach dumped hundreds of billions of dollars of toxic mortgages into the financial system like polluters dumping poison in a river. So where were the bank regulators? The painful fact is that they had a front-row seat to Washington Mutual's high-risk lending strategy, its poor-quality loans, and substandard securitization practices but did little to stop it. The documents reviewed by the Subcommittee show that OTS knew all about Washington Mutual's high-risk lending strategy. In fact, it was OTS that required the bank to get board approval of it in January 2005. OTS knew about WaMu's shoddy lending practices, having repeatedly identified problems with the banks operations and examination reports year after year. Every time OTS listed a problem, it also told WaMu to take corrective action. But when the problem did not get fixed, OTS failed to force change. Instead, OTS wrung its hands as the bank sank into deeper and deeper waters. This chart, Exhibit 1c,\1\ provides a quick summary of some of the findings made by OTS over the years regarding failings in the underwriting--meaning lending--practices at Washington Mutual.  \1\ See Exhibit No. 1c, which appears in the Appendix on page 199.  Now, these are not all of the findings, but here are a few. Let us start with the year 2004. ``Underwriting . . . remains less than satisfactory.'' ``ot . . . successful in effecting change.'' Then in 2005, ``Underwriting exceptions evidence lack of compliance with bank policy. Our concerns are increased with the risk profile of the portfolio. Deterioration in these  older securitizations is not unexpected.'' Now, those 2005 findings came from a report on examination which stated more broadly, ``We remain concerned with the number of underwriting exceptions and with issues that evidence lack of compliance with bank policy.'' ``The level of deficiencies, if left unchecked, could erode the credit quality of the portfolio. Our concerns are increased with the risk profile of the profile is considered, including concentrations in Option ARM loans to higher-risk borrowers, in low and limited documentation loans, and loans with subprime or higher-risk characteristics.'' Now, unfortunately, the level of deficiencies were left unchecked. In fact, those deficiencies continued to run rampant. Here is 2006. ``ontinuing weakness in . . . loan underwriting at Long Beach.'' ``Numerous instances of underwriter exceeding guidelines . . .  errors.'' Now 2007, ``oo much emphasis on loan production . . . at the expense of loan quality.'' ``ubprime underwriting practices remain less than satisfactory.'' ``nderwriting exceptions and errors remain above acceptable levels.'' And then, finally, in 2008, the year the bank failed, ``ot in compliance with the Interagency Guidance on Nontraditional Mortgages.'' ``High SFR  losses due in part to poor underwriting.'' ``ctions should have been taken sooner.'' Those are all OTS' observations about problems at WaMu year after year. In 2008, the year the bank collapsed, OTS said, ``ctions should have been taken sooner.'' Well, actions should have been taken sooner also by OTS. OTS raised the concerns listed on this chart with WaMu's top executives and board of directors for 5 straight years. Each year, WaMu promised to do better, but it did not, and OTS never took action to change that. At our Tuesday hearing, even WaMu officials expressed surprise at OTS' reluctance to act. WaMu's chief risk officer, Jim Vanasek, testified that, ``What I cannot explain is why the superiors in the agencies did not take a tougher tone with the bank given the degree of negative findings.'' Now, this is WaMu's own risk officer. ``There seemed to be a tolerance there or a political influence on senior management of those agencies that prevented them from taking a more active stance. By a more active stance,'' he said, ``I mean putting the bank under letters of agreement and forcing change.'' Mr. Vanasek's successor as chief risk officer at WaMu, Ron Cathcart, testified on Tuesday: ``The approach that the OTS took was much more light-handed than I was used to. It seemed as if the regulator was prepared to allow the bank to work through its problems and had a higher degree of tolerance than I had seen with other regulators.'' Now, regulations work best when regulators stay at arm's length from those that they regulate. But too often in this case, WaMu's regulators were not at arm's length. They were arm in arm. Over time OTS allowed Washington Mutual and Long Beach to load up on risk and engage in a host of unsafe and unsound practices. This chart, which is Exhibit 1b,\1\ lists some of them: targeting high-risk borrowers; steering borrowers to higher-risk home loans; offering teaser rates, interest-only, and negative amortizing loans; not verifying income; offering higher pay for making higher-risk home loans--that is, to their staff. That is just a few that I have read.  \1\ See Exhibit No. 1b, which appears in the Appendix on page 198.  Now, the documents show that more than one OTS examiner expressed misgivings about these lending practices but never got the support of OTS management to end them. One WaMu examiner wrote that stated income loans--those are loans in which borrowers state their income without any verification-- were ``a flawed product that can't be fixed and never should have been allowed in the first place.'' Another OTS examiner tried to object to so-called no income and no assets (NINA) loans. That means loans in which there is no income and no assets numbers required to be provided by the borrower. An OTS policy official agreed, writing in a 2007 email that NINA loans are ``collateral dependent'' lending and deemed unsafe and unsound by all the agencies. But the OTS West Region dismissed that analysis, allowing NINA loans, and called the OTS policy official a ``Lone Ranger.'' Still another example involves Washington Mutual's flagship product, the Option Adjustable Rate Mortgage. WaMu engaged in a host of shoddy lending practices that vastly increased the risks associated with its Option ARMs, such as permitting virtually every Option ARM borrower to make minimum payments which resulted in negatively amortizing loans in which the loan principal actually increased over time. Washington Mutual relied on rising house prices and refinancing to avoid payment shock and loan defaults. For years, OTS said that WaMu should reduce the increased risks while watching the bank originate $30 to $60 billion or more on Option ARMs each year. It never took action to enforce its judgment. In 2004, OTS found that WaMu's incentive compensation for loan officers failed to provide any money for loan quality. Volume and speed were king, and loan officers got paid more money for more risk. OTS recommended that WaMu ``enhance its system to emphasize loan quality'' and closed the finding based on WaMu's promise to redesign its pay system. In 2005, OTS discovered that WaMu had not changed its compensation plan and again asked the bank to fix it. Well, 2008 came and WaMu discovered rampant fraud at one of its top loan producing offices, and its own staff faulted pay incentives that put loan speed before loan quality. In 4 years, WaMu had not fixed the problem. OTS had multiple enforcement tools to force change at WaMu. It could have required, for example, private board resolution or a public memorandum of understanding. It could have imposed a monetary fine or issued a cease-and-desist order. But OTS did not take any of those steps. It acted like a spectator, chronicling the bank's failures rather than preventing them. OTS did not take enforcement action on its criticisms of the bank until 2008, which is the year that WaMu failed. Why was OTS so reluctant to act? Well, a 2007 email by OTS Director John Reich, Exhibit 78,\1\ supplies part of the answer. He wrote to his staff, ``Kerry Killinger, the CEO of Washington Mutual (WaMu) will be in town Friday and wants to have a lunch meeting. He is my largest constituent. . . .''  \1\ See Exhibit No. 78, which appears in the Appendix on page 477.  OTS viewed WaMu as its constituent, losing sight of the fact that OTS' real constituents were not the banks that it oversaw but the American people that it was supposed to protect from unsafe and unsound banking practices. A 2005 email by the OTS examiner-in-charge at Washington Mutual is also telling. The examiner-in-charge wrote to his bosses, ``his is just one of several symptoms of the ongoing broader problem of getting their house in order from an underwriting standpoint. It has been hard for us to justify doing much more than constantly nagging--OK, `chastising'-- through ROE on examination and meetings, since they have not been really adversely impacted in terms of losses.'' Think about that. The WaMu bank examiner felt he could not do more than nag the bank unless WaMu was losing money. The OTS Handbook, by the way, states explicitly that losses are not necessary for an examiner to take action, but the OTS examiner saw himself not just as a civil servant enforcing the law and protecting the banking system but as a nag. Still another part of the answer may be that WaMu was OTS' largest bank and supplied the largest amount of fees of any bank. WaMu's downfall began in 2006 when the value of its subprime loans began falling. In July 2007, after two credit rating agencies suddenly downgraded hundreds of subprime mortgage-backed securities, the subprime market froze and banks like WaMu were left holding billions of dollars of suddenly unmarketable home loans. The value of those assets began plummeting. Washington Mutual recorded a $1 billion loss in the fourth quarter of 2007 and another $1 billion loss in the first quarter of 2008. Finally, in late February 2008, OTS downgraded the bank from a 2 to a 3 so-called ``capital, asset quality, management, earnings, liquidity, and sensitivity'' (CAMELS) rating. Now the CAMELS rating system is used by all the Federal bank regulators to rate the safety and soundness of financial institutions and measures capital, asset quality, management, earnings, liquidity, and sensitivity to market risk. It uses a scale of 1 to 5, with 1 being the best rating and 5 the worst. The ratings are normally not made public. Washington Mutual had a 2 rating for many years, which signifies a fundamentally sound bank. Once OTS assigned the 3 rating, which signifies a troubled bank, OTS policy required it to issue a public memorandum of understanding at the same time to correct the bank's deficiencies. But OTS inexplicably did not. Instead, OTS waited until the next month and accepted a non-public board resolution in which WaMu's board promised to fix problems but provided no specific plans or deadlines for doing so. It was a kid-gloves approach that made absolutely no sense given the bank's problems, the intensifying financial crisis, and OTS' own policy. In the meantime, the FDIC expressed increasing concerns about the bank with its internal Large Insured Deposit Institution (LIDI) reports showing the bank to be deteriorating. FDIC told the OTS that the bank should consider an outside purchaser. In March 2008, WaMu invited potential buyers to the bank to review its internal data. In April, WaMu announced it had lost another $3.2 billion in the second quarter. JPMorgan Chase made an offer to buy the bank, but WaMu turned it down after raising $7 billion in capital to reassure the market. In July 2008, IndyMac, another high-risk thrift on the West Coast, closed its doors. WaMu's large depositors, fearing a similar fate at Washington Mutual, withdrew about $9 billion in a quiet run on the bank. Two months later, on September 15, 2008, Lehman Brothers declared bankruptcy, and over the next 8 days WaMu depositors withdrew another $17 billion from the bank, triggering a liquidity crisis. On September 7, 2008, OTS took its first formal enforcement action against the bank, but it was way too little too late. After more than a month of trying to persuade OTS that WaMu should be downgraded to a 4 rating, the FDIC independently downgraded the bank on September 18, and OTS reluctantly followed suit that same day. By then the FDIC was contemplating whether the $300 billion thrift, if it failed, might exhaust the entire Federal Deposit Insurance Fund, which then contained a total of about $45 billion. On September 25, 2008, due to the bank's intensifying liquidity problems, the regulators finally pulled the plug. They felt the bank could not even make it to the end of the week, as their usual practice, instead moved on a Thursday. OTS closed Washington Mutual and appointed the FDIC as its receiver. That same day, the FDIC sold the bank's assets and deposits to JPMorgan Chase for about $1.9 billion. Critics complain that WaMu should not have been shut down, that it should have received a taxpayer bailout under the TARP program, emergency lending from the Federal Reserve, and SEC protection from short selling. Our focus, however, here is not on the regulators' decision to close the bank, but on how regulators let the bank deteriorate to the point where its failure threatened to bust the Deposit Insurance Fund. The fact is that our bank regulators failed us. OTS failed to stop Washington Mutual from engaging in high-risk lending practices that created a mortgage time bomb. It failed to force the bank to correct years-long deficiencies. It failed to cooperate with efforts by the FDIC to evaluate the bank's operations. And it failed to stop the bank from sending toxic mortgages into the financial system and poisoning the secondary market. These failures were not limited to Washington Mutual but were symptomatic of sectorwide failures that played a major role in the 2008 financial crisis. The Washington Mutual case history makes it clear that OTS had bought into the view that as long as Washington Mutual was profitable, the bank could continue its high-risk lending strategy. OTS management saw no reason to tighten lending standards even after its fellow regulators decided to issue joint guidance to strengthen lending standards for so-called nontraditional mortgages. OTS argued against strong restrictions, noting internally that they needed to go ``on the offensive'' to stop them, and then presenting data supplied by WaMu showing how stronger lending standards would reduce the bank's business. The guidance was promulgated by all the banking regulators in October 2006. Other agencies told their financial institutions to comply promptly, but OTS did not. In 2007, when the FDIC asked OTS to review WaMu loan files to evaluate its compliance with the guidance, OTS refused and disclosed it was giving its thrifts more time to comply. Meanwhile, WaMu had calculated that complying with the guidance would reduce its loan volume by 33 percent because fewer borrowers would qualify for loans. In an email to colleagues, WaMu's chief risk officer argued ``in favor of holding off on implementation until required to act for public relations or regulatory reasons.'' By the time OTS made the guidance effective for its thrifts, the subprime secondary market had frozen and WaMu's loan originations had already dropped. At the same time the documents show that OTS' reluctance to say no to WaMu, they show that OTS did have a backbone when it came to saying no to a fellow regulator. For many years, OTS and FDIC had shared a cooperative relationship in regulating Washington Mutual. In 2006, however, OTS practices abruptly changed. The West Region director told his staff, ``The message was crystal clear today: absolutely no FDIC participation on any OTS 1 and 2 rated exams.'' Since WaMu had a 2 rating, OTS rejected the FDIC's request to participate in a WaMu exam. OTS went further. It actually impeded FDIC's examination efforts. It denied the FDIC examiner access to WaMu data, refused for several months to assign him space on site at the bank, and rejected his request to review bank loan files. When the FDIC urged OTS to lower WaMu's rating, OTS resisted. OTS fought this turf war at the same time the largest financial institution it was supposed to regulate was losing value, capital, and deposits. Now, OTS also took a narrow view of its responsibility to the U.S. banking system as a whole. The documents show that OTS allowed Washington Mutual to engage in high-risk lending in part because the bank did not plan to keep the high-risk loans on its books, but sold them into the marketplace. OTS never considered how dumping billions of dollars in toxic mortgages into the stream of commerce would weaken the financial system and even come back to harm its own institutions. One OTS examiner commented on the agency's approach in a 2008 email as follows: ``We were satisfied that the loans were originated for sale. SEC and Fed were asleep at the switch with the securitization and repackaging of the cash flows, irrespective of who they were selling to.'' OTS examiners knew that Washington Mutual and Long Beach were notorious for selling bad loans. As early as 2005, an OTS examiner sent an email to colleagues with this description of Long Beach's mortgage-backed securities:\1\ ``ssues prior to 2003 have horrible performance. LBMC finished in the top 12 worst annualized NCLs  in 1997 and 1999 thru 2003. . . . At 2/05, LBMC was #1 with a 12% delinquency rate. Industry was around 8.25%.'' Yet OTS took no steps to require Long Beach or Washington Mutual to clean up their securitizations or the bad loans underlying them. OTS just did not see it as part of its job, even while the flood of those toxic mortgages was slowly poisoning the secondary markets, leading to their collapse in the financial crisis of 2008.  \1\ See Exhibit No. 19, which appears in the Appendix on page 277.  Finally, our bank regulators were not blind to the problems building up in the mortgage banking system. They knew. Instead of getting in the game, they sat on the bench. OTS in particular did not act on what it knew. It appeared to have been too close to the banks that it oversaw. The bottom line is that OTS never said no to any of the high-risk lending or shoddy lending practices that came to undermine WaMu's portfolio, its stock price, its depositor base, and its reputation. The result was a bank failure, a financial system that it helped to poison with toxic mortgages, and an economic meltdown. Today we are examining what happened in this case history. The question for Congress is: How do we strengthen our regulatory culture? On that somber note, I turn to my Ranking Member, Senator Coburn, for his insights, and I thank him again and his staff for their great support in this investigation. Dr. Coburn. "
"OPENING STATEMENT OF SENATOR COBURN"," "
"Senator Coburn","Well, Mr. Chairman, thank you for the great work the Subcommittee staff in a bipartisan way have done on this. I will summarize my thoughts about this so that we can get to business, and then I have a comment that I think we ought to pay attention to, because what we heard from your testimony is that regulators are not necessarily any better than the virtuous banks that they have been regulating, because both WaMu and OTS, by the record we have established, failed miserably and motivations can be questioned on both of their parts. The story of Washington Mutual's relationship with OTS is a classic example of when a bank captures its regulator rather than a regulator doing its job. OTS had done over 31,000 examination hours at WaMu, the equivalent of 15 full-time employees per year. The institution was not lacking in Federal regulators. Between 2003 and 2008, 545 separate findings of problems with WaMu were discovered and noted. Forty-one percent of those were still outstanding at the time of WaMu's failure. OTS noted weak risk management and poor underwriting in 2003. They never even took one informal enforcement action against WaMu until 2008, and that was only after experiencing losses on the products. And they never took a formal enforcement action against WaMu. OTS is the primary regulator of 780 thrifts with assets of $1.07 trillion and approximately 452 thrift holding companies with assets of $5.5 trillion. OTS budget is derived from the fees it is charging its banks. WaMu was, by far, OTS' largest regulated thrift, $330 billion, during the time in question. The lesson of OTS is not that we necessarily need more regulators, because clearly regulators can suffer the same flaws as banks--selfishness, shortsightedness, ineffectiveness. We need better incentives for both good investments and good regulation. Now, the questions that need to be raised. Where was the Congress in looking at OTS? What was the last time Congress did an oversight hearing on the effectiveness of the OTS or the FDIC prior to this downfall? You see, next week, we are going to put a financial reform bill on the floor and we won't have even completed these hearings until April 27, which are critical to understanding what is going on. We have asked a formal commission, for which we are spending a lot of taxpayer money, to give us a report on what happened with the bank failures and the run and the economic collapse that we experienced, and its report isn't even done until 8 months from now. I would put forward that we are about to make the same mistakes that we are claiming and accusing those that are coming before us of. So with that, Mr. Chairman, I look forward to hearing what our witnesses have to say. I will be in and out because of an ongoing Judiciary hearing at the same time and appreciate again the work that you have done and the other staff."
"Senator Levin","Thank you very much, Senator Coburn. Let me call on Senator Kaufman, who we are so delighted to have with us here on this Subcommittee."
"Senator Kaufman","I think the two of you have pretty well summed up the problem and I am really looking forward to the testimony and the questions and answers, so I pass."
"Senator Levin","Thank you so much, Senator Kaufman. Now we call on our first panel of witnesses for this morning's hearing, Eric Thorson, the Inspector General at the Department of the Treasury, Jon Rymer, Inspector General of the Federal Deposit Insurance Corporation. Thank you both for being with us today and for your work. We look forward to your testimony. As you both know, pursuant to Rule 6, all witnesses who testify before this Subcommittee are required to be sworn, so we would ask you both to stand up and raise your right hand. Do you swear that the testimony that you are about to give will be the truth, the whole truth, and nothing but the truth, so help you, God?"
"Mr. Thorson","I do."
"Mr. Rymer","I do."
"Senator Levin","Thank you very much. We will be using a timing system, so that a minute before the red light comes on, you will see the lights change from green to yellow, giving you an opportunity to conclude your remarks. Your written testimony will be printed in the record in its entirety. We would hope that you would attempt to limit your oral testimony to 5 minutes, and I think, Mr. Thorson, we are going to have you go first and then Mr. Rymer. "
"TESTIMONY OF HON. ERIC M. THORSON,\1\ INSPECTOR GENERAL, U.S. DEPARTMENT OF THE TREASURY"," "
