Speaker,Speech,Type,Comments
"Senator Levin","Good morning, everybody. Today's hearing is the third in a series of Subcommittee hearings focusing on some of the causes and consequences of the 2008 financial crisis, a man-made economic assault on our country that is still foreclosing on homes, shuttering businesses, and driving unemployment. We saw the beginning of the assault in our first two hearings, which examined how U.S. financial institutions turned to high-risk lending strategies to earn quick profits, dumping hundreds of billions of dollars in toxic mortgages into the financial system, like polluters dumping poison upstream in a river. At the second hearing, we showed how regulators saw what was going on, understood the risk, but sat on their hands or fought each other rather than stand up to the banks which were profiting from the pollution. Those toxic mortgages were scooped up by Wall Street firms that bottled them in complex financial instruments and turned to the credit rating agencies to get a label declaring them to be safe, low-risk, investment-grade securities. Today, we are focusing on the role played by the credit rating agencies. Next week, we will look at the last stage of the economic assault, when Wall Street investment bankers magnified and spread the risk posed by toxic mortgages through the use of complex structured finance transactions. For a hundred years, Main Street investors trusted U.S. credit rating agencies to guide them toward safe investments. Even sophisticated investors, like pension funds, municipalities, insurance companies, and university endowments, have relied on credit ratings to protect them from Wall Street excesses and distinguish between safe and risky investments. But now that trust has been broken. We have used as case histories the two biggest credit rating agencies in the United States, Moody's and Standard & Poor's, and the ratings they gave to the key financial instruments that fueled the financial crisis--residential mortgage backed securities (RMBSs), and collateralized debt obligations (CDOs). The Subcommittee investigation found that those credit rating agencies allowed Wall Street to impact their analysis, their independence, and their reputation for reliability. And they did it for the money. This chart, Exhibit 1g,\1\ shows that from 2002 to 2007, the three top credit rating agencies doubled their revenues, from less than $3 billion to over $6 billion per year. Most of this increase came from rating complex financial instruments. According to Standard & Poor's, between 2000 and 2006, investment banks underwrote nearly $2 trillion in mortgage- backed securities, $435 billion or 36 percent of which were backed by subprime mortgages. All of those securities needed ratings. Moody's and S&P each rated about 10,000 RMBS securities over the course of 2006 and 2007. Credit rating executives got paid Wall Street-sized salaries. \1\ See Exhibit No. 1g, which appears in the Appendix on page 242. At the same time, the credit rating agencies were operating with an inherent conflict of interest, because the revenues they pocketed came from the companies whose securities they rated. It is like one of the parties in court paying the judge's salary or one of the teams in a competition paying the salary of the referee. The credit rating agencies assured Congress and the investing public that they could ``manage'' that conflict and that their ratings were independent and rigorous. But the documents tell a different story. First, some background. Credit ratings assess the creditworthiness of a particular financial instrument like a corporate bond, mortgage-backed security, or CDO. Essentially, they predict the likelihood that the debt will be repaid. We have all heard of AAA ratings, which are at the top of the credit rating scale and are supposed to designate the safest investments. The ratings below that, which range from AA down to C, designate investments at greater risk of default. Investments with AAA ratings have historically had an expected loss rate of less than 0.05 percent, while the expected loss rate for BBB investments is under 1 percent. That is why financial instruments with AAA through BBB ratings are generally called ``investment grade,'' while those with ratings of BBB or Baa3 or below are referred to as ``below investment grade'' or sometimes ``junk'' investments. A variety of U.S. laws and regulations rely on credit ratings to gauge risk. For example, the amount of risk-based capital that a bank must hold is determined in part by the credit ratings of its investments. Some investors, like pension funds, are barred from holding below-investment-grade assets. Because so many statutes and regulations reference ratings, issuers of securities and other financial instruments work hard to obtain favorable credit ratings to ensure more investors can buy their products. Over the last 10 years, Wall Street has engineered ever more complex financial instruments for sale to investors. Because these so-called structured finance products are so hard to understand, investors often place heavy reliance on credit ratings to determine whether they can or should buy them. Residential mortgage-backed securities (RMBSs), are one of the oldest types of structured finance. To create these securities, issuers bundle up large numbers of home mortgages into a pool, figure out the total revenue coming into the pool from all the mortgages, and then design a ``waterfall'' that assigns portions of the total incoming revenue to what are called ``tranches.'' Tranches are not collections of mortgages; they are simply recipients of income from the waterfall of mortgage payments coming into the pool. Each tranche is used to issue a mortgaged-backed security that receives a credit rating and is then sold to investors. The tranches that are first in line to receive revenues represent the safest investments in the pool and are designed to get AAA ratings. Tranches lower down the line get their revenues only after the more senior tranches are paid, and their securities get lower credit ratings. Wall Street did not stop there. They collected securities from RMBS transactions, put those into a pool, and resecuritized them into what are called collateralized debt obligations (CDOs). A CDO might contain, for example, BBB-rated securities from 100 different residential mortgage pools. CDOs often also contain other types of assets, such as corporate bonds or credit default swaps. Wall Street firms also created so-called synthetic CDOs which did not contain actual assets but simply referenced them. Like RMBS mortgage pools, CDOs were sliced and diced into tranches and the resulting tranches used to create securities. The securities were rated--some AAA--and then sold to investors. In exchange for large fees, Wall Street firms helped design the RMBS and CDO securities, worked with the credit rating agencies to obtain favorable ratings, and then sold the securities. Without credit ratings, Wall Street would have had a much harder time selling those products because each investor would have had to rely on themselves to figure them out. Credit ratings helped make the sales possible by labeling certain investments as safe, using their trademark AAA ratings. Wall Street firms also used financial engineering to combine AAA ratings--normally reserved for ultra-safe investments--with riskier securities, such as RMBS securities backed by high-risk mortgages. Because the underlying mortgages were high risk, those RMBS securities paid out a higher rate of return than safer loans. When those higher-paying securities also got AAA ratings, investors snapped them up. For a while, everyone made money: banks and mortgage brokers got rich selling high risk loans, Wall Street investment banks earned big fees creating and selling mortgage- based securities, and investors profited from the higher returns. But those AAA ratings created a false sense of security. High-risk RMBS and CDOs turned out not to be safe investments. We heard in our first hearing how many of the high-risk mortgages backing those securities were riddled with poor- quality loans, contained fraudulent borrower information, or depended upon borrowers being able to refinance their loans before higher loan payments kicked in. When housing prices stopped climbing and many borrowers could no longer refinance their loans, delinquency rates skyrocketed. RMBS and CDO securities rated as investment grade began incurring losses and were sharply downgraded. For example, take a CDO known as Vertical ABS CDO 2007-1. In early 2007, UBS, which is a major bank, asked Standard & Poor's and Moody's to rate this CDO. The UBS banker, however, failed to cooperate with the analysts. One S&P analyst wrote in an email to colleagues: ``Don't see why we have to tolerate lack of cooperation. Deals likely not to perform.'' That is Exhibit 94b.\1\ \1\ See Exhibit No. 94b, which appears in the Appendix on page 599. Despite the analyst's judgment that the CDO was unlikely to perform, Standard & Poor's rated it anyway. So did Moody's. In April 2007, both agencies gave AAA ratings to the CDO's top four tranches. But just 6 months later, both agencies downgraded the CDO, which later collapsed. One of the purchasers, a hedge fund called Pursuit Partners, sued over the CDO's quick demise. Standard & Poor's and Moody's were dropped from the lawsuit since current law does not authorize private lawsuits against them even for reckless or unreasonable ratings, but the court ordered UBS to set aside $35 million for a possible award to the investor. The legal pleadings included internal emails at UBS referring to the supposedly investment- grade Vertical securities as ``crap'' at the same time the bank was selling them. Take another example. In January 2007, S&P was asked to rate an RMBS being assembled by Goldman Sachs using subprime loans from Fremont Investment and Loan, a subprime lender known for loans with high rates of delinquency. On January 24, 2007, an analyst wrote seeking advice from two senior analysts: ``I have a Goldman deal with subprime Fremont collateral. Since Fremont collateral has been performing not so good, is there anything special I should be aware of?'' One of the analysts responded: ``No, we don't treat their collateral any differently.'' And the other analyst asked a question: ``Are the FICO scores current?'' Answer: ``Yup,'' came the reply. Then, ``You are good to go.'' In other words, the analyst did not have to factor in any greater credit risk for an issuer known for poor-quality loans, even though 3 weeks earlier S&P analysts had circulated an article about how Fremont had severed ties with 8,000 brokers due to loans with some of the highest delinquency rates in the industry coming from those brokers. In the spring of 2007, Moody's and Standard & Poor's provided AAA ratings for five tranches of RMBS securities backed by Fremont mortgages. By October, both companies began downgrading the CDO. Today all five AAA tranches have been downgraded to junk status. Now, those are just two examples of securities given AAA ratings that turned out not to be worth the paper that they were written on. And there are many more. In fact, throughout 2006 and 2007, the toxic mortgages flooding the financial markets began going bad in record numbers. Delinquency rates skyrocketed. It became more and more apparent that the investment grade ratings given to subprime RMBS securities could not hold. Finally, in July 2007, within days of each other, Moody's and Standard & Poor's announced mass downgrades of hundreds of subprime mortgage-backed securities. The mass downgrades shocked financial markets, and the subprime secondary market dried up overnight. Banks, securities firms, pension funds, and others were left holding billions of dollars of suddenly unmarketable securities. The value of those securities began dropping like a stone, and the financial crisis was on. Two months later, in October, Moody's began downgrading over $10 billion of CDOs. On January 30, 2008, Standard & Poor's downgraded over 8,000 securities, including 6,300 RMBS and 1,900 CDO securities, an unprecedented onslaught of downgrades. The CDO market, like the RMBS market, evaporated. Financial firms around the world were suddenly stuck with even more unmarketable securities, and by September 2008, major global financial institutions like Lehman Brothers, AIG, Citibank, Goldman Sachs, and Morgan Stanley were either bailed out, bankrupt, or struggling. Looking back, if any single event can be identified as the immediate trigger of the 2008 financial crisis, my vote would be for the mass downgrades starting in July 2007, when the credit rating agencies realized that their AAA ratings would not hold, and finally stopped labeling toxic mortgages as safe investments. Those mass downgrades hit the markets like a hammer, making it clear the investment grade ratings had been a colossal mistake. This chart, Exhibit 1i,\1\ shows just how big a mistake it was. It shows that 91 percent of the AAA subprime RMBS securities issued in 2007 and 93 percent of those issued in 2006 have since been downgraded to junk status. The numbers for Option ARM mortgages are even worse. Option ARMs, which we examined at our first hearing on Washington Mutual Bank, allow borrowers to pick from several types of payments each month, including a ``minimum payment'' that results in a growing, rather than declining, loan balance. The chart shows that 97 percent of the Option ARM securities issued in 2006 and 2007 are now in junk status. \1\ See Exhibit No. 1i, which appears in the Appendix on page 244. Had the credit rating agencies taken more care in handing out their initial ratings or had they issued downgrades in a more responsible manner, they could have reduced the impact of the toxic mortgages. But they did not, and there are a whole host of reasons why. First, let us talk about the credit rating models. Credit rating agencies use complex mathematical models to predict foreclosure rates for mortgages which, in turn, are critical to determine the ratings for mortgage-backed securities. The key problem was that the mortgage industry had changed drastically in the last 10 years. High-risk mortgages like subprime, interest-only, Option ARMs, and hybrids became widespread, displacing traditional, low-risk, 30-year fixed-rate mortgages. The credit rating agencies simply did not have data on how these higher-risk mortgages would perform over time. Traditional 30-year fixed-rate mortgages had default rates of 1 to 2 percent; the higher-risk mortgages were expected to have higher default rates, but no one knew how high. With very little data, the credit rating agencies made assumptions in their models that turned out to be way wrong. Moody's and S&P knew their modeling assumptions were wrong and began revising their models. In the summer of 2005, S&P had revamped its CDO model, but put the model on hold for more than a year, as it struggled to rationalize why it would not use the new model to retest existing CDO securities. It is clear from over a year of internal emails that S&P delayed and delayed the decision, anticipating that the revised model would require existing CDO securities to be downgraded, disrupt the CDO market, and reduce public confidence in its CDO ratings. It would also have disrupted S&P profits from CDO ratings. In July 2006, S&P made a major change to its RMBS rating model, but decided not to retest existing RMBS securities. The revised RMBS model projected much higher default rates for high-risk mortgages and required greater protections against loss, including 40 percent more credit protection for BBB- graded subprime securities. That meant a 40-percent larger cushion to protect against losses. Re-evaluating existing RMBS securities with the revised model would likely have led to downgrades, angry issuers, and even angrier investors, so S&P did not do it. Moody's did not either; after strengthening its RMBS model to issue new ratings, it chose not to apply it to existing securities. Recently, S&P has adopted a policy requiring retesting of rated securities within 1 year of a model change. A second reason the credit rating agencies did not blow the whistle sooner on poorly performing RMBS and CDO securities was competition. The drive for market share and the revenues from increased volumes of ratings created pressure on both agencies to provide favorable credit ratings to the investment bankers bringing in business. A 1995 article captures how the credit agencies used to operate. A journalist wrote: ``Ask a treasurer for his opinion of rating agencies, and he will probably rank them somewhere between a trip to the dentist and an IRS audit. You cannot control them, and you cannot escape them.'' Well, all that changed as the revenues from structured finance ratings came pouring in. Ratings and fees began to be played off against each other. For example, after a Moody's analyst emailed that he could not finalize a rating until the issue of fees was resolved, an investment banker from Merrill Lynch responded: ``We are okay with the revised fee schedule for this transaction. We are agreeing to this under the assumption that this will not be a precedent for any future deals and that you will work with us further on this transaction to try and get to some middle ground with respect to the ratings.''\1\ Now, Moody's assured the Merrill analyst that its deal analysis was independent from its fees. Nonetheless, that is what Merrill was asking for. \1\ See Exhibit No. 23, which appears in the Appendix on page 315. In another email, an S&P analyst commented: ``Version 6.0 could've been released months ago and resources assigned elsewhere if we didn't have to massage the sub-prime and Alt-A numbers to preserve market share.''\1\ Some witnesses here today will describe how the environment changed from an academic culture focused on accurate ratings to one of intense pressure to get the deals done and preserve market share. \1\ See Exhibit No. 5, which appears in the Appendix on page 258. The documents also show how the crushing volume of ratings undermined the ratings process. Despite record profits, both credit rating agencies were understaffed and overwhelmed with complex deals that investment bankers wanted to close within days. The documents show how investment bankers argued with the credit rating analysts, substituted worse assets at the last minute, and pressured analysts to waive their procedures and standards. We even saw instances of bankers pushing to remove analysts who were not playing ball. And at times, analysts who resisted banker demands or challenged ratings were restricted from rating deals. A focus on short-term profits also permeated the industry. One of the witnesses here today will describe how when he once questioned a banker about the terms of a deal, the banker replied, ``IBG-YBG.'' When asked what that meant, the banker explained, ``I'll be gone, you'll be gone.'' In other words, why give me a hard time when we are both making a lot of money and will be long gone before the house of cards comes crashing down? In addition to inaccurate models and competitive pressures, the credit rating agencies failed to adjust their ratings to take into account credit risks from the fraud and lax underwriting standards that increasingly characterized the mortgages securitized and sold on Wall Street. In August 2006, an S&P employee wrote: ``here has been rampant appraisal and underwriting fraud in the industry for quite some time as pressure has mounted to feed the origination machine.''\2\ In September 2006, another S&P employee wrote: ``I think it is telling us that underwriting fraud, appraisal fraud, and the general appetite for new product among originators is resulting in loans being made that should not be made.''\3\ A colleague responded that the head of the S&P Surveillance Group ``told me that broken down to loan level what she is seeing in losses is as bad as high 40's--low 50 percent. I would love to be able to publish a commentary with this data but maybe too much of a powder keg.'' Well, not taking into account mortgage fraud and lax underwriting standards did, indeed, turn into a powder keg, one that helped blow up the RMBS and CDO markets and triggered the 2008 financial crisis. \2\ See Exhibit No. 14, which appears in the Appendix on page 293. \3\ See Exhibit No. 1d, which appears in the Appendix on page 236. In the fall of 2007, Moody's CEO Ray McDaniel called a town hall meeting to talk to his employees after the mass downgrades that shut down the subprime market. ``What happened in 2004 and 2005,'' he said, ``is that our competition, Fitch & S&P, went nuts. Everything was investment grade. It really didn't matter . . . No one cared because the machine just kept going.''\1\ \1\ See Exhibit No. 98, which appears in the Appendix on page 684. A Moody's managing director later responded our ``errors make us look either incompetent at credit analysis, or like we sold our soul to the devil for revenue, or a little bit of both.'' He said, ``I would like more candor from senior management about our errors and how we will address them in the future.'' That is what we are calling for today as well: candor not only about what went wrong, but what can be done to prevent still another credit rating disaster in the future. The House and the Senate financial reform bills before Congress offer a number of measures to increase credit rating oversight. Both bills would, for example, eliminate the statutory prohibition on the SEC's evaluating rating models, though clearer language authorizing the SEC to set standards for credit rating models, methodologies, and criteria is, in my judgment, still needed. The bills would also beef up the SEC's enforcement authority toward credit rating agencies and subject the agencies to lawsuits by investors for reckless or unreasonable ratings. The bills should be further strengthened, in my judgment, by directing regulators to tackle the inherent conflicts of interest that arise when rating agencies are paid by the people that they rate. Our investigation provides strong support for better controls on credit rating agencies whose failures contributed to the economic damage still plaguing our country. One more matter. Yesterday, the Subcommittee was made aware of a longer version of an email that was included in the Exhibit Book as Exhibit 23. We were not aware of the longer version earlier when that book was put together, so we have added it to the book as Exhibit 23 Addendum. The emails show Merrill Lynch trying to make a direct link between the fees it paid and the ratings it would receive on a deal, but the longer email shows that Moody's told Merrill Lynch that its deal analysis was independent of any fee discussion. And that was surely a welcome response, but a very inappropriate request on the part of Merrill Lynch. My Ranking Member, Senator Coburn, had planned on being here today and had looked forward to it, but he was called away to matters in Oklahoma, so we will have to proceed without him. I do want to thank him and his staff again for their tremendous ongoing support of this investigation. I want to call on Senator Kaufman, who has also been a major supporter of what we are trying to do on this Subcommittee, and we are very grateful for his being on this Subcommittee and for that great participation. Senator Kaufman.",Speech,
"Senator Kaufman","Thank you, Mr. Chairman, and thank you for holding this hearing, and I thank the witnesses. Since this meltdown occurred, as I travel around, after concern about jobs, the single most concern is about what happened on Wall Street and what are we going to do about it. And I got to tell you that the most scorn is on the rating agencies. That may not be deserved, but that is where it is, the idea that, as the Chairman said, you had this incredible growth in revenues at the same time they were rating thousands of residential mortgage-backed securities AAA that now turn out to be junk. AAA to junk is just a hard thing for people to deal with. How can you miss so badly? The problem we are dealing with today is what happened, but really more important is what are we going to do about it? I think both are important. AAA will never mean again what it used to mean. I do not care what we do here. I do not care what happens. AAA will not mean what it used to mean because people are just beginning to determine the incredible conflict of interest the Chairman pointed out, and also the way that rating agencies have protected and the way they view their job, when you hear them talk about the fact that they really have no responsibility to the average investor out there. That is not their customer. The customers are the people that just does not go with people. People do not understand that. The problem is, outside of the great people that inhabit the United States, that the two greatest things that make this country great are democracy and our capital markets. That is what makes us great. And the credibility of our capital markets is in tatters. Now, fortunately, in the rest of the world, they have capital markets where you even take a greater chance in many cases to get involved. But I do not think that is beginning to be the perception. And the idea that the average person cannot use rating agencies to determine the quality of the product means very simply people will stop using the product. Our markets will no longer be credible. They have lost a lot of credibility already. If we do not deal with this, this is not something we are just going on as business as usual. I spend a lot of time in New York. I spent a lot of time with people in New York. They think, oh, well, over that, now we are on to the next thing. It is not going to be that way. This is not going to go on forever. Our markets, if we lose our credibility, not only have the folks on Wall Street lost an incredible business, not only the rating agencies an incredible business, but the United States of America has lost one of the keys to its success. So what the Chairman is doing here with these hearings is incredibly important if we are going to maintain the credibility of our U.S. markets. Thank you, Mr. Chairman.",Speech,
"Senator Levin","Thank you very much, Senator Kaufman. Now let me welcome our first panel of witnesses for this morning's hearing: Frank Raiter, Former Managing Director for Mortgage-Backed Securities at Standard & Poor's; Richard Michalek, Former Vice President and Senior Credit Officer for the Structured Derivative Products Group at Moody's; Eric Kolchinsky, a Former Team Managing Director of the Structured Derivative Products Group at Moody's Investors Service; and, finally, Dr. Arturo Cifuentes, a Former Moody's Senior Vice President and current Director of the Finance Center at the University of Chile in Santiago, Chile. We thank you for coming a great distance. Mr. Raiter, I understand that you are here under a subpoena, but I appreciate all of you being here, whether a subpoena was issued or not. We appreciate your being with us this morning. We look forward to your testimony. We have a rule on this Subcommittee that all witnesses who testify before the Subcommittee are required to be sworn, so at this time I would ask all of you to please stand and raise your right hand. Do you swear that the testimony you are about to give will be the truth, the whole truth, and nothing but the truth, so help you, God?",Speech,
"Mr. Raiter","I do.",Speech,
"Mr. Michalek","I do.",Speech,
"Mr. Kolchinsky","I do.",Speech,
"Mr. Cifuentes","I do.",Speech,
"Senator Levin","We have a timing system here that does the following: About a minute before the red light comes on, you will see the light change from green to yellow, which will give you an opportunity to conclude your remarks. Your written testimony will be printed in the record in its entirety. We would ask that you attempt to limit your oral testimony to no more than 5 minutes. Mr. Raiter, I think we will have you go first.",Speech,
"Mr. Raiter","Good morning, Senator Levin and Senator Kaufman. From 1995 until my retirement in 2005, I was the Managing Director and head of Residential Mortgage Ratings at Standard & Poor's. As such, I think I had an inside view of the role of rating agencies in the recent economic crisis. \1\ The prepared statement of Mr. Raiter appears in the Appendix on page 114. The failure of the major rating agencies--Fitch, Moody's and Standard & Poor's--to adequately assess the risks associated with new mortgage products introduced in the past decade is the result of several factors. The first was the lack of oversight of the rating agencies by the SEC and the various financial regulatory bodies that wrote regulations requiring ratings. The second was the impact these decisions had on management of the rating agencies. And the third factor was the disconnect between senior managers and the analytical managers responsible for assigning ratings. The final factor was the separation of the initial ratings process from the subsequent surveillance of performance of the rated bonds. The first factor, a lack of regulatory oversight, resulted from the failure of regulators to appreciate the unique position the rating agencies assumed in the financial markets. The rating agencies were granted their preferred status by the SEC. Other regulators followed suit and incorporated ratings into their investment and capital rules. There was no regulatory oversight nor were standards established to measure the performance or quality of ratings. The preferred position of the rating agencies led directly to the second factor. Management of the rating agencies came to believe that the increasing revenues and profits they were enjoying were the results of superior management skill and insight rather than the oligopoly granted them by the various regulators and the accommodative Federal Reserve interest rates. This success bred complacency and an aversion to change. This resistance to change was a primary cause of the failure of the ratings and the ultimate financial crisis. Analytical managers were driven by the desire to create and implement the best risk analytics and methodologies possible. Senior management, on the other hand, was focused on revenue, profit, and ultimately share price. Management wanted increased revenues and profit while analysts wanted more staff, data, and IT support which increased expenses and obviously reduced profit. In the Residential Mortgage Ratings Group, as in all the rating groups in structured finance, the analysts were responsible for both producing ratings and developing and maintaining ratings criteria. Balancing these two missions was a significant issue in the residential ratings group where revenues grew tenfold between 1995 and 2005, and rating volumes grew five- or six-fold without similar increases in staff. Rating production was achieved at the expense of maintaining criteria quality. Adequate staffing was not the only challenge faced in trying to maintain the quality of the rating process. The accuracy of the predictive models used to evaluate risk was also critical to the quality of the ratings. The version of LEVELS model developed in 1996 was based on a data set of approximately 250,000 loans. It was, I believe, the best model then used by a rating agency. As new models were programmed and tested, analysts continued to collect larger data sets for the next versions of the model. In late 2002 or early 2003, another version of the model was introduced based on approximately 650,000 loans. At the same time, a data set of approximately 2.8 million loans was collected for use in developing the next version of the model. By early 2004, preliminary analysis of this more inclusive data set and the resulting econometric equation was completed. That analysis suggested that the model in use was underestimating the risk of some Alt-A and subprime products. In spite of this research, the development of this model was postponed due to a lack of staff and IT resources. Adjustments to the model used in 2004, with the identified problems, were not made until March 2005. To my knowledge, this version of the model based on the 2.8 million loan data set was never implemented. The final condition contributing to the failure of the rating agencies was the separation of the initial ratings process from the subsequent surveillance of ratings performance. While the rating process utilized ever improving models, surveillance operated under their own criteria. At S&P, the manager of surveillance refused to use the ratings model in reviewing the performance of outstanding bonds. In fact, the resistance to ``re-rate'' bonds with each new model came from upper management. The concern was that ``re-rating'' outstanding deals with new information would significantly increase rating volatility and possibly result in lost revenue. By 2005, when adjustments were made to the model, it should have been intuitively obvious that some bonds rated in 2004 did not provide the necessary protection to support the assigned ratings. In conclusion, it is my opinion that if S&P had vigorously pushed to implement the version of the model based on the 2.8 million loan data set in late 2004 or early 2005, the economics of deals incorporating the lowest quality subprime and Alt-A loans would have disappeared. In addition, the riskiest transactions submitted for ratings in 2005, 2006, and 2007 would likewise have been assigned much higher enhancement requirements which might have made it unprofitable for lenders to make additional loans. If the surveillance department had ``re-rated'' existing deals each time ratings criteria were adjusted, transactions would have been put on Credit Watch or been downgraded in 2005 which would certainly have sent an early warning to investors and tempered their demand for similar bonds. This concludes my opening comments.",Statement,TESTIMONY OF FRANK L. RAITER,\1\ FORMER MANAGING DIRECTOR, RESIDENTIAL MORTGAGE RATING GROUP, STANDARD & POOR'S
"Senator Levin","Thank you very much. Mr. Michalek.",Speech,
