"Speaker","Speech"
"Senator Levin","Good morning, everybody. Our Permanent Subcommittee on Investigations will come to order. In the fall of 2008, America suffered a devastating economic assault. It left deep wounds. Millions lost their jobs; millions lost their homes. Good businesses shut down; financial markets froze. The stock market plummeted, and once valuable securities turned worthless. Storied financial firms teetered on the edge or went under. The contagion spread worldwide. And in October 2008, American taxpayers were hit with a $700 billion bailout of Wall Street. That bailout was a bitter pill to swallow, but it stanched the bleeding. The economy stabilized, and the Nation and the world began to recover. Nearly 2 years later, we are still recovering. As part of that recovery effort, we as a Nation need to understand what went wrong, try to hold perpetrators accountable, and fortify our defenses to ward off another such assault in the future. To rebuild our defenses, it is critical to understand that the recent financial crisis was not a natural disaster. It was a man-made economic assault. People did it. Extreme greed was the driving force, and it will happen again unless we change the rules. The Senate has a Subcommittee that is designed to do in- depth, bipartisan investigations into complex issues. It is the Permanent Subcommittee on Investigations, and in November 2008, we decided to devote our resources to an examination of some of the causes and consequences of the financial crisis which continues to this day. In the last year and a half, the Subcommittee has dug into the facts. To date, we have conducted over 100 interviews and depositions. We have consulted with dozens of government, academic, and private sector experts on a raft of banking, securities, financial, and legal issues. We have collected and initiated review of millions of pages of documents. Given the extent of the economic damage and the complexity of its root causes, the Subcommittee's approach has been to develop detailed case studies to examine each stage of the assault and lay bare key issues at the heart of the financial crisis. Today's hearing is the first in a series designed to examine the financial firms, the financial instruments, and the regulatory and market safeguards that failed us. We will hold four hearings over the next 2 weeks. Throughout, the hearings will examine the role of Wall Street and its use of complex financial instruments to transact business, from mortgage- backed securities to collateralized debt obligations (CDOs), structured investment vehicles, credit default swaps, and more. We will examine how high-risk investments displaced low-risk investments, even at taxpayer-insured banks; how securitizations and financial engineering ran wild; how synthetic investments trumped investments in the real economy; and how credit default swaps turned investing in America into gambling on the demise of one American company or another. We will explore why the regulators, the credit rating agencies, and the market itself failed to rein in the abuses. The goals of the Subcommittee hearings are threefold: to construct a public record of the facts in order to deepen public understanding of what happened and try to hold some of the perpetrators accountable; to inform the ongoing legislative debate about the need for strong financial reforms; and to provide a foundation for building better defenses to protect Main Street from the excesses of Wall Street. So let us start at the beginning with an overview, before we plunge into the specifics of today's hearing. Prior to the early 1970s, when someone wanted to buy a home, typically they went to their local bank or mortgage company, applied for a loan, and after providing detailed financial information and a downpayment, qualified for a 30- year fixed-rate mortgage. The local bank or mortgage company then commonly kept that mortgage until the homeowner paid it off 15 or 30 years later. Bank regulations required lenders to keep a certain amount of capital for the loans they issued, so there was a limit to how many home loans one bank could have on its books. Banks got the idea of selling the loans on their books to someone else. They made profit on the sales while getting fresh capital to make new loans to prospective borrowers. Better yet would be if they could sell the loans on their books in bulk in quick, efficient, and predictable ways. Wall Street came up with the mechanism of securitization. Lenders bundle up large numbers of home loans into a loan pool and calculate the amount of mortgage payments going into that pool from the borrowers. A shell corporation or trust is formed to hold the loan pool, and the revenue stream is used to create bonds called mortgage-backed securities that could be sold to investors. Wall Street firms helped design the loan pools and securities, worked with the credit rating agencies to obtain favorable ratings for the securities, and sold the securities to investors like pension funds, insurance companies, municipalities, university endowments, and hedge funds. For a while, securitization worked well, but at some point things got turned on their head. The fees that banks and Wall Street firms made from their securitization activities were so large that securitization ceased to be a means to keep capital flowing to housing markets and became an end in itself. Mortgages began to be produced for Wall Street instead of Main Street, and Wall Street bond traders sought more and more mortgages in order to generate fees for their companies and large bonuses for themselves. To satisfy Wall Street's growing appetite for mortgage- backed securities and to generate additional income for themselves, banks began to issue mortgages to not only well- qualified borrowers, but also high-risk borrowers. High-risk loans provided a new fuel for the securitization engines on Wall Street. Banks liked high-risk loans because they tended to generate higher fees and interest rates and produced more profits than low-risk loans. They could also be sold quickly, keeping the risk off the bank's books. Wall Street treated high interest rate loans like gold ore and were willing to pay more for them. Lenders began steering borrowers looking for a 30-year fixed mortgage to higher-risk loans instead, often using gimmicks like low initial teaser rates. Some lenders began qualifying borrowers if they could afford to pay a low initial rate rather than if they could pay the higher later rate, expanding the number of borrowers who could qualify for the loan. These practices also allowed borrowers to qualify for larger loans. When a borrower sought a bigger house, the loan officer or mortgage broker profited from higher fees and commissions, the bank profited from higher fees and a better price on the secondary market, and Wall Street profited from a larger yield to be sliced up and sold to investors for big fees. Volume and speed, as opposed to loan quality, became the keys to a profitable securitization business. Lenders that sold the loans they originated passed on the risk and so lost interest in whether the sold loans would be repaid. Even some purchasers lost interest in the creditworthiness of the securities they bought so long as they could purchase insurance in the form of credit default swaps that paid off if a mortgage-backed security defaulted. As long as home prices kept rising, the high-risk loans that became fuel for the securitization market posed few problems. Those who could not pay off their loans refinanced or sold their homes, and as Exhibit 1j \1\ shows--a chart which we will put up here--over the 10 years before the crisis hit, housing prices shot up faster than they had in decades. Those higher home prices were made possible in part by the high-risk loans that allowed borrowers to buy more house than they could really afford.  \1\ See Exhibit No. 1j, which appears in the Appendix on page 224.  Some who saw the housing bubble was going to burst made bets against existing mortgage-backed securities. They sold those securities short, even in some cases while selling the same securities to their customers. Some even made bets against mortgage-backed securities they did not own, using what are called naked credit default swaps. Wall Street made money hand over fist. But the party could not last, and we all know what happened. The housing bubble burst, and prices stopped climbing. Investors started having second thoughts about the mortgage-backed securities being churned out by Wall Street. In July 2007, two Bear Stearns offshore hedge funds specializing in mortgage-related securities suddenly collapsed. That same month, the credit rating agencies downgraded hundreds of subprime mortgage-backed securities, and the subprime market went cold. Banks, security firms, hedge funds, and other investors were left holding suddenly unmarketable mortgage- backed securities whose value was plummeting. The economic assault had begun. Banks and mortgage brokers began closing their doors. In January 2008, Countrywide Financial Corporation, a $100 billion thrift specializing in home loans, was seized by the Federal Deposit Insurance Corporation, the FDIC, and sold to the Bank of America. That same month, one credit rating agency downgraded nearly 7,000 mortgage-backed securities and CDOs, an unprecedented mass downgrade. In March 2008, as the financial crisis worsened, the Federal Reserve engineered the sale of Bear Stearns to JP Morgan Chase. In September 2008, in rapid succession, Lehman Brothers declared bankruptcy, AIG required an $85 billion taxpayer bailout, Fannie Mae and Freddie Mac were taken over by the government, and Goldman Sachs and Morgan Stanley converted to bank holding companies to gain access to Federal Reserve lending programs. A week later, on September 25, 2008, Washington Mutual Bank, a $300 billion thrift, then the sixth largest depository institution in America, was seized and sold to JP Morgan Chase. It was the largest bank failure in U.S. history. By then, hundreds of billions of dollars in toxic mortgages had been dumped into the financial system like polluters dumping poison into a river. The toxic mortgages polluted the river of commerce not upstream, but downstream, Wall Street bottled the polluted water, and rating agencies slapped an attractive label on each bottle, promising safe drinking water. Wall Street sold the bottles to investors. Regulators observed the whole sordid process but did little to stop it while profits poured into the participating banks and security firms. Investors the world over--pension funds, universities, municipalities, and more, not to mention millions of homeowners, small businesses, and U.S. taxpayers--are still paying the price and footing the cleanup bill. That is the big picture. Today we start to look at the individual pieces of that picture in order to deepen our understanding of what happened. We begin by shining a spotlight on the high-risk home loans and mortgage-backed securities that those loans produced, using as a case history the policies and practices of Washington Mutual Bank. This Friday, we will examine the banking regulators charged with ensuring the safety and soundness of the U.S. banking system, again using Washington Mutual as a case history. In the following two hearings, we will turn to the role of credit rating agencies, investment banks, and others. Washington Mutual Bank (WaMu), rose out of the ashes of the great Seattle fire to make its first home loan in 1890. For many years, it was a mid-sized thrift specializing in home mortgages. In the 1980s and 1990s, WaMu entered a period of rapid growth and acquisition, expanding until it became the Nation's largest thrift, with $188 billion in deposits and 43,000 employees. In 2003, its long-term CEO, Kerry Killinger, said he wanted WaMu to become the Walmart of banking, catering to middle- and lower-income Americans and helping the less well off buy homes. WaMu held itself out as a well-run, prudent bank that was a pillar of its community. But in 2005, WaMu formalized a strategy that it had already begun to implement--a movement from low-risk to high-risk home loans. That move to high-risk lending was motivated by three little words: ``gain on sale.'' Gain on sale is a measure of the profit made when a loan is sold on the secondary market. This chart, which we will put up over there, is taken from Exhibit 3 in the books.\1\ It shows a slide from an April 18, 2006, PowerPoint presentation entitled ``Shift to Higher Margin Products,'' which was given to the WaMu board of directors by the president of WaMu's Home Loans Division.  \1\ See Exhibit No. 3, which appears in the Appendix on page 278.  In the upper left, there is a box in that Exhibit 3 that lists the gain on sale for each type of loan that WaMu offers, and as you can see from this chart, the least profitable loans are government-backed and fixed loans. The most profitable are Option ARM, home equity, and subprime loans. Subprime at 150 basis points is eight times more profitable than a fixed loan at 19 basis points. Now, those numbers are not estimates or projections, by the way. They are the product of actual loan data collected by WaMu. WaMu traditionally had sold mortgages to well-qualified or prime borrowers. But in 1999, WaMu bought Long Beach Mortgage Company, LBMC, which was exclusively a subprime lender, lending to people whose credit histories did not support their getting a traditional mortgage. Long Beach operated by having third- party mortgage brokers bring proposed subprime loans to its doors, issuing financing to the borrower, and paying the brokers a fee. Even then, Long Beach made loans for the express purpose of packaging them, selling them to Wall Street and profiting from the gain on sale. In 2003, Long Beach made and securitized about $4.5 billion in home loans. By 2006, its loan operations had increased six- fold, and Long Beach's conveyor belt sent almost $30 billion in subprime home loans into the financial system. Subprime lending can be a responsible business. Most subprime borrowers pay their loans on time and in full. Long Beach, however, was not a responsible lender. Its loans and mortgage-backed securities were among the worst performing in the subprime industry. An internal email at WaMu's primary Federal regulator, the Office of Thrift Supervision (OTS), stated that Long Beach mortgage-backed securities ``prior to 2003 have horrible performance.''\1\ LBMC finished in the top 12 worst annualized net credit losses in 1997 and 1999 through 2003, and this email said LBMC, or Long Beach, ``nailed down the number 1 spot as top loser . . . in 2000 and placed third in 2001.''  \1\ See Exhibit No. 8a, which appears in the Appendix on page 388.  In 2003, things got so bad that WaMu's Legal Department put a stop to all Long Beach securitizations until the company cleaned up its act. An FDIC report noted at the time that of 4,000 Long Beach loans reviewed, less than one-quarter, about 950, could be sold to investors.\2\ Another 800 were unsalable, and the rest, over half of the loans, had deficiencies that had to be fixed before a sale could take place. Several months later, WaMu allowed Long Beach to start securitizing its loans again as well as selling them in bulk through what were called whole loan sales.  \2\ See Exhibit No. 8b, which appears in the Appendix on page 389.  In 2004, trouble erupted again. An internal WaMu audit of Long Beach found that ``relaxed credit guidelines, breakdowns in manual underwriting processes, and inexperienced subprime personnel. . . . coupled with a push to increase loan volume and the lack of an automatic fraud monitoring tool'' led to deteriorating in loan quality.\3\ Many of the loans defaulted within 3 months of being sold to investors. Investors demanded that Long Beach repurchase them. Long Beach had to repurchase over $875 million in loans in 2005 and 2006, lost over $107 million from the defaults, and had to cover a $75 million shortfall in its repurchase reserves.  \3\ See Exhibit No. 10, which appears in the Appendix on page 408.  In response, WaMu fired Long Beach's senior management and moved the company under the direct supervision of the president of its Home Loans Division, David Schneider. Washington Mutual promised its regulator that Long Beach would improve. But it did not. In 2008, WaMu's president, Steve Rotella, emailed the CEO, Kerry Killinger, that Long Beach's ``delinquencies are up 140% and foreclosures close to 70%. . . . It is ugly,'' he wrote.\4\ Five months later, in September, he emailed that Long Beach has ``epurchases, , manual underwriting, very weak servicing/collections practices and a weak staff.''\5\ Two months after that, in November 2006, the head of WaMu Capital Markets in New York, David Beck, wrote to Mr. Schneider that, `` paper is among the worst performing in the market. . . .''\6\  \4\ See Exhibit No. 11, which appears in the Appendix on page 414. \5\ See Exhibit No. 12, which appears in the Appendix on page 415. \6\ See Exhibit No. 50, which appears in the Appendix on page 670.  At the end of 2006, Long Beach saw another surge in early payment defaults. Mr. Schneider sent an email to his subordinates that, ``We are all rapidly losing credibility as a management team.''\1\ 2008 was no better. Audit after audit detailed problems. WaMu's chief risk officer, Ron Cathcart, forwarded an email from a colleague about Long Beach, noting ``Appraisal deficiencies . . . Material misrepresentations . . . Legal documents were missing or contained errors or discrepancies . . . loan decision errors . . . deterioration was accelerating in recent vintages with each vintage since 2002 having performed worse than the prior vintage.''\2\  \1\ See Exhibit No. 13a, which appears in the Appendix on page 418. \2\ See Exhibit No. 16, which appears in the Appendix on page 448.  In June 2007, WaMu shut down Long Beach as a separate entity and took over its subprime lending operations. It issued several subprime securitizations. The subprime market then froze in the fall of 2007, and WaMu ended all of its subprime lending. By then, as shown in this chart,\3\ from 2000 to 2007, Long Beach and WaMu together had securitized at least $77 billion in subprime loans.  \3\ See Exhibit No. 1c, which appears in the Appendix on page 214.  Today, although AAA-rated securities are supposed to be very safe with low default rates of 1 to 2 percent, Long Beach's mortgage-backed securities have loan delinquency rates of 20, 30, 40, and even 50 percent, meaning as much as half of their underlying loans have gone bad. Those are AAA-rated securities. Washington Mutual's problems were not confined to its subprime operations, and the chart that I referred to is going up now showing this huge, steep increase in securitizations of Washington Mutual and Long Beach subprime home loans through 2006. Then, of course, the bottom fell out in 2007. Washington Mutual's problems, as I indicated, were not confined to its subprime operations. In August 2007, more than a year before the collapse of the bank, WaMu's president, Steve Rotella, emailed CEO, Kerry Killinger, saying that aside from Long Beach, WaMu's prime business ``was the worst managed business I had seen in my career.''\4\  \4\ See Exhibit No. 79, which appears in the Appendix on page 793.  When Washington Mutual talked about its prime mortgage business, it used the term loosely. While the borrowers who received loans from WaMu's loan officers tended to have better credit scores than Long Beach's subprime borrowers, that was not always the case. WaMu loan officers routinely made very risky loans to people with below average credit scores. And just like at Long Beach, in WaMu's loan business volume was king. Loan officers got paid per loan and got paid more per loan if certain volume targets were met. Loan processors were given volume incentives as well as were entire loan processing centers. Even risk managers were evaluated in part on the extent to which they supported revenue growth targets. Loan officers also got paid more for closing high-risk loans than low-risk loans. Not surprisingly, people cut corners to keep the conveyor belt moving and increase their pay. For example, a April 2008 placement from a WaMu internal corporate fraud investigator states, ``One Sales Associate admitted that during the crunch time some of the Associates would `manufacture' asset statements from previous loan documents'' because the pressure was tremendous and they had been told to get the loans funded, ``whatever it took.'' \1\ Her words, ``whatever it took.''  \1\ See Exhibit No. 30, which appears in the Appendix on page 544.  In fact, WaMu personnel regularly identified fraud problems with its so-called prime loans, but the problems received little attention from management. Perhaps the most compelling evidence involves two top loan producers at two different WaMu offices called Montebello and Downey in Southern California. Each of those loan offices made hundreds of millions of dollars in home loans each year and consistently won recognition for their efforts. In 2005, an internal WaMu review found that loans from those two offices had ``an extremely high incidence of confirmed fraud.'' These are quotes: ``58 percent for Downey, 83 percent for Montebello.''\2\  \2\ See Exhibit No. 23b, which appear in the Appendix on page 511.  The review found that, ``virtually all of it''--and they are referring here now to confirmed fraud--``virtually all of it stemming from employees in these areas circumventing bank policy surrounding loan verification and review.'' \3\ The review went on: ``Based on the consistent and pervasive pattern of activity among these employees, we are recommending firm action be taken to address these particular willful behaviors on the part of the employees named.''  \3\ See Exhibit No. 22a, which appear in the Appendix on page 496.  That review had taken over a year to complete and was discussed with senior management at the bank, including Home Loans president, David Schneider, but virtually none of the proposed recommendations were implemented. The fraud problem was left to fester until 2 years later when, in June 2007, one of the bank's mortgage insurance companies refused to insure any more loans issued by the loan producer from the Montebello office and complained to WaMu's State and Federal regulators about fraudulent borrower information. WaMu then conducted another internal investigation, this one lasting 10 months. In April 2008, a WaMu audit and legal team produced an internal memorandum which at first WaMu tried to keep from its regulator, OTS. But the OTS examiner in charge demanded to see the memorandum, and it was eventually turned over. He told our staff that once he read it, he considered it ``the last straw'' that changed his view of how the bank dealt with fraud. The April 2008 memorandum, which is Exhibit 24,\4\ stated that employees at the Montebello Loan Center ``consistently described an environment where production volume rather than quality and corporate stewardship were the incented focus.'' At that loan center, 62 percent of the sampled loans from 2 months in 2007 contained misrepresentations and suspected loan fraud. The memorandum noted that similar levels of fraud had been uncovered at the same loan center in 2005, and that no action had been taken in response. The memorandum raised the question of whether the billions of dollars in loans from that center should be reviewed given the longstanding fraud problem and the fact that the loans may have been sold to investors. Those fraudulent loans, shocking in themselves, were symptomatic of a larger problem.  \4\ See Exhibit No. 24, which appears in the Appendix on page 515.  WaMu failed to ensure that its employees issued loans that met the bank's credit requirements. Report after report indicated that WaMu loan personnel often ignored the bank's credit standards. December 12, 2006, minutes from a WaMu Market Risk Committee stated, for example, ``elinquency behavior was flagged in October  for further review and analysis. . . . The primary factors contributing to increased delinquency appear to be caused by process issues including the sale and securitization''--sale and securitization--``of delinquent loans, loans not underwritten to standards, lower credit quality loans and seller services reporting false delinquent payment status.''\1\  \1\ See Exhibit No. 28, which appears in the Appendix on page 537.  A September 2008 review found that controls intended to prevent the sale of fraudulent loans to investors were ``not currently effective,'' and there was no ``systematic process to prevent a loan . . . confirmed to contain suspicious activity from being sold to an investor.''\2\ In other words, even where a loan was marked with a red flag indicating fraud, that did not stop the loan from being sold to investors. The 2008 review found that of 25 loans tested, ``11 reflected a sale date after the completion of the investigation which confirmed fraud'' and said ``there is evidence that this control weakness has existed for some time.''  \2\ See Exhibit No. 34, which appears in the Appendix on page 564.  Sales associates manufacturing documents, large numbers of loans that don't meet credit standards, offices issuing loans in which 58, 62, or 83 percent contained evidence of fraudulent borrower information, loans marked as containing fraud but then sold to investors anyway--those are massive, deep-seated problems, and they are problems that inside the bank were communicated to senior management but were not fixed. Now, WaMu's flagship mortgage product, the Option ARM, was also marked by shoddy lending practices. The Option ARM is an adjustable rate mortgage which typically allowed borrowers to pay an initial ``teaser rate,'' sometimes as low as 1 percent for the first month, and then imposed a much larger floating interest rate linked to an index. The option in the loan name refers to an arrangement which allowed borrowers to choose each month among four types of payments: payments that would pay off the loan in 15 or 30 years, an interest-only payment, or a minimum payment that did not cover even the interest owed, much less the principal. If the minimum payment options were chosen, the unpaid interest would be added to the loan's principal, causing the loan amount to increase rather than decrease over time. In other words, the borrower could make payments as required but still owe the bank more money on the principal each month. It was a negative amortizing loan. Option ARMs allowed borrowers to make very low minimum payments for a specified period of time, before being switched to higher payment amounts. Most borrowers chose the minimum payment option. After 5 years, or when the loan principal reached a specific amount of negative amortization, such as 110 or 115 or 125 percent of the original loan amount, whichever came first, the Option ARM would recast. The borrower would then be required to make the fully amortizing payment needed to pay off the loan within the remaining loan period. The required payment was typically much greater, often double the prior payment, causing payment shock and increasing loan defaults. WaMu was eager to steer borrowers to Option ARMs. Because of the gain from their sale, the loans were profitable for the bank, and because of the compensation incentives, they were profitable for mortgage brokers and loan officers. In 2003, WaMu held focus groups with borrowers, loan officers, and mortgage brokers to determine how to push that product. A 2003 report summarizing the focus group research stated, ``Few participants fully understood the Option ARM. . . . Participants generally chose an Option ARM because it was recommended to them by their loan consultant. . . . Only a couple of people had any idea how the interest rate on their loan was determined.''\1\  \1\ See Exhibit No. 35, which appears in the Appendix on page 569.  It said that while borrowers ``generally thought that negative amortization was a moderately or very bad concept,'' that perception could be turned around by mentioning ``that price appreciation would likely overcome any negative amortization.'' And the report stated, ``The best selling point for the Option ARM loan was  being shown how much lower their monthly payment would be . . . versus a fixed-rate loan.'' That year, 2003, WaMu originated $30 billion in Option ARMs. To increase Option ARM sales, WaMu increased the compensation paid to employees and outside mortgage brokers for the loans and allowed borrowers to qualify for the loan by evaluating whether those borrowers could pay a low or even the minimum amount available under the loan rather than the higher payments that would follow recast. In 2004, WaMu doubled its production of Option ARMs to more than $67 billion. WaMu loan officers told the Subcommittee that they expected the vast majority of Option ARM borrowers to sell or refinance their homes before their payments increased. As long as home prices were appreciating, most borrowers were able to refinance. Once housing prices stopped rising, however, refinancing became difficult. At recast, many people became stuck in homes they could not afford and began defaulting in record numbers. WaMu became one of the largest originators of those types of loans in the country. From 2006 until 2008, WaMu securitized or sold a majority of the Option ARMs it originated, infecting the financial system with these high-risk mortgages. Like Long Beach securitizations, WaMu Option ARM securitizations performed badly starting in 2006, with loan delinquency rates between 30 and 50 percent and rising. Destructive compensation schemes played a role in the problems just described. Hearing exhibits will show how Washington Mutual and Long Beach compensated their loan officers and processors for loan volume and speed over loan quality. Loan officers were also paid more for overcharging borrowers, obtaining higher interest rates or more points than called for in the loan pricing set out in the bank's rate sheets, and were paid more for including stiff prepayment penalties. Loan officers and third-party mortgage brokers were also paid more for originating high-risk loans than low-risk loans. These incentives contributed to shoddy lending practices in which credit evaluations took a back seat to approving as many loans as possible. The compensation problems didn't stop in the loan offices. They went all the way to the top. WaMu's CEO received millions of dollars in pay, even when his high-risk loan strategy began losing money, even when the bank began to falter, and even when he was asked to leave his post. From 2003 to 2007, Mr. Killinger was paid between $11 million and $20 million each year in cash, stock, and stock options. That is on top of four retirement plans, a deferred bonus plan, and a separate deferred compensation plan. In 2008, when he was asked to leave the bank, Mr. Killinger was paid $25 million, including $15 million in severance pay. That is $25 million for overseeing shoddy lending practices that pumped billions of dollars of bad mortgages into the financial system, another painful example of how executive pay at some U.S. financial firms rewards failure. The information uncovered by this Subcommittee is laid out in over 500 pages of exhibits. These documents detail not only the shoddy lending practices at Washington Mutual and Long Beach, they show what senior management knew and what they said to each other about what they found. Senior executives described Long Beach as, ``terrible'' and ``a mess,'' with default rates that were, ``ugly.'' With respect to WaMu retail home loans, internal reviews described, ``extensive fraud'' from employees willfully, ``circumventing bank policy.'' Controls to stop fraudulent loans from being sold to investors were described as, ``ineffective.'' WaMu's president described it as, ``the worst managed business he had seen in his career.'' That was the reality inside Washington Mutual. To keep that conveyor belt running and feed the securitization machine on Wall Street, Washington Mutual engaged in lending practices that created a mortgage time bomb. We have an exhibit, Exhibit 1b,\1\ which summarizes the lending practices that produced high-risk mortgages and junk securities, including targeting high-risk borrowers, steering borrowers to higher-risk loans, increasing sales of high-risk loans to Wall Street, not verifying income and using stated income or liar loans, accepting inadequate documentation loans, promoting teaser rates, interest-only and pick-a-payment loans which were often negatively amortizing, ignoring signs of fraudulent borrower information, and more.  \1\ See Exhibit No. 1b, which appears in the Appendix on page 213.  The last two bullet points on the chart deserve particular scrutiny. We are going to hear today how, at a critical time, Washington Mutual securitized loans that had been selected specifically for sale because they were likely to go delinquent without informing investors of that fact. Getting them sold became an urgent goal. We will also hear that, at times, Washington Mutual securitized loans that had already been identified as being fraudulent, also without informing investors. WaMu built its conveyor belt of toxic mortgages to feed Wall Street's appetite for mortgage-backed securities. Because volume and speed were king, loan quality fell by the wayside and WaMu churned out more and more loans that were high-risk and poor quality. Once a Main Street bank focused on financing mortgages for its customers, Washington Mutual was taken in by the short-term profits that even poor-quality mortgages generated on Wall Street. Washington Mutual was not, of course, the only one running a conveyor belt, dumping high-risk, poor-quality mortgages into the financial system. Far from it. Some of the perpetrators like Countrywide and New Century have already been hit with Federal enforcement actions and shareholder lawsuits. Others may never be held accountable. But all of us are still paying the price. This Subcommittee investigation and the Wall Street excesses that we have uncovered provide an eerie replay of a 1934 Senate Committee investigation into the causes and consequences of the 1929 Stock Market Crash. That 1934 investigation found, among other things, the following. ``One, many instances where investment bankers were derelict in the performance of their fundamental duty to the investing public to safeguard, to the best of his ability, the intrinsic soundness of the securities that he issues. ``Two, an utter disregard by officers and directors of banks of the basic obligations and standards arising out of the fiduciary relationship extending not only to stockholders and depositors but to persons seeking financial accommodation or advice. ``Three, compensation arrangements that were an incentive to bank and securities officers to have the institutions engage in speculative transactions and float securities issues which were hostile to the interests of these institutions and the investing public. ``Four, in retrospect, the fact will emerge with increasing clarity, this investigation found, that the excessive and unrestrained speculation which dominated the securities markets in recent years has disrupted the flow of credit, dislocated industry and trade, impeded the flow of interstate commerce, and brought in its train social consequences inimical to the public welfare.'' That is what the Senate Committee found in 1934. Ironically, several of the banks investigated in 1934 were also participants in the 2008 financial crisis, another crisis fueled by Wall Street excesses. The question facing Congress is whether we have the political will to try to curb those excesses. Hopefully, this investigation and our findings and recommendations will help strengthen the political will to put an end to the excesses of Wall Street. Finally, I want to commend my Ranking Member, Senator Coburn, and his staff for their great support and involvement in this investigation. They have walked with us. They have worked with us each step of the way. I now turn to Senator Coburn for his opening remarks. "
"OPENING STATEMENT OF SENATOR COBURN"," "
"Senator Coburn","Thank you, Mr. Chairman. Thank you for having this hearing. I think it is going to be beneficial as we go through the process of all of these hearings in looking at what happened, and why it happened. We know that risky home loans played a particularly important part in the financial crisis that befell us. While we are focusing today on the case study of Washington Mutual, this is merely a starting chapter in a much longer and very complex story. The tale of WaMu is emblematic of what happened to many home lenders in the never-ending effort to grow and get a larger share of the booming housing market. Traditional risk management gave way to the chase for volume and profit. When the housing market finally tanked, WaMu and other lenders imploded. WaMu was no fly-by-night operation. As the sixth-largest bank in the country with over $330 billion in assets, it had more than a century of experience in the mortgage business. It bragged often that it survived both the Great Depression and the savings and loan crisis. Make no mistake, the collapse of this institution is a very big deal. Following by just 10 days the collapse of Lehman Brothers, WaMu's collapse helped send the financial markets into a tailspin. Confidence was king in those few days, and seeing a giant mortgage lender fail and fall so fast sent a chill through Wall Street. Our investigation has focused on the 5-year period between 2003 and 2008 following WaMu's decision to dive head first into high-risk lending. The bank drastically altered its business model from long-term fixed-rate mortgages to higher-risk loans made to higher-risk borrowers. Easy money from the Federal Reserve and soaring home values created in WaMu executives a misplaced sense of confidence. Whereas before, taking on risk was something that was approached with caution, the fact would now seem that it was a fast and easy way to make money. WaMu's corporate culture had no place for individuals concerned about high-risk lending, but instead brushed them aside and ignored them, according to the testimony that we have received. Sales associates have admitted that they were under immense pressures to sell and just get the loans done. Add to that the environment of a voracious appetite for mortgage- backed securities from Wall Street and Fannie Mae and Freddie Mac, and all the pieces were in place for an epic fall of this once venerable financial institution. As competition for borrowers grew and granting loans to those with questionable credit histories and less-than-complete documentation became all the rage, underwriting standards started to verge on the absurd. WaMu emphasized the power of and made sure anyone and everyone got a loan. Something is definitely wrong when you need more documentation to rent a movie than to get a $1 million home loan. We here in Congress are certainly not without blame. Like so many Americans, for years, we insisted on seeing the housing market through rose-colored glasses. Congress failed to do its oversight on Fannie Mae and Freddie Mac, failed to do its oversight on the Federal Reserve, failed to do its oversight on the FDIC, and failed to do its oversight in any other number of areas, including the SEC. We failed to do the correct oversight that would have brought these things to light earlier, before we had such a catastrophe. Because of reckless Federal policies, too many families found themselves locked into mortgages they did not understand and absolutely could not afford. In my home State of Oklahoma, we have suffered 22,000 foreclosures in the past 18 months and 50,000 foreclosures are projected by 2012. As we move forward, understanding events like the collapse of WaMu are essential to ensuring that we do not make the same mistakes again. But I will emphasize again, the mistakes didn't have to be made had Congress done its job, and we failed miserably. I look forward to hearing from our witnesses today and I look forward to being the pinprick to make sure that we continue to do the oversight in the future, and I thank you,"
"Mr. Chairman",""
"Senator Levin","Thank you very much, Senator Coburn. Let me now call our first panel of witnesses for this morning's hearing: James Vanasek, the former Chief Credit Officer from 1999 to 2004 and Chief Risk Officer from 2004 to 2005 of Washington Mutual Bank; Ronald Cathcart, the Chief Risk Officer of Washington Mutual Bank from 2006 to 2008; and Randy Melby, the former General Auditor of Washington Mutual Bank. We appreciate each of you being with us this morning. Pursuant to Rule 6, all witnesses who testify before the Subcommittee are required to be sworn, so I would ask each of you to stand. Please raise your right hand. Do you swear that the testimony you are about to give to this Subcommittee will be the truth, the whole truth, and nothing but the truth, so help you, God?"
"Mr. Vanasek","I do."
"Mr. Cathcart","I do."
"Mr. Melby","I do."
"Senator Levin","We are going to be using a timing system today. About one minute before the red light comes on, you will see the light change from green to yellow, which will give you an opportunity to conclude your remarks. Your written testimony will be printed in its entirety in the record. We would ask that you attempt to limit your oral testimony to no more than 5 minutes. Mr. Vanasek, we are going to have you go first, followed by Mr. Cathcart, and then finish up with Mr. Melby, and then we will turn to questions after that is concluded. Mr. Vanasek, please proceed. Make sure your microphone is on, too, and that you speak right into it. "
"TESTIMONY OF JAMES G. VANASEK,\1\ FORMER CHIEF CREDIT OFFICER (1999-2004) AND CHIEF RISK OFFICER (2004-2005), WASHINGTON MUTUAL BANK"," "
