"Speaker","Speech"
"Senator Levin","Good morning, everybody. Today the Subcommittee holds the fourth in our series of hearings to explore some of the causes and consequences of the financial crisis. These hearings are the culmination of nearly a year and a half of investigation. The freezing of financial markets and collapse of financial institutions that sparked our investigation are not just a matter of numbers on a balance sheet. Millions of Americans have lost their jobs, their homes, and their businesses in the recession that the crisis sparked, the worst economic decline since the Great Depression. Behind every number we cite are American families who are still suffering the effects of a man- made economic collapse. Our Subcommittee's goal is to construct a record of the facts in order to deepen public understanding of what went wrong, to inform the ongoing legislative debate about the need for financial reform, and to provide a foundation for building better defenses to protect Main Street from the excesses of Wall Street. Our first hearing dealt with the impact of high-risk mortgage lending and focused on a case study of Washington Mutual Bank, known as WaMu, a thrift whose leaders embarked on a reckless strategy to pursue higher profits by emphasizing high-risk exotic loans. WaMu did not just make loans that were likely to fail, creating hardship for borrowers and risk for the bank. It also built a conveyor belt that fed those toxic loans and mortgages into the financial system like a polluter dumping poison into a river. The poison came packaged in mortgage-backed securities that WaMu sold to get the enormous risk of those loans and their growing default rates off of its own books, dumping that risk into the financial system. Our second hearing examined how Federal regulators saw what was going on but failed to rein in WaMu's reckless behavior. Regulation by the Office of Thrift Supervision (OTS) that should have been conducted at arm's length was instead done arm-in-arm with WaMu. OTS failed to act on major shortcomings it observed, and it thwarted other agencies from stepping in. Our third hearing dealt with credit rating agencies, specifically case studies of Standard & Poor's and Moody's, the Nation's two largest credit raters. While WaMu and other lenders dumped their bad loans into the river of commerce and regulators failed to stop their behavior, the credit rating agencies assured everyone that the poisoned water was safe to drink, slapping AAA ratings on bottles of high-risk financial products. The credit rating agencies operate with an inherent conflict of interest. Their revenue comes from the same firms whose products they are supposed to critically and objectively analyze, and those firms, the firms whose products the credit rating agencies are analyzing, exert pressure on the rating agencies who too often put market share ahead of analytical rigor. Today we will explore the role of investment banks in the development of the crisis. We focus on the activities during 2007 of Goldman Sachs, one of the oldest and most successful firms on Wall Street. Those activities contributed to the economic collapse that came full-blown the following year. Goldman Sachs and other investment banks, when acting properly, play an important role in our economy. They help channel the Nation's wealth into productive activities that create jobs and make economic growth possible, bringing together investors and businesses and helping Americans save for retirement or a child's education. That is when investment banks act properly. But in looking at this crisis, it is not hard to echo the conclusion of another congressional committee which found, ``The results of the unregulated activities of the investment bankers were disastrous.'' That conclusion came in 1934 as the Senate looked into the reasons for the Great Depression, and the parallels are unmistakable to today's events. Goldman Sachs proclaims ``a responsibility to our clients, our shareholders, our employees, and our communities to support and fund ideas and facilitate growth.'' Yet the evidence shows that Goldman repeatedly put its own interests and profits ahead of the interests of its clients and our communities. Its misuse of exotic and complex financial structures helped spread toxic mortgages throughout the financial system. And when the system finally collapsed under the weight of those toxic mortgages, Goldman profited from the collapse. The evidence also shows that repeated public statements by the firm and its executives provide an inaccurate portrayal of Goldman's actions during 2007, the critical year when the housing bubble burst and the financial crisis took hold. The firm's own documents show that while it was marketing risky mortgage-related securities, it was placing large bets against the U.S. mortgage market. The firm has repeatedly denied making those large bets despite overwhelming evidence that they did so. Now, why does that matter? Surely there is no law, ethical guideline, or moral injunction against profit. But Goldman Sachs did not just make money. It profited by taking advantage of its clients' reasonable expectation that it would not sell products that it did not want to succeed, and that there was no conflict of economic interest between the firm and the customers that it had pledged to serve. Those were reasonable expectations of its customers. But Goldman's actions demonstrate that it often saw its clients, not as valuable customers, but as objects for its own profit. This matters because, instead of doing well when its clients did well, Goldman Sachs did well when its clients lost money. Its conduct brings into question the whole function of Wall Street, which traditionally has been seen as an engine of growth, betting on America's successes and not its failures. To understand how the change in investment banks helped bring on the financial crisis, we need to understand first how Wall Street turned bad mortgage loans into economy-wrecking financial instruments. Our previous hearings have covered some of this ground. The story begins with mortgage lenders such as WaMu, Washington Mutual Bank, out there in the State of Washington, which loaned money to homebuyers and then sought to move those loans off of its own books. That activity spawned an ever more complex market in mortgage-backed securities, a market that for a while worked pretty well. But then things turned upside down. The fees that banks and Wall Street firms made from their securitization activities were so large that they ceased to be a means to keep capital flowing to housing markets and became ends in themselves. Mortgages and mortgage-backed securities began to be produced for Wall Street instead of Main Street. Wall Street bond traders sought more and more mortgages from lenders in order to create new securities that generated fees for their firms and large bonuses for themselves. Demand for securities prompted lenders to make more and more riskier mortgage loans. Making and packaging new loans became so profitable that credit standards plummeted, and mortgage lenders began making risky, exotic loans to people with little chance of making the payments owing on those loans and mortgages. Wall Street designed increasingly complex financial products that produced AAA ratings for high-risk products that flooded the financial system. As long as home prices kept rising, the high-risk mortgages posed few problems. Those who could not pay off their loans could refinance or sell their homes, and the market for mortgage-related financial products flourished. But the party could not last, and we all know what happened. Housing prices stopped rising, and the bubble burst. Investors started having second thoughts about the mortgage- backed securities that Wall Street was churning out. In July 2007, two Bear Stearns offshore hedge funds specializing in mortgage-related securities suddenly collapsed. That same month, the credit rating agencies downgraded hundreds of subprime mortgage-backed securities, and the subprime market went cold. Banks, security firms, hedge funds, mutual funds, and other investors were left holding suddenly unmarketable mortgage-backed securities whose values were plummeting. America began feeling the consequences of the economic assault. Goldman Sachs was an active player in building this mortgage machinery. During the period leading up to 2008, Goldman made a lot of money packaging mortgages, getting AAA ratings, and selling securities backed by loans from notoriously poor-quality lenders such as WaMu, Fremont, and New Century. Of special concern was Goldman's marketing of what are known as ``synthetic'' financial instruments. Ordinarily, the financial risk in a market--and, hence, the risk to the economy at large--is limited because the assets traded are finite. There are only so many houses, mortgages, shares of stock, bushels of corn, or barrels of oil in which to invest. But a synthetic instrument has no real assets. It is simply a bet on the performance of the assets that it references. That means the number of synthetic instruments is limitless, and so is the risk that they present to the economy. Synthetic structures referencing high-risk mortgages garnered hefty fees for Goldman Sachs and other investment banks. They assumed an ever larger share of the financial markets and contributed greatly to the severity of the crisis by magnifying the amount of risk in the system. Increasingly, synthetics became bets made by people who had no interest in the referenced assets. Synthetics became the chips in a giant casino, one that created no economic growth, even when it thrived, and then helped throttle the economy when the casino collapsed. But Goldman Sachs did more than earn fees from the synthetic instruments that it created. Goldman also bet against the mortgage market and earned billions when that market crashed. In December 2006, Goldman decided to move away from its long positions in the mortgage market in what began as a prudent hedging against the firm's large exposure to that market--exposure that sparked concern on the part of the firm's senior executives. The edict from top management after a December 14, 2006, meeting was, ``Get closer to home,'' meaning get to a more neutral risk position. But by early 2007, the company blew right past a neutral position on the mortgage market and began betting heavily on its decline, often using complex financial instruments, including synthetic collateralized debt obligations (CDOs). Goldman took large net short positions throughout 2007. Now, a chart which we are going to put up there is based on data supplied to the Subcommittee by Goldman Sachs.\1\ It tracks the firm's ongoing huge short positions throughout the year. Those short positions at one point represented approximately 53 percent of the firm's risk as measured by the most relied upon risk measure called value at risk (VaR). The black line in the middle of that chart represents a neutral line, balance. The brown numbers and lines below that median black line represent the net short of Goldman during the entire year, and you can see it was net short during that entire year of 2007.  \1\ See Exhibit No. 162, which appears in the Appendix on page 997.  Those short positions did more than just avoid big losses for Goldman. They generated a large profit for the firm in 2007. Goldman says these bets were just a reasonable hedge, but internal documents show that it was more than a reasonable hedge. It was what one top Goldman executive described as the ``big short.'' Listen to a top Goldman mortgage trader, Michael Swenson, who touted his success in 2007, what he called his ``proudest year,'' because of what he called ``extraordinary profits''--$3 billion as of September 2007 that came from bets that he recommended the firm take against the housing market. Mr. Swenson told his superiors, ``I was able to identify key market dislocations that led to tremendous profits.'' Another Goldman mortgage trader, Joshua Birnbaum--and both will be with us this morning--wrote in his performance evaluation about the billions of dollars in profits earned in 2007 betting against the mortgage market. ``The prevailing opinion within the department was that we should just get close to home and pare down our long,'' Mr. Birnbaum wrote. He then touted the fact that he urged Goldman Sachs ``not only to get flat, but get VERY''--emphasized by him--``short.'' He wrote that after convincing his superiors to do just that: ``We implemented the plan by hitting on almost every single name CDO protection buying opportunity in a 2-month period.'' He wrote, ``Much of the plan began working by February as the market dropped 25 points, and our very profitable year was underway.'' When the mortgage market collapsed in July, he said, ``We had a blow-out profit and loss month, making over $1 billion that month.'' Those facts should end the pretense that Goldman's actions were part of its efforts to operate as a mere ``market maker,'' bringing buyers and sellers together. Those short positions did not represent customer service or necessary hedges against risks that Goldman incurred as it made a market for customers. Those short positions represented major bets that the mortgage securities market, a market that Goldman helped create, was in for a major decline. Goldman continues to deny that it shorted the mortgage market for profit, despite the evidence. Why the denial? Why the denial? My best estimate is that it is because the firm, Goldman Sachs, cannot successfully continue to portray itself as working on behalf of its clients if it was selling mortgage- related products to those clients while it was betting its own money against those same products that it was selling to its client or betting against the mortgage market as a whole. The scope of this conflict is reflected in a company email sent on May 17, 2007, discussing the collapse of two mortgage- related instruments tied to WaMu-issued mortgages that Goldman had helped assemble and sell. The ``bad news,'' a Goldman employee says, is that the firm lost $2.5 million on the collapse. But the ``good news,'' he reports, is that the company had bet that the securities would collapse, and they made $5 million on that bet. So they lost money on the mortgage-related products that they still held, and, of course, the clients they sold those products to lost big time. But Goldman Sachs made out big time, because it bet against its own products and its own clients. Goldman's Chief Executive Officer, Lloyd Blankfein, summed it up this way: ``Of course we didn't dodge the mortgage mess. We lost money then we made more than we lost because of shorts.'' The conflict of interest that lies behind that statement is striking. The Securities and Exchange Commission (SEC) has filed a civil complaint alleging that in another transaction involving a product called Abacus 07 AC-1, Goldman violated security laws by misleading investors about a mortgage-related instrument. The SEC's complaint alleges that Goldman Sachs, in effect, helped stack the deck against the buyers of the instrument that it sold. The hedge fund that bought the short position in the transaction--in other words, that bet that the product would not perform well--helped select the mortgages that were to be referenced in the product that Goldman sold to its investors. The SEC alleges that Goldman Sachs knew of the hedge fund's selection role and failed to disclose it to the other Abacus investors, who thought the package had been designed to succeed, not fail. We learned in last week's hearing that Goldman also failed to disclose the hedge fund's role to the credit rating agency that rated the Abacus deal. Eric Kolchinsky, who oversaw the ratings process at Moody's, testified before this Subcommittee, ``It just changes the whole dynamic of the structure where the person who is putting it together, choosing it, wants it to blow up.'' The SEC and the courts will resolve the legal question of whether Goldman's actions broke the law. The question for us is one of ethics and policy. Were Goldman's actions in 2007 appropriate? And if not, should we act to bar similar actions in the future? Abacus may be the best-known example of conflicts of interest revealed in the Goldman documents, but it is far from the only example. Anderson Mezzanine Funding 2007-1 was a synthetic product assembled by Goldman. According to company documents, a Goldman client had expressed interest in taking a short position in the transaction, but an executive noted that Dan Sparks, the head of Goldman's Mortgage Department, might ``want to preserve that ability for Goldman.'' What that suggests is that not only was Goldman going to bet against the instrument that it was selling, but it wanted to make that bet badly enough that it took the bet for itself instead of letting an interested client have it. It then sold Anderson securities to its clients without disclosing that it would profit if those securities suffered losses. Client loyalty fell so far that one Goldman employee cited his refusal to assist Goldman clients facing losses from a Goldman financial product as a performance that he felt should be rewarded. Mr. Swenson wrote to his superiors in his performance review, ``I said `no' to clients who demanded that Goldman should support the GSAMP program,'' Goldman Sachs' Subprime Mortgage-Backed Security Program. Mr. Swenson wrote that saying ``no'' to clients who asked Goldman to support a security that it had sold them were ``unpopular positions, but they saved the firm hundreds of millions of dollars.'' Most investors make the assumption that people selling them securities want those securities to succeed. That is how our markets ought to work, but they do not always work that way. The Senators who in the 1930s investigated the causes of the Great Depression stated the principle clearly: ``Investors must believe that their investment banker would not offer them the bonds unless the banker believed them to be safe. This throws,'' they said, ``a heavy responsibility on the banker. He may and does make mistakes. There is no way that he can avoid making mistakes because he is human and because in this world things are only relatively secure. There is no such thing,'' they wrote, ``as an absolute certainty. But,'' those Senators said, looking at the Great Depression a few years afterwards, ``while the banker may make mistakes, he must never make the mistake of offering investments to his clients which he does not believe to be good.'' Goldman documents make clear that in 2007, it was betting heavily against the housing market while it was selling investments in that market to its clients. It sold those clients high-risk mortgage-backed securities and CDOs that it wanted to get off its books in transactions that created a conflict of interest between Goldman's bottom line and its clients' interests. These findings are deeply troubling. They show a Wall Street culture that, while it may once have focused on serving clients and promoting commerce, is now all too often simply self-serving. The ultimate harm here is not just to clients poorly served by their investment bank. It is to all of us. The toxic mortgages and related instruments that these firms injected into our financial system have done incalculable harm to people who had never heard of a mortgage-backed security or a CDO and who have no defenses against the harm such exotic Wall Street creations can cause. Running through our findings in these hearings is a thread that connects the reckless actions of mortgage brokers at Washington Mutual with market-driven credit rating agencies and with the Wall Street executives designing the next synthetic. That thread is unbridled greed and the absence of a cop on the beat to control it. As we speak, lobbyists fill the halls of Congress hoping to weaken or kill legislation aimed at reforming these abuses. Wall Street is on the wrong side of this fight. It insists that reining in those excesses would unduly restrict the free market that is the engine of American progress. But this market of ours is not free of self-dealing nor conflicts of interest. It is not free of gambling debts that taxpayers end up paying. I hope the executives before us today, and their colleagues on Wall Street, will recognize the harm that their actions have caused to so many of their fellow citizens. But whether or not they take responsibility for their role, I hope that this Congress will follow the example of another Congress eight decades ago and enact the reforms that will put a cop back on the Wall Street beat. I want to thank again my Ranking Member, Senator Coburn, who this morning is carrying out a very important responsibility at the White House and who will join us later, for his support and that of his staff. And I recognize now the Acting Ranking Member, Senator Collins. We welcome her participation in this Committee always, and we welcome her remarks. "
"OPENING STATEMENT OF SENATOR COLLINS"," "
"Senator Collins","Thank you. Mr. Chairman, thank you for leading this investigation into the root causes of the great recession of 2008. You and the Ranking Member, Senator Coburn, have cast a bright light into the dark corners of financial institutions that helped to inflate the housing bubble and then reaped billions of dollars when it burst, leaving millions of Americans in debt and jobless, with destroyed dreams and financial insecurity. This investigation raises two overarching issues. First, we must recognize that the dynamic innovation of our capital markets can have a downside. It can produce pain rather than prosperity. Financial markets, therefore, require updated and effective regulation to help prevent excesses that can inflict great harm on wholly innocent Americans, be they workers, retirees, or small business owners. The lack of regulation of the trillions of dollars in credit default swaps is a prime example, and that is why it is so critical that financial regulatory reform legislation include a council of regulators whose job it will be to assess systemic risk and to identify regulatory gaps. I recognize that even measured regulation may limit the potential benefits that unfettered markets can produce. The question, however, is whether those benefits are outweighed by the terrible harm such unfettered markets can cause. Recent history certainly suggests that is the case, that the combination of lax or absent regulation plus unbridled greed can produce devastating results. The second issue is even legal practices may raise ethical concerns. Assuming Goldman's role as a market maker and its desire to hedge its risk provided legal justification for some of its practices--a question that must ultimately be decided by the courts--there is something unseemly about Goldman betting against the housing market at the same time that it is selling to its clients mortgage-backed securities containing toxic loans. And it is unsettling to read emails of Goldman executives celebrating the collapse of the housing market when the reality for millions of Americans is lost homes and disappearing jobs. That is especially the case in light of Goldman's decision to opt for status as a bank holding company to secure benefits effectively underwritten, at least in part, by those same Americans. During its previous hearings on the financial crisis, this Subcommittee revealed the reckless and at times predatory lending behavior of some mortgage brokers and banks like Washington Mutual. These banks discarded decades of reliable and pragmatic lending practices. Instead they opted to offer high-risk loans to borrowers whom they knew could not afford to repay them. Traditionally, such behavior would have exposed the originating banks to high levels of unacceptable risk. In other words, the offending banks would have paid dearly for their own underwriting errors. But with the advent of securitization during the past decade, lenders have been able to insulate themselves by selling off toxic loans, pitching them as assets to investment banks. Those investment banks in turn bundled the toxic loans inside mortgage-backed securities which were then bought and sold by investors. The cash that flowed back to the banks from investors buying these securities only made matters worse. The cash was akin to throwing fuel on the hot fire of greed and recklessness. The inflow of dollars encouraged loan originators to put that money to work again and again and again, turning over loan applications as quickly as possible, applying little scrutiny, because ultimately they had no stake in the outcome of the loan. This cycle was based on a dangerous and false assumption that the housing market would always move upward. It was based on the fantasy, the myth, that what goes up stays up and never would come crashing down. When it all collapsed like a house of cards, we realized too late how incredibly fragile and tragically interconnected the system had become. The fallout was not limited. The debris field was not contained. The damage was widespread, profound, and nearly catastrophic. The architects of this scheme entangled neighborhood banks and large brokerage firms across America. Their toxic linkages ensnared borrowers and investors from Main Street to Wall Street. They deluded themselves into believing that the basic principles could be defied and ignored. And when that delusion met reality, the bubble burst. Today we will look at the top tier of the system, a major investment bank, and examine how its trading practices amplified the rise and fall of the housing market. Today's witnesses are all from Goldman Sachs, which was one of the few Wall Street firms to actually profit from the financial crisis. This hearing is not to celebrate that ignoble feat; rather, it is to examine how the trading practices of Goldman during that time made such profits possible. It is to examine how Goldman sold financial products that were tied to the health of the housing market, even while Goldman itself was betting that the housing market would collapse. The Securities and Exchange Commission accuses Goldman Sachs of marketing a complex product to its clients while allegedly failing to disclose that the same company that hand- selected the components, the hedge fund Paulson & Company, also planned to bet on its failure. Goldman sold the product to long-time trusting clients allegedly without disclosing this fact. The bet that Paulson made earned him $1 billion while at least one of Goldman's clients, a German bank, went bankrupt. Although Goldman lost money on that particular deal, it reaped billions of dollars in the mortgage-backed securities market as a whole. While the market was on the verge of collapse, Goldman decided to go short and earned billions from that strategy. Some have alleged that Goldman did so while continuing to sell clients long investments in the mortgage markets. While such conflicts of interest may not be illegal, they certainly seemed ethically questionable, and these conflicts of interest appeared to be rooted in the fact that broker-dealers do not have a fiduciary obligation to their clients. That is an issue we will be considering. Clearly, this system must be reformed so that Wall Street banks are not seen and do not act as unscrupulous operators who seek to profit from the public's misfortune, even as they are pitching toxic investments and even as hard-working, struggling taxpayers are left to pick up the tab. Thank you, Mr. Chairman, and, again, I congratulate you for this in-depth investigation."
"Senator Levin","Thank you so much, Senator Collins. Senator Kaufman was next in line. "
"OPENING STATEMENT OF SENATOR KAUFMAN"," "
"Senator Kaufman","Thank you, Mr. Chairman."
"Senator Levin","Senator Kaufman, I want to thank you for all your work on these hearings. You have been very significant and important to us."
"Senator Kaufman","Thank you, and I want to thank you and Ranking Member Coburn for having these hearings, 3 days of hearings. I think we looked at Washington Mutual, then we looked at the regulators, and then we looked at the rating agencies. It was a pretty ugly picture, repeated conflicts of interest and in some cases outright fraud. All of the figures from those 3 days of hearings points to Wall Street which created and sold these toxic investments to their clients. Today I am looking forward to talking about the behavior of Goldman Sachs during this period. Thank you, Mr. Chairman."
"Senator Levin","Thank you very much, Senator Kaufman."
"Senator McCain"," "
