Speaker,Speech
Chairman Lieberman," The hearing will come to order. Good afternoon, and a special welcome to our guests, three of whom have come from farther than normal to testify--and without being summoned here by force of law, I might add. So we are particularly grateful that you are here.
    This is our Committee's third in a series of hearings examining the structure of our financial regulatory system; how that flawed structure contributed to the system's failure to anticipate and prevent the current economic crisis; and, most importantly, looking forward, what kind of structure is needed to strengthen financial oversight. You will note that I used the word ``structure'' at least three times here, and this is because that is the unique function and jurisdiction that our Committee has. We understand that the Banking Committee in particular is leading the effort to review regulations in this field, but we are charged with the responsibility to oversee the organization of government, and we have tried to come at this matter of financial regulatory reform with a focus on that as opposed to the particular regulations.
    We learned from our previous hearings that our current regulatory system has evolved in a haphazard manner, not just over the 10, 20, or 30 years some of us have been here, but over the last 150 years, largely in response usually to whatever the latest crisis was to hit our Nation and threaten its financial stability.
    As a result, we have here a financial regulatory system that is both fragmented and outdated. Numerous Federal and State agencies share responsibility for regulating financial institutions and markets, creating both redundancies in some ways and gaps in others--gaps particularly over significant activities and businesses, and redundancies, too, such as consumer protection enforcement, hedge funds, and credit default swaps. Our current crisis has clearly exposed many of these problems.
    To strengthen our financial regulatory system, an array of interested parties--academics, policymakers, even business people--from across the political spectrum has called for significant structural reorganization. So as we move forward and consider this question, it seemed to Senator Collins and me that it would be very helpful for us to examine the experiences of other nations around the world, and that is the purpose of today's hearing and why we are so grateful to the four of you.
    Over the past few years, the United Kingdom, Australia, and other countries have dramatically reformed their financial regulatory systems. They have merged agencies, reconsidered their fundamental approaches to regulation, and streamlined their regulatory structures. Many people believe that these reforms have resulted in a more efficient and effective use of regulatory resources and certainly more clearly defined roles for regulators.
    The American economy is different in size, of course, and in scope from all the others, but there is still much we can learn by studying the examples of these free market partners of ours. We really have an impressive panel of witnesses today, each of whom has not only thought extensively about the different ways in which a country can structure its financial regulatory system, but also played a role in that system. And I would imagine that you all bear some scars from trying to change the regulatory status quo.
    I would also imagine that you know what we have learned here, that reorganizations are complicated and very difficult. Our Committee learned this firsthand through its role in creating and overseeing the Department of Homeland Security and in reforming our Nation's intelligence community in response to the terrorist attacks of September 11, 2001. But reorganizations can also pay dividends and result in a more effective, responsive, efficient, and transparent government, and of course, that is what we hope for in the area of financial regulation.
    I am confident in the work that our colleagues on the Senate Banking Committee are doing to address the financial regulations, but as I said at the outset, we are focused here on structure, and the two are clearly tightly interwoven. If we want to minimize the likelihood of severe financial crises in the future, we need to both reform our regulations and improve the architecture of our financial regulators. As Treasury Secretary Geithner and the Obama Administration prepare to announce their own plan for comprehensive reform in the weeks ahead, the testimony presented here today will help ensure that we are cognizant of what has and has not worked abroad, and that surely can help us guide our efforts and the Administration's and clarify for us all which reforms, regulatory and structural, will work best here in the United States of America.
    Senator Collins.
              OPENING STATEMENT OF SENATOR COLLINS
    Senator Collins. Thank you, Mr. Chairman.
    Mr. Chairman, as you mentioned, this is the third in a series of hearings held by our Committee to examine America's financial crisis, and I commend you for your leadership in convening this series of hearings because I believe that until we reform our financial regulatory system, we are not going to address some of the root causes of the current financial crisis. Our prior hearings have reviewed the causes of the crisis and whether a systemic risk regulator and other reforms might have helped prevent it.
    Testimony at these hearings has demonstrated that, for the most part, financial regulators in our country failed to foresee the coming financial meltdown. No one regulator was responsible for the oversight of all the sectors of our financial market, and none of our regulators alone could have taken comprehensive, decisive action to prevent or mitigate the impact of the collapse. These oversight gaps and the lack of attention to systemic risk undermined our financial markets. Congress, working with the Administration, must act to help put in place regulatory reforms to help prevent future meltdowns like this one.
    Based on our prior hearings and after consulting with a wide range of financial experts, in March, I introduced the Financial System Stabilization and Reform Act. This bill would establish a Financial Stability Council that would be charged with identifying and taking action to prevent or mitigate systemic threats to our financial markets. The council would help to ensure that high-risk financial products and practices could be detected in time to prevent their contagion from spreading to otherwise healthy financial institutions and markets.
    This legislation would fundamentally restructure our financial regulatory system, help restore stability to our markets, and begin to rebuild the public confidence in our economy. The concept of a council to assess overall systemic risk has garnered support from within the financial regulatory community. The National Association of Insurance Commissioners, the Securities and Exchange Commission (SEC) Chair Mary Schapiro, and the Federal Deposit Insurance Corporation (FDIC) Chair Sheila Bair are among those who support creating some form of a systemic risk council in order to avoid an excessive concentration of power in any one financial regulator, yet take advantage of the expertise of all the financial regulators.
    As we continue to search for solutions to this economic crisis, it is instructive for us to look outside our borders at the financial systems of other nations.
    The distinguished panel of witnesses that we will hear from today will testify about the financial regulatory systems of the United Kingdom, Canada, and Australia. They will also provide a broader view of global financial structures. We can learn some valuable lessons from studying their best practices. Canada's banking system, for example, has been ranked as the strongest in the world, while ours is ranked only as number 40.
    I am very pleased that Edmund Clark has joined the other experts at the panel. It was through a meeting in my office when he started describing the differences between the Canadian system of regulation, financial practices, and mortgage practices versus our system that I became very interested in having him share his expertise officially, and I am grateful that he was able to change his schedule to be here on relatively short notice. I am also looking forward to hearing from the other experts that we have convened here today.
    America's Main Street small businesses, homeowners, employees, savers, and investors deserve the protection of an effective regulatory system that modernizes regulatory agencies, sets safety and soundness requirements for financial institutions to prevent excessive risk taking, and improves oversight, accountability, and transparency. This Committee's ongoing investigation will continue to shed light on how the current crisis evolved and focus attention on the reforms that are needed in the structure and regulatory apparatus to restore the confidence of the American people in our financial system. Thank you, Mr. Chairman.
"
Chairman Lieberman," Thank you, Senator Collins. Thanks for that thoughtful statement.
    Let us go to the witnesses now. First we welcome David Green, who was Head of International Policy at the United Kingdom's Financial Services Authority (FSA) after having previously spent three decades at the Bank of England. Mr. Green currently works for England's Financial Reporting Council. It is an honor to have you here, and we would invite your testimony now. TESTIMONY OF DAVID W. GREEN,\1\ FORMER HEAD OF INTERNATIONAL 
      POLICY, FINANCIAL SERVICES AUTHORITY, UNITED KINGDOM
"
Mr. Green," Thank you, Chairman. I give testimony, of course, as a private individual, having worked in those institutions you described. I also give testimony as a co-author with Sir Howard Davies of a book on global financial regulation which discusses a lot of the issues that are before the Committee today. The views expressed here are entirely my own, of course, and not those of any of the organizations I have been associated with.---------------------------------------------------------------------------
    \1\ The prepared statement of Mr. Green appears in the Appendix on page 311.---------------------------------------------------------------------------
    There is remarkable biodiversity in arrangements for financial regulation at a global level. There are essentially four main types of structure to be found, with multiple variants. There is the sectoral type, with separate regimes for banking, securities, and insurance, which can be found in France, Italy, or Spain. There is the so-called ``twin peaks'' type to be found in Australia or, in alternative versions, in Canada and the Netherlands; the integrated type, which can be found in Germany, Japan, Scandinavia, and, indeed, in the United Kingdom. Then there is perhaps another fourth type, where the United States might fit, with extraordinary diversity.
    When I was in the FSA, we thought we probably had over a hundred counterpart regulatory bodies in the United States.
    Then there is the role of the central bank, which may or may not have responsibility for some, many, or, indeed, all aspects of supervision, as it does in Singapore, for instance.
    Probably the most advanced form of the integrated regulator can be found in the FSA, where it was created remarkably rapidly when the incoming Labour Government simply decided in 1997, without real debate, that at the same time as giving the Bank of England independence in the implementation of monetary policy, it would also create a single regulator for financial services. That was set in train and eventually subsumed 11 prior agencies, and a single new piece of legislation was drafted completely de novo with new objectives for regulation and with a set of principles drafted to guide the regulators.
    Not all of integrated regulators have that single piece of legislation, and they carry on with sectoral legislation. That is obviously an issue to be thought about when the Committee addresses the legislative structure that is put in place.
    The bodies were merged in a way which enabled prior existing bodies simply not to be visible anymore. There was full integration. You cannot find within the regulator the bodies that were there before, and that was quite deliberate so that no impression should be created of one of the prior entities somehow taking over the others.
    The rationale for integrated regulation was set out by the FSA, and in my written testimony, I set out the main arguments, but the core ones, as you know, are that financial conglomerates, in particular, undertake a range of banking, insurance, and investment business. The markets themselves have instruments which mingle features of all those. And it was difficult to carry on regulating on a purely functional basis when that no longer matched the structures of either firms or markets.
    Integration makes it possible to align the regulatory structure with the way the firms manage themselves so that this should help with the proper understanding of the overall business model and of overall risks. It also means that a regulated firm only needs to deal with one agency for all its regulatory business, ideally through relationship managers on both sides.
    An integrated regulator ought to be able to manage the conflicts which inevitably arise between the different objectives of regulation, and we will no doubt discuss that later. The concept underlying a single regulator is that these conflicts exist but need to be managed in one place or another, and there have been in the United Kingdom adverse experiences in the management of those conflicts in the past, which is one of the reasons why the intention was to put them together.
    As regards the role of the central bank, there are a number of issues about the possible conflict of interest which might take place with the independent conduct of monetary policy. Monetary policy might be tempted to look more after the regulated community than the wider interest. And those arguments are a little bit more difficult to be certain about.
    How has the model stood up? Previously, the model was very widely praised. Since the crisis, like of regulators in many places, there has been very wide criticism. But much of the criticism can be pinned down to failures, if you like, at the global level with the international capital rules regarded as having fallen short. Markets were inadequately understood. The way securitization would work and how markets would behave was very widely misunderstood. That has been a common problem. The FSA also made mistakes in not doing what it was supposed to do, simple internal management mistakes.
    There has been a lot of work done to go over the lessons of the crisis. Both the FSA and the Bank of England have undertaken work to see whether the structure of regulation has identified any patterns of superior models as a result of the crisis, and no patterns have been found. The Bank of England did do some work--which I think I can make available to the Committee--which finds no pattern at all as between integrated, prudential, twin peaks regulator, and sectoral regulator. I think the conclusion has been that the model itself is not really seen to have been implicated in the way the crisis unfolded, and, indeed, the fact that banking, securities, and insurance were all interlinked in the crisis in some people's minds has reinforced the underlying concept.
    Obviously, I would be very happy to answer further questions as the hearing proceeds. Thank you, Mr. Chairman.
"
Chairman Lieberman," Thank you. That was most interesting and a good beginning. So at this state, we would say that, in your opinion, which one of these regulatory systems was chosen did not have much of an effect on the economic crisis that occurred.
"
Mr. Green," That appears to be the case. You can find a number of examples, if you take them in isolation, which reinforce a particular argument. But if you look across the board, you do not find a pattern. The Bank of England work that I referred to, which I am sorry I do not have available here, looked at, I think, about 40 or 50 different jurisdictions and could find no pattern related to structure.
"
Chairman Lieberman," Yes.
"
Mr. Green," And the FSA work has shown that there have been problems when supervision was inside the central bank and when it was outside, and, again, no clear pattern can be found.
"
Chairman Lieberman," That is interesting. I normally would hold the questions until after everyone testifies and then I come back. That does not mean that there are not preferences for one over the other form of regulation.
    I also wanted to thank you for your graciousness in describing the American system as ``diversified.'' That was nicely done. [Laughter.]
    Second we have Dr. Jeffrey Carmichael, the inaugural chairman of the Australian Prudential Regulation Authority, with responsibility for regulating and supervising banks, insurance companies, and pension funds. Dr. Carmichael currently works in Singapore as the Chief Executive Officer (CEO) of Promontory Financial Group Australasia.
    Thank you for being here.  TESTIMONY OF JEFFREY CARMICHAEL, PH.D.,\1\ CHIEF EXECUTIVE 
        OFFICER, PROMONTORY FINANCIAL GROUP AUSTRALASIA
"
Mr. Carmichael," Thank you, Chairman, and let me say what a pleasure it is to be here.---------------------------------------------------------------------------
    \1\ The prepared statement of Mr. Carmichael appears in the Appendix on page 318.---------------------------------------------------------------------------
    Our government implemented a new structure in the middle of 1998. Unlike the experience that Mr. Green just referred to where the United Kingdom Government did it very quickly, ours was the outcome of a committee that sat for almost 12 months looking at the options, and it was a great privilege for me to have been a member of that committee.
    The new structure that was put in place realigned a previous structure a little bit like your own. It was an institutionally based structure. It was a hybrid structure of bits and pieces. We had State regulation as well as Federal regulation. What came out of the reorganization is what has become known as an ``objectives-based'' or a twin peaks type model. We do not like the term twin peaks because we actually have four peaks, so we think that is undercounting.
    But the four agencies that were put in place were:
    First, a competition regulator that sat over the entire system, not only the financial sector but the whole economy;
    Second, a securities and investments commission, think of a combination of your SEC and the futures regulator. They had responsibility across all financial sectors for conduct, including financial institutions, markets, and participants;
    The third was the Australian Prudential Regulation Authority (APRA), the one with which I was involved. We had responsibility for the prudential soundness of all deposit taking, insurance, and pensions;
    And the fourth was the central bank, which was given, of course, systemic responsibility for monetary policy, liquidity support, and regulation of the payment system.
    Over the top of that was a coordinating body, called the Council of Financial Regulators, which includes the Department of Treasury as well, and that is a very important add-on.
    The defining characteristic of this architecture--and I should add this is in some ways very similar to your plan that was proposed by Former Treasury Secretary Henry Paulson earlier in 2008, but with a couple of important differences, which we can talk about later--is that it was unique in the world at the time it was put in place in Australia, and so far as we know, only one country--and that is the Netherlands--would claim to have the same structure in totality. The Canadian structure is similar, but a little bit less consistent.
    The Australian banks under this structure, for example, are subject to all four regulators. They have competition covered by the Australian Competition and Consumer Commission (ACCC), their conduct by the Australian Securities and Investments Commission (ASIC), their prudence by APRA, and if there is a liquidity support or payment system issue, they go to the Reserve Bank. So that is the defining characteristic of this model, that multiple agencies are responsible for each institution, but for a different part of their behavior or their activities. And there is a fairly clear dividing line between those activities.
    Some of the advantages that we see in this structure--and some of these, of course, are shared by other models such as the British one--include:
    First, by assigning each regulatory agency to a single objective--that is either competition or prudence--it avoids the conflict of objectives that you face under virtually any other system. So each regulator has just one thing to worry about, and that avoids getting into some of the issues, for example, that Northern Rock brought out, for the FSA.
    Second, in bringing all regulators of a particular objective together, you get synergies. We learned a lot when we brought banking and insurance regulation together, and we were able to develop an approach that took on the best of both of those systems and to develop synergies out of that. Likewise, ASIC, our conduct regulator, was one of the first in the world to introduce a single licensing regime for market participants.
    Third, this structure helped eliminate regulatory arbitrage or jurisdiction shopping of the type that you have seen here. Prior to the creation of APRA there were at least three different types of institutions that could issue deposits in Australia, and they were subject to nine different regulatory agencies, depending on where they were located.
    Following its creation, APRA introduced a fully harmonized regime. We now have a single class of ``deposit-taking institutions.'' We do not distinguish between banks, credit unions, or thrifts. They can take on that separate identity, but they are all regulated as deposit takers.
    Fourth, by bringing together all of the prudentially regulated institutions under the one regulatory roof, we have a more consistent and effective approach to regulating financial conglomerates, and along with countries like the United Kingdom and Canada, Australia has been at the forefront of developing the approach to conglomerate supervision.
    Fifth, allocating a single objective to each regulator minimizes the overlap between agencies and the inevitable turf wars that are associated with that, which I am sure you are very familiar with.
    Interesting for us in our experience was that the gray areas between the agencies have tended to diminish over time rather than to increase, and I think that has been a little bit of a surprise, but a very welcome surprise to those of us who were involved with the design.
    Sixth, the allocation of a single objective to each agency minimizes cultural clashes, and one of the issues that we were very conscious of in creating the distinction between prudential and conduct regulation was that, while conduct regulation tends to be carried out by lawyers, prudential regulation tends to be carried out in general by accountants and finance and economics experts--with the exception of the United States, where lawyers tend to do it all. So, culturally, we found it was very useful to separate these two types of regulators so that we did not have those cultural battles.
    Finally, by streamlining our old state-based, or partly state-based, regulatory system, we got a lot of cost efficiencies out of it, and we were able to facilitate strong financial sector development and innovation without having to reduce safety and soundness in the process.
    In terms of outcomes, our architecture has weathered the recent financial storm better than most. Indeed, I believe our four major banks are still among the few AA-rated banks left in the world.
    The resilience of our system was helped by exceptionally tough prudential standards, particularly in the areas of capital and securitization. There was also inevitably some good luck as well as good management. I am not going to claim it was all brilliance.
    In terms of crisis management, the coordination arrangements worked exceptionally well and, I am told, in speaking with each of the agencies recently, that they found the singularity of objectives helped them enormously in terms of coordination among the different agencies in the crisis.
    On the less positive side, like everyone else, we have learned that regulators and industry know much less about risk than we thought we did. We have had to think about the way risk is measured and regulated. Most importantly, we have learned that financial stability regulation is a much bigger challenge than we thought it was, and there is a lot still to be learned there. And to borrow the Churchillian phrase, we regulators have learned that ``we have much about which to be modest.''
    In concluding, Mr. Chairman, I would like to offer two very general observations. The first echoes a point you made in your opening statement. There can be little dispute that regulatory architecture matters. It is very important. There is no perfect architecture. There is no one size fits all. But there are certainly some architectures that are virtually guaranteed to fail under sufficient pressure.
    That said, architecture is only half the story. A sound architecture is a necessary but not a sufficient condition for effective regulation. The other component, which you mentioned, is how you implement and enforce those regulations, and it is very important that these two components are considered in tandem and not in isolation.
    Finally, it is easier to tinker with the architecture than to do major reform. Major reform is largely about opportunity. The window for reform is usually only open very briefly. You have, arguably, the widest window for reform since the Great Depression. This crisis provides you with the public support and, I believe, the industry acquiescence to challenge the vested interests and inertia that normally make major reform of the type you have seen in some other countries all but impossible. And I am sure I speak for many of my colleagues in the international regulatory community, in hoping that this opportunity is not lost. Thank you.
"
Chairman Lieberman," Thank you very much. Well said. I have many concerns, but one clearly is that the result of this crisis will be that we will change some regulations, some law, but we will not change the regulatory structure very much because of the resistance of those in the financial communities but also, frankly, here in Congress to changing the status quo. So your words are very much on target. I thank you.
    Our third witness is Dr. Edmund Clark, President and CEO of the TD Bank Financial Group in Canada. Mr. Clark has had a long and distinguished career in both the Canadian Government and private industry, and we are very grateful that you are here today. Please proceed.  TESTIMONY OF W. EDMUND CLARK, PH.D.,\1\ PRESIDENT AND CHIEF 
           EXECUTIVE OFFICER, TD BANK FINANCIAL GROUP
"
