"Speaker","Speech"
"Chairman Lieberman","The hearing will come to order. Good afternoon and welcome. As our Nation begins work under our brand-new President to recover from the worst financial crisis since the Great Depression, we must ask how and why it happened. Is the existing U.S. financial regulatory system adequately equipped to protect consumers, investors, and our economy? A new report \1\ by the Government Accountability Office (GAO) that is the focus of today's hearing lays out a very persuasive case that the answer to that question is ``no.'' Over time, as the financial services sector has grown, moved in new directions, or suffered from scandals or crises, Congress has usually responded in a piecemeal fashion, grafting new regulatory agencies on top of one another. As a result, responsibilities for overseeing the financial services industry are today shared by over 200 different regulatory agencies at the Federal and State level, not to mention numerous self- regulatory organizations, such as the stock exchanges. \1\ The GAO Report referenced by Chairman Lieberman appears in the Appendix on page 366. GAO's report concludes that our current regulatory structure is outdated and unable to meet today's challenges and highlights several key changes in financial markets that have exposed significant gaps and limitations in our ability to protect the public interest. Some of GAO's observations are familiar to Members of this Committee. We have heard over the years about the careless lending practices that led to the current subprime mortgage crisis, the increasing number of overleveraged financial institutions that need to be bailed out by the government, the failures of credit-reporting agencies to provide credible ratings for increasingly complex financial products, and the inability of regulators to uncover or in some sense respond to the world's largest ever Ponzi scheme. It gives this Committee no satisfaction to note that some of these shortcomings were highlighted over 6 years ago in our investigation both by the full Committee and the Permanent Subcommittee on Investigations following the collapse of Enron. And there we noted the inadequacies of the credit-rating agencies and the failures of regulators to notice the red flags that warned of massive financial fraud. Rather than contributing to the stability of financial markets, our fractured regulatory system seems to encourage financial institutions to play regulators against one another. New and complex financial products have been created that bypass these antiquated regulatory regimes. In some derivatives markets, the regulation is absent altogether. All in all, these problems surely contributed to the build- up of systemic risks and the eventual breakdown in credit and financial markets in the last year that has put millions of people out of work, destroyed so much of the savings and home values of the American people, and broken our economic confidence in the future. We have called this hearing today to take a government-wide look at our existing structure of regulation of financial services. We have asked today's witnesses--Gene Dodaro, Acting Comptroller General of the United States, Professor Howell Jackson of the Harvard Law School, and Professor Steven Davidoff of the University of Connecticut School of Law--to tell us if the current regulatory system adequately protects consumers, preserves the integrity of our markets, and protects the safety and soundness of our financial institutions. Given the scope of the crisis we face today on top of the crises that we have gone through over recent years, including-- and I go back a little further here--the savings and loan scandals, the dot-com bubble, and the Enron accounting mess that I mentioned, we think that now is the time to think, not just about regulatory reform, but about regulatory reorganization. Personally, I have not concluded if the way to fix our current system is to establish a single overarching super-regulatory agency, like that which exists in other developed countries, if it would be wiser simply to improve the ability of the existing regulatory bodies, or if the answer is somewhere in between. However, what I have concluded is that there are serious deficiencies in our current patchwork regulatory system, and before Congress can fix them wisely--and in a way that will not just respond to the last economic crisis or scandal but prevent the next one--I think we have to step back and carefully scrutinize how the pieces would best fit together. And that, I believe, is what our Committee is well suited to do. President Obama has declared that reforming the current financial regulatory structure will be one of his top priorities in this first year of his presidency, and I think we all welcome that. Such legislation will come out of the Senate Banking Committee, although it does touch on agencies that are regulated by other committees, such as the Finance Committee, the Agriculture Committee, and the Commerce Committee. However, I believe that this Committee's unique authority concerning governmental organization and oversight, as well as the special investigative power of our Permanent Subcommittee on Investigations, requires us to get involved in this review and will enable us to help the Senate reach the right conclusions about how we restructure our system of financial governance to prevent future financial crises that can cause terrible economic pain. You may ask, how are we going to do this if the bill is not coming out of our Committee? Well, we certainly can do this first with a series of hearings and investigations; then depending on the interest and will of Committee Members, to express our conclusions in a report, which we will forward to the Banking Committee; and perhaps, if we are so moved, to offer amendments on the floor later this year when the fiscal regulation reform proposal reaches the floor. In any case, this is a matter of importance and urgency to our country, and I do believe that we have something to contribute to the Senate discussion and legislation."
"Senator Levin","Senator Burris is here, and I would like to welcome him, since it is his first hearing."
"Chairman Lieberman","Senator Levin notes that Senator Burris is here. I have to get over a bad habit where I refer to him as ``General Burris'' because we were both Attorneys General, and we love that title. But, Senator Burris, I really welcome you. I know of your work, and although you came here, shall we say, in uncertain circumstances, I know you well enough to know that you are very well qualified to be an outstanding Member of the Senate and will contribute greatly to the work of this Committee. So I am delighted that you have chosen to be on the Committee, and we welcome you here today."
"Senator Burris","Thank you, Mr. Chairman."
"Chairman Lieberman","A pleasure. Senator Collins."
"OPENING STATEMENT OF SENATOR COLLINS",""
"Senator Collins","Thank you, Mr. Chairman. Let me also add my words of welcome to our newest Committee Member. I would also inform the Members of this Committee that we will be adding Members on the Republican side. I am very pleased that Senators McCain, Ensign, and Graham will be joining the Committee as well. So, once again, we will have a great complement of Members with which to do our work."
"Chairman Lieberman","And with that group, I might add, lively hearings and deliberations."
"Senator Collins","This is true, Mr. Chairman. Mr. Chairman, let me start by thanking you for holding this hearing today. I spent 5 years in State government overseeing financial regulation, so I have a great deal of interest in this area. The spiraling financial crisis has harmed virtually every American family. December's job losses were the worst monthly decline since 1945 and drove the unemployment rate above 7 percent. Individual retirement accounts and college savings accounts, as well as university endowments and public and private pension funds, have suffered huge losses. Consumer credit and mortgage availability have become more restricted. In the past year, more than one million homes have been foreclosed upon, and foreclosure proceedings are targeting two million more. Home prices are still falling, and at least 14 million households owe more on their mortgages than their homes are worth. The current crisis has its roots in the financial system, where a combination of low interest rates, reckless lending, complex new instruments, securitization of assets, poor disclosure and understanding of risks, excessive leverage, and inadequate regulation poisoned the normal flows of credit and commerce. The financial system itself has not escaped this carnage. A year ago, American capital markets were dominated by five large investment firms: Bear Stearns, Lehman Brothers, Merrill Lynch, Morgan Stanley, and Goldman Sachs. Now they have either failed, been sold to banks, or have converted to bank holding companies. Tens of thousands of banking and investment jobs have disappeared. A year ago, we thought a ``tarp'' was for covering your roof after a hurricane. Now the Troubled Asset Relief Program (TARP), originally touted as a means for the Treasury Department to buy troubled assets from banks, has morphed into a mechanism for buying hundreds of billions of dollars in bank preferred stock and warrants in order to inject capital into those financial institutions. It is not sufficient for Congress to continue to infuse new money into the TARP, or simply to pass an economic stimulus package. We must also ask how to repair our system of financial regulation to minimize the risk that another crisis such as this might build up undetected and unchallenged. As we consider the options for reform, the GAO's new report on financial regulation will be a valuable guidebook. It describes the structure of the current system, explains the system's inability to cope with shifting circumstances, and proposes criteria for judging reforms. GAO sums up our challenge: ``As the Nation finds itself in the midst of one of the worst financial crises ever, it has become apparent that the regulatory system is ill-suited to meet the Nation's needs in the 21st Century.'' That judgment confirms what this Committee has found in our hearings on commodity speculation and derivatives trading; that is, there are too many gaps between jurisdictions, too many financial entities and instruments that can create huge risks but are largely free from regulatory requirements, and too little attention paid to systemic risk. We now understand that everyday activities by mortgage brokers, hedge funds, over-the-counter traders, investment banks, Freddie Mac and Fannie Mae, and others dealing in mortgage-backed securities, credit default swaps, and other instruments can create a crisis that affects virtually every home and business in America. Yet, of the dozen Federal agencies and hundreds of State agencies that are involved in financial regulation, it appears that not one is tasked with detecting and assessing systemic risks. We have seen the consequences of that flaw. The proliferation of unregulated and unreported credit default swaps created spider webs of commitments so that a few failures rippled into the destruction of major investment banks. By accident or by design, there are many key players in the modern regulatory system who are unregulated or lightly regulated, including mortgage brokers, self-regulating exchanges and credit-rating agencies, hedge funds, and non-bank lenders. Without additional transparency into their operations, a new systemic risk monitor would find its mission difficult to achieve. These difficulties have become so obvious that it is now common to hear government and industry officials, as well as academic experts, calling for a new systemic risk agency or monitor and for a restructuring of regulatory agencies. In November, I introduced a bill to correct two other glaring gaps in our regulatory system: The lack of explicit regulatory authority over investment bank holding companies, and the lack of transparency for credit default swaps. Regulatory reform is absolutely essential to restoring public confidence in our financial markets. I am convinced we could continue to invest billions of dollars in banks, but that if we do not put in place a new, strong regulatory system, the public's confidence, which is essential to the operation of our markets, will not be restored. America's consumers, workers, savers, and investors deserve the protection of a new regulatory system that modernizes regulatory agencies, sets safety and soundness requirements for financial institutions to prevent excessive risk taking, and improves oversight, accountability, and transparency. Mr. Chairman, I am going to ask unanimous consent that the remainder of my statement be introduced into the record since I realize we have only limited time this afternoon, and I could go on forever on what is one my favorite issues.\1\ Thank you. \1\ The prepared statement of Senator Collins appears in the Appendix on page 346."
"Chairman Lieberman","Needless to say, I would be interested in having you go on forever, but without objection, we will enter the statement in the record. Senator Levin is the Chairman of the Permanent Subcommittee on Investigations. He has some thoughts and plans with regard to the topic of our inquiry today, and therefore, I would like to call on him on this occasion as well for an opening statement."
