"Speaker","Speech"
"The Chairman","This hearing will come to order. We are going to be very strict with time today. Because this is an important issue, there is a lot to be done. Members will be held strictly to 5 minutes, which means if you ask a question that takes 4 minutes and 47 seconds to ask, you will get a 13 second answer. And we cannot accommodate, frankly, sloppiness in asking questions, and then let that be an excuse for extending the time. Under our rules, the minimum amount of time we can do for opening statements is 40 minutes. The Minority has requested the full allocation, so we will proceed immediately to our 40 minutes of opening statements. We started a half hour early, so we will get started at 10:00. We are going to dismiss this panel at 12:30. Because we did not want it to be simply the auto industry itself, we have a second panel as well, so we will move as quickly as we can under the 5-minute rule. I will begin with my opening statement, and the clock starts now. Context is especially important this morning. A failure to some extent of three of our major domestic manufacturing entities would be a very serious problem in any case, but in the midst of the worst economic situation since the Great Depression, it would be an unmitigated disaster. The Labor Department reported this morning that during the month of November, there was an increase in unemployment that was quite substantial; 533,000 jobs were lost. On a year-to-year basis from December of last year to December of this year, we are down 1.9 million jobs. We are on track now to lose well over 2 million jobs obviously in that period. We will lose close to 2 million jobs in this year alone. Given that, any effort to denigrate the negative impact of substantial job loss and economic cutbacks in this industry has to fall. We operate, as we said, in this very difficult context. It is important to note here that--and, again, I guess the issue is, should we just be very hard-nosed and say let them go bankrupt? There is a consensus that substantial reorganization is needed, there is a consensus that a change in the product mix is needed, there is a consensus, and I congratulate Mr. Gettelfinger in the Union that economic times being what they are, everything has to be looked at, including further concessions which the Union had already made, and there was some very important ones that were put out there. All of that can be done by rational people in a sensible atmosphere. What bankruptcy adds is the ability to walk away from debt. The fact is that while we have this serious job loss, we continue to have a serious credit crisis in this country. We have a double whammy. And permission to these three large entities to stop paying their debts, that is called bankruptcy, would greatly exacerbate the credit crisis. I was given by my colleague from Michigan, Mr. Levin, who has been, along with the other Members from Michigan, both Democratic and Republican obviously, very much involved in this, as well as the Members from Ohio, very important numbers about what the impact would be if we were to have these entities stop paying their debts. Now, we have had a pattern of intervention that this Administration has led of trying to prevent people from not paying their debts. Not because of concern for them, but because of the impact it would have on other people, on the creditors. We have not, on the whole, bailed out debtors. We have gone to the rescue of creditors. In every one of those cases, there have been restrictions imposed on the debtors. That will clearly have to be done here, and everyone should understand that. The companies have made some proposals. I hope we will do something, because I think for us to do nothing, to allow bankruptcies and failures in 1, 2, or 3 of these companies in the midst of the worst credit crisis and the worst unemployment situation that we have had in 70 years would be a disaster. And one of the things that I do want to note, that people have said, well, you know, a lot of mistakes were made, the companies made mistakes, Congress made some mistakes, we didn't increase CAFE standards, etc. Yes, a lot of mistakes were made. The relevance of that it is partly this. It would be nice if we could line up all the people who made the mistakes and punish them in a way that would make no impact on the innocent. I think all of us remember in school the teachers we hated most were the teachers who said if one person misbehaved, the whole class would get extra homework. I don't want to give the whole country extra homework because automobile executives in the past misbehaved. We have to separate out unhappiness and anger over things not done in the past from the consequences now, and that is what we have focused on. Yes, a lot of mistakes were made. The auto companies made mistakes, unions made mistakes, politicians made mistakes. The media hasn't always distinguished itself, although you are not supposed to say that. The consequence of all those mistakes is that the country is to some extent held hostage. We need to free the country. And that is the focus. Yes, there have to be changes that are made and sacrifices made. But the focal point is not to punish those who made the mistakes. It is to prevent further damage to the country, and it is in that context that this committee will proceed. The gentleman from Alabama is now recognized for how many minutes?"
"Mr. Bachus","Five."
"The Chairman","Five minutes."
"Mr. Bachus","Thank you, Mr. Chairman. Mr. Chairman, I want to begin by noting that before the present financial crisis hit, many of the trends in the domestic automobile industry were positive. The unions had made concessions, the cost had come down, the quality was up. Perception, I don't think, has caught up with reality in that regard. The reality is that Detroit is making good cars. Having said that, our number one obligation must be the taxpayer. But we must also recognize that a failure of GM or Chrysler would have a detrimental effect on America, particularly at a time when our economy is under such stress. All of us should remember that government has no money of its own. In order to give, it first has to take from the American people. As I have said since day one, taking from the vast majority of citizens whose wages, health benefits, and pensions plans are less generous than those of the management and labor force at the Big 3 appears neither right nor fair. Personally, the only course I could possibly endorse would be limited transitional assistance to allow the American domestic automobile industry to return to solvency and profitability. But then, only if there is a reasonable expectation of success. I am convinced that short of a protected restructuring of General Motors or Chrysler, the domestic automobile industry will not be successfully remade and there will be no lasting solution to the considerable challenges that it faces. Such a restructuring is essential, not only for GM and Chrysler, but for the future of Ford and the hundreds of companies which supply and support all automobile makers in the United States, foreign and domestic. That is why I have invited Professor Edward Altman to testify at today's hearing. He proposes not a bailout, not a bridge loan, but a restructuring that promises to place the U.S. automobile industry on a path to long-term viability. Professor Altman's solution--or ones like it--certainly appears to be preferable to the continued deterioration and ultimate failure of the domestic automobile industry with its devastating consequences for the country, the economy, and the workers and families whose jobs, pensions, and health care benefits are dependent on the industry. Let me close by saying it is a solution not by Congress that I am proposing, but by the industry itself, but with a supporting role by the U.S. Government, preferably through the participation of those financial institutions which received hundreds of billions of dollars of taxpayer money under TARP or various Federal Reserve credit facilities intended to be used for loans to the American businesses and manufacturers like GM Ford and Chrysler and their suppliers. In the event--and I am very disappointed that lending has not been available--that taxpayer monies are still necessary to support the restructuring, monies already appropriated under the 136 program could be utilized. What we need is a solution, not a first installment. Mr. Chairman, I would like to reserve the balance of my time."
"The Chairman","The gentleman has used 4 minutes. The gentleman from Pennsylvania is recognized for 5 minutes."
"Mr. Kanjorski","Mr. Chairman, we meet today again with familiar faces, and I hope we are truly driven to success, all of us today. It is not a question of whether or not we want to have an automotive industry. I have not met too many people who think America does not need one. It is a question of whether we can, and if we can, how do we get to that resolve. I just want to say that over these last troubling 2 weeks of preparing for this hearing, I have come to the conclusion that we are still talking at each other instead of to each other. I am a little disappointed with the plans submitted because although they are much better than the plans submitted 2 weeks ago, they are still tentative and not final. I listened intently to the testimony yesterday before the United States Senate, and several elements of that testimony struck me as being very important and something we should carry on here. One part of it was the testimony of the expert on the question of how much would it really cost. In his analysis, I believe it was Dr. Anders or Ambers, indicated his estimate was $75 billion to $125 billion. You know, I think at least we have one realist and that is pretty good. Nothing wrong with that. At least we know when we buy into this picture, what we are buying into. As the folks left here 2 weeks ago, it was a $25 billion request. The new submission is a $35 billion request, and they are adding on the additional $25 billion that is in the energy bill. That is already $59 billion, so we are not too far from the good doctor's estimates. He is giving us another $15 billion to $55 billion. I think that is a reasonable range. Now, the question is whether we should. As I have concluded in my own mind, we should maintain an American automotive industry. There is no question about that. I hear some arguments made, particularly by Labor, who are friends of mine, and they said, well, if you could give $200 billion or $700 billion to Wall Street why can't you give $34 billion to the automotive industry? If we made a mistake in giving $700 billion to Wall Street, and I don't think we did, I think we made a mistake in how we gave it to them. I don't think the conditions were sufficient to make sure we accomplish the ends that we should have had in providing that kind of liquidity to the market. But that is--even if we made a mistake, it is not a justification for this Congress to make a second mistake. And it is time to me that we don't set this off. I think the automotive industry is as important as Wall Street. And I think it is all part of the total picture that we have to get to and correct. So I wish that argument was not made in terms of, well, you gave it to them, you now have to give it to us, and then we have a line out in front of the building here of 432 other industries, corporations, and others that have needs. Some of them are going bankrupt in my district, and I am sure they are going to ask me, ``Well, Congressman, if you gave the automotive industry all that money why can't you take care of me and allow me to continue to operate my business and take care of my family and have a reasonable existence.'' We are not going to be able to do that. Whether we can take care of the automobile business really should be determined here and in a very short few days ahead. I do not think we have time to right the real conditions and the real provisions that are necessary for the total recovery of the automobile industry. However, I suggest we do have time to come up with the $4 billion necessary for General Motors and potentially $4 billion necessary in a very short, very small bridge loan for the next 60 or 90 days to give this Congress a chance to return in January, continue working now until January, but in January in the new Congress to enact the type of legislation necessary to accomplish this end. If we are being practical that is what we should be doing. This idea that it is late guys, and you have to pass it, you have to do it, or nothing; I am afraid a lot of people are overestimating the willingness of a goodly number of Members of Congress to play chicken. And I think it would be terrible to experience that game of chicken and see the automotive industry go down because of it. So I suggest that we need some very strong activity here to work in conjunction with the Executive Branch, both the existing Administration and the future Administration, and the Congress to come up with the conditions necessary to accomplish an end and finance long-term, for viability, the automotive industry of America."
"The Chairman","Next, the gentleman from Delaware is recognized for 2 minutes."
"Mr. Castle","Thank you, Mr. Chairman. I have no doubt the extended immediacy of the problem. You don't have to spend a lot of time, as far as I am concerned, trying to convince us of that. I think we all know it is there. I also have little doubt that we as Republicans and Democrats in the House and Senate would be willing to save the automobile industry in America if we can, but we need some sort of assurance it will work, not just your words, but plans, and we are trying to work through all that now. Then the question becomes, how do we make this work? Do we go to the bailout situation numbers, some $25 billion to $35 billion? Mr. Kanjorski has just talked about doing something less on an immediate basis. Do we use the Financial Services' bailout dollars which have been discussed? Could the Federal Reserve get involved in that? Personally, I don't think that you are going to be able to borrow from the large financial institutions. In spite of the fact they have gotten advances on money, they don't want to get into dubious situations themselves at this point, so I think that is probably not correct. And I tend to agree with the statements about bankruptcy being probably more negative than positive in the long-term. So we have to come to closure as far as all of this is concerned. I am also concerned, as I think we all are, about the other jobs out there, the suppliers and the auto dealers. As I look at it, just based on your numbers, that is more than half of the jobs involved with the automobile industry before you get into the related things, such as those who supply those people and those kinds of issues. So one question I am going to have for you is the financial stability of those entities, and are they totally dependent upon you or are there other ways in which they are going to need help as well? I think that is an important measure in terms of what we have to worry about here. And finally, I think we have to worry about oversight and accountability. If we go back and look at the Financial Services bailout, that is an area where perhaps we did not distinguish ourselves, and that is probably not something you really want to hear. But we may need to be more involved in sitting down with your people and determining are these plans which are working, are the steps which are being taken pursuant to those loans actually working, are we turning this around? That is a significant part of it. And I hope you would not be dismissive of that, but embracing of it in a way that we can all work together. This is taxpayers' money we are dealing with. We want to protect jobs. We want to make darn sure we protect those dollars as well with some repayment as far as the future is concerned. I yield back the balance of my time."
"The Chairman","The gentlewoman from California is recognized for 2 minutes."
"Ms. Waters","Thank you, Mr. Chairman, for arranging this second hearing on America's automobile industry. Several weeks ago, the automakers came before this committee and spoke in generalities on why they need assistance from the Federal Government. At that time, there was no plan for long-term viability. Now that the automakers have submitted a plan, I am concerned--they have submitted a plan, but I am concerned about the plans that will be discussed today and how they will impact those, such as small car dealers, who are dependent on the auto industry to earn a living. Several weeks ago, we were told that a collapse of the Big 3 would lead to the loss of 3 million jobs. Yet it seems that these plans still involve some paying for workers employed by the Big 3. GM, for example, states in their plan that they plan to cut at least 30,000 jobs by 2012. In bailing out the Big 3, we can't forget the needs of Main Street and the impact these plans will have on every day working Americans and the communities in which they live. This is true especially in light of the fact that we are still in the midst of a foreclosure crisis and America's struggling homeowners are in need of assistance. This brings me to the Nation's small car dealers. In their plans, each auto maker states that they have too many dealers and need to downsize. Ford says that it plans to work collaboratively with its dealers to reduce its dealer network. GM says that it plans to slash its dealer network by 35 percent. Chrysler simply says that it plans to rationalize its dealer network without providing any specifics. What none of them say is what the impact this rationalization, consolidation, or reduction in the number of dealers will have on those dealers and the local communities and local economies they support. On November 30th, The New York Times published an article entitled, ``Auto Dealerships Teeter as Big 3 Decline.'' I am interested, Mr. Chairman, in trying to understand how this bailout will help the small dealers. I yield back."
