Speaker,Speech,Type,Comments
"The Chairman","The hearing will come to order. We have been asked by the Republican side to use the full 20 minutes on each side for opening statements, so we will go to that, but I was also asked to accommodate the gentleman from California. So, we will begin. The gentleman from California is recognized.",Speech,
"Mr. Issa","Thank you, Mr. Chairman. I appreciate your indulgence in this. I know we are all on kind of a crazy schedule here in this extended, extended, extended Congress. Mr. Chairman, Ranking Member Bachus--if he was here--and members of the committee, I want to thank you for this opportunity to speak today. There is no more important issue before Congress now than ending the financial crisis that besets our country, whether it is in fact the financial crisis that we believed we were dealing with only weeks ago or it is the auto companies that were before you this week. As you know, I have been a critic of the bailout from its inception. I have stressed deliberate action and warned of potential failures. I think I have been vindicated in my objection to that spending of $700 billion of taxpayers' dollars, of which half already appears to have been spent. I am not pleased with that. I wish I had been wrong. After all, these are not private funds that companies can use freely. These are, in fact, the future tax dollars of Americans, and our children will be paying not just the principal but the interest for generations to come. To date, the oversight of the bailout has been severely lacking. Through no fault of the Congress, we were pushed to quickly pass a bill that only generally called for accounting. The Government Accountability Office--as we will hear more about today--the Washington Post and other media outlets, and most importantly, the American people have been critical of the lack of oversight and the inability to apply oversight. People want to know where their money is being spent and if it is having the impact that is intended, and few think that it is. While we know there are many bad actors and causes of financial crisis from lack of lending practices to insufficient regulatory scrutiny, substantial questions regarding the root causes still remain. Yesterday, in our Committee on Government Reform we dealt with Freddie Mac and Fannie Mae, and we came away with more unanswered questions than answered questions. Neither Congress nor officials within the Administration have sufficient expertise to gain a full understanding of the complex issues surrounding both how we got in and how we will get out of this. A Colombia University professor recently stated that any reform must begin with a dispassionate and informed assessment of what went wrong. And I agree. We must pass legislation to create a bipartisan or nonpartisan blue-ribbon panel that can give the American people an objective assessment of the causes and the handling of the financial crisis. Although no one bill would be perfect, and certainly mine is no different, in November, I introduced H.R. 7275, the Financial Oversight Commission Act of 2008. Modeled after the 9/11 Commission, the Financial Oversight Commission is designed to have experts examine the causes of this crisis, evaluate corrective measures taken thus far, and make recommendations for alternative measures. The commission should examine the missteps of we as Congress, the Administration, the private sector, nonprofit organizations, certainly the GSEs and all others have taken, and then make recommendations on the next step forward. Had we done this in the original legislation, we would already be halfway through the commission process. The commission could take up to a year to conduct its entire investigations, make findings, and report the recommendations to Congress and the President. However, as I am sure the Chair would agree, commissions in the first 90 days often accomplish a great deal of what they will accomplish in 1 year by bringing the type of focus and the type of individuals and the type of scrutiny that causes others to begin to volunteer changes. As economic conditions in the financial sector itself are not static, the panel will continue its review and would evaluate ongoing circumstances. In a report to Congress, the commission shall make a complete accounting of the circumstances surrounding the crisis, the private sector, the government role in causing the crisis, and the extent to which the United States preparedness for immediate response to a future crisis. The report should offer a conclusion and recommendations for corrective measures that can be taken to prevent further economic breakdown. Mr. Chairman, Ranking Member Bachus, it is time that we realize that we are a partisan organization; the next President will be a partisan organization; that we had a hand in the creation of this problem, whether it was a large hand or a small hand; whether it was in fact things we told the financial institutions to do or, quite frankly, oversight we failed to assert over them at both the executive and the congressional level. So Mr. Chairman, I strongly recommend that as you deliberate the current, you begin thinking about how we would put together, on a broad basis, a commission that would be a tool of this Congress. I thank you for this opportunity.",Statement,STATEMENT OF THE HONORABLE DARRELL E. ISSA, A REPRESENTATIVE IN CONGRESS FROM THE STATE OF CALIFORNIA
"The Chairman","The gentleman from New Jersey.",Speech,
"Mr. Pascrell","Thank you, Mr. Chairman.",Speech,
"The Chairman","I am going to try to hold Members as close as possible to 5 minutes. As close as possible means as long as I don't daydream, 5 minutes.",Speech,
"Mr. Pascrell","Thank you, Mr. Chairman, Ranking Member Bachus, and members of the committee for allowing me to present testimony before this committee. I am here to talk about the need to use TARP funds to open up the credit market for consumers to start purchasing automobiles again. Mr. Chairman, while I was back home in New Jersey this last week, I happened to pass the Port of Newark, and saw an endless stream of brand-new cars, just row upon row, sitting there, seemingly hoping to be moved by fate, if not by sale. I have never seen that many cars piled on top of each other--well, not unless you count D.C. traffic on a Friday afternoon when everyone is trying to get out of town. Mr. Chairman, the fact is that no bridge loan or bailout of the auto industry or any other industry for that matter, no matter how well-structured or planned, will work unless credit is available to consumers to make these purchases. And purchasing power and credit is down 99 percent from last year. The reason why I voted, and I believe so many Members of Congress voted, to approve the $700 billion in October was so that the Treasury could open up the frozen credit market. This was supposed to help keep people in their homes, and make it possible for the American people to make large purchases, like automobiles, that could boost our ailing economy. Sadly, that does not seem to be occurring. The economic health of our Nation depends on a robust automotive industry. Nearly 1 in 10 Americans rely on the automotive industry for their livelihood and their financial security. Auto sales constitute 20 percent of all retail spending in the United States and generate up to 20 percent of the sales tax revenue for State and local governments. We know how hard-pressed they are today. We have heard a lot of talk in the past few weeks about the bridge loan being a bailout for the Big Three or an economic stimulus intended just for Detroit. But I don't think one Main Street in America, I can't think of one that isn't affected when a local new-car dealer closes shop, takes good jobs and economic opportunity with them. When a new-car dealer goes out of business, they not only take away jobs and money, but they also become a blight upon the landscape, a visual reminder of the failures in our economy. Nearly 700 mostly family-owned new-car retail businesses have closed in the past 11 months. That equates to some 20,000 newly unemployed Americans, just in time for this holiday season. The automobile retail industry is highly credit- dependent and has been hit especially hard by the recent financial crisis in flagging consumer confidence. Although it is an opportune time to buy a new car, thanks to many industry deals and great incentives, the public cannot get the financing they need to bring that new car home. People who have the good credit necessary to get car loans can no longer gain approval for their purchases. In fact, for 2008, only an estimated 13.5 million new vehicles were likely to be sold, down from 16.1 million in 2007, which is a 15-year low. The truth is that this crisis in the automobile industry goes far beyond the Big Three. Sales at Toyota and Honda are down more than 30 percent from last year, and are down more than 40 percent, roughly in line with the loss of sales for American automakers. We need to stop making this an issue of blame and find the constructive solutions necessary to get the economy moving. It was my understanding, and I thought it was your understanding, Mr. Chairman, that the TARP was supposed to be one of the main solutions, but so far that has not come to fruition for the average American. TARP funds have been greatly mismanaged to date and they have not been used to help consumers purchase the goods that they need. I believe that the TARP funds should go directly into helping consumers gain access to these loans which would provide a direct stimulus to the economy. Credit is essential in our economy. If loans don't get made, businesses don't expand, orders don't get placed, and workers don't get hired. As banks have restricted access to mortgages, auto loans, and credit cards, consumers have had to alter their spending behavior so rapidly that companies cannot adjust fast enough. The Treasury should use TARP funds to open a credit market for auto loans because, as I stated before, no amount of loans or bailout will work in the short or long term unless consumers are able to buy the cars in the first place. Mr. Chairman, I would like to mention that I also believe we urgently need to consider new tax incentives for consumers. I would in closing say, as you know, I introduced the bill, we talked about it in the last meeting, the Auto Insurance Tax Assistance bill. I call on you, Mr. Chairman, and Mr. Ranking Member, to do something about the TARP funds to get this economy moving. And automobiles have a lot to do with it. Thank you, Mr. Chairman.",Statement,STATEMENT OF THE HONORABLE BILL PASCRELL, JR., A REPRESENTATIVE IN CONGRESS FROM THE STATE OF NEW JERSEY
"The Chairman","I thank both Members. I will now begin our opening statements. I will of course begin by--we had to sit through yours, but you don't have to sit through ours. The gentleman from New Jersey well understands, as a member of the Ways and Means Committee, the last item he mentioned is not within the jurisdiction of this committee, but of the Ways and Means Committee. While we are on the subject of jurisdiction, I want to be sure the new ranking member of the Oversight Committee, who apparently yesterday expressed some concern that we would screw his committee out of doing their job, nothing could be further from the truth. That was what was reported. The AP said they heard that.",Speech,
"Mr. Issa","Thank you, Mr. Chairman. I will be glad to talk to you anytime. We don't have to use the AP.",Speech,
"The Chairman","Excuse me. I haven't yielded. We have rules here. I was responding to an AP comment. The gentleman said we could talk at any time. I don't remember hearing from him. I read it in the AP. I want to just respond here in this way: Some of my Republican colleagues appear to believe that the world was created in January of 2007 when we became the Majority. I will tell you this: The relationship between this committee and what was then the Committee on Government Reform did not change in 2007. The notion that somehow there was some machination on the part of myself or others to diminish the role of that committee is: (a) wrong; and (b) completely ignores the history. There was literally no change in that relationship between the chairmanship of Mr. Oxley. So this notion that somehow in January of 2007 we began some change is wrong. Secondly, I will say that I have at no point ever asked any member of that committee not to do anything. I worked with Mr. Kucinich, who is the chair of the appropriate subcommittee. At one of our most recent hearings, I read into the record a letter that he had done. I encouraged Mr. Waxman to go forward. So if there was not oversight to the gentleman's satisfaction, that was entirely the result of decisions made within that committee. During the 12 years of Republicans being in the Majority, and during the last couple of years, it did seem to me they began to do some things. So I did want to allay the gentleman's fears.",Speech,
"Mr. Issa","If the chairman would yield?",Speech,
"The Chairman","I listened to the gentleman's statement, and read what he said in the paper.",Speech,
"Mr. Bachus","May I ask the chairman, what is the order here?",Speech,
"The Chairman","I am making my opening statement.",Speech,
"Mr. Bachus","This is your opening statement. Okay.",Speech,
"The Chairman","It is not my closing statement. I said we were through with them and we would now go to opening statements. I said they didn't have to listen to ours. I would have preferred an opening statement that was more relevant to this hearing, but when things are said inaccurately, and reported in the newspaper, and they cause some concern, I like to calm people down. I have people worried that this committee is plotting to take away their jurisdiction. I don't want to ruin anybody's Christmas by thinking I am going to Grinch-like take away the jurisdiction of another committee. I yield to the gentleman from California.",Speech,
"Mr. Issa","I thank the chairman. As you know, we worked together very well while we were both on Judiciary together. The comments yesterday with an open mike quite candidly, taken properly, would have been a compliment to you and to Mr. Waxman.",Speech,
"The Chairman","I appreciate the compliment. I would say my advice--the gentleman is free to take it or not--is that I would shut off both the compliments and the mike next time. I have to get back to the subject of this hearing, which is the TARP. I am not going to exceed my 5 minutes, and no one else is. I did vote for this. I continue to think I was right to vote for this. One of the advantages that economists have over people in the public sector is that they can employ something called the counterfactual. They can--and Professor Warren is nodding her head; I appreciate the validation--compare what was happening to what would have happened in the absence of action. That is the counterfactual. I have said before what people say to me, ``Well, what do you think about the way that TARP is working?'' I have invoked before the wisdom of the great 21st Century philosopher, Henny Youngman in his exchange, ``How's your wife?'' ``Compared to what?'' The metric of, ``compared to what'' is a very important one when you are doing this. I do believe that the counterfactual here, namely our failure to have done anything at all late last fall in the face of the credit crisis, would have left us in a worse situation. I would just cite, as I have done before, the treasurer of the State of Massachusetts, who reported he couldn't roll over short-term notes, meaning payroll for the Commonwealth of Massachusetts, paying vendors. Once the bill was passed, he was able to do it. The treasurer of California, Mr. Lockyer, I know has communicated similarly. So the question is not whether we should or shouldn't have done that, in my mind; but having done it, could it have been executed better? I believe it can. I would cite two things as I draw this to a close. In the legislation, indeed essential to the passage of the legislation was the language the gentlewoman from California worked on, among others, to ensure that some of these funds would be used to reduce foreclosures, not solely or even largely as a matter of compassion for individuals, but because in the macroeconomic sense foreclosure reduction is an essential part of the problem of getting us out of the problem we are in. The refusal so far to use the money for that purpose has been, I think, a violation of the intent and undermines the ability to get votes in the Congress to do things in the future. Similarly, I was distressed when we were told we didn't have good oversight. The fact we are in this hearing, responding to a GAO report, shows that we did have good oversight. The GAO was in there from day one. We met with them. They have done a very good job. There is a new board that will also be doing some oversight. The point is that what troubled me was when Treasury was asked by GAO, ``Do you know how much money each bank is lending out, those that have gotten capital infusion?'', they appeared to say, ``We are not going to try to find that out.'' Now, I am hoping and some indications are we are going to get a clarification of that. On those two issues, I was disappointed. The gentleman from Alabama is recognized for how much time?",Speech,
"Mr. Bachus","You took 7 minutes. If I could have an equal amount of time.",Speech,
"The Chairman","It is 20 minutes and 20 minutes. I am surprised he is acting as if there are new rules here; it is 20 and 20.",Speech,
"Mr. Bachus","I will take just take 5 minutes. I am sure I will have other members. First of all, and I didn't realize we were going to depart from the subject matter of the hearing, but I want to compliment you, Ranking Member Issa, for yesterday's hearing. I want to say to Members on both sides and to the general public that what you are hearing revealed yesterday was quite astounding, and that is that we had Fannie and Freddie--if I am characterizing this right, there were multiple warnings; people within those organizations which were warning that what they were doing was dangerous. They were being pushed by mandates, affordable housing mandates and mandates to make loans which should not have been made. I hope this Congress will take a look at the various sometimes congressional-mandated, sometimes administrative- mandated, directives to loan money to people who, quite frankly, did not have the ability to pay them back. No document loans, stated income loans, just a smorgasbord of bad business decisions. And it wasn't as if people in the organizations were not sounding the alarm. I thank you and Scott Garrett on this committee who participated in that. I listened to a great deal of that. People wondered where I was yesterday. I was following that hearing. It was a very important hearing. As we attempt to pick up the pieces with you and not make mistakes of the past, I hope we won't let what went on at Fannie and Freddie go on in the future. So I compliment you, Ranking Member Issa--Ranking Member- elect Issa.",Speech,
"Mr. Issa","I think that is more appropriate.",Speech,
"Mr. Bachus","And I compliment you, Mr. Garrett, for your, I think, very constructive role. It has now been a little over 2 months since Congress passed legislation establishing TARP. A lot has happened in that time, some good and some bad. A particular concern of many members on this committee has been the Treasurer's ever- shifting strategies and explanations for its actions in implementing TARP, which have resulted in uncertainty among market participants and confusion among the American people. This has made it more difficult to achieve the goals that Congress has set in creating TARP and stabilizing the financial markets and increasing the flow of credit to Main Street. There has been some semblance of order restored in certain segments of the credit markets and among the financial service industry, and that is a good thing. No one faults Treasury for trying to tailor its policy responses to changing market conditions and challenges. But as the GAO report clearly states, implementing its various initiatives, Treasury has often failed to explain to Congress and the public what it hoped to achieve or to clearly communicate its expectations for the institutions that receive funding. For example, Treasury and the regulators have indicated recently that they expect the banks that have received an infusion of government money under the Capital Purchase Program to lend, rather than hoard, the cash. But the time to have thought about that, about what we expected banks to do with those funds, was before the money went out the door as a condition of investment rather than after the money was already in the banks' vault. That is why some of us in the negotiations on TARP asked if there would be conditions, and we were told that would limit the program. We talked about clawbacks, we talked about restrictions on dividends, we talked about something that Mr. LaTourette has complained about, and that is these banks using those funds to acquire their competitors or other banks. We think that is a serious matter. It is not in the legislation. But if there is any way to undo that admission, it needs to be done. Now I will close with this. I wonder whether Secretary Paulson or Mr. Kashkari, back when they were still working for Goldman Sachs, ever agreed to a deal in which billions of dollars changed hands, based on a 2-page application, without asking what the money was going to be used for or whether it was going to be paid back. For instance, the Uniform Residential Mortgage Application is 8 pages. The application for Federal Student Aid is 11 pages. When student lenders and mortgage companies ask more questions in lending thousands of dollars than the Federal Government does when it injects billions of dollars' worth of capital, we should all be concerned. The application process for the Capital Purchase Program, consisting of a 2-page form in which the bank identifies itself as a bank and asks for money and little else is very surprising. Secretary Paulson and Mr. Kashkari, you cannot be faulted for not having all the answers and for not being able to predict the future. But when you are acting on behalf of the American taxpayer, the taxpayer has the right to expect they will exercise the same basic judgment, the same standard of care that they would have exercised when they were working for Goldman Sachs and its investors. They should be held to the standard of care that we would expect from a reasonable, prudent investment banker whom I hope would not agree to a deal without doing some minimal amount of due diligence and conditions. Secretary Paulson and Mr. Kashkari should learn something from what we have seen in these past few weeks in connection with the committee's consideration of a possible bailout for the domestic auto industry. The CEOs of those automobile makers appeared before us to present detailed business plans showing how they intended to return their companies to profitability. They tried to justify their pleas for taxpayer help by admitting that their business models were flawed and explaining how they are going to change them. While the jury is still out on whether they made their case successfully, the detailed explanations and documents they put before us and the American people stand in stark contrast to the lack of information we have received from Treasury or from the financial institutions that have received taxpayer money under TARP. Let me close by thanking Chairman Frank for holding today's hearing, giving me the opportunity to focus on yesterday's hearing before the Oversight and Government Reform Committee, which was very important, and for inviting our colleague, the gentleman from Texas, Mr. Hensarling, to testify on the important work being done by the TARP Congressional Oversight Panel. He has some concerns. I share those concerns, and I look forward to his testimony. I look forward to his insights and those of the other witnesses. Thank you.",Speech,
"The Chairman","Given the concern about time, how much time did the gentleman consume? Someone tell me how much time. The gentleman consumed 7\1/2\ minutes, so the gentleman has 12\1/2\ minutes left to allocate. We have consumed 5\1/2\ minutes, so we have 14\1/2\ minutes left. The gentleman from Pennsylvania is recognized for 5 minutes.",Speech,
