Speaker,Speech,Type,Comments
"Chairman Dodd","The Committee will come to order. Let me, first of all, thank our witnesses and my colleagues for being here, and thank the audience that has joined us here this morning for this hearing. This hearing is entitled ``Turmoil in U.S. Credit Markets: Examining Recent Regulatory Responses,'' and I am very grateful to all of you for taking the time out. I know you have other matters to be doing, so we are going to try and move along as rapidly as we can. I particularly want to thank Sheila Bair and Neel Kashkari. We have got you working overtime, obviously, and so we don't want to tie you up all day here with this. We will try and move along as quickly as we can. With that in mind, I am going to make a quick opening statement, turn to Senator Shelby for any opening comments, and then I would ask my colleagues if they could be very brief in their opening comments. Sheila Bair has her board meeting today in town, and so we want to be able to get her back to that meeting, and I understand that, but we have some very important questions.",Speech, 
"Senator Shelby","It could be an important meeting.",Speech, 
"Chairman Dodd","It could be important. So I will ask my colleagues if they could be very brief or reserve their opening statements for the questioning period when they get to it as a way to get right to our witnesses and have a chance to hear from them, which is critically important to all of us. With that, let me begin with some brief opening comments and then turn to Senator Shelby. This morning, we consider the recent regulatory responses to the ongoing turmoil in our national and global credit markets. Those responses have included a series of measures that are in many respects without precedent in our Nation's history. These measures began, for the most part, with the decision in March of this year to commit $30 billion in taxpayer-backed funds to facilitate the acquisition of Bear Stearns by JPMorgan Chase. They also include the decision by the Federal Reserve through the spring, summer, and fall to establish various facilities and initiatives to promote liquidity in the markets, including in the commercial paper markets. They include the takeover of the Nation's largest insurer, AIG, committing over $120 billion to this effort thus far. They include the decision to put Fannie Mae and Freddie Mac into conservatorship and provide them with $200 billion in Federal backstop. They include the decisions to guarantee non-interest- bearing deposit accounts at insured depository institutions and to guarantee senior unsecured bank debt for a period of 3 years. And, most recently, they include the decision to invest $250 billion into lending institutions, including some $125 billion in just nine large lenders, in an effort to promote financial stability and liquidity. According to one report, decisions taken or implemented by Federal regulators in the past 7 months have committed no less than $5 trillion in taxpayer money to stemming the tide of the credit crisis. Five trillion dollars--that is an astounding sum, equivalent to roughly one-third of our annual economy. Taken together, these decisions have made the American taxpayer a guarantor, owner, and shareholder in the financial sector of our economy to a degree never before seen in our Nation's history and rarely seen in any free market economy. Certainly in recent months, no one can accuse Chairman Bernanke, Secretary Paulson, Chairman Bair, and others of timidity in the face of this crisis. Nearly 15 months ago, Chairman Bernanke pledged to me that he would use all of the tools at his disposal to maintain order, in a meeting we had in my office in August of 2007, in order to maintain order, stability, and liquidity in our capital markets. He has been true to his word. Likewise, Secretary Paulson, Chairman Bair, and Chairman Cox have all acted aggressively in recent weeks. And while the jury is still out regarding the ultimate impact of their actions, few if any doubt that those actions have forestalled the worst-case scenario of a complete seizure in the financial markets. Nevertheless, one cannot escape hard truths about these regulatory actions. First and foremost is the truth that they have largely addressed the symptoms of the credit crisis rather than its cause. For nearly 2 years, since I became Chairman of this Committee, I have urged forceful and definitive action to reverse the rising tide of foreclosures that began to wash over our economy in 2007. I have not been alone in this call. Colleagues on both sides of the political aisle here have been sounding that same note for almost the same period of time. So have economists and analysts from across the political spectrum, including such distinguished individuals as former Carter and Reagan Fed Chairman Paul Volcker, Nobel Prize winners Joseph Stiglitz and Paul Krugman, former Reagan Chief Economic Adviser Martin Feldstein, and Chairman of President Bush's Council of Economic Advisers Glenn Hubbard, and American Enterprise Institute Resident Fellow Alex Pollock. These and other experts all agree that the key to our Nation's economic recovery is the recovery of the housing market, and that the key to the recovery of the housing market is to reduce foreclosures. Without a solution to this central problem, the record-setting foreclosure rate, more Americans will continue to lose their homes and see the value of their largest asset plummet to the point where homeowners owe more on their mortgages than their homes are worth. Declining home values, vacant properties, and reduced revenues will destabilize more and more neighborhoods. As economist Mark Zandi noted in March of this year, and I quote him, ``Only if more homeowners are able to remain in their homes will the negative cycle of foreclosures begetting house price declines begetting more foreclosures be short-circuited. This in turn is necessary to ending the downdraft in the housing market that is weighing so heavily on the economy and financial system.'' Without addressing the cause of the crisis as swiftly, aggressively, and decisively as the administration has tackled the symptoms of the crisis, house prices will continue to fall or stagnate, and the value of assets based on mortgages, trillions of dollars of which are on the books of our major financial institutions, will continue to be virtually unknowable. To date, with few exceptions, we have not seen, in my view, the required dedication. The longer we allow foreclosures to erode family wealth, neighborhood stability, and financial market liquidity, the longer our economy will take to recover from this crisis. The result will be the continuation of volatility and paralysis that our regulatory leaders are working so feverishly to address today. A number of us have been working very hard on this problem. The Hope for Homeowners Initiative that we created in the Housing Economic Recovery Act was a good start. Ultimately, it holds the promise of helping as many as 400,000 to a million more Americans obtain safe, secure, affordable mortgages. Similarly, the Emergency Economic Stabilization Act, which was signed into law October 3rd, obligates the Treasury to implement a plan to prevent foreseeable and avoidable foreclosures. Very importantly, Section 109 of that legislation authorizes the Secretary to use loan guarantees and credit enhancements to facilitate loan modifications to prevent avoidable foreclosures. This slender provision alone could help countless deserving Americans escape the foreclosure trap set up by predatory lenders. This morning we look forward to asking our witnesses what steps they are taking to implement these and other provisions designed to stop the hemorrhaging in our housing markets that has bled out into the wider economy of our country and across the globe. We also look forward to asking them what steps they are taking to ensure that the American taxpayer is not just bankrolling the banking industry, but benefiting as well in the form of expanded lending activity. It is beyond troubling to read in recent news reports that those lenders who will be receiving billions of dollars from U.S. taxpayers are considering using those dollars not to make loans but, rather, to pursue some acquisition opportunities and to create a capital cushion, on which they will comfortably sit while the American consumer and small business person struggles. Reading such a report, it is no surprise that a majority of Americans surveyed in a CNN/Opinion Research Corporation poll this past weekend disapproved of the regulators' actions that focus on the banking industry. Doing more for homeowners is the one policy solution that a majority of those Americans said they would support. If there were ever a time that demanded that we think anew, this is it. Now that the administration has taken strong measures to stabilize financial institutions, it is absolutely imperative, in my view, that we apply the same sharp and urgent focus to help the individual homeowners whose plight is at the root cause of this crisis and to the small business owners who are valiantly struggling to stay afloat in these times. We are very fortunate, as I said at the outset, to have a very distinguished panel of witnesses with us this morning. We look forward, as always, to hearing their thoughts on what steps we can and must take to turn from the failed policies and flawed thinking of the past and instead turn to our hopeful and prosperous future for our country. With that, let me turn to Senator Shelby.",Speech, 
"Senator Shelby","Thank you, Mr. Chairman. I believe today's hearing provides an important opportunity for this Committee to conduct much needed oversight of the administration's efforts to address the considerable problems in our financial markets. Foremost among these efforts is the Treasury Department's Troubled Asset Relief Program, or TARP. When first announced, this program was to be used to purchase troubled assets from financial institutions. As market conditions have changed, however, the program has evolved considerably. On October the 14th, the Department of the Treasury announced that it was going to use $250 billion from the program to purchase equity stakes in financial institutions. Half of this amount has already been used to take positions in nine of the largest domestic financial companies. The remaining $125 billion, it is my understanding, has been set aside and is available for use by thousands of other smaller financial institutions. And while we all recognize that markets move with incredible speed and that circumstances can change dramatically, in purchasing equity stakes in publicly held companies Treasury has deviated significantly from its original course. We need here to examine closely the reason for this change and to understand how and why the nine specific firms were chosen to receive the initial $125 billion. We also need to understand here in this Committee how the remaining funds are going to be made available to the thousands of firms who may be eligible to receive them. Finally, we must also ensure, I believe, that the appropriate oversight scheme is in place because hundreds of billions of dollars of taxpayer money are at risk here. The hearing here also gives us an opportunity to examine other recent initiatives intended to address the troubled marketplace. Senator Dodd has already mentioned Hope for Homeowners, but I can tell you--I believe he is on point here-- that unless we do something or can do something to address the underlying fundamentals of dealing with the mortgage foreclosures and real estate, we are going to be wasting perhaps a lot of money. Mr. Chairman, I look forward to the hearing, and I appreciate your calling it.",Statement,STATEMENT OF SENATOR RICHARD C. SHELBY 
"Chairman Dodd","Thank you very much. Let me turn to Senator Johnson.",Speech, 
"Senator Johnson","Thank you, Chairman Dodd, for holding this important hearing. In addition to the passage of the Emergency Economic Stabilization Act, there has been a rash of other actions by the Treasury, Fed, FDIC, and others to stabilize our economic situation. Today, we will take a closer look at these actions. There is a common thread between all of the actions taken in recent weeks: they are temporary. While I believe the Government's actions should be ``emergency'' measures, these are no small efforts. Within a few months, our country will have a new administration, and within a year these measures will expire. These actions make significant changes to our financial services regulatory structure, and this Committee needs to know what the end game is for these steps. Going forward, it is important to begin reviewing the structure of our financial system and developing regulation to create the kind of transparency, accountability, and consumer protection that now is lacking. I will continue fighting for good, effective regulation that balances consumer protection and sustainable economic growth. I am concerned we are not yet at the end of the road in terms of financial difficulties, but I am hopeful that the many actions taken in the past weeks will help stem our economic troubles.",Statement,STATEMENT OF SENATOR TIM JOHNSON 
"Chairman Dodd","Thank you very much, Senator.",Speech, 
"Senator Crapo","",Speech, 
"Senator Crapo","Thank you very much, Mr. Chairman. As you have requested, I will withhold until the question period.",Speech, 
"Chairman Dodd","I thank you for that.",Speech, 
